Nr,exercise,level_verben,question,answer,german,english,french,case_english,case_french,verb,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
629,22,,Er gilt _____ Experte auf diesem Gebiet.,als,Er gilt als Experte auf diesem Gebiet.,He is considered an expert in this field.,Il est considéré comme un expert dans ce domaine.,,,gelten,gelten als,to be considered as = gelten als + Predicative,être considéré comme = gelten als + Prédicatif,to introduce an identity → als + Predicative,pour introduire une identité → als + Prédicatif,to be considered as = gelten als + Predicative<br>to introduce an identity → als + Predicative,être considéré comme = gelten als + Prédicatif<br>pour introduire une identité → als + Prédicatif
630,22,,Das Buch gilt _____ Klassiker der deutschen Literatur.,als,Das Buch gilt als Klassiker der deutschen Literatur.,The book is considered a classic of German literature.,Ce livre est considéré comme un classique de la littérature allemande.,,,gelten,gelten als,to be considered as = gelten als + Predicative,être considéré comme = gelten als + Prédicatif,to introduce an identity → als + Predicative,pour introduire une identité → als + Prédicatif,to be considered as = gelten als + Predicative<br>to introduce an identity → als + Predicative,être considéré comme = gelten als + Prédicatif<br>pour introduire une identité → als + Prédicatif
631,22,,Sie gilt _____ sehr zuverlässige Kollegin.,als,Sie gilt als sehr zuverlässige Kollegin.,She is considered a very reliable colleague.,Elle est considérée comme une collègue très fiable.,,,gelten,gelten als,to be considered as = gelten als + Predicative,être considéré comme = gelten als + Prédicatif,to introduce an identity → als + Predicative,pour introduire une identité → als + Prédicatif,to be considered as = gelten als + Predicative<br>to introduce an identity → als + Predicative,être considéré comme = gelten als + Prédicatif<br>pour introduire une identité → als + Prédicatif
632,22,,Dieses Programm eignet sich _____ fortgeschrittene Nutzer.,für,Dieses Programm eignet sich für fortgeschrittene Nutzer.,This program is suitable for advanced users.,Ce programme convient aux utilisateurs avancés.,,,eignen,sich eignen für,to be suitable for (a concrete goal or group) = sich eignen für + Accusative,convernir à (un objectif ou un groupe concret) = sich eignen für + Accusatif,"to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to be suitable for (a concrete goal or group) = sich eignen für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","convernir à (un objectif ou un groupe concret) = sich eignen für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
633,22,,Die Methode eignet sich gut _____ den Einsatz im Unterricht.,für,Die Methode eignet sich gut für den Einsatz im Unterricht.,The method is well suited for use in class.,Cette méthode est parfaitement adaptée à une utilisation en classe.,,,eignen,sich eignen für,to be suitable for (a concrete goal or group) = sich eignen für + Accusative,convernir à (un objectif ou un groupe concret) = sich eignen für + Accusatif,"to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to be suitable for (a concrete goal or group) = sich eignen für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","convernir à (un objectif ou un groupe concret) = sich eignen für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
634,22,,Das Buch eignet sich perfekt _____ Anfänger.,für,Das Buch eignet sich perfekt für Anfänger.,The book is perfect for beginners.,Ce livre est parfait pour les débutants.,,,eignen,sich eignen für,to be suitable for (a concrete goal or group) = sich eignen für + Accusative,convernir à (un objectif ou un groupe concret) = sich eignen für + Accusatif,"to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to be suitable for (a concrete goal or group) = sich eignen für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","convernir à (un objectif ou un groupe concret) = sich eignen für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
635,22,,Dieses Holz eignet sich nicht _____ Möbelbau.,zum,Dieses Holz eignet sich nicht zum Möbelbau.,This wood is not suitable for making furniture.,Ce bois ne convient pas à la fabrication de meubles.,,,eignen,sich eignen zu,to be suitable for (an abstract purpose) = sich eignen zu + Dative,convernir à (une fonction abstraite) = sich eignen zu + Datif,to introduce a combination → zu + Dat.,pour introduire une association → zu + Dat.,to be suitable for (an abstract purpose) = sich eignen zu + Dative<br>to introduce a combination → zu + Dat.,convernir à (une fonction abstraite) = sich eignen zu + Datif<br>pour introduire une association → zu + Dat.
636,22,,Die App eignet sich hervorragend _____ Lernen unterwegs.,zum,Die App eignet sich hervorragend zum Lernen unterwegs.,The app is perfectly suited for learning on the go.,L'application est parfaitement adaptée à l'apprentissage en déplacement.,,,eignen,sich eignen zu,to be suitable for (an abstract purpose) = sich eignen zu + Dative,convernir à (une fonction abstraite) = sich eignen zu + Datif,to introduce a combination → zu + Dat.,pour introduire une association → zu + Dat.,to be suitable for (an abstract purpose) = sich eignen zu + Dative<br>to introduce a combination → zu + Dat.,convernir à (une fonction abstraite) = sich eignen zu + Datif<br>pour introduire une association → zu + Dat.
637,22,,Diese Schere eignet sich gut _____ Basteln mit Kindern.,zum,Diese Schere eignet sich gut zum Basteln mit Kindern.,These scissors are ideal for crafting with children.,Ces ciseaux sont idéaux pour les activités manuelles avec les enfants.,,,eignen,sich eignen zu,to be suitable for (an abstract purpose) = sich eignen zu + Dative,convernir à (une fonction abstraite) = sich eignen zu + Datif,to introduce a combination → zu + Dat.,pour introduire une association → zu + Dat.,to be suitable for (an abstract purpose) = sich eignen zu + Dative<br>to introduce a combination → zu + Dat.,convernir à (une fonction abstraite) = sich eignen zu + Datif<br>pour introduire une association → zu + Dat.
638,22,,In Stresssituationen greifen viele Menschen _____ Schokolade.,zu,In Stresssituationen greifen viele Menschen zu Schokolade.,"In stressful situations, many people reach for chocolate.","Dans les situations stressantes, beaucoup de gens se tournent vers le chocolat.",,,greifen,greifen zu,to reach for = greifen zu + Dative,se tourner vers = greifen zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to reach for = greifen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,se tourner vers = greifen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
639,22,,"Er griff _____ Handy, um Hilfe zu rufen.",zum,"Er griff zum Handy, um Hilfe zu rufen.",He reached for his cell phone to call for help.,Il a pris son téléphone portable pour appeler à l'aide.,,,greifen,greifen zu,to reach for = greifen zu + Dative,se tourner vers = greifen zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to reach for = greifen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,se tourner vers = greifen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
640,22,,Sie greift abends gern _____ einem guten Buch.,zu,Sie greift abends gern zu einem guten Buch.,She likes to read a good book in the evening.,Elle aime lire un bon livre le soir.,,,greifen,greifen zu,to reach for = greifen zu + Dative,se tourner vers = greifen zu + Datif,to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,to reach for = greifen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,se tourner vers = greifen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.
641,23,B1,sich einsetzen _____,für,sich einsetzen für,to advocate for,militer en faveur de,Accusative,Accusatif,einsetzen,sich einsetzen für,to advocate for = sich einsetzen für + Accusative,militer en faveur de = sich einsetzen für + Accusatif,"to introduce an endorsement, an approval or an advocacy → für + Acc.","pour introduire une approbation, un accord ou un plaidoyer → für + Acc.","to advocate for = sich einsetzen für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","militer en faveur de = sich einsetzen für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc."
642,23,B2,verfügen _____,über,verfügen über,to have at one's disposal,"avoir à sa disposition, disposer de",Accusative,Accusatif,verfügen,verfügen über,to have at one's disposal = verfügen über + Accusative,"avoir à sa disposition, disposer de = verfügen über + Accusatif",to introduce a position of dominance → über + Acc.,pour introduire une position dominante → über + Acc.,to have at one's disposal = verfügen über + Accusative<br>to introduce a position of dominance → über + Acc.,"avoir à sa disposition, disposer de = verfügen über + Accusatif<br>pour introduire une position dominante → über + Acc."
643,23,B2,ausgeben _____,für,ausgeben für,to spend on,"dépenser pour, dépenser en",Accusative,Accusatif,ausgeben,ausgeben für,to spend on = ausgeben für + Accusative,"dépenser pour, dépenser en = ausgeben für + Accusatif","to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to spend on = ausgeben für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","dépenser pour, dépenser en = ausgeben für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
644,23,B2,verlangen _____,von,verlangen von,to demand from,exiger de,Dative,Datif,verlangen,verlangen von,to demand from = verlangen von + Dative,exiger de = verlangen von + Datif,to introduce an expectation or a demand → von + Dat.,pour introduire une attente ou une demande → von + Dat.,to demand from = verlangen von + Dative<br>to introduce an expectation or a demand → von + Dat.,exiger de = verlangen von + Datif<br>pour introduire une attente ou une demande → von + Dat.
645,23,B2,basieren _____,auf,basieren auf,to be based on,être basé sur,Dative,Datif,basieren,basieren auf,to be based on = basieren auf + Dative,être basé sur = basieren auf + Datif,to introduce a base or a foundation → auf + Dat.,pour introduire une base ou une fondation → auf + Dat.,to be based on = basieren auf + Dative<br>to introduce a base or a foundation → auf + Dat.,être basé sur = basieren auf + Datif<br>pour introduire une base ou une fondation → auf + Dat.
646,23,B2,sich beziehen _____,auf,sich beziehen auf,to refer to,faire référence à,Accusative,Accusatif,beziehen,sich beziehen auf,to refer to = sich beziehen auf + Accusative,faire référence à = sich beziehen auf + Accusatif,to introduce a reliance or a reference → auf + Acc.,pour introduire une référence ou une mention → auf + Acc.,to refer to = sich beziehen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,faire référence à = sich beziehen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.
647,23,B2,klagen _____,über,klagen über,to complain about,se plaindre de,Accusative,Accusatif,klagen,klagen über,to complain about = klagen über + Accusative,se plaindre de = klagen über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to complain about = klagen über + Accusative<br>to introduce an emotional theme → über + Acc.,se plaindre de = klagen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
648,23,B2,klagen _____,gegen,klagen gegen,to sue,intenter une action en justice,Accusative,Accusatif,klagen,klagen gegen,to sue = klagen gegen + Accusative,intenter une action en justice = klagen gegen + Accusatif,to introduce a rejection or an opposition → gegen + Acc.,pour introduire un rejet ou une opposition → gegen + Acc.,to sue = klagen gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,intenter une action en justice = klagen gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.
649,23,B2,erschrecken _____,über,erschrecken über,to get frightened by,avoir peur de,Accusative,Accusatif,erschrecken,erschrecken über,to get frightened by = erschrecken über + Accusative,avoir peur de = erschrecken über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to get frightened by = erschrecken über + Accusative<br>to introduce an emotional theme → über + Acc.,avoir peur de = erschrecken über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
650,23,B2,erschrecken _____,vor,erschrecken vor,to be scared of,avoir peur de,Dative,Datif,erschrecken,erschrecken vor,to be scared of = erschrecken vor + Dative,avoir peur de = erschrecken vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to be scared of = erschrecken vor + Dative<br>to introduce an object of danger → vor + Dat.,avoir peur de = erschrecken vor + Datif<br>pour introduire un danger → vor + Dat.
651,23,B2,sich handeln _____,um,sich handeln um,to be about,"être à propos de, s'agir de",Accusative,Accusatif,handeln,sich handeln um,to be about = sich handeln um + Accusative,"être à propos de, s'agir de = sich handeln um + Accusatif",to introduce a central object of concern or covetousness → um + Acc.,pour introduire un objet central d'intérêt ou de convoitise → um + Acc.,to be about = sich handeln um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.,"être à propos de, s'agir de = sich handeln um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc."
652,23,B2,handeln _____,von,handeln von,"to revolve around, to be about","traiter de, être à propos de",Dative,Datif,handeln,handeln von,"to revolve around, to be about = handeln von + Dative","traiter de, être à propos de = handeln von + Datif",,,"to revolve around, to be about = handeln von + Dative","traiter de, être à propos de = handeln von + Datif"
653,23,B2,handeln _____,mit,handeln mit,"to trade with, to trade in","commercer, commercialiser",Dative,Datif,handeln,handeln mit,"to trade with, to trade in = handeln mit + Dative","commercer, commercialiser = handeln mit + Datif",to introduce a subject to handle → mit + Dat.,pour introduire un sujet à gérer → mit + Dat.,"to trade with, to trade in = handeln mit + Dative<br>to introduce a subject to handle → mit + Dat.","commercer, commercialiser = handeln mit + Datif<br>pour introduire un sujet à gérer → mit + Dat."
654,23,B2,demonstrieren _____,für,demonstrieren für,to demonstrate for,manifester pour,Accusative,Accusatif,demonstrieren,demonstrieren für,to demonstrate for = demonstrieren für + Accusative,manifester pour = demonstrieren für + Accusatif,"to introduce an endorsement, an approval or an advocacy → für + Acc.","pour introduire une approbation, un accord ou un plaidoyer → für + Acc.","to demonstrate for = demonstrieren für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","manifester pour = demonstrieren für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc."
655,23,B2,demonstrieren _____,gegen,demonstrieren gegen,to demonstrate against,manifester contre,Accusative,Accusatif,demonstrieren,demonstrieren gegen,to demonstrate against = demonstrieren gegen + Accusative,manifester contre = demonstrieren gegen + Accusatif,to introduce a rejection or an opposition → gegen + Acc.,pour introduire un rejet ou une opposition → gegen + Acc.,to demonstrate against = demonstrieren gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,manifester contre = demonstrieren gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.
656,24,,Wir setzen uns _____ bessere Bedingungen ein.,für,Wir setzen uns für bessere Bedingungen ein.,We advocate for better conditions.,Nous militons pour de meilleures conditions.,,,einsetzen,sich einsetzen für,to advocate for = sich einsetzen für + Accusative,militer en faveur de = sich einsetzen für + Accusatif,"to introduce an endorsement, an approval or an advocacy → für + Acc.","pour introduire une approbation, un accord ou un plaidoyer → für + Acc.","to advocate for = sich einsetzen für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","militer en faveur de = sich einsetzen für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc."
657,24,,Er setzt sich _____ den Umweltschutz ein.,für,Er setzt sich für den Umweltschutz ein.,He is committed to environmental protection.,Il est engagé en faveur de la protection de l'environnement.,,,einsetzen,sich einsetzen für,to advocate for = sich einsetzen für + Accusative,militer en faveur de = sich einsetzen für + Accusatif,"to introduce an endorsement, an approval or an advocacy → für + Acc.","pour introduire une approbation, un accord ou un plaidoyer → für + Acc.","to advocate for = sich einsetzen für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","militer en faveur de = sich einsetzen für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc."
658,24,,Sie setzt sich aktiv _____ die Rechte von Kindern ein.,für,Sie setzt sich aktiv für die Rechte von Kindern ein.,It actively campaigns for children's rights.,Elle milite activement pour les droits des enfants.,,,einsetzen,sich einsetzen für,to advocate for = sich einsetzen für + Accusative,militer en faveur de = sich einsetzen für + Accusatif,"to introduce an endorsement, an approval or an advocacy → für + Acc.","pour introduire une approbation, un accord ou un plaidoyer → für + Acc.","to advocate for = sich einsetzen für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","militer en faveur de = sich einsetzen für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc."
659,24,,"Die Firma verfügt _____ moderne Maschinen, die die Produktion verbessern.",über,"Die Firma verfügt über moderne Maschinen, die die Produktion verbessern.",The company has modern machines that improve production.,L'entreprise dispose de machines modernes qui améliorent la production.,,,verfügen,verfügen über,to have at one's disposal = verfügen über + Accusative,"avoir à sa disposition, disposer de = verfügen über + Accusatif",to introduce a position of dominance → über + Acc.,pour introduire une position dominante → über + Acc.,to have at one's disposal = verfügen über + Accusative<br>to introduce a position of dominance → über + Acc.,"avoir à sa disposition, disposer de = verfügen über + Accusatif<br>pour introduire une position dominante → über + Acc."
660,24,,Er verfügt _____ viel Erfahrung in diesem Bereich.,über,Er verfügt über viel Erfahrung in diesem Bereich.,He has a lot of experience in this field.,Il possède une grande expérience dans ce domaine.,,,verfügen,verfügen über,to have at one's disposal = verfügen über + Accusative,"avoir à sa disposition, disposer de = verfügen über + Accusatif",to introduce a position of dominance → über + Acc.,pour introduire une position dominante → über + Acc.,to have at one's disposal = verfügen über + Accusative<br>to introduce a position of dominance → über + Acc.,"avoir à sa disposition, disposer de = verfügen über + Accusatif<br>pour introduire une position dominante → über + Acc."
661,24,,Die Schule verfügt _____ eine gut ausgestattete Bibliothek.,über,Die Schule verfügt über eine gut ausgestattete Bibliothek.,The school has a well-equipped library.,L'école possède une bibliothèque bien équipée.,,,verfügen,verfügen über,to have at one's disposal = verfügen über + Accusative,"avoir à sa disposition, disposer de = verfügen über + Accusatif",to introduce a position of dominance → über + Acc.,pour introduire une position dominante → über + Acc.,to have at one's disposal = verfügen über + Accusative<br>to introduce a position of dominance → über + Acc.,"avoir à sa disposition, disposer de = verfügen über + Accusatif<br>pour introduire une position dominante → über + Acc."
662,24,,Sie gibt viel Geld _____ Kleidung aus.,für,Sie gibt viel Geld für Kleidung aus.,She spends a lot of money on clothes.,Elle dépense beaucoup d'argent en vêtements.,,,ausgeben,ausgeben für,to spend on = ausgeben für + Accusative,"dépenser pour, dépenser en = ausgeben für + Accusatif","to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to spend on = ausgeben für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","dépenser pour, dépenser en = ausgeben für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
663,24,,Ich möchte nicht so viel _____ das Essen ausgeben.,für,Ich möchte nicht so viel für das Essen ausgeben.,I don't want to spend so much on food.,Je ne veux pas dépenser autant en nourriture.,,,ausgeben,ausgeben für,to spend on = ausgeben für + Accusative,"dépenser pour, dépenser en = ausgeben für + Accusatif","to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to spend on = ausgeben für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","dépenser pour, dépenser en = ausgeben für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
664,24,,Er gibt sein gesamtes Erspartes _____ die Renovierung aus.,für,Er gibt sein gesamtes Erspartes für die Renovierung aus.,He is spending all his savings on the renovation.,Il dépense toutes ses économies pour la rénovation.,,,ausgeben,ausgeben für,to spend on = ausgeben für + Accusative,"dépenser pour, dépenser en = ausgeben für + Accusatif","to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to spend on = ausgeben für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","dépenser pour, dépenser en = ausgeben für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
665,24,,Er verlangt Respekt _____ seinen Mitarbeitern.,von,Er verlangt Respekt von seinen Mitarbeitern.,He demands respect from his employees.,Il exige le respect de ses employés.,,,verlangen,verlangen von,to demand from = verlangen von + Dative,exiger de = verlangen von + Datif,to introduce an expectation or a demand → von + Dat.,pour introduire une attente ou une demande → von + Dat.,to demand from = verlangen von + Dative<br>to introduce an expectation or a demand → von + Dat.,exiger de = verlangen von + Datif<br>pour introduire une attente ou une demande → von + Dat.
666,24,,Ich verlange eine Erklärung _____ dir.,von,Ich verlange eine Erklärung von dir.,I demand an explanation from you.,J'exige une explication de votre part.,,,verlangen,verlangen von,to demand from = verlangen von + Dative,exiger de = verlangen von + Datif,to introduce an expectation or a demand → von + Dat.,pour introduire une attente ou une demande → von + Dat.,to demand from = verlangen von + Dative<br>to introduce an expectation or a demand → von + Dat.,exiger de = verlangen von + Datif<br>pour introduire une attente ou une demande → von + Dat.
667,24,,Sie verlangt _____ ihren Kindern mehr Verantwortungsbewusstsein.,von,Sie verlangt von ihren Kindern mehr Verantwortungsbewusstsein.,She demands a greater sense of responsibility from her children.,Elle exige de ses enfants un plus grand sens des responsabilités.,,,verlangen,verlangen von,to demand from = verlangen von + Dative,exiger de = verlangen von + Datif,to introduce an expectation or a demand → von + Dat.,pour introduire une attente ou une demande → von + Dat.,to demand from = verlangen von + Dative<br>to introduce an expectation or a demand → von + Dat.,exiger de = verlangen von + Datif<br>pour introduire une attente ou une demande → von + Dat.
668,24,,Der Bericht basiert _____ aktuellen Daten.,auf,Der Bericht basiert auf aktuellen Daten.,The report is based on current data.,Ce rapport est basé sur des données actuelles.,,,basieren,basieren auf,to be based on = basieren auf + Dative,être basé sur = basieren auf + Datif,to introduce a base or a foundation → auf + Dat.,pour introduire une base ou une fondation → auf + Dat.,to be based on = basieren auf + Dative<br>to introduce a base or a foundation → auf + Dat.,être basé sur = basieren auf + Datif<br>pour introduire une base ou une fondation → auf + Dat.
669,24,,Die Studie basiert _____ langjähriger Forschung.,auf,Die Studie basiert auf langjähriger Forschung.,The study is based on years of research.,Cette étude repose sur des années de recherche.,,,basieren,basieren auf,to be based on = basieren auf + Dative,être basé sur = basieren auf + Datif,to introduce a base or a foundation → auf + Dat.,pour introduire une base ou une fondation → auf + Dat.,to be based on = basieren auf + Dative<br>to introduce a base or a foundation → auf + Dat.,être basé sur = basieren auf + Datif<br>pour introduire une base ou une fondation → auf + Dat.
670,24,,Die Entscheidung basiert _____ einer gründlichen Analyse.,auf,Die Entscheidung basiert auf einer gründlichen Analyse.,The decision is based on a thorough analysis.,La décision est basée sur une analyse approfondie.,,,basieren,basieren auf,to be based on = basieren auf + Dative,être basé sur = basieren auf + Datif,to introduce a base or a foundation → auf + Dat.,pour introduire une base ou une fondation → auf + Dat.,to be based on = basieren auf + Dative<br>to introduce a base or a foundation → auf + Dat.,être basé sur = basieren auf + Datif<br>pour introduire une base ou une fondation → auf + Dat.
671,24,,Ich beziehe mich _____ Ihr Schreiben vom 1. März.,auf,Ich beziehe mich auf Ihr Schreiben vom 1. März.,I refer to your letter of March 1st.,Je fais référence à votre lettre du 1er mars.,,,beziehen,sich beziehen auf,to refer to = sich beziehen auf + Accusative,faire référence à = sich beziehen auf + Accusatif,to introduce a reliance or a reference → auf + Acc.,pour introduire une référence ou une mention → auf + Acc.,to refer to = sich beziehen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,faire référence à = sich beziehen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.
672,24,,Er bezog sich _____ ein früheres Gespräch.,auf,Er bezog sich auf ein früheres Gespräch.,He referred to an earlier conversation.,Il a fait référence à une conversation antérieure.,,,beziehen,sich beziehen auf,to refer to = sich beziehen auf + Accusative,faire référence à = sich beziehen auf + Accusatif,to introduce a reliance or a reference → auf + Acc.,pour introduire une référence ou une mention → auf + Acc.,to refer to = sich beziehen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,faire référence à = sich beziehen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.
673,24,,Sie bezog sich in ihrer Präsentation _____ die neuesten Forschungsergebnisse.,auf,Sie bezog sich in ihrer Präsentation auf die neuesten Forschungsergebnisse.,"In her presentation, she referred to the latest research findings.","Dans sa présentation, elle s’est référée aux dernières découvertes scientifiques.",,,beziehen,sich beziehen auf,to refer to = sich beziehen auf + Accusative,faire référence à = sich beziehen auf + Accusatif,to introduce a reliance or a reference → auf + Acc.,pour introduire une référence ou une mention → auf + Acc.,to refer to = sich beziehen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,faire référence à = sich beziehen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.
674,24,,Die Firma klagt _____ Umsatzrückgang.,über,Die Firma klagt über Umsatzrückgang.,The company complains about declining sales.,L'entreprise se plaint d'une baisse de ses ventes.,,,klagen,klagen über,to complain about = klagen über + Accusative,se plaindre de = klagen über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to complain about = klagen über + Accusative<br>to introduce an emotional theme → über + Acc.,se plaindre de = klagen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
675,24,,Er klagte _____ starke Schmerzen.,über,Er klagte über starke Schmerzen.,He complained about severe pain.,Il se plaignait de douleurs intenses.,,,klagen,klagen über,to complain about = klagen über + Accusative,se plaindre de = klagen über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to complain about = klagen über + Accusative<br>to introduce an emotional theme → über + Acc.,se plaindre de = klagen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
676,24,,Sie klagte _____ die schlechten Arbeitsbedingungen.,über,Sie klagte über die schlechten Arbeitsbedingungen.,She complained about the poor working conditions.,Elle s’est plainte des mauvaises conditions de travail.,,,klagen,klagen über,to complain about = klagen über + Accusative,se plaindre de = klagen über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to complain about = klagen über + Accusative<br>to introduce an emotional theme → über + Acc.,se plaindre de = klagen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
677,24,,Sie klagt _____ den Arbeitgeber.,gegen,Sie klagt gegen den Arbeitgeber.,She is suing the employer.,Elle poursuit son employeur en justice.,,,klagen,klagen gegen,to sue = klagen gegen + Accusative,intenter une action en justice = klagen gegen + Accusatif,to introduce a rejection or an opposition → gegen + Acc.,pour introduire un rejet ou une opposition → gegen + Acc.,to sue = klagen gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,intenter une action en justice = klagen gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.
678,24,,Er klagt _____ die Entscheidung.,gegen,Er klagt gegen die Entscheidung.,He is taking legal action against the decision.,Il intente une action en justice contre cette décision.,,,klagen,klagen gegen,to sue = klagen gegen + Accusative,intenter une action en justice = klagen gegen + Accusatif,to introduce a rejection or an opposition → gegen + Acc.,pour introduire un rejet ou une opposition → gegen + Acc.,to sue = klagen gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,intenter une action en justice = klagen gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.
679,24,,Die Anwohner klagen _____ das Bauprojekt.,gegen,Die Anwohner klagen gegen das Bauprojekt.,The residents are suing against the construction project.,Les riverains intentent une action contre le projet de construction.,,,klagen,klagen gegen,to sue = klagen gegen + Accusative,intenter une action en justice = klagen gegen + Accusatif,to introduce a rejection or an opposition → gegen + Acc.,pour introduire un rejet ou une opposition → gegen + Acc.,to sue = klagen gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,intenter une action en justice = klagen gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.
680,24,,Ich habe mich _____ die Nachricht erschreckt.,über,Ich habe mich über die Nachricht erschreckt.,I was shocked by the news.,J'ai été choqué par la nouvelle.,,,erschrecken,erschrecken über,to get frightened by = erschrecken über + Accusative,avoir peur de = erschrecken über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to get frightened by = erschrecken über + Accusative<br>to introduce an emotional theme → über + Acc.,avoir peur de = erschrecken über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
