Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,chatgpt
135,5,"Die Studie präsentierte überraschende Ergebnisse, _____ sich viele Experten wunderten.",worüber,"Die Studie präsentierte überraschende Ergebnisse, worüber sich viele Experten wunderten.","The study presented surprising results, which many experts were surprised about.","L’étude a présenté des résultats surprenants, ce dont beaucoup d’experts se sont étonnés.",to wonder about = sich wundern über + Accusative<br>to introduce an emotional theme → über + Acc.,"surprendre, s'interroger = sich wundern über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.",über from sich über etwas wundern (“to be surprised about something”).
136,5,"Die Regierung traf eine unerwartete Entscheidung, _____ die Medien tagelang berichteten.",worüber,"Die Regierung traf eine unerwartete Entscheidung, worüber die Medien tagelang berichteten.","The government made an unexpected decision, which the media reported on for days.","Le gouvernement a pris une décision inattendue, dont les médias ont parlé pendant des jours.",to report on (something objective) = berichten über + Accusative<br>to introduce a general subject → über + Acc.,faire rapport sur (quelque chose d'objectif) = berichten über + Accusatif<br>pour introduire un sujet général → über + Acc.,über from über etwas berichten (“to report on something”).
137,5,"Er äußerte eine sehr provokante Meinung, _____ sich viele Leser empörten.",worüber,"Er äußerte eine sehr provokante Meinung, worüber sich viele Leser empörten.","He expressed a very provocative opinion, which outraged many readers.","Il a exprimé une opinion très provocante, ce qui a indigné de nombreux lecteurs.","to be outraged by, be indignant about = sich empören über + Accusative",faire rapport sur (quelque chose d'objectif) = berichten über + Accusatif<br>pour introduire un sujet général → über + Acc.,über from sich über etwas empören (“to be outraged about something”).
138,130,"Die Regierung senkte die Steuern, _____ viele Unternehmen neue Investitionen planten.",wodurch,"Die Regierung senkte die Steuern, wodurch viele Unternehmen neue Investitionen planten.","The government lowered taxes, which led to many companies planning new investments.","Le gouvernement a réduit les impôts, ce qui a conduit à de nouveaux investissements de nombreuses entreprises.",to describe a mechanism explaining an outcome → durch + Acc.,pour décrire un mécanisme expliquant un résultat → durch + Acc.,durch expresses the means or cause producing the result.
139,5,"Er erklärte das Problem Schritt für Schritt, _____ auch komplizierte Zusammenhänge verständlich wurden.",wodurch,"Er erklärte das Problem Schritt für Schritt, wodurch auch komplizierte Zusammenhänge verständlich wurden.","He explained the problem step by step, which made even complex relationships understandable.","Il a expliqué le problème étape par étape, ce qui a rendu compréhensibles même des relations complexes.",to describe a mechanism explaining an outcome → durch + Acc.,pour décrire un mécanisme expliquant un résultat → durch + Acc.,durch indicates the process that leads to an effect.
140,5,"Die Firma führte neue Technologien ein, _____ die Produktionskosten deutlich sanken.",wodurch,"Die Firma führte neue Technologien ein, wodurch die Produktionskosten deutlich sanken.","The company introduced new technologies, which caused production costs to drop significantly.","L’entreprise a introduit de nouvelles technologies, ce qui a fait baisser nettement les coûts de production.",to describe a mechanism explaining an outcome → durch + Acc.,pour décrire un mécanisme expliquant un résultat → durch + Acc.,durch marks the action producing the outcome.
141,5,"Er änderte seine Argumentation leicht, _____ seine Position überzeugender wirkte.",wodurch,"Er änderte seine Argumentation leicht, wodurch seine Position überzeugender wirkte.","He slightly changed his argumentation, thereby making his position more convincing.","Il a légèrement modifié son argumentation, ce qui a rendu sa position plus convaincante.",to describe a mechanism explaining an outcome → durch + Acc.,pour décrire un mécanisme expliquant un résultat → durch + Acc.,durch shows the mechanism through which something happens.
142,5,"Er übernahm zusätzliche Verantwortung im Team, _____ ihm später gedankt wurde.",wofür,"Er übernahm zusätzliche Verantwortung im Team, wofür ihm später gedankt wurde.","He took on additional responsibility in the team, for which he was later thanked.","Il a assumé des responsabilités supplémentaires dans l’équipe, pour quoi on l’a remercié plus tard.","to thank for = danken für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","remercier pour = danken für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc.",für from jemandem für etwas danken (“to thank someone for something”).
143,5,"Er erkannte den Fehler sofort, _____ man seine große Erfahrung sehen konnte.",woran,"Er erkannte den Fehler sofort, woran man seine große Erfahrung sehen konnte.","He immediately recognized the mistake, from which one could see his great experience.","Il a immédiatement reconnu l’erreur, ce à quoi on pouvait voir sa grande expérience.",to indicate the characteristic by which something is recognized or noticed → an + Dat.,pour indiquer la caractéristique par laquelle quelque chose est reconnu ou remarqué → an + Dat.,an from etwas an etwas erkennen / sehen (“to recognize something by something”).
144,5,"Sie hielt eine sehr überzeugende Rede, _____ sich viele Zuhörer noch lange erinnerten.",woran,"Sie hielt eine sehr überzeugende Rede, woran sich viele Zuhörer noch lange erinnerten.","She gave a very convincing speech, which many listeners remembered for a long time.","Elle a prononcé un discours très convaincant, dont beaucoup d’auditeurs se sont souvenus longtemps.","to recall, to remember = sich erinnern an + Accusative<br>to introduce the subject of a thought, with mental focus → an + Acc.","se rappeler, se souvenir = sich erinnern an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an + Acc.",an from sich an etwas erinnern (“to remember something”).
145,5,"Er machte mehrere kleine Fehler, _____ man merkte, dass er unter Druck stand.",woran,"Er machte mehrere kleine Fehler, woran man merkte, dass er unter Druck stand.","He made several small mistakes, from which one could tell he was under pressure.","Il a fait plusieurs petites erreurs, à quoi on voyait qu’il était sous pression.",to indicate the characteristic by which something is recognized or noticed → an + Dat.,pour indiquer la caractéristique par laquelle quelque chose est reconnu ou remarqué → an + Dat.,an from etwas an etwas merken (“to notice something from something”).
146,5,"Sie beschrieb den Plan sehr genau, _____ sich später alle orientierten.",woran,"Sie beschrieb den Plan sehr genau, woran sich später alle orientierten.","She described the plan very precisely, by which everyone later oriented themselves.","Elle a décrit le plan très précisément, ce à quoi tout le monde s’est ensuite référé.",to orient oneself to = sich orientieren an + Dative<br>to introduce a point of reference → an + Dat.,to orient oneself to = sich orientieren an + Dative<br>to introduce a point of reference → an + Dat.,an from sich an etwas orientieren (“to orient oneself by something”).
147,5,"Die Verhandlungen scheiterten schließlich, _____ vor allem mangelndes Vertrauen schuld war.",woran,"Die Verhandlungen scheiterten schließlich, woran vor allem mangelndes Vertrauen schuld war.","The negotiations ultimately failed, which was mainly due to a lack of trust.","Les négociations ont finalement échoué, ce à quoi le manque de confiance était surtout responsable.",to be blamed for = schuld an sein + Dative<br>to introduce a cause → an + Dat.,"être blâmé pour, être responsable pour = schuld an sein + Datif<br>pour introduire une cause → an + Dat.",an from an etwas schuld sein (“to be responsible for something”).
148,5,"Er setzte sich jahrelang für Reformen ein, _____ ihn viele Kollegen bewunderten.",wofür,"Er setzte sich jahrelang für Reformen ein, wofür ihn viele Kollegen bewunderten.","He advocated reforms for years, for which many colleagues admired him.","Il s’est engagé pendant des années pour des réformes, pour quoi beaucoup de collègues l’admiraient.",general translation of <i>for</i> → für + Acc.,traduction générale de <i>pour</i> → für + Acc.,für from jemanden für etwas bewundern (“to admire someone for something”).
149,5,"Die Organisation spendete große Summen an Hilfsprojekte, _____ sie international Anerkennung erhielt.",wofür,"Die Organisation spendete große Summen an Hilfsprojekte, wofür sie international Anerkennung erhielt.","The organization donated large sums to aid projects, for which it received international recognition.","L’organisation a fait d’importants dons à des projets humanitaires, pour quoi elle a reçu une reconnaissance internationale.",general translation of <i>for</i> → für + Acc.,traduction générale de <i>pour</i> → für + Acc.,für from Anerkennung für etwas erhalten (“to receive recognition for something”).
150,5,"Sie entwickelte eine innovative Methode, _____ sie mehrere Preise erhielt.",wofür,"Sie entwickelte eine innovative Methode, wofür sie mehrere Preise erhielt.","She developed an innovative method, for which she received several awards.","Elle a développé une méthode innovante, pour quoi elle a reçu plusieurs prix.",general translation of <i>for</i> → für + Acc.,traduction générale de <i>pour</i> → für + Acc.,für from einen Preis für etwas erhalten (“to receive an award for something”).
151,5,"Der Wissenschaftler veröffentlichte eine kontroverse Studie, _____ er sowohl Kritik als auch Lob bekam.",wofür,"Der Wissenschaftler veröffentlichte eine kontroverse Studie, wofür er sowohl Kritik als auch Lob bekam.","The scientist published a controversial study, for which he received both criticism and praise.","Le scientifique a publié une étude controversée, pour quoi il a reçu à la fois des critiques et des éloges.",general translation of <i>for</i> → für + Acc.,traduction générale de <i>pour</i> → für + Acc.,"für expresses the reason for praise, blame, or recognition."
152,100,"Ich habe ihn um Hilfe gebeten, und er hat mir _____ sofort geholfen.",darum,"Ich habe ihn um Hilfe gebeten, und er hat mir darum sofort geholfen.","I asked him for help, and he helped me with it immediately.",Je lui ai demandé de l’aide et il m’a pour cela aidé immédiatement.,"to ask for, to plead for = bitten um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.","demander, plaider pour = bitten um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.",um from jemanden um etwas bitten (“to ask someone for something”).
153,100,"Die Schätzung war 1000 Euro, aber die tatsächlichen Kosten liegen weit _____.",daneben,"Die Schätzung war 1000 Euro, aber die tatsächlichen Kosten liegen weit daneben.","The estimate was €1000, but the real costs are far off that.","L’estimation était de 1000 €, mais les coûts réels sont très à côté de cela.",general translation of <i>next to</i> to describe a position → neben + Dat.,traduction générale de <i>à côté de</i> pour décrire une position → neben + Dat.,neben indicates deviation from a reference value.
154,100,"Er wollte den Ball ins Tor schießen, aber er schoss knapp _____.",daneben,"Er wollte den Ball ins Tor schießen, aber er schoss knapp daneben.","He wanted to shoot the ball into the goal, but he shot just wide of it.","Il voulait tirer le ballon dans le but, mais il a tiré juste à côté.",general translation of <i>next to</i> to describe a position → neben + Dat.,traduction générale de <i>à côté de</i> pour décrire une position → neben + Dat.,neben marks position next to / missing the target.
155,100,"Wir haben sie um Rat gefragt, und sie hat sich lange _____ Gedanken gemacht.",darum,"Wir haben sie um Rat gefragt, und sie hat sich lange darum Gedanken gemacht.","We asked her for advice, and she thought a lot about it.",Nous lui avons demandé conseil et elle y a longuement réfléchi.,,,um reflects jemanden um Rat fragen (“to ask someone for advice”).
156,100,"Er hat mir von seiner Reise erzählt, und ich habe viel _____ gelernt.",davon,"Er hat mir von seiner Reise erzählt, und ich habe viel davon gelernt.","He told me about his trip, and I learned a lot from it.",Il m’a parlé de son voyage et j’en ai beaucoup appris.,,,von appears in von etwas lernen / hören / erzählen (“about / from something”).
157,100,Viele Menschen fürchten eine Wirtschaftskrise und haben große Sorge _____.,davor,Viele Menschen fürchten eine Wirtschaftskrise und haben große Sorge davor.,Many people fear an economic crisis and are very worried about it.,Beaucoup de gens craignent une crise économique et en ont grande inquiétude.,,,vor appears with Sorge vor etwas haben (“to fear something”).
158,100,"Er hat die Lösung fast gefunden, aber er liegt _____.",daneben,"Er hat die Lösung fast gefunden, aber er liegt daneben.","He almost found the solution, but he is off / mistaken about it.","Il a presque trouvé la solution, mais il se trompe là-dessus.",,,neben appears in neben etwas liegen (“to be wrong about something”).
159,100,"Sie hat versucht, den Ton zu treffen, aber sie lag _____.",daneben,"Sie hat versucht, den Ton zu treffen, aber sie lag daneben.","She tried to hit the note, but she was off.","Elle a essayé d’atteindre la note, mais elle était à côté.",,,neben expresses missing the correct point or value.
160,100,"Der Druck im Büro ist sehr hoch, und viele Mitarbeiter leiden _____.",darunter,"Der Druck im Büro ist sehr hoch, und viele Mitarbeiter leiden darunter.","The pressure in the office is very high, and many employees suffer from it.",La pression au bureau est très forte et beaucoup d’employés en souffrent.,to suffer from (circumstances) = leiden unter + Dative<br>to introduce a position of weakness → unter + Dat.,souffrir de (circonstances) = leiden unter + Datif<br>pour introduire une position de faiblesse → unter + Dat.,unter expresses something causing distress or burden.
161,100,"Das Paket sollte fünf Kilo wiegen, aber es bleibt deutlich _____.",darunter,"Das Paket sollte fünf Kilo wiegen, aber es bleibt deutlich darunter.","The package should weigh five kilos, but it stays clearly under that.","Le colis devrait peser cinq kilos, mais il reste clairement en dessous de cela.","to characterize and compare a quantity as being <i>less than</i>, <i>fewer than</i>, <i>below</i> another → unter + Dat.",pour caractériser et comparer une quantité comme étant numériquement <i>moins que</i> une autre → unter + Dat.,unter marks a quantity below a stated limit.
162,100,"Wir haben viele Fotos gemacht, und ein sehr schönes Bild ist _____.",darunter,"Wir haben viele Fotos gemacht, und ein sehr schönes Bild ist darunter.","We took many photos, and a very nice one is among them.",Nous avons pris beaucoup de photos et une très belle image est parmi elles.,translation of <i>among</i> to describe an element as part of a group → unter + Dat.,traduction de <i>parmi</i> pour décrire un élément comme faisant partie d'un groupe → unter + Dat.,unter refers to one element within a collection.
163,100,"Im Bericht gibt es mehrere Fehler, und ein Zahlendreher ist auch _____.",darunter,"Im Bericht gibt es mehrere Fehler, und ein Zahlendreher ist auch darunter.","There are several mistakes in the report, and a transposed number is among them.",Il y a plusieurs erreurs dans le rapport et une inversion de chiffres est parmi elles.,translation of <i>among</i> to describe an element as part of a group → unter + Dat.,traduction de <i>parmi</i> pour décrire un élément comme faisant partie d'un groupe → unter + Dat.,unter shows something included within a group.
164,110,"Er erinnert sich _____, wie wir uns kennengelernt haben.",daran,"Er erinnert sich daran, wie wir uns kennengelernt haben.",He remembers how we met.,Il se souvient comment on s'est rencontrés.,"to recall, to remember = sich erinnern an + Accusative<br>to introduce the subject of a thought, with mental focus → an + Acc.","se rappeler, se souvenir = sich erinnern an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an + Acc.",an appears with sich erinnern an etwas (“to remember something”).
165,110,"Denk bitte _____, die Tür abzuschließen.",daran,"Denk bitte daran, die Tür abzuschließen.",Please remember to lock the door.,Pense à fermer la porte.,"to think of = denken an + Accusative<br>to introduce the subject of a thought, with mental focus → an + Acc.","penser à = denken an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an + Acc.",an is used in denken an etwas in the sense of remembering something.
166,110,"Viele Menschen sehen ihre Aufgabe _____, anderen zu helfen.",darin,"Viele Menschen sehen ihre Aufgabe darin, anderen zu helfen.",Many people see their task in helping others.,Beaucoup de gens voient leur mission dans le fait d’aider les autres.,"to indicate that an object is located <i>in</i>, <i>inside</i> another → in + Dat.","pour indiquer qu'un objet est situé <i>dans</i>, <i>à l'intérieur de</i> un autre → in + Dat.",in is used in seine Aufgabe in etwas sehen (“to see one’s task in something”).
167,110,"Der Direktor sprach _____, dass das Unternehmen neue Märkte erschließen müsse.",davon,"Der Direktor sprach davon, dass das Unternehmen neue Märkte erschließen müsse.",The director spoke about the fact that the company must enter new markets.,Le directeur a parlé du fait que l’entreprise devait conquérir de nouveaux marchés.,,,von from von etwas sprechen (“to speak about something”).
168,110,"Man erkennt oft daran, dass jemand nervös ist, daran, dass er ständig _____ spricht, Fehler zu machen.",davon,"Man erkennt oft daran, dass jemand nervös ist, daran, dass er ständig davon spricht, Fehler zu machen.",You can often tell someone is nervous by the fact that they keep talking about making mistakes.,On voit souvent qu’une personne est nerveuse au fait qu’ elle parle sans cesse de faire des erreurs.,,,von from von etwas sprechen referring to the topic mentioned.
169,120,"Der Professor wollte wissen, _____ sich diese beiden Methoden unterscheiden.",wodurch,"Der Professor wollte wissen, wodurch sich diese beiden Methoden unterscheiden.",The professor wanted to know by what these two methods differ.,Le professeur voulait savoir par quoi ces deux méthodes se distinguent.,"through, across = durch + Accusative","à travers, par = durch + Accusatif",durch from sich durch etwas unterscheiden (“to differ by something”).
170,120,_____ hattest du die größten Schwierigkeiten?,Wobei,Wobei hattest du die größten Schwierigkeiten?,What did you have the greatest difficulties with?,Avec quoi as-tu eu le plus de difficultés ?,"the difficult with, the difficulty in  = die Schwierigkeit bei + Dative<br>to introduce a context or a situation → bei + Dat.",la difficulté dans = die Schwierigkeit bei + Datif<br>pour introduire un contexte ou une situation → bei + Dat.,bei from bei etwas Schwierigkeiten haben (“to have difficulties with something”).
171,120,"Sie fragte mich, _____ ich meine Entscheidung begründet habe.",womit,"Sie fragte mich, womit ich meine Entscheidung begründet habe.",She asked me with what I justified my decision.,Elle m’a demandé avec quoi j’avais justifié ma décision.,general translation of <i>with</i> → mit + Dat.,traduction générale de <i>avec</i> → mit + Dat.,mit from etwas mit etwas begründen (“to justify something with something”).
172,120,Woraus hast du diese Schlussfolgerung gezogen?,woraus,Woraus hast du diese Schlussfolgerung gezogen?,What did you draw this conclusion from?,De quoi as-tu tiré cette conclusion ?,,,aus from aus etwas eine Schlussfolgerung ziehen (“to draw a conclusion from something”).
173,120,"Der Arzt wollte wissen, _____ der Patient Schmerzen hat.",wogegen,"Der Arzt wollte wissen, wogegen der Patient Schmerzen hat.",The doctor wanted to know what the patient has pain from / against.,Le médecin voulait savoir contre quoi le patient a des douleurs.,,,gegen appears in Schmerzen gegen etwas haben (pain against something).
174,120,"Sie wollte wissen, _____ ich in meinem Vortrag gesprochen habe.",wovon,"Sie wollte wissen, wovon ich in meinem Vortrag gesprochen habe.",She wanted to know what I talked about in my presentation.,Elle voulait savoir de quoi j’avais parlé dans mon exposé.,,,von from von etwas sprechen (“to talk about something”).
175,120,"Der Professor fragte die Studenten, _____ sie diese Methode anwenden würden.",wozu,"Der Professor fragte die Studenten, wozu sie diese Methode anwenden würden.",The professor asked the students what they would use this method for.,Le professeur a demandé aux étudiants à quoi ils utiliseraient cette méthode.,,,zu expresses purpose or intended function.
176,120,Wozu brauchst du all diese Daten in deiner Analyse?,wozu,Wozu brauchst du all diese Daten in deiner Analyse?,What do you need all this data for in your analysis?,À quoi as-tu besoin de toutes ces données dans ton analyse ?,,,zu from etwas zu etwas brauchen (“to need something for something”).
177,130,"Die Wissenschaftler entdeckten neue Daten, _____ die bisherige Theorie infrage gestellt wurde.",wodurch,"Die Wissenschaftler entdeckten neue Daten, wodurch die bisherige Theorie infrage gestellt wurde.","The scientists discovered new data, which put the previous theory into question.","Les scientifiques ont découvert de nouvelles données, ce qui a remis en question la théorie précédente.",to describe a mechanism explaining an outcome → durch + Acc.,pour décrire un mécanisme expliquant un résultat → durch + Acc.,durch expresses the factor that triggers a consequence.
178,130,"Er hat seine Stelle gekündigt, _____ viele Kollegen überrascht waren.",wobei,"Er hat seine Stelle gekündigt, wobei viele Kollegen überrascht waren.","He resigned from his position, which surprised many colleagues.","Il a démissionné de son poste, ce qui a surpris beaucoup de collègues.","to describe the context, setting, or condition → bei + Dat.","pour décrire le contexte, le cadre ou la condition → bei + Dat.",bei refers to the circumstances accompanying the situation.
179,130,"Die Firma hat ihre Strategie geändert, _____ sie sich stärker auf internationale Märkte konzentriert.",wobei,"Die Firma hat ihre Strategie geändert, wobei sie sich stärker auf internationale Märkte konzentriert.","The company changed its strategy, whereby it focuses more on international markets.","L’entreprise a changé de stratégie, ce qui fait qu’ elle se concentre davantage sur les marchés internationaux.","to describe the context, setting, or condition → bei + Dat.","pour décrire le contexte, le cadre ou la condition → bei + Dat.",bei indicates something happening in the course of the change.
180,130,"Er erklärte den Plan sehr detailliert, _____ einige Punkte noch unklar blieben.",wobei,"Er erklärte den Plan sehr detailliert, wobei einige Punkte noch unklar blieben.","He explained the plan in great detail, although some points remained unclear.","Il a expliqué le plan très en détail, bien que certains points soient restés flous.","to describe the context, setting, or condition → bei + Dat.","pour décrire le contexte, le cadre ou la condition → bei + Dat.",bei introduces an accompanying or contrasting circumstance.
181,130,"Sie hat das Projekt erfolgreich abgeschlossen, _____ sie unter erheblichem Zeitdruck stand.",wobei,"Sie hat das Projekt erfolgreich abgeschlossen, wobei sie unter erheblichem Zeitdruck stand.","She successfully completed the project, while being under considerable time pressure.","Elle a mené le projet à bien, tout en étant sous une forte pression temporelle.","to describe the context, setting, or condition → bei + Dat.","pour décrire le contexte, le cadre ou la condition → bei + Dat.",bei expresses a simultaneous condition or context.
182,130,"Er stellte eine sehr kritische Frage, _____ er die Diskussion sofort in eine andere Richtung lenkte.",womit,"Er stellte eine sehr kritische Frage, womit er die Diskussion sofort in eine andere Richtung lenkte.","He asked a very critical question, which immediately steered the discussion in another direction.","Il a posé une question très critique, ce qui a immédiatement orienté la discussion dans une autre direction.",general translation of <i>with</i> → mit + Dat.,traduction générale de <i>avec</i> → mit + Dat.,mit refers to the means through which the effect occurred.
183,130,"Der Wissenschaftler veröffentlichte neue Daten, _____ er seine These überzeugend stützte.",womit,"Der Wissenschaftler veröffentlichte neue Daten, womit er seine These überzeugend stützte.","The scientist published new data, thereby convincingly supporting his thesis.","Le scientifique a publié de nouvelles données, ce qui a solidement étayé sa thèse.",general translation of <i>with</i> → mit + Dat.,traduction générale de <i>avec</i> → mit + Dat.,mit indicates the instrument or means leading to the outcome.
184,130,"Er machte einen überraschenden Vorschlag, _____ eine lange Diskussion folgte.",worauf,"Er machte einen überraschenden Vorschlag, worauf eine lange Diskussion folgte.","He made a surprising proposal, after which a long discussion followed.","Il a fait une proposition surprenante, à la suite de quoi une longue discussion s’est engagée.","to introduce a reaction to a signal, an information or a stimuli → auf + Acc.","pour introduire une réaction à un signal, une information ou un stimuli → auf + Acc.",auf marks the event triggering a reaction or consequence.
185,130,"Sie fragte mich, _____ ich mich während des Projekts am meisten verbessert habe.",wobei,"Sie fragte mich, wobei ich mich während des Projekts am meisten verbessert habe.",She asked me in what I improved the most during the project.,Elle m’a demandé dans quel domaine je m’étais le plus amélioré pendant le projet.,"to describe the context, setting, or condition → bei + Dat.","pour décrire le contexte, le cadre ou la condition → bei + Dat.",bei expresses something happening during an activity.
186,130,"Die Firma änderte plötzlich ihre Strategie, _____ viele Investoren unzufrieden waren.",womit,"Die Firma änderte plötzlich ihre Strategie, womit viele Investoren unzufrieden waren.","The company suddenly changed its strategy, which many investors were unhappy with.","L’entreprise a soudain changé de stratégie, ce dont beaucoup d’investisseurs n’étaient pas satisfaits.",,,mit reflects reactions toward the situation.
187,130,"Sie versprach, die Situation zu klären, _____ sie viele Mitarbeiter beruhigte.",womit,"Sie versprach, die Situation zu klären, womit sie viele Mitarbeiter beruhigte.","She promised to clarify the situation, which reassured many employees.","Elle a promis de clarifier la situation, ce qui a rassuré beaucoup d’employés.",,,mit expresses the action producing the result.
188,140,"Hierbei handelt es sich um ein Missverständnis, das leicht geklärt werden kann.",hierbei,"Hierbei handelt es sich um ein Missverständnis, das leicht geklärt werden kann.",This is a misunderstanding that can easily be clarified.,Il s’agit ici d’un malentendu qui peut être facilement clarifié.,,,hierbei refers to the situation just mentioned.
189,140,Der Bericht enthält mehrere Annahmen; _____ ist jedoch Vorsicht geboten.,hierbei,Der Bericht enthält mehrere Annahmen; hierbei ist jedoch Vorsicht geboten.,The report contains several assumptions; in this regard caution is required.,"Le rapport contient plusieurs hypothèses ; à cet égard, la prudence est nécessaire.",,,hierbei means in this context / in this matter.
190,140,Hierbei möchte ich besonders auf die langfristigen Risiken hinweisen.,hierbei,Hierbei möchte ich besonders auf die langfristigen Risiken hinweisen.,"At this point, I would like to point out the long-term risks.","À ce propos, je voudrais souligner les risques à long terme.",,,hierbei introduces a remark connected to the current topic.
191,140,"Die Studie untersucht verschiedene Faktoren, wobei _____ insbesondere soziale Aspekte berücksichtigt werden.",hierbei,"Die Studie untersucht verschiedene Faktoren, wobei hierbei insbesondere soziale Aspekte berücksichtigt werden.","The study examines several factors, in this process particularly social aspects are considered.","L’étude examine plusieurs facteurs, dans ce cadre, les aspects sociaux sont particulièrement pris en compte.",,,hierbei refers to the process just described.
192,140,"Hierbei stellt sich die entscheidende Frage, wie nachhaltig diese Lösung tatsächlich ist.",hierbei,"Hierbei stellt sich die entscheidende Frage, wie nachhaltig diese Lösung tatsächlich ist.","At this point, the crucial question arises of how sustainable this solution really is.","À ce stade, la question décisive se pose de savoir dans quelle mesure cette solution est réellement durable.",,,hierbei marks the specific point in the argument being discussed.
193,140,Die Analyse zeigt deutliche Schwächen im Modell; _____ gibt es mehrere mögliche Erklärungen.,hierfür,Die Analyse zeigt deutliche Schwächen im Modell; hierfür gibt es mehrere mögliche Erklärungen.,The analysis shows clear weaknesses in the model; for this there are several possible explanations.,"L’analyse révèle des faiblesses évidentes dans le modèle ; pour cela, il existe plusieurs explications possibles.",,,hierfür refers to the specific point just mentioned.
194,140,"Wir planen, das System zu modernisieren, benötigen _____ jedoch zusätzliche Mittel.",hierfür,"Wir planen, das System zu modernisieren, benötigen hierfür jedoch zusätzliche Mittel.",We plan to modernize the system but need additional funds for this.,"Nous prévoyons de moderniser le système, mais nous avons besoin pour cela de moyens supplémentaires.",,,hierfür indicates the purpose related to the current plan.
195,140,Die Kommission hat eine neue Richtlinie vorgeschlagen; _____ soll nun eine Arbeitsgruppe eingesetzt werden.,hierfür,Die Kommission hat eine neue Richtlinie vorgeschlagen; hierfür soll nun eine Arbeitsgruppe eingesetzt werden.,The commission proposed a new guideline; for this a working group will now be appointed.,"La commission a proposé une nouvelle directive ; pour cela, un groupe de travail doit maintenant être constitué.",,,hierfür refers to the measure just mentioned.
196,140,Der Forscher entwickelte eine neue Methode und erhielt _____ internationale Anerkennung.,hierfür,Der Forscher entwickelte eine neue Methode und erhielt hierfür internationale Anerkennung.,The researcher developed a new method and received international recognition for this.,Le chercheur a développé une nouvelle méthode et a reçu pour cela une reconnaissance internationale.,,,hierfür marks the reason for recognition.
197,140,Viele Unternehmen investieren derzeit stark in Digitalisierung; _____ werden umfangreiche Ressourcen benötigt.,hierfür,Viele Unternehmen investieren derzeit stark in Digitalisierung; hierfür werden umfangreiche Ressourcen benötigt.,Many companies are currently investing heavily in digitalization; for this extensive resources are required.,"De nombreuses entreprises investissent actuellement beaucoup dans la numérisation ; pour cela, des ressources importantes sont nécessaires.",,,hierfür expresses the goal or intended purpose of the action.
198,140,Der Bericht enthält mehrere kritische Punkte; _____ möchte ich einige Anmerkungen machen.,hierzu,Der Bericht enthält mehrere kritische Punkte; hierzu möchte ich einige Anmerkungen machen.,"The report contains several critical points; regarding this, I would like to make a few remarks.","Le rapport contient plusieurs points critiques ; à ce sujet, je voudrais faire quelques remarques.",,,hierzu refers to the topic just mentioned.
199,140,Die Studie stellt eine neue Hypothese auf; _____ fehlen jedoch noch ausreichende Daten.,hierzu,Die Studie stellt eine neue Hypothese auf; hierzu fehlen jedoch noch ausreichende Daten.,"The study proposes a new hypothesis; for this, however, sufficient data are still lacking.","L’étude propose une nouvelle hypothèse ; à ce sujet, il manque toutefois encore des données suffisantes.",,,hierzu points to the matter currently being discussed.
200,140,Wir haben mehrere Lösungsansätze entwickelt; _____ werden wir später noch detaillierte Beispiele präsentieren.,hierzu,Wir haben mehrere Lösungsansätze entwickelt; hierzu werden wir später noch detaillierte Beispiele präsentieren.,"We have developed several approaches to solutions; on this, we will present detailed examples later.","Nous avons développé plusieurs pistes de solution ; à ce propos, nous présenterons plus tard des exemples détaillés.",,,hierzu introduces additional information about the topic.
201,140,Die Kommission wird nächste Woche über den Vorschlag beraten; _____ wurde bereits ein Entwurf vorbereitet.,hierzu,Die Kommission wird nächste Woche über den Vorschlag beraten; hierzu wurde bereits ein Entwurf vorbereitet.,"The commission will deliberate on the proposal next week; for this, a draft has already been prepared.","La commission délibérera sur la proposition la semaine prochaine ; à cet effet, un projet a déjà été préparé.",,,hierzu refers to the planned action just mentioned.
202,140,Es gibt mehrere mögliche Erklärungen für dieses Phänomen; _____ zählen sowohl wirtschaftliche als auch politische Faktoren.,hierzu,Es gibt mehrere mögliche Erklärungen für dieses Phänomen; hierzu zählen sowohl wirtschaftliche als auch politische Faktoren.,There are several possible explanations for this phenomenon; among these are both economic and political factors.,Il existe plusieurs explications possibles à ce phénomène ; parmi celles-ci figurent des facteurs économiques et politiques.,,,hierzu introduces elements belonging to the matter at hand.
203,140,Die Regierung senkte die Steuern; _____ sollten neue Investitionen angeregt werden.,hierdurch,Die Regierung senkte die Steuern; hierdurch sollten neue Investitionen angeregt werden.,"The government lowered taxes; through this, new investments were meant to be stimulated.","Le gouvernement a réduit les impôts ; par cela, de nouveaux investissements devaient être encouragés.",,,hierdurch indicates the means producing the intended effect.
