Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,case_english,case_french
410,10,Der Künstler ist für Werke _____ hoher Qualität bekannt.,von,Der Künstler ist für Werke von hoher Qualität bekannt.,The artist is known for works of high quality.,L'artiste est connu pour ses œuvres de grande qualité.,to indicate a quality → von + Dat.,pour indiquer une qualité → von + Dat.,,
411,10,Sie steht mit ihrem Lied _____ Platz eins der Charts.,auf,Sie steht mit ihrem Lied auf Platz eins der Charts.,Her song is at number one in the charts.,Sa chanson est numéro un dans les charts.,to indicate a place in a ranking → auf + Dat.,pour indiquer une place dans un classement → auf + Dat.,,
412,10,Unsere Mannschaft ist _____ Platz drei der Tabelle.,auf,Unsere Mannschaft ist auf Platz drei der Tabelle.,Our team is in third place in the league table.,Notre équipe est à la troisième place du classement.,to indicate a place in a ranking → auf + Dat.,pour indiquer une place dans un classement → auf + Dat.,,
413,10,Der Film landete sofort _____ Platz zwei.,auf,Der Film landete sofort auf Platz zwei.,The movie immediately landed in second place.,Le film a immédiatement atterri à la deuxième place.,to indicate a place in a ranking → auf + Dat.,pour indiquer une place dans un classement → auf + Dat.,,
414,10,"Er kämpft, um wieder _____ Platz eins zu kommen.",auf,"Er kämpft, um wieder auf Platz eins zu kommen.",He's fighting to get back to first place.,Il se bat pour revenir à la première place.,to indicate a place in a ranking → auf + Dat.,pour indiquer une place dans un classement → auf + Dat.,,
415,10,_____ Platz fünf ist ein Überraschungskandidat.,Auf,Auf Platz fünf ist ein Überraschungskandidat.,In fifth place is a surprise candidate.,À la cinquième place se trouve un candidat surprise.,to indicate a place in a ranking → auf + Dat.,pour indiquer une place dans un classement → auf + Dat.,,
416,10,Wolken zogen schnell _____ den Himmel.,über,Wolken zogen schnell über den Himmel.,Clouds moved quickly across the sky.,Les nuages ​​se déplaçaient rapidement dans le ciel.,to indicate a movement parallel to a surface – <i>across</i> → über + Acc.,pour indiquer un mouvement parallèle à une surface – <i>à travers</i> → über + Acc.,,
417,10,Ein Vogel flog _____ das Feld.,über,Ein Vogel flog über das Feld.,A bird flew across the field.,Un oiseau a volé à travers le champ.,to indicate a movement parallel to a surface – <i>across</i> → über + Acc.,pour indiquer un mouvement parallèle à une surface – <i>à travers</i> → über + Acc.,,
418,10,Die Kinder rannten lachend _____ die Wiese.,über,Die Kinder rannten lachend über die Wiese.,The children ran laughing across the meadow.,Les enfants couraient en riant à travers le pré.,to indicate a movement parallel to a surface – <i>across</i> → über + Acc.,pour indiquer un mouvement parallèle à une surface – <i>à travers</i> → über + Acc.,,
419,10,Der Wind wehte stark _____ das Land.,über,Der Wind wehte stark über das Land.,The wind blew strongly across the land.,Le vent soufflait fort sur le pays.,to indicate a movement parallel to a surface – <i>across</i> → über + Acc.,pour indiquer un mouvement parallèle à une surface – <i>à travers</i> → über + Acc.,,
420,10,Ein Schatten glitt lautlos _____ den Boden.,über,Ein Schatten glitt lautlos über den Boden.,A shadow silently glided across the ground.,Une ombre glissait silencieusement sur le sol.,to indicate a movement parallel to a surface – <i>across</i> → über + Acc.,pour indiquer un mouvement parallèle à une surface – <i>à travers</i> → über + Acc.,,
421,10,Der Größe nach kommt Dresden _____ Leipzig.,vor,Der Größe nach kommt Dresden vor Leipzig.,"In terms of size, Dresden comes before Leipzig.","En termes de taille, Dresde devance Leipzig.",to indicate a relative importance → vor + Dat.,pour indiquer une importance relative → vor + Dat.,,
422,10,Nach Erfahrung steht sie _____ allen anderen Bewerbern.,vor,Nach Erfahrung steht sie vor allen anderen Bewerbern.,"In terms of experience, she ranks above all other applicants.","En termes d’expérience, elle se classe au-dessus de tous les autres candidats.",to indicate a relative importance → vor + Dat.,pour indiquer une importance relative → vor + Dat.,,
423,10,_____ allem steht die Sicherheit der Gäste.,Vor,Vor allem steht die Sicherheit der Gäste.,"Above all, the guests' safety comes first.",La sécurité des invités est notre priorité absolue.,to indicate a relative importance → vor + Dat.,pour indiquer une importance relative → vor + Dat.,,
424,10,Qualität geht bei uns _____ Quantität.,vor,Qualität geht bei uns vor Quantität.,"For us, quality comes before quantity.","Pour nous, la qualité passe avant la quantité.",to indicate a relative importance → vor + Dat.,pour indiquer une importance relative → vor + Dat.,,
425,10,Er stellt seine Arbeit immer _____ seine Freizeit.,vor,Er stellt seine Arbeit immer vor seine Freizeit.,He always puts his work before his free time.,Il fait toujours passer son travail avant son temps libre.,to indicate a relative importance → vor + Dat.,pour indiquer une importance relative → vor + Dat.,,
426,10,Das Auto fuhr _____ einen Baum.,gegen,Das Auto fuhr gegen einen Baum.,The car crashed into a tree.,La voiture a percuté un arbre.,to indicate a direction against an object → gegen + Acc.,pour indiquer une direction contre un objet → gegen + Acc.,,
427,10,Stell die Leiter _____ die Wand.,gegen,Stell die Leiter gegen die Wand.,Put the ladder against the wall.,Placez l'échelle contre le mur.,to indicate a direction against an object → gegen + Acc.,pour indiquer une direction contre un objet → gegen + Acc.,,
428,10,Der Ball fliegt _____ die Wand.,gegen,Der Ball fliegt gegen die Wand.,The ball flies against the wall.,La balle vole contre le mur.,to indicate a direction against an object → gegen + Acc.,pour indiquer une direction contre un objet → gegen + Acc.,,
429,10,Er lehnt die Leiter _____ das Haus.,gegen,Er lehnt die Leiter gegen das Haus.,He's leaning the ladder against the house.,Il appuie l'échelle contre la maison.,to indicate a direction against an object → gegen + Acc.,pour indiquer une direction contre un objet → gegen + Acc.,,
430,10,Sie stellt ihre Tasche _____ den Stuhl.,gegen,Sie stellt ihre Tasche gegen den Stuhl.,She's putting her bag against the chair.,Elle pose son sac contre la chaise.,to indicate a direction against an object → gegen + Acc.,pour indiquer une direction contre un objet → gegen + Acc.,,
431,10,Die Fenster zeigen _____ Süden.,nach,Die Fenster zeigen nach Süden.,The windows face south.,Les fenêtres sont orientées vers le sud.,to indicate the resting direction of an object – <i>facing</i> → nach + Dat.,pour indiquer l'orientation d’un objet au repos – <i>orienté</i> → nach + Dat.,,
432,10,Unser Balkon geht _____ Westen.,nach,Unser Balkon geht nach Westen.,Our balcony faces west.,Notre balcon est orienté à l'ouest.,to indicate the resting direction of an object – <i>facing</i> → nach + Dat.,pour indiquer l'orientation d’un objet au repos – <i>orienté</i> → nach + Dat.,,
433,10,Das Sofa steht _____ dem Fernseher gerichtet.,nach,Das Sofa steht nach dem Fernseher gerichtet.,The sofa is positioned facing the TV.,Le canapé est positionné face à la télévision.,to indicate the resting direction of an object – <i>facing</i> → nach + Dat.,pour indiquer l'orientation d’un objet au repos – <i>orienté</i> → nach + Dat.,,
434,10,Die Kirche ist _____ Osten ausgerichtet.,nach,Die Kirche ist nach Osten ausgerichtet.,The church is oriented towards the east.,L'église est orientée vers l'est.,to indicate the resting direction of an object – <i>facing</i> → nach + Dat.,pour indiquer l'orientation d’un objet au repos – <i>orienté</i> → nach + Dat.,,
435,10,Ihr Schreibtisch zeigt _____ dem Fenster.,nach,Ihr Schreibtisch zeigt nach dem Fenster.,Her desk faces the window.,Son bureau fait face à la fenêtre.,to indicate the resting direction of an object – <i>facing</i> → nach + Dat.,pour indiquer l'orientation d’un objet au repos – <i>orienté</i> → nach + Dat.,,
436,10,_____ Beginn des Kurses war alles noch ziemlich chaotisch.,Zu,Zu Beginn des Kurses war alles noch ziemlich chaotisch.,"At the beginning of the course, everything was still pretty chaotic.","Au début du cours, tout était encore assez chaotique.","in temporal context before words such as Ende, Beginn, Mal and Zeit → zu + Dat.","dans un contexte temporel avant des mots tels que Ende, Beginn, Mal et Zeit → zu + Dat.",,
437,10,_____ dieser Zeit lebte ich noch in Berlin.,Zu,Zu dieser Zeit lebte ich noch in Berlin.,I was still living in Berlin at the time.,"À l’époque, je vivais encore à Berlin.","in temporal context before words such as Ende, Beginn, Mal and Zeit → zu + Dat.","dans un contexte temporel avant des mots tels que Ende, Beginn, Mal et Zeit → zu + Dat.",,
438,10,_____ ersten Mal habe ich echtes Interesse an Geschichte gezeigt.,Zum,Zum ersten Mal habe ich echtes Interesse an Geschichte gezeigt.,"For the first time, I showed a real interest in history.","Pour la première fois, j’ai montré un réel intérêt pour l’histoire.","in temporal context before words such as Ende, Beginn, Mal and Zeit → zu + Dat.","dans un contexte temporel avant des mots tels que Ende, Beginn, Mal et Zeit → zu + Dat.",,
439,10,_____ meiner Schulzeit war das Internet noch nicht so verbreitet.,Zu,Zu meiner Schulzeit war das Internet noch nicht so verbreitet.,"When I was at school, the internet was not yet so widespread.","Quand j’étais à l’école, Internet n’était pas encore aussi répandu.","in temporal context before words such as Ende, Beginn, Mal and Zeit → zu + Dat.","dans un contexte temporel avant des mots tels que Ende, Beginn, Mal et Zeit → zu + Dat.",,
440,10,_____ Ende des Films wurde es richtig spannend.,Zu,Zu Ende des Films wurde es richtig spannend.,It got really exciting at the end of the movie.,C'est devenu vraiment excitant à la fin du film.,"in temporal context before words such as Ende, Beginn, Mal and Zeit → zu + Dat.","dans un contexte temporel avant des mots tels que Ende, Beginn, Mal et Zeit → zu + Dat.",,
441,10,"Ich war gestern _____ der Post, um ein Paket abzuholen.",auf,"Ich war gestern auf der Post, um ein Paket abzuholen.",I went to the post office yesterday to pick up a parcel.,Je suis allé à la poste hier pour récupérer un colis.,to indicate a location in an institutional building and doing an activity related to that building → auf + Dat.,pour indiquer un emplacement dans un bâtiment institutionnel et effectuer une activité liée à ce bâtiment → auf + Dat.,,
442,10,Sie hat ihre Überweisung _____ der Bank erledigt.,auf,Sie hat ihre Überweisung auf der Bank erledigt.,She did her bank transfer at the bank.,Elle a fait son virement bancaire à la banque.,to indicate a location in an institutional building and doing an activity related to that building → auf + Dat.,pour indiquer un emplacement dans un bâtiment institutionnel et effectuer une activité liée à ce bâtiment → auf + Dat.,,
443,10,Wir müssen morgen früh _____ dem Amt unseren neuen Ausweis beantragen.,auf,Wir müssen morgen früh auf dem Amt unseren neuen Ausweis beantragen.,We have to apply for our new ID card at the office tomorrow morning.,Nous devons demander notre nouvelle carte d'identité au bureau demain matin.,to indicate a location in an institutional building and doing an activity related to that building → auf + Dat.,pour indiquer un emplacement dans un bâtiment institutionnel et effectuer une activité liée à ce bâtiment → auf + Dat.,,
444,10,Er hat den Antrag _____ der Behörde persönlich abgegeben.,auf,Er hat den Antrag auf der Behörde persönlich abgegeben.,He handed in the application at the office in person.,Il a déposé la demande au bureau en personne.,to indicate a location in an institutional building and doing an activity related to that building → auf + Dat.,pour indiquer un emplacement dans un bâtiment institutionnel et effectuer une activité liée à ce bâtiment → auf + Dat.,,
445,10,"Ich bin gerade _____ der Arbeit, ich rufe dich später zurück.",auf,"Ich bin gerade auf der Arbeit, ich rufe dich später zurück.","I'm at work right now, I'll call you back later.","Je suis au travail en ce moment, je te rappellerai plus tard.",to indicate a location in an institutional building and doing an activity related to that building → auf + Dat.,pour indiquer un emplacement dans un bâtiment institutionnel et effectuer une activité liée à ce bâtiment → auf + Dat.,,
446,11,,ab,,"starting, from ... on",à partir de, = ab + Dative,= ab + Datif,Dative,Datif
447,11,,anstatt,,instead of,"au lieu de, à la place de", = anstatt + Genitive,= anstatt + génitif,Genitive,Génitif
448,11,,außerhalb,,outside of,"en dehors de, à l'extérieur de", = außerhalb + Genitive,= außerhalb + Génitif,Genitive,Génitif
449,11,,durch,,"through, across",à travers, = durch + Accusative,= par + Accusatif,Accusative,Accusatif
450,11,,gegenüber,,"opposite of, across from","à l'opposé de, en face de, vis-à-vis de", = gegenüber + Dative,= contre + Datif,Dative,Datif
451,11,,innerhalb,,"inside of, within",à l'intérieur de, = innerhalb + Genitive,= moitié intérieure + génitif,Genitive,Génitif
452,11,,laut,,"according to (preposition, with Genitive)","selon, d'après (préposition, avec génitif)", = laut + Genitive,= laut + génitif,Genitive,Génitif
453,11,,trotz,,"despite, regardless of",malgré, = trotz + Genitive,= trotz + génitif,Genitive,Génitif
454,11,,während,,"during, throughout",pendant, = während + Genitive,= pendant + génitif,Genitive,Génitif
455,11,,wegen,,"due to, because of","à cause de, dû à", = wegen + Genitive,= wegen + génitif,Genitive,Génitif
456,11,,zufolge,,"according to (postposition, with Dative)","selon, d'après (postposition, avec datif)", = zufolge + Dative,= suivre + Datif,Dative,Datif
457,12,_____ nächstem Monat werde ich zweimal pro Woche einen Sprachkurs besuchen.,Ab,Ab nächstem Monat werde ich zweimal pro Woche einen Sprachkurs besuchen.,"Starting next month, I will be attending a language course twice a week.","À partir du mois prochain, je participerai à un cours de langue deux fois par semaine.","starting, from ... on = ab + Dat.",à partir de = ab + Dat.,,
458,12,Die Bibliothek ist _____ Montag wieder geöffnet.,ab,Die Bibliothek ist ab Montag wieder geöffnet.,The library is open again from Monday.,La bibliothèque est à nouveau ouverte à partir de lundi.,"starting, from ... on = ab + Dat.",à partir de = ab + Dat.,,
459,12,_____ sofort ist Rauchen im Gebäude verboten.,Ab,Ab sofort ist Rauchen im Gebäude verboten.,Smoking is prohibited in the building with immediate effect.,Il est interdit de fumer dans le bâtiment avec effet immédiat.,"starting, from ... on = ab + Dat.",à partir de = ab + Dat.,,
460,12,_____ dem Sommer plane ich eine lange Reise durch Europa.,Ab,Ab dem Sommer plane ich eine lange Reise durch Europa.,I'm planning a long trip through Europe starting in the summer.,Je prévois un long voyage à travers l'Europe à partir de l'été.,"starting, from ... on = ab + Dat.",à partir de = ab + Dat.,,
461,12,_____ nächstem Jahr wird die Stadt eine neue Umweltsteuer einführen.,Ab,Ab nächstem Jahr wird die Stadt eine neue Umweltsteuer einführen.,"Starting next year, the city will introduce a new environmental tax.","À partir de l’année prochaine, la ville introduira une nouvelle taxe environnementale.","starting, from ... on = ab + Dat.",à partir de = ab + Dat.,,
462,12,_____ eines Autos kaufte er ein Fahrrad.,Anstatt,Anstatt eines Autos kaufte er ein Fahrrad.,"Instead of a car, he bought a bicycle.","Au lieu d’une voiture, il a acheté un vélo.",instead of = anstatt + Gen.,au lieu de = à la place de = anstatt + Gén.,,
463,12,Sie trank Wasser _____ eines Softdrinks.,anstatt,Sie trank Wasser anstatt eines Softdrinks.,She drank water instead of a soft drink.,Elle a bu de l'eau au lieu d'une boisson gazeuse.,instead of = anstatt + Gen.,au lieu de = à la place de = anstatt + Gén.,,
464,12,_____ einer Entschuldigung gab er nur eine Ausrede.,Anstatt,Anstatt einer Entschuldigung gab er nur eine Ausrede.,"Instead of an apology, he just gave an excuse.","Au lieu de s’excuser, il a juste donné une excuse.",instead of = anstatt + Gen.,au lieu de = à la place de = anstatt + Gén.,,
465,12,Wir entschieden uns für eine Wanderung _____ eines Kinobesuchs.,anstatt,Wir entschieden uns für eine Wanderung anstatt eines Kinobesuchs.,We chose to go hiking instead of going to the cinema.,Nous avons choisi de faire de la randonnée plutôt que d'aller au cinéma.,instead of = anstatt + Gen.,au lieu de = à la place de = anstatt + Gén.,,
466,12,"_____ eines grossen Geschenks machte er eine kleine, persönliche Geste.",Anstatt,"Anstatt eines grossen Geschenks machte er eine kleine, persönliche Geste.","Instead of a big gift, he made a small, personal gesture.","Au lieu d’un gros cadeau, il a fait un petit geste personnel.",instead of = anstatt + Gen.,au lieu de = à la place de = anstatt + Gén.,,
467,12,_____ der Stadt gibt es viele schöne Wanderwege.,Außerhalb,Außerhalb der Stadt gibt es viele schöne Wanderwege.,"Outside the city, there are many beautiful hiking trails.","En dehors de la ville, il existe de nombreux et magnifiques sentiers de randonnée.",outside of = außerhalb + Gen.,"en dehors de, à l'extérieur de = außerhalb + Gén.",,
468,12,Das Parken ist _____ der Geschäftszeiten kostenlos.,außerhalb,Das Parken ist außerhalb der Geschäftszeiten kostenlos.,Parking is free outside business hours.,Le stationnement est gratuit en dehors des heures d'ouverture.,outside of = außerhalb + Gen.,"en dehors de, à l'extérieur de = außerhalb + Gén.",,
469,12,_____ meines Arbeitsbereichs kenne ich mich nicht so gut aus.,Außerhalb,Außerhalb meines Arbeitsbereichs kenne ich mich nicht so gut aus.,"Outside of my field of work, I am not very knowledgeable.","En dehors de mon domaine de travail, je ne suis pas très compétent.",outside of = außerhalb + Gen.,"en dehors de, à l'extérieur de = außerhalb + Gén.",,
470,12,"Wir wohnen _____ des Stadtzentrums, aber die Verbindung ist gut.",außerhalb,"Wir wohnen außerhalb des Stadtzentrums, aber die Verbindung ist gut.","We live outside the city center, but the connection is good.","Nous habitons en dehors du centre ville, mais la connexion est bonne.",outside of = außerhalb + Gen.,"en dehors de, à l'extérieur de = außerhalb + Gén.",,
471,12,_____ der Schule treffe ich mich oft mit meinen Freunden.,Außerhalb,Außerhalb der Schule treffe ich mich oft mit meinen Freunden.,"Outside of school, I often meet up with my friends.","En dehors de l’école, je retrouve souvent mes amis.",outside of = außerhalb + Gen.,"en dehors de, à l'extérieur de = außerhalb + Gén.",,
472,12,Wir fahren _____ den Tunnel.,durch,Wir fahren durch den Tunnel.,We drive through the tunnel.,Nous traversons le tunnel.,"through, across = durch + Acc.",à travers = durch + Acc.,,
473,12,Ich gehe _____ den Park.,durch,Ich gehe durch den Park.,I walk through the park.,Je marche dans le parc.,"through, across = durch + Acc.",à travers = durch + Acc.,,
474,12,Der Brief kam _____ die Post.,durch,Der Brief kam durch die Post.,The letter came by mail.,La lettre est arrivée par la poste.,"through, across = durch + Acc.",à travers = durch + Acc.,,
475,12,Der Fluss fliesst _____ die Stadt.,durch,Der Fluss fliesst durch die Stadt.,The river flows through the city.,La rivière traverse la ville.,"through, across = durch + Acc.",à travers = durch + Acc.,,
476,12,Man sieht _____ das Fenster.,durch,Man sieht durch das Fenster.,One can see through the window.,On peut voir à travers la fenêtre.,"through, across = durch + Acc.",à travers = durch + Acc.,,
477,12,Die Bank liegt _____ der Post.,gegenüber,Die Bank liegt gegenüber der Post.,The bank is located across from the post office.,La banque est située en face de la poste.,"opposite of, across from = gegenüber + Dative","à l'opposé de, en face de = gegenüber + Datif",,
478,12,Mein Haus steht direkt _____ dem Park.,gegenüber,Mein Haus steht direkt gegenüber dem Park.,My house is directly across from the park.,Ma maison est juste en face du parc.,"opposite of, across from = gegenüber + Dative","à l'opposé de, en face de = gegenüber + Datif",,
479,12,Die Post ist genau _____ dem Bäcker.,gegenüber,Die Post ist genau gegenüber dem Bäcker.,The post office is right across from the bakery.,Le bureau de poste est juste en face de la boulangerie.,"opposite of, across from = gegenüber + Dative","à l'opposé de, en face de = gegenüber + Datif",,
480,12,_____ dem Fussballstadion hat es einen grossen Parkplatz.,Gegenüber,Gegenüber dem Fussballstadion hat es einen grossen Parkplatz.,There is a large parking lot across from the football stadium.,Il y a un grand parking en face du stade de football.,"opposite of, across from = gegenüber + Dative","à l'opposé de, en face de = gegenüber + Datif",,
481,12,Sie sass mir im Café _____ und hat gelächelt.,gegenüber,Sie sass mir im Café gegenüber und hat gelächelt.,She sat across from me in the café and smiled.,Elle s'est assise en face de moi dans le café et a souri.,"opposite of, across from = gegenüber + Dative","à l'opposé de, en face de = gegenüber + Datif",,
482,12,_____ der Stadt gibt es viele historische Gebäude.,Innerhalb,Innerhalb der Stadt gibt es viele historische Gebäude.,"Within the city, there are many historical buildings.","Dans la ville, il existe de nombreux bâtiments historiques.","inside of, within = innerhalb + Gen.",à l'intérieur de = innerhalb + Gén.,,
483,12,Die Lieferung erfolgt _____ einer Woche.,innerhalb,Die Lieferung erfolgt innerhalb einer Woche.,The delivery will take place within a week.,La livraison aura lieu dans un délai d'une semaine.,"inside of, within = innerhalb + Gen.",à l'intérieur de = innerhalb + Gén.,,
484,12,_____ des Unternehmens gab es viele Veränderungen.,Innerhalb,Innerhalb des Unternehmens gab es viele Veränderungen.,There have been many changes within the company.,Il y a eu beaucoup de changements au sein de l'entreprise.,"inside of, within = innerhalb + Gen.",à l'intérieur de = innerhalb + Gén.,,
485,12,Bitte beantworten Sie die E-Mail _____ von 24 Stunden.,innerhalb,Bitte beantworten Sie die E-Mail innerhalb von 24 Stunden.,Please reply to the email within 24 hours.,Veuillez répondre à l'e-mail dans les 24 heures.,"inside of, within = innerhalb + Gen.",à l'intérieur de = innerhalb + Gén.,,
486,12,_____ der Schule gibt es strenge Regeln für die Nutzung von Handys.,Innerhalb,Innerhalb der Schule gibt es strenge Regeln für die Nutzung von Handys.,"Inside the school, there are strict rules for the use of mobile phones.","À l'intérieur de l'école, il existe des règles strictes concernant l'utilisation des téléphones portables.","inside of, within = innerhalb + Gen.",à l'intérieur de = innerhalb + Gén.,,
487,12,_____ der Zeitung wird das Wetter morgen sonnig.,Laut,Laut der Zeitung wird das Wetter morgen sonnig.,"According to the newspaper, the weather will be sunny tomorrow.","Selon le journal, le temps sera ensoleillé demain.",according to = laut + Gen.,"selon, d'après = laut + Gén.",,
488,12,_____ des Lehrers müssen wir das Buch bis nächste Woche lesen.,Laut,Laut des Lehrers müssen wir das Buch bis nächste Woche lesen.,"According to the teacher, we have to read the book by next week.","Selon le professeur, nous devons lire le livre d’ici la semaine prochaine.",according to = laut + Gen.,"selon, d'après = laut + Gén.",,
489,12,_____ einer Studie trinken Deutsche viel Kaffee.,Laut,Laut einer Studie trinken Deutsche viel Kaffee.,"According to a study, Germans drink a lot of coffee.","Selon une étude, les Allemands boivent beaucoup de café.",according to = laut + Gen.,"selon, d'après = laut + Gén.",,
490,12,_____ der Regeln ist das Rauchen hier verboten.,Laut,Laut der Regeln ist das Rauchen hier verboten.,"According to the rules, smoking is prohibited here.","Selon le règlement, il est interdit de fumer ici.",according to = laut + Gen.,"selon, d'après = laut + Gén.",,
491,12,_____ meines Freundes ist das Restaurant sehr gut.,Laut,Laut meines Freundes ist das Restaurant sehr gut.,"According to my friend, the restaurant is very good.","D'après mon ami, le restaurant est très bon.",according to = laut + Gen.,"selon, d'après = laut + Gén.",,
492,12,_____ des Regens gingen wir spazieren.,Trotz,Trotz des Regens gingen wir spazieren.,"Despite the rain, we went for a walk.","Malgré la pluie, nous sommes allés nous promener.","despite, regardless of = trotz + Gen.",malgré = trotz + Gén.,,
493,12,Er bestand die Prüfung _____ seiner Nervosität.,trotz,Er bestand die Prüfung trotz seiner Nervosität.,He passed the exam despite his nervousness.,Il a réussi l'examen malgré sa nervosité.,"despite, regardless of = trotz + Gen.",malgré = trotz + Gén.,,
494,12,_____ des schlechten Wetters fand das Konzert draussen statt.,Trotz,Trotz des schlechten Wetters fand das Konzert draussen statt.,"Despite the bad weather, the concert took place outside.","Malgré le mauvais temps, le concert a eu lieu en extérieur.","despite, regardless of = trotz + Gen.",malgré = trotz + Gén.,,
495,12,"Sie kam pünktlich, _____ des Verkehrs.",trotz,"Sie kam pünktlich, trotz des Verkehrs.",She arrived on time despite the traffic.,Elle est arrivée à l'heure malgré le trafic.,"despite, regardless of = trotz + Gen.",malgré = trotz + Gén.,,
496,12,_____ seiner Müdigkeit arbeitete er bis spät in die Nacht.,Trotz,Trotz seiner Müdigkeit arbeitete er bis spät in die Nacht.,"Despite his fatigue, he worked late into the night.","Malgré sa fatigue, il travaillait tard dans la nuit.","despite, regardless of = trotz + Gen.",malgré = trotz + Gén.,,
497,12,_____ des Essens sollte man nicht telefonieren.,Während,Während des Essens sollte man nicht telefonieren.,"During the meal, one should not use the phone.","Pendant le repas, il ne faut pas utiliser le téléphone.","during, throughout, while = während + Gen.",pendant = während + Gén.,,
498,12,Er blieb ruhig _____ des gesamten Meetings.,während,Er blieb ruhig während des gesamten Meetings.,He stayed calm throughout the entire meeting.,Il est resté calme tout au long de la réunion.,"during, throughout, while = während + Gen.",pendant = während + Gén.,,
499,12,_____ des Sommers fahren viele Menschen in den Urlaub.,Während,Während des Sommers fahren viele Menschen in den Urlaub.,"During the summer, many people go on vacation.","Pendant l’été, beaucoup de gens partent en vacances.","during, throughout, while = während + Gen.",pendant = während + Gén.,,
500,12,Sie hat viel gelernt _____ ihres Studiums.,während,Sie hat viel gelernt während ihres Studiums.,She learned a lot during her studies.,Elle a beaucoup appris durant ses études.,"during, throughout, while = während + Gen.",pendant = während + Gén.,,
501,12,_____ der Nacht sind die Straßen oft leer.,Während,Während der Nacht sind die Straßen oft leer.,"During the night, the streets are often empty.","La nuit, les rues sont souvent vides.","during, throughout, while = während + Gen.",pendant = während + Gén.,,
502,12,_____ des schlechten Wetters wurde das Spiel abgesagt.,Wegen,Wegen des schlechten Wetters wurde das Spiel abgesagt.,"Because of the bad weather, the game was canceled.","En raison du mauvais temps, le match a été annulé.","due to, because of = wegen + Gen.","à cause de, dû à = wegen + Gén.",,
503,12,Er konnte nicht kommen _____ einer wichtigen Besprechung.,wegen,Er konnte nicht kommen wegen einer wichtigen Besprechung.,He couldn't come because of an important meeting.,Il n'a pas pu venir à cause d'une réunion importante.,"due to, because of = wegen + Gen.","à cause de, dû à = wegen + Gén.",,
504,12,_____ des Verkehrs sind wir zu spät gekommen.,Wegen,Wegen des Verkehrs sind wir zu spät gekommen.,"Because of the traffic, we arrived late.","À cause du trafic, nous sommes arrivés en retard.","due to, because of = wegen + Gen.","à cause de, dû à = wegen + Gén.",,
505,12,Sie war traurig _____ der schlechten Nachricht.,wegen,Sie war traurig wegen der schlechten Nachricht.,She was sad because of the bad news.,Elle était triste à cause de la mauvaise nouvelle.,"due to, because of = wegen + Gen.","à cause de, dû à = wegen + Gén.",,
506,12,_____ seines Fleisses hat er die Beförderung bekommen.,Wegen,Wegen seines Fleisses hat er die Beförderung bekommen.,"Because of his diligence, he got the promotion.","Grâce à sa diligence, il a obtenu la promotion.","due to, because of = wegen + Gen.","à cause de, dû à = wegen + Gén.",,
507,12,Einer aktuellen Studie _____ schlafen Jugendliche heutzutage weniger als früher.,zufolge,Einer aktuellen Studie zufolge schlafen Jugendliche heutzutage weniger als früher.,"According to a recent study, teenagers sleep less nowadays than in the past.","Selon une étude récente, les adolescents dorment moins aujourd’hui que par le passé.",according to = Dat.+ zufolge,"selon, d'après = Dat.+ suivre",,
508,12,Dem Bericht _____ wird die Wirtschaft im nächsten Jahr langsamer wachsen.,zufolge,Dem Bericht zufolge wird die Wirtschaft im nächsten Jahr langsamer wachsen.,"According to the report, the economy will grow more slowly next year.","Selon le rapport, l’économie connaîtra une croissance plus lente l’année prochaine.",according to = Dat.+ zufolge,"selon, d'après = Dat.+ suivre",,
509,12,Den Experten _____ ist eine schnelle Lösung des Problems unwahrscheinlich.,zufolge,Den Experten zufolge ist eine schnelle Lösung des Problems unwahrscheinlich.,"According to experts, a quick solution to the problem is unlikely.","Selon les experts, une solution rapide au problème est peu probable.",according to = Dat.+ zufolge,"selon, d'après = Dat.+ suivre",,
510,12,Medienberichten _____ gab es mehrere Verletzte beim Unfall.,zufolge,Medienberichten zufolge gab es mehrere Verletzte beim Unfall.,"According to media reports, there were several injuries in the accident.","Selon les médias, l'accident aurait fait plusieurs blessés.",according to = Dat.+ zufolge,"selon, d'après = Dat.+ suivre",,
511,12,Der Polizei _____ wurde der Verdächtige am frühen Morgen festgenommen.,zufolge,Der Polizei zufolge wurde der Verdächtige am frühen Morgen festgenommen.,"According to the police, the suspect was arrested early in the morning.","Selon la police, le suspect a été arrêté tôt le matin.",according to = Dat.+ zufolge,"selon, d'après = Dat.+ suivre",,
512,13,Sie fühlte sich wohl _____ ihren Freunden.,unter,Sie fühlte sich wohl unter ihren Freunden.,She felt comfortable among her friends.,Elle se sentait à l'aise parmi ses amis.,translation of <i>among</i> to describe an element as part of a group → unter + Dat.,traduction de <i>parmi</i> pour décrire un élément comme faisant partie d'un groupe → unter + Dat.,,
513,13,Er ist gern _____ Menschen.,unter,Er ist gern unter Menschen.,He likes to be among people.,Il aime être parmi les gens.,translation of <i>among</i> to describe an element as part of a group → unter + Dat.,traduction de <i>parmi</i> pour décrire un élément comme faisant partie d'un groupe → unter + Dat.,,
