Nr,exercise,question,answer,german,english,french,case_english,case_french,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
334,12,Die Wut _____ den Verkehr wuchs mit jeder Minute.,auf,Die Wut auf den Verkehr wuchs mit jeder Minute.,The anger at the traffic grew by the minute.,La colère contre le trafic grandissait de minute en minute.,,,die Wut auf,the anger at somebody = die Wut auf + Accusative,la colère envers quelqu'un = die Wut auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the anger at somebody = die Wut auf + Accusative<br><br>to introduce an object of focus or a target → auf,la colère envers quelqu'un = die Wut auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
335,12,Seine Wut _____ den Verräter entlud sich in einem lauten Schrei.,auf,Seine Wut auf den Verräter entlud sich in einem lauten Schrei.,His anger at the traitor erupted in a loud scream.,Sa colère contre le traître a éclaté dans un cri fort.,,,die Wut auf,the anger at somebody = die Wut auf + Accusative,la colère envers quelqu'un = die Wut auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the anger at somebody = die Wut auf + Accusative<br><br>to introduce an object of focus or a target → auf,la colère envers quelqu'un = die Wut auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
336,12,Der Bericht _____ die aktuellen Ereignisse war sehr informativ.,über,Der Bericht über die aktuellen Ereignisse war sehr informativ.,The report about the current events was very informative.,Le rapport sur les événements actuels était très instructif.,,,der Bericht über,the report about = der Bericht über + Accusative,le rapport sur = der Bericht über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the report about = der Bericht über + Accusative<br><br>to introduce a general subject → über,le rapport sur = der Bericht über + Accusatif<br><br>pour introduire un sujet général → über
337,12,Ihr Bericht _____ die Reise nach Afrika faszinierte alle.,über,Ihr Bericht über die Reise nach Afrika faszinierte alle.,Her report about the trip to Africa fascinated everyone.,Son récit du voyage en Afrique a fasciné tout le monde.,,,der Bericht über,the report about = der Bericht über + Accusative,le rapport sur = der Bericht über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the report about = der Bericht über + Accusative<br><br>to introduce a general subject → über,le rapport sur = der Bericht über + Accusatif<br><br>pour introduire un sujet général → über
338,12,Sein Bericht _____ das Experiment wurde in der Fachzeitschrift veröffentlicht.,über,Sein Bericht über das Experiment wurde in der Fachzeitschrift veröffentlicht.,His report about the experiment was published in the scientific journal.,Son rapport sur l’expérience a été publié dans la revue scientifique.,,,der Bericht über,the report about = der Bericht über + Accusative,le rapport sur = der Bericht über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the report about = der Bericht über + Accusative<br><br>to introduce a general subject → über,le rapport sur = der Bericht über + Accusatif<br><br>pour introduire un sujet général → über
339,12,Die Wahl _____ ihrem Vorsitzenden wurde einstimmig getroffen.,zu,Die Wahl zu ihrem Vorsitzenden wurde einstimmig getroffen.,The election as their chairperson was unanimous.,L’élection à la présidence s’est faite à l’unanimité.,,,die Wahl zu,the election to = die Wahl zu + Dative,l'élection à = die Wahl zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the election to = die Wahl zu + Dative<br><br>to introduce an outcome or direction → zu,l'élection à = die Wahl zu + Datif<br><br>pour introduire un résultat ou une direction → zu
340,12,Seine Wahl _____ diesem Posten überraschte viele.,zu,Seine Wahl zu diesem Posten überraschte viele.,His election to this position surprised many.,Son élection à ce poste a surpris plus d’un.,,,die Wahl zu,the election to = die Wahl zu + Dative,l'élection à = die Wahl zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the election to = die Wahl zu + Dative<br><br>to introduce an outcome or direction → zu,l'élection à = die Wahl zu + Datif<br><br>pour introduire un résultat ou une direction → zu
341,12,Ihre Wahl _____ Sprecherin des Teams wurde mit Applaus begrüßt.,zur,Ihre Wahl zur Sprecherin des Teams wurde mit Applaus begrüßt.,Her election as team spokesperson was greeted with applause.,Son élection comme porte-parole de l’équipe a été accueillie par des applaudissements.,,,die Wahl zu,the election to = die Wahl zu + Dative,l'élection à = die Wahl zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the election to = die Wahl zu + Dative<br><br>to introduce an outcome or direction → zu,l'élection à = die Wahl zu + Datif<br><br>pour introduire un résultat ou une direction → zu
342,12,Der Beitrag _____ Projekt war entscheidend.,zum,Der Beitrag zum Projekt war entscheidend.,The contribution to the project was crucial.,La contribution au projet a été cruciale.,,,der Beitrag zu,the contribution to = der Beitrag zu + Dative,la contribution à = der Beitrag zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the contribution to = der Beitrag zu + Dative<br><br>to introduce an outcome or direction → zu,la contribution à = der Beitrag zu + Datif<br><br>pour introduire un résultat ou une direction → zu
343,12,Sein Beitrag _____ Diskussion brachte neue Perspektiven.,zur,Sein Beitrag zur Diskussion brachte neue Perspektiven.,His contribution to the discussion brought new perspectives.,Sa contribution à la discussion a apporté de nouvelles perspectives.,,,der Beitrag zu,the contribution to = der Beitrag zu + Dative,la contribution à = der Beitrag zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the contribution to = der Beitrag zu + Dative<br><br>to introduce an outcome or direction → zu,la contribution à = der Beitrag zu + Datif<br><br>pour introduire un résultat ou une direction → zu
344,12,Ihr Beitrag _____ Erfolg des Unternehmens wurde besonders hervorgehoben.,zum,Ihr Beitrag zum Erfolg des Unternehmens wurde besonders hervorgehoben.,Her contribution to the company’s success was especially emphasized.,Sa contribution au succès de l’entreprise a été particulièrement mise en avant.,,,der Beitrag zu,the contribution to = der Beitrag zu + Dative,la contribution à = der Beitrag zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the contribution to = der Beitrag zu + Dative<br><br>to introduce an outcome or direction → zu,la contribution à = der Beitrag zu + Datif<br><br>pour introduire un résultat ou une direction → zu
345,12,Die Vorbereitung _____ die Prüfung lief reibungslos.,auf,Die Vorbereitung auf die Prüfung lief reibungslos.,The preparation for the exam went smoothly.,La préparation à l'examen s'est bien déroulée.,,,die Vorbereitung auf,the preparation for = die Vorbereitung auf + Accusative,"la préparation à, la préparation pour = die Vorbereitung auf + Accusatif",to introduce something in the future → auf,pour introduire quelque chose dans le future → auf,the preparation for = die Vorbereitung auf + Accusative<br><br>to introduce something in the future → auf,"la préparation à, la préparation pour = die Vorbereitung auf + Accusatif<br><br>pour introduire quelque chose dans le future → auf"
346,12,Seine Vorbereitung _____ den Wettbewerb war gründlich.,auf,Seine Vorbereitung auf den Wettbewerb war gründlich.,His preparation for the competition was thorough.,Sa préparation pour la compétition a été minutieuse.,,,die Vorbereitung auf,the preparation for = die Vorbereitung auf + Accusative,"la préparation à, la préparation pour = die Vorbereitung auf + Accusatif",to introduce something in the future → auf,pour introduire quelque chose dans le future → auf,the preparation for = die Vorbereitung auf + Accusative<br><br>to introduce something in the future → auf,"la préparation à, la préparation pour = die Vorbereitung auf + Accusatif<br><br>pour introduire quelque chose dans le future → auf"
347,12,Ihre Vorbereitung _____ das Vorstellungsgespräch zahlte sich aus.,auf,Ihre Vorbereitung auf das Vorstellungsgespräch zahlte sich aus.,Her preparation for the interview paid off.,Sa préparation à l’entretien a porté ses fruits.,,,die Vorbereitung auf,the preparation for = die Vorbereitung auf + Accusative,"la préparation à, la préparation pour = die Vorbereitung auf + Accusatif",to introduce something in the future → auf,pour introduire quelque chose dans le future → auf,the preparation for = die Vorbereitung auf + Accusative<br><br>to introduce something in the future → auf,"la préparation à, la préparation pour = die Vorbereitung auf + Accusatif<br><br>pour introduire quelque chose dans le future → auf"
348,12,Der Zweifel _____ ihrer Aussage wuchs.,an,Der Zweifel an ihrer Aussage wuchs.,The doubt about her statement grew.,Le doute sur sa déclaration grandit.,,,der Zweifel an,the doubt about = der Zweifel an + Dative,le doute sur = der Zweifel an + Datif,"to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","the doubt about = der Zweifel an + Dative<br><br>to introduce the subject of a thought, with mental focus → an","le doute sur = der Zweifel an + Datif<br><br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
349,12,Er äußerte Zweifel _____ der Richtigkeit der Ergebnisse.,an,Er äußerte Zweifel an der Richtigkeit der Ergebnisse.,He expressed doubts about the accuracy of the results.,Il a exprimé des doutes quant à l’exactitude des résultats.,,,der Zweifel an,the doubt about = der Zweifel an + Dative,le doute sur = der Zweifel an + Datif,"to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","the doubt about = der Zweifel an + Dative<br><br>to introduce the subject of a thought, with mental focus → an","le doute sur = der Zweifel an + Datif<br><br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
350,12,Ihre Zweifel _____ seinem Plan erwiesen sich als berechtigt.,an,Ihre Zweifel an seinem Plan erwiesen sich als berechtigt.,Her doubts about his plan turned out to be justified.,Ses doutes sur son plan se sont révélés justifiés.,,,der Zweifel an,the doubt about = der Zweifel an + Dative,le doute sur = der Zweifel an + Datif,"to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","the doubt about = der Zweifel an + Dative<br><br>to introduce the subject of a thought, with mental focus → an","le doute sur = der Zweifel an + Datif<br><br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
351,12,"Viele Studierende zeigen großes Interesse _____ nachhaltigen Energielösungen, besonders im Rahmen ihrer Abschlussarbeiten.",an,"Viele Studierende zeigen großes Interesse an nachhaltigen Energielösungen, besonders im Rahmen ihrer Abschlussarbeiten.","Many students show great interest in sustainable energy solutions, especially as part of their final projects.","De nombreux étudiants manifestent un grand intérêt pour les solutions énergétiques durables, notamment dans le cadre de leurs projets finaux.",,,das Interesse an,the interest in = das Interesse an + Dative,l'intérêt pour = das Interesse an + Datif,,,the interest in = das Interesse an + Dative,l'intérêt pour = das Interesse an + Datif
352,12,Sein Interesse _____ moderner Kunst wurde durch einen Besuch im Museum deutlich verstärkt.,an,Sein Interesse an moderner Kunst wurde durch einen Besuch im Museum deutlich verstärkt.,His interest in modern art was significantly enhanced by a visit to the museum.,Son intérêt pour l’art moderne a été considérablement renforcé par une visite au musée.,,,das Interesse an,the interest in = das Interesse an + Dative,l'intérêt pour = das Interesse an + Datif,,,the interest in = das Interesse an + Dative,l'intérêt pour = das Interesse an + Datif
353,12,Ihr Interesse _____ fremden Kulturen motiviert sie zu häufigen Reisen.,an,Ihr Interesse an fremden Kulturen motiviert sie zu häufigen Reisen.,Her interest in foreign cultures motivates her to travel frequently.,Son intérêt pour les cultures étrangères la motive à voyager souvent.,,,das Interesse an,the interest in = das Interesse an + Dative,l'intérêt pour = das Interesse an + Datif,,,the interest in = das Interesse an + Dative,l'intérêt pour = das Interesse an + Datif
354,12,Die Spannung _____ die Ergebnisse war kaum auszuhalten.,auf,Die Spannung auf die Ergebnisse war kaum auszuhalten.,The anticipation for the results was almost unbearable.,L’attente des résultats était presque insoutenable.,,,die Spannung auf,the anticipation for = die Spannung auf + Accusative,l'anticipation pour = die Spannung auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the anticipation for = die Spannung auf + Accusative<br><br>to introduce an object of focus or a target → auf,l'anticipation pour = die Spannung auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
355,12,Die Spannung _____ das Finale war spürbar.,auf,Die Spannung auf das Finale war spürbar.,The anticipation for the final was palpable.,L’anticipation de la finale était palpable.,,,die Spannung auf,the anticipation for = die Spannung auf + Accusative,l'anticipation pour = die Spannung auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the anticipation for = die Spannung auf + Accusative<br><br>to introduce an object of focus or a target → auf,l'anticipation pour = die Spannung auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
356,12,Ihre Spannung _____ die Verkündung des Siegers stieg mit jeder Minute.,auf,Ihre Spannung auf die Verkündung des Siegers stieg mit jeder Minute.,Her excitement about the announcement of the winner grew with every minute.,Son suspense à propos de l’annonce du gagnant augmentait de minute en minute.,,,die Spannung auf,the anticipation for = die Spannung auf + Accusative,l'anticipation pour = die Spannung auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the anticipation for = die Spannung auf + Accusative<br><br>to introduce an object of focus or a target → auf,l'anticipation pour = die Spannung auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
357,13,die Debatte _____,mit,die Debatte mit,the debate with,le débat avec,Dative,Datif,die Debatte mit,the debate with = die Debatte mit + Dative,le débat avec = die Debatte mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the debate with = die Debatte mit + Dative<br><br>to introduce a partner → mit,le débat avec = die Debatte mit + Datif<br><br>pour introduire un partenaire → mit
358,13,die Debatte _____,über,die Debatte über,the debate about,"le débat sur, le débat autour de",Accusative,Accusatif,die Debatte über,the debate about = die Debatte über + Accusative,"le débat sur, le débat autour de = die Debatte über + Accusatif",to introduce a general subject → über,pour introduire un sujet général → über,the debate about = die Debatte über + Accusative<br><br>to introduce a general subject → über,"le débat sur, le débat autour de = die Debatte über + Accusatif<br><br>pour introduire un sujet général → über"
359,13,die Verantwortung _____,für,die Verantwortung für,the responsibility for,la responsabilité de,Accusative,Accusatif,die Verantwortung für,the responsibility for = die Verantwortung für + Accusative,la responsabilité de = die Verantwortung für + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","the responsibility for = die Verantwortung für + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","la responsabilité de = die Verantwortung für + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
360,13,die Werbung _____,für,die Werbung für,the advertisement for,la publicité pour,Accusative,Accusatif,die Werbung für,the advertisement for = die Werbung für + Accusative,la publicité pour = die Werbung für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,the advertisement for = die Werbung für + Accusative<br><br>to introduce an endorsement or an approval → für,la publicité pour = die Werbung für + Accusatif<br><br>pour introduire une approbation ou un accord → für
361,13,die Information _____,über,die Information über,the information about,l'information sur,Accusative,Accusatif,die Information über,the information about = die Information über + Accusative,l'information sur = die Information über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the information about = die Information über + Accusative<br><br>to introduce a general subject → über,l'information sur = die Information über + Accusatif<br><br>pour introduire un sujet général → über
362,13,die Rede _____,über,die Rede über,the speech about,le discours sur,Accusative,Accusatif,die Rede über,the speech about = die Rede über + Accusative,le discours sur = die Rede über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the speech about = die Rede über + Accusative<br><br>to introduce a general subject → über,le discours sur = die Rede über + Accusatif<br><br>pour introduire un sujet général → über
363,13,das Wissen _____,über,das Wissen über,the knowledge about,les connaissances en,Accusative,Accusatif,das Wissen über,the knowledge about = das Wissen über + Accusative,les connaissances en = das Wissen über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the knowledge about = das Wissen über + Accusative<br><br>to introduce a general subject → über,les connaissances en = das Wissen über + Accusatif<br><br>pour introduire un sujet général → über
364,13,das Spiel _____,um,das Spiel um,the game for,le match pour,Accusative,Accusatif,das Spiel um,the game for = das Spiel um + Accusative,le match pour = das Spiel um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the game for = das Spiel um + Accusative<br><br>to introduce a central object of concern or covetousness → um,le match pour = das Spiel um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
365,13,die Wette _____,um,die Wette um,the bet for,le pari sur,Accusative,Accusatif,die Wette um,the bet for = die Wette um + Accusative,le pari sur = die Wette um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the bet for = die Wette um + Accusative<br><br>to introduce a central object of concern or covetousness → um,le pari sur = die Wette um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
366,13,die Warnung _____,vor,die Warnung vor,the warning of,l'avertissement concernant,Dative,Datif,die Warnung vor,the warning of = die Warnung vor + Dative,l'avertissement concernant = die Warnung vor + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,the warning of = die Warnung vor + Dative<br><br>to introduce an object of danger → vor,l'avertissement concernant = die Warnung vor + Datif<br><br>pour introduire un danger → vor
367,13,der Rat _____,zu,der Rat zu,the advice to,le conseil de,Dative,Datif,der Rat zu,the advice to = der Rat zu + Dative,le conseil de = der Rat zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the advice to = der Rat zu + Dative<br><br>to introduce an outcome or direction → zu,le conseil de = der Rat zu + Datif<br><br>pour introduire un résultat ou une direction → zu
368,13,der Mangel _____,an,der Mangel an,the lack of,la manque de,Dative,Datif,der Mangel an,the lack of = der Mangel an + Dative,la manque de = der Mangel an + Datif,to introduce a point of reference → an,pour introduire un point de référence → an,the lack of = der Mangel an + Dative<br><br>to introduce a point of reference → an,la manque de = der Mangel an + Datif<br><br>pour introduire un point de référence → an
369,13,die Bitte _____,an,die Bitte an,the request to someone,la demande à,Accusative,Accusatif,die Bitte an,the request to someone = die Bitte an + Accusative,la demande à = die Bitte an + Accusatif,,,the request to someone = die Bitte an + Accusative,la demande à = die Bitte an + Accusatif
370,13,das Vertrauen _____,in,das Vertrauen in,the trust in (someone's ability),la confiance dans,Accusative,Accusatif,das Vertrauen in,the trust in (someone's ability) = das Vertrauen in + Accusative,la confiance dans = das Vertrauen in + Accusatif,,,the trust in (someone's ability) = das Vertrauen in + Accusative,la confiance dans = das Vertrauen in + Accusatif
371,13,das Wissen _____,um,das Wissen um,the knowledge about,la connaissance de,Accusative,Accusatif,das Wissen um,the knowledge about = das Wissen um + Accusative,la connaissance de = das Wissen um + Accusatif,,,the knowledge about = das Wissen um + Accusative,la connaissance de = das Wissen um + Accusatif
372,14,Die Debatte _____ dem Experten war aufschlussreich.,mit,Die Debatte mit dem Experten war aufschlussreich.,The debate with the expert was insightful.,Le débat avec l’expert a été enrichissant.,,,die Debatte mit,the debate with = die Debatte mit + Dative,le débat avec = die Debatte mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the debate with = die Debatte mit + Dative<br><br>to introduce a partner → mit,le débat avec = die Debatte mit + Datif<br><br>pour introduire un partenaire → mit
373,14,Ihre Debatte _____ dem Politiker war spannend.,mit,Ihre Debatte mit dem Politiker war spannend.,Her debate with the politician was exciting.,Son débat avec l’homme politique était passionnant.,,,die Debatte mit,the debate with = die Debatte mit + Dative,le débat avec = die Debatte mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the debate with = die Debatte mit + Dative<br><br>to introduce a partner → mit,le débat avec = die Debatte mit + Datif<br><br>pour introduire un partenaire → mit
374,14,Seine Debatte _____ den Studierenden dauerte bis spät in die Nacht.,mit,Seine Debatte mit den Studierenden dauerte bis spät in die Nacht.,His debate with the students lasted late into the night.,Son débat avec les étudiants a duré jusque tard dans la nuit.,,,die Debatte mit,the debate with = die Debatte mit + Dative,le débat avec = die Debatte mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the debate with = die Debatte mit + Dative<br><br>to introduce a partner → mit,le débat avec = die Debatte mit + Datif<br><br>pour introduire un partenaire → mit
375,14,Die Debatte _____ die neue Steuer war hitzig.,über,Die Debatte über die neue Steuer war hitzig.,The debate about the new tax was heated.,Le débat autour de la nouvelle taxe a été houleux.,,,die Debatte über,the debate about = die Debatte über + Accusative,"le débat sur, le débat autour de = die Debatte über + Accusatif",to introduce a general subject → über,pour introduire un sujet général → über,the debate about = die Debatte über + Accusative<br><br>to introduce a general subject → über,"le débat sur, le débat autour de = die Debatte über + Accusatif<br><br>pour introduire un sujet général → über"
376,14,Ihre Debatte _____ die Umweltpolitik zog viele Zuhörer an.,über,Ihre Debatte über die Umweltpolitik zog viele Zuhörer an.,Their debate about environmental policy attracted many listeners.,Leur débat sur la politique environnementale a attiré de nombreux auditeurs.,,,die Debatte über,the debate about = die Debatte über + Accusative,"le débat sur, le débat autour de = die Debatte über + Accusatif",to introduce a general subject → über,pour introduire un sujet général → über,the debate about = die Debatte über + Accusative<br><br>to introduce a general subject → über,"le débat sur, le débat autour de = die Debatte über + Accusatif<br><br>pour introduire un sujet général → über"
377,14,Seine Debatte _____ Bildungsthemen wurde im Fernsehen übertragen.,über,Seine Debatte über Bildungsthemen wurde im Fernsehen übertragen.,His debate about education topics was broadcast on television.,Son débat sur les questions d’éducation a été diffusé à la télévision.,,,die Debatte über,the debate about = die Debatte über + Accusative,"le débat sur, le débat autour de = die Debatte über + Accusatif",to introduce a general subject → über,pour introduire un sujet général → über,the debate about = die Debatte über + Accusative<br><br>to introduce a general subject → über,"le débat sur, le débat autour de = die Debatte über + Accusatif<br><br>pour introduire un sujet général → über"
378,14,Die Verantwortung _____ das Projekt liegt bei ihm.,für,Die Verantwortung für das Projekt liegt bei ihm.,The responsibility for the project lies with him.,La responsabilité du projet lui incombe.,,,die Verantwortung für,the responsibility for = die Verantwortung für + Accusative,la responsabilité de = die Verantwortung für + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","the responsibility for = die Verantwortung für + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","la responsabilité de = die Verantwortung für + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
379,14,Ihre Verantwortung _____ die Kinder ist ihr wichtig.,für,Ihre Verantwortung für die Kinder ist ihr wichtig.,Her responsibility for the children is important to her.,Sa responsabilité envers les enfants est importante pour elle.,,,die Verantwortung für,the responsibility for = die Verantwortung für + Accusative,la responsabilité de = die Verantwortung für + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","the responsibility for = die Verantwortung für + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","la responsabilité de = die Verantwortung für + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
380,14,Seine Verantwortung _____ die Sicherheit des Teams ist groß.,für,Seine Verantwortung für die Sicherheit des Teams ist groß.,His responsibility for the safety of the team is significant.,Sa responsabilité pour la sécurité de l’équipe est importante.,,,die Verantwortung für,the responsibility for = die Verantwortung für + Accusative,la responsabilité de = die Verantwortung für + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","the responsibility for = die Verantwortung für + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","la responsabilité de = die Verantwortung für + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
381,14,Die Werbung _____ das neue Produkt war sehr effektiv.,für,Die Werbung für das neue Produkt war sehr effektiv.,The advertisement for the new product was very effective.,La publicité pour le nouveau produit a été très efficace.,,,die Werbung für,the advertisement for = die Werbung für + Accusative,la publicité pour = die Werbung für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,the advertisement for = die Werbung für + Accusative<br><br>to introduce an endorsement or an approval → für,la publicité pour = die Werbung für + Accusatif<br><br>pour introduire une approbation ou un accord → für
382,14,Die Werbung _____ den Film läuft auf allen Kanälen.,für,Die Werbung für den Film läuft auf allen Kanälen.,The advertisement for the film is running on all channels.,La publicité pour le film est diffusée sur toutes les chaînes.,,,die Werbung für,the advertisement for = die Werbung für + Accusative,la publicité pour = die Werbung für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,the advertisement for = die Werbung für + Accusative<br><br>to introduce an endorsement or an approval → für,la publicité pour = die Werbung für + Accusatif<br><br>pour introduire une approbation ou un accord → für
383,14,Ihre Werbung _____ die Veranstaltung erreichte viele Menschen.,für,Ihre Werbung für die Veranstaltung erreichte viele Menschen.,Her advertising for the event reached many people.,Sa publicité pour l’événement a atteint beaucoup de gens.,,,die Werbung für,the advertisement for = die Werbung für + Accusative,la publicité pour = die Werbung für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,the advertisement for = die Werbung für + Accusative<br><br>to introduce an endorsement or an approval → für,la publicité pour = die Werbung für + Accusatif<br><br>pour introduire une approbation ou un accord → für
384,14,Die Information _____ die Änderungen wurde per E-Mail verschickt.,über,Die Information über die Änderungen wurde per E-Mail verschickt.,The information about the changes was sent via email.,Les informations sur les modifications ont été envoyées par courrier électronique.,,,die Information über,the information about = die Information über + Accusative,l'information sur = die Information über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the information about = die Information über + Accusative<br><br>to introduce a general subject → über,l'information sur = die Information über + Accusatif<br><br>pour introduire un sujet général → über
385,14,Er suchte nach mehr Informationen _____ die Firma.,über,Er suchte nach mehr Informationen über die Firma.,He looked for more information about the company.,Il a cherché plus d'informations sur l'entreprise.,,,die Information über,the information about = die Information über + Accusative,l'information sur = die Information über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the information about = die Information über + Accusative<br><br>to introduce a general subject → über,l'information sur = die Information über + Accusatif<br><br>pour introduire un sujet général → über
386,14,Ihre Information _____ das neue Verfahren half vielen Mitarbeitenden.,über,Ihre Information über das neue Verfahren half vielen Mitarbeitenden.,Her information about the new procedure helped many employees.,Son information sur la nouvelle procédure a aidé de nombreux employés.,,,die Information über,the information about = die Information über + Accusative,l'information sur = die Information über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the information about = die Information über + Accusative<br><br>to introduce a general subject → über,l'information sur = die Information über + Accusatif<br><br>pour introduire un sujet général → über
387,14,Die Rede _____ die Zukunft des Unternehmens war inspirierend.,über,Die Rede über die Zukunft des Unternehmens war inspirierend.,The speech about the company's future was inspiring.,Le discours sur l’avenir de l’entreprise était inspirant.,,,die Rede über,the speech about = die Rede über + Accusative,le discours sur = die Rede über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the speech about = die Rede über + Accusative<br><br>to introduce a general subject → über,le discours sur = die Rede über + Accusatif<br><br>pour introduire un sujet général → über
388,14,Ihre Rede _____ Gleichberechtigung erhielt viel Applaus.,über,Ihre Rede über Gleichberechtigung erhielt viel Applaus.,Her speech about equality received a lot of applause.,Son discours sur l’égalité a reçu beaucoup d’applaudissements.,,,die Rede über,the speech about = die Rede über + Accusative,le discours sur = die Rede über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the speech about = die Rede über + Accusative<br><br>to introduce a general subject → über,le discours sur = die Rede über + Accusatif<br><br>pour introduire un sujet général → über
389,14,Seine Rede _____ Verantwortung beeindruckte das Publikum.,über,Seine Rede über Verantwortung beeindruckte das Publikum.,His speech about responsibility impressed the audience.,Son discours sur la responsabilité a impressionné le public.,,,die Rede über,the speech about = die Rede über + Accusative,le discours sur = die Rede über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the speech about = die Rede über + Accusative<br><br>to introduce a general subject → über,le discours sur = die Rede über + Accusatif<br><br>pour introduire un sujet général → über
390,14,Sein Wissen _____ Geschichte beeindruckte alle.,über,Sein Wissen über Geschichte beeindruckte alle.,His knowledge about history impressed everyone.,Ses connaissances en histoire ont impressionné tout le monde.,,,das Wissen über,the knowledge about = das Wissen über + Accusative,les connaissances en = das Wissen über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the knowledge about = das Wissen über + Accusative<br><br>to introduce a general subject → über,les connaissances en = das Wissen über + Accusatif<br><br>pour introduire un sujet général → über
