Nr,exercise,question,answer,german,english,french,case_english,case_french,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
233,9,lieb _____ sein,zu,lieb zu sein,to be kind to,être gentil avec,Dative,Datif,lieb zu sein,to be kind to = lieb zu sein + Dative,être gentil avec = lieb zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,to be kind to = lieb zu sein + Dative<br><br>to introduce a relationship → zu,être gentil avec = lieb zu sein + Datif<br><br>pour introduire une relation → zu
234,10,Seine ruhige Stimme ist angenehm _____ die Zuhörer.,für,Seine ruhige Stimme ist angenehm für die Zuhörer.,His calm voice is pleasant for the listeners.,Sa voix calme est agréable pour les auditeurs.,,,angenehm für sein,to be pleasant for = angenehm für sein + Accusative,être agréable pour = angenehm für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be pleasant for = angenehm für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être agréable pour = angenehm für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
235,10,Die Musik war angenehm _____ alle Gäste im Restaurant.,für,Die Musik war angenehm für alle Gäste im Restaurant.,The music was pleasant for all the guests in the restaurant.,La musique était agréable pour tous les invités au restaurant.,,,angenehm für sein,to be pleasant for = angenehm für sein + Accusative,être agréable pour = angenehm für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be pleasant for = angenehm für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être agréable pour = angenehm für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
236,10,Das warme Wetter ist sehr angenehm _____ einen Spaziergang im Park.,für,Das warme Wetter ist sehr angenehm für einen Spaziergang im Park.,The warm weather is very pleasant for a walk in the park.,Le temps chaud est très agréable pour une promenade dans le parc.,,,angenehm für sein,to be pleasant for = angenehm für sein + Accusative,être agréable pour = angenehm für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be pleasant for = angenehm für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être agréable pour = angenehm für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
237,10,In diesem Haus sind wir sicher _____ dem Sturm.,vor,In diesem Haus sind wir sicher vor dem Sturm.,In this house we are safe from the storm.,"Dans cette maison, nous sommes à l’abri de la tempête.",,,sicher vor sein,to be safe from = sicher vor sein + Dative,être à l'abri de = sicher vor sein + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,to be safe from = sicher vor sein + Dative<br><br>to introduce an object of danger → vor,être à l'abri de = sicher vor sein + Datif<br><br>pour introduire un danger → vor
238,10,Kinder sollten sicher _____ Gefahren im Internet sein.,vor,Kinder sollten sicher vor Gefahren im Internet sein.,Children should be safe from dangers on the internet.,Les enfants devraient être à l’abri des dangers sur Internet.,,,sicher vor sein,to be safe from = sicher vor sein + Dative,être à l'abri de = sicher vor sein + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,to be safe from = sicher vor sein + Dative<br><br>to introduce an object of danger → vor,être à l'abri de = sicher vor sein + Datif<br><br>pour introduire un danger → vor
239,10,"Niemand ist völlig sicher _____ Fehlern, auch Experten nicht.",vor,"Niemand ist völlig sicher vor Fehlern, auch Experten nicht.","No one is completely safe from mistakes, not even experts.","Personne n’est totalement à l’abri des erreurs, pas même les experts.",,,sicher vor sein,to be safe from = sicher vor sein + Dative,être à l'abri de = sicher vor sein + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,to be safe from = sicher vor sein + Dative<br><br>to introduce an object of danger → vor,être à l'abri de = sicher vor sein + Datif<br><br>pour introduire un danger → vor
240,10,Regen im April ist typisch _____ dieses Land.,für,Regen im April ist typisch für dieses Land.,Rain in April is typical for this country.,La pluie en avril est typique pour ce pays.,,,typisch für sein,to be typical for = typisch für sein + Accusative,être typique pour = typisch für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be typical for = typisch für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être typique pour = typisch für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
241,10,Diese Art von Humor ist typisch _____ ihn.,für,Diese Art von Humor ist typisch für ihn.,This kind of humor is typical for him.,Ce genre d’humour est typique de lui.,,,typisch für sein,to be typical for = typisch für sein + Accusative,être typique pour = typisch für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be typical for = typisch für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être typique pour = typisch für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
242,10,Verspätungen sind leider typisch _____ den öffentlichen Verkehr hier.,für,Verspätungen sind leider typisch für den öffentlichen Verkehr hier.,Delays are unfortunately typical for public transport here.,Les retards sont malheureusement typiques des transports publics ici.,,,typisch für sein,to be typical for = typisch für sein + Accusative,être typique pour = typisch für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be typical for = typisch für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être typique pour = typisch für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
243,10,"Ich bin überzeugt _____ seiner Idee, sie könnte wirklich funktionieren.",von,"Ich bin überzeugt von seiner Idee, sie könnte wirklich funktionieren.",I’m convinced by his idea; it could really work.,"Je suis convaincu par son idée, elle pourrait vraiment fonctionner.",,,überzeugt von sein,to be convinced by = überzeugt von sein + Dative,être convaincu de = überzeugt von sein + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,to be convinced by = überzeugt von sein + Dative<br><br>to introduce an expectation or a demand → von,être convaincu de = überzeugt von sein + Datif<br><br>pour introduire une attente ou une demande → von
244,10,Sie ist überzeugt _____ der Qualität dieses Produkts.,von,Sie ist überzeugt von der Qualität dieses Produkts.,She is convinced by the quality of this product.,Elle est convaincue par la qualité de ce produit.,,,überzeugt von sein,to be convinced by = überzeugt von sein + Dative,être convaincu de = überzeugt von sein + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,to be convinced by = überzeugt von sein + Dative<br><br>to introduce an expectation or a demand → von,être convaincu de = überzeugt von sein + Datif<br><br>pour introduire une attente ou une demande → von
245,10,Der Professor ist überzeugt _____ der Wichtigkeit weiterer Forschung.,von,Der Professor ist überzeugt von der Wichtigkeit weiterer Forschung.,The professor is convinced of the importance of further research.,Le professeur est convaincu de l’importance de poursuivre la recherche.,,,überzeugt von sein,to be convinced by = überzeugt von sein + Dative,être convaincu de = überzeugt von sein + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,to be convinced by = überzeugt von sein + Dative<br><br>to introduce an expectation or a demand → von,être convaincu de = überzeugt von sein + Datif<br><br>pour introduire une attente ou une demande → von
246,10,Der Rauch war unangenehm _____ die Gäste im Restaurant.,für,Der Rauch war unangenehm für die Gäste im Restaurant.,The smoke was unpleasant for the guests in the restaurant.,La fumée était désagréable pour les invités au restaurant.,,,unangenehm für sein,to be unpleasant for = unangenehm für sein + Accusative,être désagréable pour = unangenehm für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be unpleasant for = unangenehm für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être désagréable pour = unangenehm für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
247,10,"Es war unangenehm _____ ihn, über seine Fehler zu sprechen.",für,"Es war unangenehm für ihn, über seine Fehler zu sprechen.",It was unpleasant for him to talk about his mistakes.,C’était désagréable pour lui de parler de ses erreurs.,,,unangenehm für sein,to be unpleasant for = unangenehm für sein + Accusative,être désagréable pour = unangenehm für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be unpleasant for = unangenehm für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être désagréable pour = unangenehm für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
248,10,Die Situation war unangenehm _____ alle Beteiligten.,für,Die Situation war unangenehm für alle Beteiligten.,The situation was unpleasant for everyone involved.,La situation était désagréable pour toutes les personnes concernées.,,,unangenehm für sein,to be unpleasant for = unangenehm für sein + Accusative,être désagréable pour = unangenehm für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be unpleasant for = unangenehm für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être désagréable pour = unangenehm für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
249,10,Viele Kunden sind unzufrieden _____ dem neuen Service.,mit,Viele Kunden sind unzufrieden mit dem neuen Service.,Many customers are dissatisfied with the new service.,De nombreux clients sont insatisfaits du nouveau service.,,,unzufrieden mit sein,"to be dissatisfied with, by = unzufrieden mit sein + Dative",être insatisfait de = unzufrieden mit sein + Datif,to introduce a subject to handle → mit,pour introduire un sujet à gérer → mit,"to be dissatisfied with, by = unzufrieden mit sein + Dative<br><br>to introduce a subject to handle → mit",être insatisfait de = unzufrieden mit sein + Datif<br><br>pour introduire un sujet à gérer → mit
250,10,Er war unzufrieden _____ seiner Leistung bei der Prüfung.,mit,Er war unzufrieden mit seiner Leistung bei der Prüfung.,He was dissatisfied with his performance in the exam.,Il était insatisfait de sa performance à l’examen.,,,unzufrieden mit sein,"to be dissatisfied with, by = unzufrieden mit sein + Dative",être insatisfait de = unzufrieden mit sein + Datif,to introduce a subject to handle → mit,pour introduire un sujet à gérer → mit,"to be dissatisfied with, by = unzufrieden mit sein + Dative<br><br>to introduce a subject to handle → mit",être insatisfait de = unzufrieden mit sein + Datif<br><br>pour introduire un sujet à gérer → mit
251,10,Wir sind unzufrieden _____ der aktuellen Situation im Büro.,mit,Wir sind unzufrieden mit der aktuellen Situation im Büro.,We are dissatisfied with the current situation at the office.,Nous sommes insatisfaits de la situation actuelle au bureau.,,,unzufrieden mit sein,"to be dissatisfied with, by = unzufrieden mit sein + Dative",être insatisfait de = unzufrieden mit sein + Datif,to introduce a subject to handle → mit,pour introduire un sujet à gérer → mit,"to be dissatisfied with, by = unzufrieden mit sein + Dative<br><br>to introduce a subject to handle → mit",être insatisfait de = unzufrieden mit sein + Datif<br><br>pour introduire un sujet à gérer → mit
252,10,Sie ist verärgert _____ die ständigen Unterbrechungen während der Arbeit.,über,Sie ist verärgert über die ständigen Unterbrechungen während der Arbeit.,She is annoyed by the constant interruptions during work.,Elle est agacée par les interruptions constantes pendant le travail.,,,verärgert über sein,to be annoyed by a situation = verärgert über sein + Accusative,être agacé par une situation = verärgert über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be annoyed by a situation = verärgert über sein + Accusative<br><br>to introduce an emotional theme → über,être agacé par une situation = verärgert über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
253,10,"Ich bin verärgert _____ die falsche Rechnung, die ich bekommen habe.",über,"Ich bin verärgert über die falsche Rechnung, die ich bekommen habe.",I’m annoyed by the wrong bill I received.,Je suis agacé par la mauvaise facture que j’ai reçue.,,,verärgert über sein,to be annoyed by a situation = verärgert über sein + Accusative,être agacé par une situation = verärgert über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be annoyed by a situation = verärgert über sein + Accusative<br><br>to introduce an emotional theme → über,être agacé par une situation = verärgert über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
254,10,Viele Bürger sind verärgert _____ die neuen Parkgebühren in der Stadt.,über,Viele Bürger sind verärgert über die neuen Parkgebühren in der Stadt.,Many citizens are annoyed by the new parking fees in the city.,De nombreux citoyens sont agacés par les nouveaux frais de stationnement en ville.,,,verärgert über sein,to be annoyed by a situation = verärgert über sein + Accusative,être agacé par une situation = verärgert über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be annoyed by a situation = verärgert über sein + Accusative<br><br>to introduce an emotional theme → über,être agacé par une situation = verärgert über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
255,10,Er ist schon seit Monaten verliebt _____ seine Kollegin.,in,Er ist schon seit Monaten verliebt in seine Kollegin.,He has been in love with his colleague for months.,Il est amoureux de sa collègue depuis des mois.,,,verliebt in sein,to be in love with = verliebt in sein + Accusative,être amoureux de = verliebt in sein + Accusatif,to introduce a condition or a state → in,pour introduire une condition ou un état → in,to be in love with = verliebt in sein + Accusative<br><br>to introduce a condition or a state → in,être amoureux de = verliebt in sein + Accusatif<br><br>pour introduire une condition ou un état → in
256,10,"Sie ist verliebt _____ einen Mann, den sie im Urlaub kennengelernt hat.",in,"Sie ist verliebt in einen Mann, den sie im Urlaub kennengelernt hat.",She is in love with a man she met on vacation.,Elle est amoureuse d’un homme qu’elle a rencontré pendant les vacances.,,,verliebt in sein,to be in love with = verliebt in sein + Accusative,être amoureux de = verliebt in sein + Accusatif,to introduce a condition or a state → in,pour introduire une condition ou un état → in,to be in love with = verliebt in sein + Accusative<br><br>to introduce a condition or a state → in,être amoureux de = verliebt in sein + Accusatif<br><br>pour introduire une condition ou un état → in
257,10,"Ich glaube, er ist wirklich verliebt _____ dich.",in,"Ich glaube, er ist wirklich verliebt in dich.",I think he’s really in love with you.,Je crois qu’il est vraiment amoureux de toi.,,,verliebt in sein,to be in love with = verliebt in sein + Accusative,être amoureux de = verliebt in sein + Accusatif,to introduce a condition or a state → in,pour introduire une condition ou un état → in,to be in love with = verliebt in sein + Accusative<br><br>to introduce a condition or a state → in,être amoureux de = verliebt in sein + Accusatif<br><br>pour introduire une condition ou un état → in
258,10,Sie ist seit einem Jahr _____ ihrem Freund verlobt.,mit,Sie ist seit einem Jahr mit ihrem Freund verlobt.,She has been engaged to her boyfriend for a year.,Elle est fiancée à son petit ami depuis un an.,,,verlobt mit sein,to be engaged to = verlobt mit sein + Dative,être fiancé à = verlobt mit sein + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,to be engaged to = verlobt mit sein + Dative<br><br>to introduce a partner → mit,être fiancé à = verlobt mit sein + Datif<br><br>pour introduire un partenaire → mit
259,10,"Er ist _____ einer Kollegin verlobt, die er an der Arbeit kennengelernt hat.",mit,"Er ist mit einer Kollegin verlobt, die er an der Arbeit kennengelernt hat.",He is engaged to a colleague he met at work.,Il est fiancé à une collègue qu’il a rencontrée au travail.,,,verlobt mit sein,to be engaged to = verlobt mit sein + Dative,être fiancé à = verlobt mit sein + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,to be engaged to = verlobt mit sein + Dative<br><br>to introduce a partner → mit,être fiancé à = verlobt mit sein + Datif<br><br>pour introduire un partenaire → mit
260,10,Meine Schwester ist verlobt _____ einem Arzt aus Berlin.,mit,Meine Schwester ist verlobt mit einem Arzt aus Berlin.,My sister is engaged to a doctor from Berlin.,Ma sœur est fiancée à un médecin de Berlin.,,,verlobt mit sein,to be engaged to = verlobt mit sein + Dative,être fiancé à = verlobt mit sein + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,to be engaged to = verlobt mit sein + Dative<br><br>to introduce a partner → mit,être fiancé à = verlobt mit sein + Datif<br><br>pour introduire un partenaire → mit
261,10,Ich bin _____ ihm weit entfernt verwandt.,mit,Ich bin mit ihm weit entfernt verwandt.,I am distantly related to him.,Je suis lié à lui par un lien éloigné.,,,verwandt mit sein,to be related to = verwandt mit sein + Dative,être lié à = verwandt mit sein + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,to be related to = verwandt mit sein + Dative<br><br>to introduce a partner → mit,être lié à = verwandt mit sein + Datif<br><br>pour introduire un partenaire → mit
262,10,Sie ist _____ einer berühmten Schauspielerin verwandt.,mit,Sie ist mit einer berühmten Schauspielerin verwandt.,She is related to a famous actress.,Elle est liée à une actrice célèbre.,,,verwandt mit sein,to be related to = verwandt mit sein + Dative,être lié à = verwandt mit sein + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,to be related to = verwandt mit sein + Dative<br><br>to introduce a partner → mit,être lié à = verwandt mit sein + Datif<br><br>pour introduire un partenaire → mit
263,10,"Wir sind nicht direkt _____einander verwandt, aber unsere Familien kennen sich gut.",mit,"Wir sind nicht direkt miteinander verwandt, aber unsere Familien kennen sich gut.","We are not directly related, but our families know each other well.","Nous ne sommes pas directement liés, mais nos familles se connaissent bien.",,,verwandt mit sein,to be related to = verwandt mit sein + Dative,être lié à = verwandt mit sein + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,to be related to = verwandt mit sein + Dative<br><br>to introduce a partner → mit,être lié à = verwandt mit sein + Datif<br><br>pour introduire un partenaire → mit
264,10,Ich bin sehr zufrieden _____ meinem neuen Job.,mit,Ich bin sehr zufrieden mit meinem neuen Job.,I am very satisfied with my new job.,Je suis très satisfait de mon nouveau travail.,,,zufrieden mit sein,to be satisfied with = zufrieden mit sein + Dative,être satisfait de = zufrieden mit sein + Datif,to introduce a subject to handle → mit,pour introduire un sujet à gérer → mit,to be satisfied with = zufrieden mit sein + Dative<br><br>to introduce a subject to handle → mit,être satisfait de = zufrieden mit sein + Datif<br><br>pour introduire un sujet à gérer → mit
265,10,Sie war zufrieden _____ dem Ergebnis der Prüfung.,mit,Sie war zufrieden mit dem Ergebnis der Prüfung.,She was satisfied with the result of the exam.,Elle était satisfaite du résultat de l’examen.,,,zufrieden mit sein,to be satisfied with = zufrieden mit sein + Dative,être satisfait de = zufrieden mit sein + Datif,to introduce a subject to handle → mit,pour introduire un sujet à gérer → mit,to be satisfied with = zufrieden mit sein + Dative<br><br>to introduce a subject to handle → mit,être satisfait de = zufrieden mit sein + Datif<br><br>pour introduire un sujet à gérer → mit
266,10,Wir sind zufrieden _____ dem Service im Hotel.,mit,Wir sind zufrieden mit dem Service im Hotel.,We are satisfied with the service at the hotel.,Nous sommes satisfaits du service à l’hôtel.,,,zufrieden mit sein,to be satisfied with = zufrieden mit sein + Dative,être satisfait de = zufrieden mit sein + Datif,to introduce a subject to handle → mit,pour introduire un sujet à gérer → mit,to be satisfied with = zufrieden mit sein + Dative<br><br>to introduce a subject to handle → mit,être satisfait de = zufrieden mit sein + Datif<br><br>pour introduire un sujet à gérer → mit
267,10,Er ist bekannt _____ ein sehr talentierter Musiker.,als,Er ist bekannt als ein sehr talentierter Musiker.,He is known as a very talented musician.,Il est connu comme un musicien très talentueux.,,,bekannt als sein,to be known as = bekannt als sein + Nominative,être connu comme = bekannt als sein + Nominatif,to introduce an identity → als,pour introduire une identité → als,to be known as = bekannt als sein + Nominative<br><br>to introduce an identity → als,être connu comme = bekannt als sein + Nominatif<br><br>pour introduire une identité → als
268,10,Die Stadt ist bekannt _____ Zentrum der modernen Kunst.,als,Die Stadt ist bekannt als Zentrum der modernen Kunst.,The city is known as a center of modern art.,La ville est connue comme un centre de l’art moderne.,,,bekannt als sein,to be known as = bekannt als sein + Nominative,être connu comme = bekannt als sein + Nominatif,to introduce an identity → als,pour introduire une identité → als,to be known as = bekannt als sein + Nominative<br><br>to introduce an identity → als,être connu comme = bekannt als sein + Nominatif<br><br>pour introduire une identité → als
269,10,Sie ist bekannt _____ eine engagierte und zuverlässige Mitarbeiterin.,als,Sie ist bekannt als eine engagierte und zuverlässige Mitarbeiterin.,She is known as a dedicated and reliable employee.,Elle est connue comme une employée dévouée et fiable.,,,bekannt als sein,to be known as = bekannt als sein + Nominative,être connu comme = bekannt als sein + Nominatif,to introduce an identity → als,pour introduire une identité → als,to be known as = bekannt als sein + Nominative<br><br>to introduce an identity → als,être connu comme = bekannt als sein + Nominatif<br><br>pour introduire une identité → als
270,10,Sei bitte lieb _____ deinem kleinen Bruder.,zu,Sei bitte lieb zu deinem kleinen Bruder.,Please be kind to your little brother.,Sois gentil avec ton petit frère.,,,lieb zu sein,to be kind to = lieb zu sein + Dative,être gentil avec = lieb zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,to be kind to = lieb zu sein + Dative<br><br>to introduce a relationship → zu,être gentil avec = lieb zu sein + Datif<br><br>pour introduire une relation → zu
271,10,Sie ist immer lieb _____ ihren Nachbarn.,zu,Sie ist immer lieb zu ihren Nachbarn.,She is always kind to her neighbors.,Elle est toujours gentille avec ses voisins.,,,lieb zu sein,to be kind to = lieb zu sein + Dative,être gentil avec = lieb zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,to be kind to = lieb zu sein + Dative<br><br>to introduce a relationship → zu,être gentil avec = lieb zu sein + Datif<br><br>pour introduire une relation → zu
272,10,Er war sehr lieb _____ dem alten Hund.,zu,Er war sehr lieb zu dem alten Hund.,He was very kind to the old dog.,Il a été très gentil avec le vieux chien.,,,lieb zu sein,to be kind to = lieb zu sein + Dative,être gentil avec = lieb zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,to be kind to = lieb zu sein + Dative<br><br>to introduce a relationship → zu,être gentil avec = lieb zu sein + Datif<br><br>pour introduire une relation → zu
273,11,erkrankt _____,an,erkrankt an sein,to be ill with,être malade de,Dative,Datif,erkrankt an sein,to be ill with = erkrankt an sein + Dative,être malade de = erkrankt an sein + Datif,to introduce a cause → an,pour introduire une cause → an,to be ill with = erkrankt an sein + Dative<br><br>to introduce a cause → an,être malade de = erkrankt an sein + Datif<br><br>pour introduire une cause → an
274,11,eifersüchtig _____ sein,auf,eifersüchtig auf sein,to be jealous of,être jaloux de,Accusative,Accusatif,eifersüchtig auf sein,to be jealous of = eifersüchtig auf sein + Accusative,être jaloux de = eifersüchtig auf sein + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,to be jealous of = eifersüchtig auf sein + Accusative<br><br>to introduce an object of focus or a target → auf,être jaloux de = eifersüchtig auf sein + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
275,11,neidisch _____ sein,auf,neidisch auf sein,to be jealous of,être jaloux de,Accusative,Accusatif,neidisch auf sein,to be jealous of = neidisch auf sein + Accusative,être jaloux de = neidisch auf sein + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,to be jealous of = neidisch auf sein + Accusative<br><br>to introduce an object of focus or a target → auf,être jaloux de = neidisch auf sein + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
276,11,geeignet _____ sein,für,geeignet für sein,to be suitable for,être adapté pour,Accusative,Accusatif,geeignet für sein,to be suitable for = geeignet für sein + Accusative,être adapté pour = geeignet für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be suitable for = geeignet für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être adapté pour = geeignet für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
277,11,immun _____ sein,gegen,immun gegen sein,to be immune to,être immunisé contre,Accusative,Accusatif,immun gegen sein,to be immune to = immun gegen sein + Accusative,être immunisé contre = immun gegen sein + Accusatif,to introduce a rejection or an opposition → gegen,pour introduire un rejet ou une opposition → gegen,to be immune to = immun gegen sein + Accusative<br><br>to introduce a rejection or an opposition → gegen,être immunisé contre = immun gegen sein + Accusatif<br><br>pour introduire un rejet ou une opposition → gegen
278,11,süchtig _____ sein,nach,süchtig nach sein,to be addicted to,"être accro à, être addict à",Dative,Datif,süchtig nach sein,to be addicted to = süchtig nach sein + Dative,"être accro à, être addict à = süchtig nach sein + Datif",to introduce the object of a search → nach,pour introduire l'objet d'une recherche → nach,to be addicted to = süchtig nach sein + Dative<br><br>to introduce the object of a search → nach,"être accro à, être addict à = süchtig nach sein + Datif<br><br>pour introduire l'objet d'une recherche → nach"
279,11,entsetzt _____ sein,über,entsetzt über sein,to be appalled by,être horrifié par,Accusative,Accusatif,entsetzt über sein,to be appalled by = entsetzt über sein + Accusative,être horrifié par = entsetzt über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be appalled by = entsetzt über sein + Accusative<br><br>to introduce an emotional theme → über,être horrifié par = entsetzt über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
280,11,erfahren _____ sein,in,erfahren in sein,"to be experienced in, with",être expérimenté en,Dative,Datif,erfahren in sein,"to be experienced in, with = erfahren in sein + Dative",être expérimenté en = erfahren in sein + Datif,to introduce an area of expertise → in,pour introduire un domaine d'expertise → dans,"to be experienced in, with = erfahren in sein + Dative<br><br>to introduce an area of expertise → in",être expérimenté en = erfahren in sein + Datif<br><br>pour introduire un domaine d'expertise → dans
281,11,erstaunt _____ sein,über,erstaunt über sein,to be astonished about,être étonné de,Accusative,Accusatif,erstaunt über sein,to be astonished about = erstaunt über sein + Accusative,être étonné de = erstaunt über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be astonished about = erstaunt über sein + Accusative<br><br>to introduce an emotional theme → über,être étonné de = erstaunt über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
282,11,verwundert _____ sein,über,verwundert über sein,to be surprised by,être surpris par,Accusative,Accusatif,verwundert über sein,to be surprised by = verwundert über sein + Accusative,être surpris par = verwundert über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be surprised by = verwundert über sein + Accusative<br><br>to introduce an emotional theme → über,être surpris par = verwundert über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
283,11,entschlossen _____ sein,zu,entschlossen zu sein,to be determined to,être déterminé à,Dative,Datif,entschlossen zu sein,to be determined to = entschlossen zu sein + Dative,être déterminé à = entschlossen zu sein + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,to be determined to = entschlossen zu sein + Dative<br><br>to introduce an outcome or direction → zu,être déterminé à = entschlossen zu sein + Datif<br><br>pour introduire un résultat ou une direction → zu
284,11,angewiesen _____ sein,auf,angewiesen auf sein,to be dependent on,être dépendant de,Accusative,Accusatif,angewiesen auf sein,to be dependent on = angewiesen auf sein + Accusative,être dépendant de = angewiesen auf sein + Accusatif,to introduce a base or a foundation → auf,pour introduire une base ou une fondation → un,to be dependent on = angewiesen auf sein + Accusative<br><br>to introduce a base or a foundation → auf,être dépendant de = angewiesen auf sein + Accusatif<br><br>pour introduire une base ou une fondation → un
285,11,behilflich _____ sein,bei,behilflich bei sein,to be helpful with,"être utile à, être d'une grande aide",Dative,Datif,behilflich bei sein,to be helpful with = behilflich bei sein + Dative,"être utile à, être d'une grande aide = behilflich bei sein + Datif",to introduce a context or a situation → bei,pour introduire un contexte ou une situation → bei,to be helpful with = behilflich bei sein + Dative<br><br>to introduce a context or a situation → bei,"être utile à, être d'une grande aide = behilflich bei sein + Datif<br><br>pour introduire un contexte ou une situation → bei"
286,11,beteiligt _____ sein,an,beteiligt an sein,to be involved in,être impliqué dans,Dative,Datif,beteiligt an sein,to be involved in = beteiligt an sein + Dative,être impliqué dans = beteiligt an sein + Datif,to introduce a point of reference → an,pour introduire un point de référence → an,to be involved in = beteiligt an sein + Dative<br><br>to introduce a point of reference → an,être impliqué dans = beteiligt an sein + Datif<br><br>pour introduire un point de référence → an
287,11,beunruhigt _____ sein,über,beunruhigt über sein,"to be concerned, worried about","être préoccupé par, être inquiet de",Accusative,Accusatif,beunruhigt über sein,"to be concerned, worried about = beunruhigt über sein + Accusative","être préoccupé par, être inquiet de = beunruhigt über sein + Accusatif",to introduce an emotional theme → über,pour introduire un thème émotionnel → über,"to be concerned, worried about = beunruhigt über sein + Accusative<br><br>to introduce an emotional theme → über","être préoccupé par, être inquiet de = beunruhigt über sein + Accusatif<br><br>pour introduire un thème émotionnel → über"
