Nr,exercise,original_exercise,question,answer,german,english,french,person,preposition,article,combination,case_english_,case_french_,gender_english,gender_french,explanation_english,explanation_french,case_english,case_french
409,13,12,_____ Fussballstadion hat es einen grossen Parkplatz.,Gegenüber dem,Gegenüber dem Fussballstadion hat es einen grossen Parkplatz.,There is a large parking lot across from the football stadium.,Il y a un grand parking en face du stade de football.,der/die/das,gegenüber,dem,,Dative,Datif,Neuter,Neutre,"opposite of, across from = gegenüber + Dative","à l'opposé de, en face de, vis-à-vis de = gegenüber + Datif",", Dative",", Datif"
410,13,12,_____ Stadt gibt es viele historische Gebäude.,Innerhalb der,Innerhalb der Stadt gibt es viele historische Gebäude.,"Within the city, there are many historical buildings.","Dans la ville, il existe de nombreux bâtiments historiques.",der/die/das,innerhalb,der,,Genitive,Génitif,Feminine,Féminin,"inside of, within = innerhalb + Genitive",à l'intérieur de = innerhalb + Génitif,", Genitive",", Génitif"
411,13,12,Die Lieferung erfolgt _____ Woche.,innerhalb einer,Die Lieferung erfolgt innerhalb einer Woche.,The delivery will take place within a week.,La livraison aura lieu dans un délai d'une semaine.,ein,innerhalb,einer,,Genitive,Génitif,Feminine,Féminin,"inside of, within = innerhalb + Genitive",à l'intérieur de = innerhalb + Génitif,", Genitive",", Génitif"
412,13,12,_____ Unternehmens gab es viele Veränderungen.,Innerhalb des,Innerhalb des Unternehmens gab es viele Veränderungen.,There have been many changes within the company.,Il y a eu beaucoup de changements au sein de l'entreprise.,der/die/das,innerhalb,des,,Genitive,Génitif,Neuter,Neutre,"inside of, within = innerhalb + Genitive",à l'intérieur de = innerhalb + Génitif,", Genitive",", Génitif"
413,13,12,_____ Schule gibt es strenge Regeln für die Nutzung von Handys.,Innerhalb der,Innerhalb der Schule gibt es strenge Regeln für die Nutzung von Handys.,"Inside the school, there are strict rules for the use of mobile phones.","À l'intérieur de l'école, il existe des règles strictes concernant l'utilisation des téléphones portables.",der/die/das,innerhalb,der,,Genitive,Génitif,Feminine,Féminin,"inside of, within = innerhalb + Genitive",à l'intérieur de = innerhalb + Génitif,", Genitive",", Génitif"
414,13,12,_____ Zeitung wird das Wetter morgen sonnig.,Laut der,Laut der Zeitung wird das Wetter morgen sonnig.,"According to the newspaper, the weather will be sunny tomorrow.","Selon le journal, le temps sera ensoleillé demain.",der/die/das,laut,der,,Genitive,Génitif,Feminine,Féminin,according to = laut + Genitive (Dative colloquial),"selon, d'après = laut + Génitif (Datif familier)",", Genitive",", Génitif"
415,13,12,_____ Lehrers müssen wir das Buch bis nächste Woche lesen.,Laut des,Laut des Lehrers müssen wir das Buch bis nächste Woche lesen.,"According to the teacher, we have to read the book by next week.","Selon le professeur, nous devons lire le livre d’ici la semaine prochaine.",der/die/das,laut,des,,Genitive,Génitif,Masculine,Masculin,according to = laut + Genitive (Dative colloquial),"selon, d'après = laut + Génitif (Datif familier)",", Genitive",", Génitif"
416,13,12,_____ Studie trinken Deutsche viel Kaffee.,Laut einer,Laut einer Studie trinken Deutsche viel Kaffee.,"According to a study, Germans drink a lot of coffee.","Selon une étude, les Allemands boivent beaucoup de café.",ein,laut,einer,,Genitive,Génitif,Feminine,Féminin,according to = laut + Genitive (Dative colloquial),"selon, d'après = laut + Génitif (Datif familier)",", Genitive",", Génitif"
417,13,12,_____ Regens gingen wir spazieren.,Trotz des,Trotz des Regens gingen wir spazieren.,"Despite the rain, we went for a walk.","Malgré la pluie, nous sommes allés nous promener.",der/die/das,trotz,des,,Genitive,Génitif,Masculine,Masculin,"despite, regardless of = trotz + Genitive",malgré = trotz + Génitif,", Genitive",", Génitif"
418,13,12,Er bestand die Prüfung _____ Nervosität.,trotz seiner,Er bestand die Prüfung trotz seiner Nervosität.,He passed the exam despite his nervousness.,Il a réussi l'examen malgré sa nervosité.,sein,trotz,seiner,,Genitive,Génitif,Feminine,Féminin,"despite, regardless of = trotz + Genitive",malgré = trotz + Génitif,", Genitive",", Génitif"
419,13,12,_____ schlechten Wetters fand das Konzert draussen statt.,Trotz des,Trotz des schlechten Wetters fand das Konzert draussen statt.,"Despite the bad weather, the concert took place outside.","Malgré le mauvais temps, le concert a eu lieu en extérieur.",der/die/das,trotz,des,,Genitive,Génitif,Neuter,Neutre,"despite, regardless of = trotz + Genitive",malgré = trotz + Génitif,", Genitive",", Génitif"
420,13,12,"Sie kam pünktlich, _____ Verkehrs.",trotz des,"Sie kam pünktlich, trotz des Verkehrs.",She arrived on time despite the traffic.,Elle est arrivée à l'heure malgré le trafic.,der/die/das,trotz,des,,Genitive,Génitif,Masculine,Masculin,"despite, regardless of = trotz + Genitive",malgré = trotz + Génitif,", Genitive",", Génitif"
421,13,12,_____ Müdigkeit arbeitete er bis spät in die Nacht.,Trotz seiner,Trotz seiner Müdigkeit arbeitete er bis spät in die Nacht.,"Despite his fatigue, he worked late into the night.","Malgré sa fatigue, il travaillait tard dans la nuit.",sein,trotz,seiner,,Genitive,Génitif,Feminine,Féminin,"despite, regardless of = trotz + Genitive",malgré = trotz + Génitif,", Genitive",", Génitif"
422,13,12,_____ Essens sollte man nicht telefonieren.,Während des,Während des Essens sollte man nicht telefonieren.,"During the meal, one should not use the phone.","Pendant le repas, il ne faut pas utiliser le téléphone.",der/die/das,während,des,,Genitive,Génitif,Neuter,Neutre,"during, throughout = während + Genitive",pendant = während + Génitif,", Genitive",", Génitif"
423,13,12,Er blieb ruhig _____ gesamten Meetings.,während des,Er blieb ruhig während des gesamten Meetings.,He stayed calm throughout the entire meeting.,Il est resté calme tout au long de la réunion.,der/die/das,während,des,,Genitive,Génitif,Neuter,Neutre,"during, throughout = während + Genitive",pendant = während + Génitif,", Genitive",", Génitif"
424,13,12,_____ Sommers fahren viele Menschen in den Urlaub.,Während des,Während des Sommers fahren viele Menschen in den Urlaub.,"During the summer, many people go on vacation.","Pendant l’été, beaucoup de gens partent en vacances.",der/die/das,während,des,,Genitive,Génitif,Masculine,Masculin,"during, throughout = während + Genitive",pendant = während + Génitif,", Genitive",", Génitif"
425,13,12,Sie hat viel gelernt _____ Studiums.,während ihres,Sie hat viel gelernt während ihres Studiums.,She learned a lot during her studies.,Elle a beaucoup appris durant ses études.,ihr,während,ihres,,Genitive,Génitif,Neuter,Neutre,"during, throughout = während + Genitive",pendant = während + Génitif,", Genitive",", Génitif"
426,13,12,_____ Nacht sind die Straßen oft leer.,Während der,Während der Nacht sind die Straßen oft leer.,"During the night, the streets are often empty.","La nuit, les rues sont souvent vides.",der/die/das,während,der,,Genitive,Génitif,Feminine,Féminin,"during, throughout = während + Genitive",pendant = während + Génitif,", Genitive",", Génitif"
427,13,12,_____ schlechten Wetters wurde das Spiel abgesagt.,Wegen des,Wegen des schlechten Wetters wurde das Spiel abgesagt.,"Because of the bad weather, the game was canceled.","En raison du mauvais temps, le match a été annulé.",der/die/das,wegen,des,,Genitive,Génitif,Neuter,Neutre,"due to, because of = wegen + Genitive","à cause de, dû à = wegen + Génitif",", Genitive",", Génitif"
428,13,12,Er konnte nicht kommen _____ wichtigen Besprechung.,wegen einer,Er konnte nicht kommen wegen einer wichtigen Besprechung.,He couldn't come because of an important meeting.,Il n'a pas pu venir à cause d'une réunion importante.,ein,wegen,einer,,Genitive,Génitif,Feminine,Féminin,"due to, because of = wegen + Genitive","à cause de, dû à = wegen + Génitif",", Genitive",", Génitif"
429,13,12,_____ Verkehrs sind wir zu spät gekommen.,Wegen des,Wegen des Verkehrs sind wir zu spät gekommen.,"Because of the traffic, we arrived late.","À cause du trafic, nous sommes arrivés en retard.",der/die/das,wegen,des,,Genitive,Génitif,Masculine,Masculin,"due to, because of = wegen + Genitive","à cause de, dû à = wegen + Génitif",", Genitive",", Génitif"
430,13,12,Sie war traurig _____ schlechten Nachricht.,wegen der,Sie war traurig wegen der schlechten Nachricht.,She was sad because of the bad news.,Elle était triste à cause de la mauvaise nouvelle.,der/die/das,wegen,der,,Genitive,Génitif,Feminine,Féminin,"due to, because of = wegen + Genitive","à cause de, dû à = wegen + Génitif",", Genitive",", Génitif"
431,13,12,_____ Fleisses hat er die Beförderung bekommen.,Wegen seines,Wegen seines Fleisses hat er die Beförderung bekommen.,"Because of his diligence, he got the promotion.","Grâce à sa diligence, il a obtenu la promotion.",sein,wegen,seines,,Genitive,Génitif,Masculine,Masculin,"due to, because of = wegen + Genitive","à cause de, dû à = wegen + Génitif",", Genitive",", Génitif"
432,14,12,Er ist _____ schweren Krankheit gestorben.,an einer,Er ist an einer schweren Krankheit gestorben.,He died of a serious illness.,Il est décédé des suites d'une grave maladie.,ein,an,einer,sterben an,Dative,Datif,Feminine,Féminin,to die of = sterben an + Dative<br>to introduce a cause → an + Dat.,mourir de = sterben an + Datif<br>pour introduire une cause → an + Dat.,", Dative",", Datif"
433,14,12,Viele Menschen sterben _____ Folgen von Rauchen.,an den,Viele Menschen sterben an den Folgen von Rauchen.,Many people die from the consequences of smoking.,De nombreuses personnes meurent des suites du tabagisme.,der/die/das,an,den,sterben an,Dative,Datif,Plural,Pluriel,to die of = sterben an + Dative<br>to introduce a cause → an + Dat.,mourir de = sterben an + Datif<br>pour introduire une cause → an + Dat.,", Dative",", Datif"
434,14,12,Sein Großvater ist _____ Herzinfarkt gestorben.,an einem,Sein Großvater ist an einem Herzinfarkt gestorben.,His grandfather died of a heart attack.,Son grand-père est décédé d'une crise cardiaque.,ein,an,einem,sterben an,Dative,Datif,Masculine,Masculin,to die of = sterben an + Dative<br>to introduce a cause → an + Dat.,mourir de = sterben an + Datif<br>pour introduire une cause → an + Dat.,", Dative",", Datif"
435,14,12,Er kümmert sich _____ kranke Mutter.,um seine,Er kümmert sich um seine kranke Mutter.,He takes care of his sick mother.,Il prend soin de sa mère malade.,sein,um,seine,sich kümmern um,Accusative,Accusatif,Feminine,Féminin,"to take care of, to care for = sich kümmern um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.","prendre soin de, s'occuper de = sich kümmern um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.",", Accusative",", Accusatif"
436,14,12,Ich kümmere mich _____ Organisation der Feier.,um die,Ich kümmere mich um die Organisation der Feier.,I take care of organizing the party.,Je m'occupe de l'organisation de la fête.,der/die/das,um,die,sich kümmern um,Accusative,Accusatif,Feminine,Féminin,"to take care of, to care for = sich kümmern um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.","prendre soin de, s'occuper de = sich kümmern um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.",", Accusative",", Accusatif"
437,14,12,Sie kümmert sich liebevoll _____ kleinen Bruder.,um ihren,Sie kümmert sich liebevoll um ihren kleinen Bruder.,She lovingly looks after her little brother.,Elle prend soin de son petit frère avec amour.,ihr,um,ihren,sich kümmern um,Accusative,Accusatif,Masculine,Masculin,"to take care of, to care for = sich kümmern um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.","prendre soin de, s'occuper de = sich kümmern um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.",", Accusative",", Accusatif"
438,14,12,"Es kommt _____ Wetter an, ob wir morgen wandern gehen.",auf das,"Es kommt auf das Wetter an, ob wir morgen wandern gehen.",It depends on the weather whether we go hiking tomorrow.,Nous irons en randonnée demain en fonction de la météo.,der/die/das,auf,das,ankommen auf,Accusative,Accusatif,Neuter,Neutre,to depend on = ankommen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,dépendre de = ankommen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.,", Accusative",", Accusatif"
439,14,12,Beim Bewerbungsgespräch kommt es _____ richtige Kleidung an.,auf die,Beim Bewerbungsgespräch kommt es auf die richtige Kleidung an.,"In a job interview, the right clothing matters.","Lors d'un entretien d'embauche, la tenue vestimentaire appropriée est importante.",der/die/das,auf,die,ankommen auf,Accusative,Accusatif,Feminine,Féminin,to depend on = ankommen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,dépendre de = ankommen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.,", Accusative",", Accusatif"
440,14,12,Im Buch geht es _____ spannende Reise.,um eine,Im Buch geht es um eine spannende Reise.,The book is about an exciting journey.,Ce livre raconte un voyage passionnant.,ein,um,eine,gehen um,Accusative,Accusatif,Feminine,Féminin,"to be about, to revolve around = gehen um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.",être à propos de = gehen um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.,", Accusative",", Accusatif"
441,14,12,In dem Film geht es _____ außergewöhnliche Freundschaft.,um eine,In dem Film geht es um eine außergewöhnliche Freundschaft.,The movie is about an extraordinary friendship.,Ce film raconte l'histoire d'une amitié extraordinaire.,ein,um,eine,gehen um,Accusative,Accusatif,Feminine,Féminin,"to be about, to revolve around = gehen um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.",être à propos de = gehen um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.,", Accusative",", Accusatif"
442,14,12,Ich rufe _____ Firma an.,bei der,Ich rufe bei der Firma an.,I call the company.,J'appelle l'entreprise.,der/die/das,bei,der,anrufen bei,Dative,Datif,Feminine,Féminin,to call at = anrufen bei + Dative<br>to introduce a person or an institution → bei + Dat.,appeler (quelqu'un) = anrufen bei + Datif<br>pour introduire une personne ou une institution → bei + Dat.,", Dative",", Datif"
443,14,12,Er ruft _____ Mutter an.,bei seiner,Er ruft bei seiner Mutter an.,He calls his mother.,Il appelle sa mère.,sein,bei,seiner,anrufen bei,Dative,Datif,Feminine,Féminin,to call at = anrufen bei + Dative<br>to introduce a person or an institution → bei + Dat.,appeler (quelqu'un) = anrufen bei + Datif<br>pour introduire une personne ou une institution → bei + Dat.,", Dative",", Datif"
444,14,12,Sie hat gestern Abend _____ Freund angerufen.,bei ihrem,Sie hat gestern Abend bei ihrem Freund angerufen.,She called her boyfriend last night.,Elle a appelé son petit ami hier soir.,ihr,bei,ihrem,anrufen bei,Dative,Datif,Masculine,Masculin,to call at = anrufen bei + Dative<br>to introduce a person or an institution → bei + Dat.,appeler (quelqu'un) = anrufen bei + Datif<br>pour introduire une personne ou une institution → bei + Dat.,", Dative",", Datif"
445,14,12,Wir wählen ihn _____ Klassensprecher.,zum,Wir wählen ihn zum Klassensprecher.,We elect him as class representative.,Nous l'élisons comme délégué de classe.,der/die/das,zu,dem,wählen zu,Dative,Datif,Masculine,Masculin,to elect to = wählen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,élire = wählen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.,", Dative",", Datif"
446,14,12,Sie wurde _____ Chefin gewählt.,zur,Sie wurde zur Chefin gewählt.,She was elected as the boss.,Elle a été élue chef.,der/die/das,zu,der,wählen zu,Dative,Datif,Feminine,Féminin,to elect to = wählen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,élire = wählen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.,", Dative",", Datif"
447,14,12,Die Mitglieder wählten ihn _____ Vorsitzenden des Vereins.,zum,Die Mitglieder wählten ihn zum Vorsitzenden des Vereins.,The members elected him chairman of the association.,Les membres l'ont élu président de l'association.,der/die/das,zu,dem,wählen zu,Dative,Datif,Masculine,Masculin,to elect to = wählen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,élire = wählen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.,", Dative",", Datif"
448,14,12,Es liegt _____ Wetter.,am,Es liegt am Wetter.,It’s due to the weather.,C'est à cause de la météo.,der/die/das,an,dem,liegen an,Dative,Datif,Neuter,Neutre,"to be due to, to be because of = liegen an + Dative<br>to introduce a cause → an + Dat.","être dû à, être à cause de = liegen an + Datif<br>pour introduire une cause → an + Dat.",", Dative",", Datif"
449,14,12,Es liegt _____.,an dir,Es liegt an dir.,It’s because of you.,C'est grâce à toi.,du/dich/dir,an,dir,liegen an,Dative,Datif,,,"to be due to, to be because of = liegen an + Dative<br>to introduce a cause → an + Dat.","être dû à, être à cause de = liegen an + Datif<br>pour introduire une cause → an + Dat.",Dative,Datif
450,14,12,Vielleicht liegt es _____ schlechten Planung.,an der,Vielleicht liegt es an der schlechten Planung.,Maybe it's due to poor planning.,C'est peut-être dû à une mauvaise planification.,der/die/das,an,der,liegen an,Dative,Datif,Feminine,Féminin,"to be due to, to be because of = liegen an + Dative<br>to introduce a cause → an + Dat.","être dû à, être à cause de = liegen an + Datif<br>pour introduire une cause → an + Dat.",", Dative",", Datif"
451,14,12,Du solltest mehr _____ Gesundheit achten.,auf deine,Du solltest mehr auf deine Gesundheit achten.,You should pay more attention to your health.,Vous devriez faire plus attention à votre santé.,dein,auf,deine,achten auf,Accusative,Accusatif,Feminine,Féminin,"to watch, to pay attention to = achten auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.",prêter attention à = achten auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
452,14,12,"Ich achte _____ Umwelt, indem ich weniger Plastik benutze.",auf die,"Ich achte auf die Umwelt, indem ich weniger Plastik benutze.",I pay attention to the environment by using less plastic.,Je fais attention à l'environnement en utilisant moins de plastique.,der/die/das,auf,die,achten auf,Accusative,Accusatif,Feminine,Féminin,"to watch, to pay attention to = achten auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.",prêter attention à = achten auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
453,14,12,Sie achtet immer _____ richtige Wortwahl.,auf die,Sie achtet immer auf die richtige Wortwahl.,She always pays attention to the right choice of words.,Elle choisit toujours ses mots avec soin.,der/die/das,auf,die,achten auf,Accusative,Accusatif,Feminine,Féminin,"to watch, to pay attention to = achten auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.",prêter attention à = achten auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
454,14,12,Wir haben uns lange _____ Problem beschäftigt.,mit diesem,Wir haben uns lange mit diesem Problem beschäftigt.,We spent a long time dealing with this problem.,Nous avons passé beaucoup de temps à résoudre ce problème.,der/die/das,mit,diesem,beschäftigen mit,Dative,Datif,Neuter,Neutre,"to deal with, to concern onself with, to be occupied with = beschäftigen mit + Dative<br>to introduce a subject to handle → mit + Dat.","s'occuper de, se préoccuper de, être occupé par = beschäftigen mit + Datif<br>pour introduire un sujet à gérer → mit + Dat.",", Dative",", Datif"
455,14,12,Die Stadt hat sich _____ Tourismuszentrum entwickelt.,zu einem,Die Stadt hat sich zu einem Tourismuszentrum entwickelt.,The city has developed into a tourist center.,La ville est devenue un centre touristique.,ein,zu,einem,entwickeln zu,Dative,Datif,Neuter,Neutre,to develop into = entwickeln zu + Dative<br>to introduce an outcome or direction → zu + Dat.,se développer en = entwickeln zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.,", Dative",", Datif"
456,14,12,Das Hobby hat sich _____ echten Leidenschaft entwickelt.,zu einer,Das Hobby hat sich zu einer echten Leidenschaft entwickelt.,The hobby has developed into a real passion.,Ce passe-temps s'est transformé en une véritable passion.,ein,zu,einer,entwickeln zu,Dative,Datif,Feminine,Féminin,to develop into = entwickeln zu + Dative<br>to introduce an outcome or direction → zu + Dat.,se développer en = entwickeln zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.,", Dative",", Datif"
457,14,12,Ihre Idee entwickelte sich _____ erfolgreichen Unternehmen.,zu einem,Ihre Idee entwickelte sich zu einem erfolgreichen Unternehmen.,Her idea developed into a successful company.,Son idée s'est transformée en une entreprise florissante.,ein,zu,einem,entwickeln zu,Dative,Datif,Neuter,Neutre,to develop into = entwickeln zu + Dative<br>to introduce an outcome or direction → zu + Dat.,se développer en = entwickeln zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.,", Dative",", Datif"
458,14,12,Der Film endet _____ Überraschung.,mit einer,Der Film endet mit einer Überraschung.,The movie ends with a surprise.,Le film se termine par une surprise.,ein,mit,einer,enden mit,Dative,Datif,Feminine,Féminin,to end with = enden mit + Dative<br>to introduce a beginning or an end → mit + Dat.,se terminer = enden mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
459,14,12,Das Gespräch endete _____ Kompromiss.,mit einem,Das Gespräch endete mit einem Kompromiss.,The conversation ended with a compromise.,La conversation s'est terminée par un compromis.,ein,mit,einem,enden mit,Dative,Datif,Masculine,Masculin,to end with = enden mit + Dative<br>to introduce a beginning or an end → mit + Dat.,se terminer = enden mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
460,14,12,Die Feier endete _____ Feuerwerk.,mit einem,Die Feier endete mit einem Feuerwerk.,The celebration ended with fireworks.,La fête s'est terminée par un feu d'artifice.,ein,mit,einem,enden mit,Dative,Datif,Neuter,Neutre,to end with = enden mit + Dative<br>to introduce a beginning or an end → mit + Dat.,se terminer = enden mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
461,14,12,Wir diskutieren _____ Problem.,über das,Wir diskutieren über das Problem.,We discuss the problem.,Nous discutons du problème.,der/die/das,über,das,diskutieren über,Accusative,Accusatif,Neuter,Neutre,to discuss about = diskutieren über + Accusative<br>to introduce a general subject → über + Acc.,discuter de = diskutieren über + Accusatif<br>pour introduire un sujet général → über + Acc.,", Accusative",", Accusatif"
462,14,12,Ich diskutiere _____ Freund.,mit meinem,Ich diskutiere mit meinem Freund.,I discuss with my friend.,J'en discute avec mon ami.,mein,mit,meinem,diskutieren mit,Dative,Datif,Masculine,Masculin,to discuss with = diskutieren mit + Dative<br>to introduce a partner → mit + Dat.,discuter avec = diskutieren mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
463,14,12,Er diskutiert _____ Kollegen.,mit seinen,Er diskutiert mit seinen Kollegen.,He discusses with his colleagues.,Il en discute avec ses collègues.,sein,mit,seinen,diskutieren mit,Dative,Datif,Plural,Pluriel,to discuss with = diskutieren mit + Dative<br>to introduce a partner → mit + Dat.,discuter avec = diskutieren mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
464,14,12,Wir diskutieren oft _____ Nachbarn über aktuelle Themen.,mit unseren,Wir diskutieren oft mit unseren Nachbarn über aktuelle Themen.,We often discuss current issues with our neighbors.,Nous discutons souvent des sujets d'actualité avec nos voisins.,unser,mit,unseren,diskutieren mit,Dative,Datif,Plural,Pluriel,to discuss with = diskutieren mit + Dative<br>to introduce a partner → mit + Dat.,discuter avec = diskutieren mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
465,15,14,Sie hat sich _____ Kollegen verliebt.,in ihren,Sie hat sich in ihren Kollegen verliebt.,She fell in love with her colleague.,Elle est tombée amoureuse de son collègue.,ihr,in,ihren,sich verlieben in,Accusative,Accusatif,Masculine,Masculin,to fall in love with = sich verlieben in + Accusative<br>to introduce a transformation → in + Acc.,tomber amoureux de = sich verlieben in + Accusatif<br>pour introduire une transformation → in + Acc.,", Accusative",", Accusatif"
466,15,14,Er verliebte sich sofort _____ Stadt.,in die,Er verliebte sich sofort in die Stadt.,He immediately fell in love with the city.,Il est immédiatement tombé amoureux de la ville.,der/die/das,in,die,sich verlieben in,Accusative,Accusatif,Feminine,Féminin,to fall in love with = sich verlieben in + Accusative<br>to introduce a transformation → in + Acc.,tomber amoureux de = sich verlieben in + Accusatif<br>pour introduire une transformation → in + Acc.,", Accusative",", Accusatif"
467,15,14,"Ich habe mich _____ Lied verliebt, als ich es zum ersten Mal gehört habe.",in das,"Ich habe mich in das Lied verliebt, als ich es zum ersten Mal gehört habe.",I fell in love with the song the first time I heard it.,Je suis tombée amoureuse de cette chanson dès la première écoute.,der/die/das,in,das,sich verlieben in,Accusative,Accusatif,Neuter,Neutre,to fall in love with = sich verlieben in + Accusative<br>to introduce a transformation → in + Acc.,tomber amoureux de = sich verlieben in + Accusatif<br>pour introduire une transformation → in + Acc.,", Accusative",", Accusatif"
468,15,14,Der Arzt hat mir _____ Diät geraten.,zu einer,Der Arzt hat mir zu einer Diät geraten.,The doctor advised me to go on a diet.,Le médecin m'a conseillé de faire un régime.,ein,zu,einer,raten zu,Dative,Datif,Feminine,Féminin,to advise to = raten zu + Dative<br>to introduce an outcome or direction → zu + Dat.,conseiller de = raten zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.,", Dative",", Datif"
469,15,14,Sie rät ihm _____ längeren Urlaub.,zu einem,Sie rät ihm zu einem längeren Urlaub.,She advises him to take a longer vacation.,Elle lui conseille de prendre des vacances plus longues.,ein,zu,einem,raten zu,Dative,Datif,Masculine,Masculin,to advise to = raten zu + Dative<br>to introduce an outcome or direction → zu + Dat.,conseiller de = raten zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.,", Dative",", Datif"
470,15,14,Ich vertraue _____ Fähigkeiten.,auf meine,Ich vertraue auf meine Fähigkeiten.,I trust in my abilities.,J'ai confiance en mes capacités.,mein,auf,meine,vertrauen auf,Accusative,Accusatif,Plural,Pluriel,to trust in = vertrauen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,faire confiance à = vertrauen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.,", Accusative",", Accusatif"
471,15,14,Wir müssen _____ Erfahrung vertrauen.,auf unsere,Wir müssen auf unsere Erfahrung vertrauen.,We must trust in our experience.,Nous devons faire confiance à notre expérience.,unser,auf,unsere,vertrauen auf,Accusative,Accusatif,Feminine,Féminin,to trust in = vertrauen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,faire confiance à = vertrauen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.,", Accusative",", Accusatif"
472,15,14,Sie vertraut _____ Unterstützung ihrer Freunde.,auf die,Sie vertraut auf die Unterstützung ihrer Freunde.,She relies on the support of her friends.,Elle compte sur le soutien de ses amis.,der/die/das,auf,die,vertrauen auf,Accusative,Accusatif,Feminine,Féminin,to trust in = vertrauen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,faire confiance à = vertrauen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.,", Accusative",", Accusatif"
473,15,14,Ich ärgere mich _____ ständigen Zugverspätungen.,über die,Ich ärgere mich über die ständigen Zugverspätungen.,I get annoyed about the constant train delays.,Les retards constants des trains m'agacent.,der/die/das,über,die,sich ärgern über,Accusative,Accusatif,Plural,Pluriel,to get angry about = sich ärgern über + Accusative<br>to introduce an emotional theme → über + Acc.,se mettre en colère à propos de = sich ärgern über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
474,15,14,Er ärgert sich _____ schlechte Note in Mathematik.,über seine,Er ärgert sich über seine schlechte Note in Mathematik.,He is annoyed about his bad grade in math.,Il est contrarié par sa mauvaise note en maths.,sein,über,seine,sich ärgern über,Accusative,Accusatif,Feminine,Féminin,to get angry about = sich ärgern über + Accusative<br>to introduce an emotional theme → über + Acc.,se mettre en colère à propos de = sich ärgern über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
475,15,14,Sie ärgert sich _____ Lärm der Baustelle.,über den,Sie ärgert sich über den Lärm der Baustelle.,She is annoyed by the noise from the building site.,Elle est agacée par le bruit du chantier.,der/die/das,über,den,sich ärgern über,Accusative,Accusatif,Masculine,Masculin,to get angry about = sich ärgern über + Accusative<br>to introduce an emotional theme → über + Acc.,se mettre en colère à propos de = sich ärgern über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
