Nr,level,question,answer,german,english,case,gender,type
273,102,Ich gratuliere _____ Paar zur Hochzeit.,dem,Ich gratuliere dem Paar zur Hochzeit.,,dative,masculine,
274,102,Wir helfen _____ Unternehmen zu wachsen.,dem,Wir helfen dem Unternehmen zu wachsen.,,dative,masculine,
275,102,Ich zeige _____ Bild meine Freunde.,dem,Ich zeige dem Bild meine Freunde.,,dative,masculine,
276,102,Sie gibt _____ Buch eine neue Bedeutung.,dem,Sie gibt dem Buch eine neue Bedeutung.,,dative,masculine,
277,102,Ich nähere mich _____ Wassern vorsichtig.,den,Ich nähere mich den Wassern vorsichtig.,,dative,plural,
278,102,Ich helfe _____ Jahr mit einer neuen Planung.,dem,Ich helfe dem Jahr mit einer neuen Planung.,,dative,masculine,
279,102,Er gibt _____ Mal eine neue Bedeutung.,dem,Er gibt dem Mal eine neue Bedeutung.,,dative,masculine,
280,102,Sie folgt _____ Beispiel ihrer Mutter.,dem,Sie folgt dem Beispiel ihrer Mutter.,,dative,masculine,
281,102,Ich widme _____ Zeit meine Aufmerksamkeit.,der,Ich widme der Zeit meine Aufmerksamkeit.,,dative,feminine,
282,102,Er schenkt _____ Frau Blumen.,der,Er schenkt der Frau Blumen.,,dative,feminine,
283,102,Ich vertraue _____ Menschen.,dem,Ich vertraue dem Menschen.,,dative,masculine,
284,102,Sie gibt _____ Kind ein Geschenk.,dem,Sie gibt dem Kind ein Geschenk.,,dative,masculine,
285,102,Wir widmen _____ Tag eine Feier.,dem,Wir widmen dem Tag eine Feier.,,dative,masculine,
286,102,Sie hilft _____ Mann im Garten.,dem,Sie hilft dem Mann im Garten.,,dative,masculine,
287,102,Er dient den Ländern als Soldat.,dem,Er dient den Ländern als Soldat.,,dative,plural,
288,102,Ich widme _____ Frage viel Zeit.,der,Ich widme der Frage viel Zeit.,,dative,feminine,
289,102,Wir nähern uns _____ Haus langsam.,dem,Wir nähern uns dem Haus langsam.,,dative,masculine,
290,102,Ich erzähle _____ Leuten eine Geschichte.,den,Ich erzähle den Leuten eine Geschichte.,,dative,neuter,
291,102,Er widmet _____ Arbeit seine ganze Kraft.,der,Er widmet der Arbeit seine ganze Kraft.,,dative,feminine,
292,102,Wir passen _____ Prozent die Werte an.,dem,Wir passen dem Prozent die Werte an.,,dative,masculine,
293,102,Ich gebe _____ Hand einen festen Druck.,der,Ich gebe der Hand einen festen Druck.,,dative,feminine,
294,102,Er zeigt _____ Stadt seine Kunst.,der,Er zeigt der Stadt seine Kunst.,,dative,feminine,
295,102,Ich danke _____ Herrn für seine Hilfe.,dem,Ich danke dem Herrn für seine Hilfe.,,dative,masculine,
296,102,Sie nähert sich _____ Problem vorsichtig.,dem,Sie nähert sich dem Problem vorsichtig.,,dative,masculine,
297,102,Ich schenke _____ Welten ein Lächeln.,den,Ich schenke den Welten ein Lächeln.,,dative,plural,
298,103,_____ Ende ist nah.,Das,Das Ende ist nah.,,nominative,neuter,
299,103,_____ Million ist viel Geld.,Die,Die Million ist viel Geld.,,nominative,feminine,
300,103,_____ Schule ist groß.,Die,Die Schule ist groß.,,nominative,feminine,
301,103,_____ Woche hat sieben Tage.,Die,Die Woche hat sieben Tage.,,nominative,feminine,
302,103,_____ Vater ist müde.,Der,Der Vater ist müde.,,nominative,masculine,
303,103,_____ Seite ist weiß.,Die,Die Seite ist weiß.,,nominative,feminine,
304,103,_____ Leben ist schön.,Das,Das Leben ist schön.,,nominative,neuter,
305,103,_____ Mutter ist nett.,Die,Die Mutter ist nett.,,nominative,feminine,
306,103,_____ Auge ist blau.,Das,Das Auge ist blau.,,nominative,neuter,
307,103,_____ Wörter sind lang.,Die,Die Wörter sind lang.,,nominative,plural,
308,103,_____ Geld ist wichtig.,Das,Das Geld ist wichtig.,,nominative,neuter,
309,103,_____ Weg ist lang.,Der,Der Weg ist lang.,,nominative,masculine,
310,103,_____ Stunde dauert sechzig Minuten.,Die,Die Stunde dauert sechzig Minuten.,,nominative,feminine,
311,103,_____ Name ist bekannt.,Der,Der Name ist bekannt.,,nominative,masculine,
312,103,_____ Kopf tut weh.,Der,Der Kopf tut weh.,,nominative,masculine,
313,103,_____ Paar ist glücklich.,Das,Das Paar ist glücklich.,,nominative,neuter,
314,103,_____ Unternehmen ist groß.,Das,Das Unternehmen ist groß.,,nominative,neuter,
315,103,_____ Bild ist schön.,Das,Das Bild ist schön.,,nominative,neuter,
316,103,_____ Buch ist spannend.,Das,Das Buch ist spannend.,,nominative,neuter,
317,103,_____ Wasser sind kalt.,Die,Die Wasser sind kalt.,,nominative,plural,
318,103,_____ Straße ist lang.,Die,Die Straße ist lang.,,nominative,feminine,
319,103,_____ Minute ist kurz.,Die,Die Minute ist kurz.,,nominative,feminine,
320,103,_____ Gruppe ist klein.,Die,Die Gruppe ist klein.,,nominative,feminine,
321,103,_____ Wert ist hoch.,Der,Der Wert ist hoch.,,nominative,masculine,
322,103,_____ Gesicht ist rund.,Das,Das Gesicht ist rund.,,nominative,neuter,
323,103,_____ Sprache ist schwer.,Die,Die Sprache ist schwer.,,nominative,feminine,
324,103,_____ Ort ist schön.,Der,Der Ort ist schön.,,nominative,masculine,
325,103,_____ Moment ist wichtig.,Der,Der Moment ist wichtig.,,nominative,masculine,
326,103,_____ Interesse ist groß.,Das,Das Interesse ist groß.,,nominative,neuter,
327,103,_____ Rolle sind wichtig.,Die,Die Rolle sind wichtig.,,nominative,plural,
328,103,_____ Tür ist offen.,Die,Die Tür ist offen.,,nominative,feminine,
329,103,_____ Schüler ist fleißig.,Der,Der Schüler ist fleißig.,,nominative,masculine,
330,103,_____ Text ist lang.,Der,Der Text ist lang.,,nominative,masculine,
331,103,_____ Stück ist klein.,Das,Das Stück ist klein.,,nominative,neuter,
332,103,_____ Wohnung ist teuer.,Die,Die Wohnung ist teuer.,,nominative,feminine,
333,103,_____ Meter ist kurz.,Der,Der Meter ist kurz.,,nominative,masculine,
334,103,_____ Punkt ist klar.,Der,Der Punkt ist klar.,,nominative,masculine,
335,103,_____ Situation ist schwierig.,Die,Die Situation ist schwierig.,,nominative,feminine,
336,103,_____ Lehrer ist nett.,Der,Der Lehrer ist nett.,,nominative,masculine,
337,103,_____ Preise sind hoch.,Die,Die Preise sind hoch.,,nominative,plural,
338,103,_____ Stelle ist wichtig.,Die,Die Stelle ist wichtig.,,nominative,feminine,
339,103,_____ Form ist rund.,Die,Die Form ist rund.,,nominative,feminine,
340,103,_____ Monat hat vier Wochen.,Der,Der Monat hat vier Wochen.,,nominative,masculine,
341,103,_____ Familie ist groß.,Die,Die Familie ist groß.,,nominative,feminine,
342,103,_____ Morgen ist schön.,Der,Der Morgen ist schön.,,nominative,masculine,
343,103,_____ Abend ist ruhig.,Der,Der Abend ist ruhig.,,nominative,masculine,
344,103,_____ Sinn ist klar.,Der,Der Sinn ist klar.,,nominative,masculine,
345,103,_____ Staat ist reich.,Der,Der Staat ist reich.,,nominative,masculine,
346,103,_____ Ziel ist weit.,Das,Das Ziel ist weit.,,nominative,neuter,
347,103,_____ Freunde sind nett.,Die,Die Freunde sind nett.,,nominative,plural,
348,103,_____ Thema ist interessant.,Das,Das Thema ist interessant.,,nominative,neuter,
349,103,_____ Person ist freundlich.,Die,Die Person ist freundlich.,,nominative,feminine,
350,103,_____ Nacht ist dunkel.,Die,Die Nacht ist dunkel.,,nominative,feminine,
351,103,_____ Raum ist groß.,Der,Der Raum ist groß.,,nominative,masculine,
352,103,_____ Blick ist schön.,Der,Der Blick ist schön.,,nominative,masculine,
353,103,_____ Platz ist leer.,Der,Der Platz ist leer.,,nominative,masculine,
354,103,_____ Zahl ist hoch.,Die,Die Zahl ist hoch.,,nominative,feminine,
355,103,_____ Uhr ist kaputt.,Die,Die Uhr ist kaputt.,,nominative,feminine,
356,103,_____ Eltern sind nett.,Die,Die Eltern sind nett.,,nominative,plural,
357,103,_____ Jahrhundert ist lang.,Das,Das Jahrhundert ist lang.,,nominative,neuter,
358,103,_____ Sohn ist klug.,Der,Der Sohn ist klug.,,nominative,masculine,
359,103,_____ Werk ist bekannt.,Das,Das Werk ist bekannt.,,nominative,neuter,
360,103,_____ Richtung ist richtig.,Die,Die Richtung ist richtig.,,nominative,feminine,
361,103,_____ Programm ist neu.,Das,Das Programm ist neu.,,nominative,neuter,
362,103,_____ Angst ist groß.,Die,Die Angst ist groß.,,nominative,feminine,
363,103,_____ Information ist wichtig.,Die,Die Information ist wichtig.,,nominative,feminine,
364,103,_____ Kunst ist schön.,Die,Die Kunst ist schön.,,nominative,feminine,
365,103,_____ Musik ist laut.,Die,Die Musik ist laut.,,nominative,feminine,
366,103,_____ Politiken sind kompliziert.,Die,Die Politiken sind kompliziert.,,nominative,plural,
367,103,_____ Beruf ist spannend.,Der,Der Beruf ist spannend.,,nominative,masculine,
368,103,_____ Regel ist klar.,Die,Die Regel ist klar.,,nominative,feminine,
369,103,_____ Gott ist mächtig.,Der,Der Gott ist mächtig.,,nominative,masculine,
370,103,_____ Auto ist schnell.,Das,Das Auto ist schnell.,,nominative,neuter,
371,103,_____ Tisch ist aus Holz.,Der,Der Tisch ist aus Holz.,,nominative,masculine,
372,103,_____ Spiel ist spannend.,Das,Das Spiel ist spannend.,,nominative,neuter,
373,103,_____ Licht ist hell.,Das,Das Licht ist hell.,,nominative,neuter,
374,103,_____ Markt ist groß.,Der,Der Markt ist groß.,,nominative,masculine,
375,103,_____ Tochter ist freundlich.,Die,Die Tochter ist freundlich.,,nominative,feminine,
376,103,_____ Kirchen sind alt.,Die,Die Kirchen sind alt.,,nominative,plural,
377,103,_____ Frage ist einfach.,Die,Die Frage ist einfach.,,nominative,feminine,
378,103,_____ Haus ist groß.,Das,Das Haus ist groß.,,nominative,neuter,
379,103,_____ Leute sind freundlich.,Die,Die Leute sind freundlich.,,nominative,feminine,
380,103,_____ Arbeit ist schwer.,Die,Die Arbeit ist schwer.,,nominative,feminine,
381,103,_____ Prozent ist hoch.,Das,Das Prozent ist hoch.,,nominative,neuter,
382,103,_____ Hand ist klein.,Die,Die Hand ist klein.,,nominative,feminine,
383,103,_____ Stadt ist alt.,Die,Die Stadt ist alt.,,nominative,feminine,
384,103,_____ Herr ist müde.,Der,Der Herr ist müde.,,nominative,masculine,
385,103,_____ Problem ist groß.,Das,Das Problem ist groß.,,nominative,neuter,
386,103,_____ Welt sind schön.,Die,Die Welt sind schön.,,nominative,plural,
387,103,_____ Jahr haben zwölf Monate.,Das,Das Jahr haben zwölf Monate.,,nominative,neuter,
388,103,_____ Mal ist anders als vorher.,Das,Das Mal ist anders als vorher.,,nominative,neuter,
389,103,_____ Beispiel ist sehr einfach.,Das,Das Beispiel ist sehr einfach.,,nominative,neuter,
390,103,_____ Zeit ist knapp.,Die,Die Zeit ist knapp.,,nominative,feminine,
391,103,_____ Frau sind nett.,Die,Die Frau sind nett.,,nominative,feminine,
392,103,_____ Mensch ist intelligent.,Der,Der Mensch ist intelligent.,,nominative,masculine,
393,103,_____ Kind ist klein.,Das,Das Kind ist klein.,,nominative,neuter,
394,103,_____ Tag ist schön.,Der,Der Tag ist schön.,,nominative,masculine,
395,103,_____ Mann sind stark.,Der,Der Mann sind stark.,,nominative,masculine,
396,103,_____ Land ist groß.,Das,Das Land ist groß.,,nominative,neuter,
397,103,Ich sehe _____ Ende des Films.,das,Ich sehe das Ende des Films.,,accusative,neuter,
398,103,Er hat _____ Million gewonnen.,die,Er hat die Million gewonnen.,,accusative,feminine,
399,103,Wir besuchen _____ Schule jeden Tag.,die,Wir besuchen die Schule jeden Tag.,,accusative,feminine,
400,103,Ich plane _____ Woche im Voraus.,die,Ich plane die Woche im Voraus.,,accusative,feminine,
401,103,Sie ruft _____ Vater an.,den,Sie ruft den Vater an.,,accusative,masculine,
402,103,Ich lese _____ Seite im Buch.,die,Ich lese die Seite im Buch.,,accusative,feminine,
403,103,Er genießt _____ Leben.,das,Er genießt das Leben.,,accusative,neuter,
404,103,Wir besuchen _____ Mutter am Wochenende.,die,Wir besuchen die Mutter am Wochenende.,,accusative,feminine,
405,103,Sie schützt _____ Auge mit einer Brille.,das,Sie schützt das Auge mit einer Brille.,,accusative,neuter,
406,103,Er schreibt die Wörter auf.,das,Er schreibt die Wörter auf.,,accusative,plural,
407,103,Er spart _____ Geld.,das,Er spart das Geld.,,accusative,neuter,
408,103,Wir nehmen _____ Weg durch den Park.,den,Wir nehmen den Weg durch den Park.,,accusative,masculine,
409,103,Ich lerne _____ Stunde lang.,die,Ich lerne die Stunde lang.,,accusative,feminine,
410,103,Ich kenne _____ Namen nicht.,den,Ich kenne den Namen nicht.,,accusative,masculine,
411,103,Er hält _____ Kopf hoch.,den,Er hält den Kopf hoch.,,accusative,masculine,
412,103,Ich sehe _____ Paar auf der Straße.,das,Ich sehe das Paar auf der Straße.,,accusative,neuter,
413,103,Wir unterstützen _____ Unternehmen.,das,Wir unterstützen das Unternehmen.,,accusative,neuter,
414,103,Sie malt _____ Bild.,das,Sie malt das Bild.,,accusative,neuter,
415,103,Er liest _____ Buch.,das,Er liest das Buch.,,accusative,neuter,
416,103,Ich trinke die Wasser.,das,Ich trinke die Wasser.,,accusative,plural,
417,103,Er findet _____ Stelle interessant.,die,Er findet die Stelle interessant.,,accusative,feminine,
418,103,Ich ändere _____ Form des Designs.,die,Ich ändere die Form des Designs.,,accusative,feminine,
419,103,Wir feiern _____ Monat des Herbstes.,den,Wir feiern den Monat des Herbstes.,,accusative,masculine,
420,103,Sie liebt _____ Familie sehr.,die,Sie liebt die Familie sehr.,,accusative,feminine,
421,103,Ich genieße _____ Morgen mit Kaffee.,den,Ich genieße den Morgen mit Kaffee.,,accusative,masculine,
422,103,Wir verbringen _____ Abend zusammen.,den,Wir verbringen den Abend zusammen.,,accusative,masculine,
423,103,Ich verstehe _____ Sinn des Wortes.,den,Ich verstehe den Sinn des Wortes.,,accusative,masculine,
424,103,Er kennt _____ Staat gut.,den,Er kennt den Staat gut.,,accusative,masculine,
425,103,Wir erreichen _____ Ziel bald.,das,Wir erreichen das Ziel bald.,,accusative,neuter,
426,103,Ich besuche die Freunde in Berlin.,den,Ich besuche die Freunde in Berlin.,,accusative,plural,
427,103,Er diskutiert _____ Thema im Kurs.,das,Er diskutiert das Thema im Kurs.,,accusative,neuter,
428,103,Ich kenne _____ Person nicht.,die,Ich kenne die Person nicht.,,accusative,feminine,
429,103,Sie verbringt _____ Nacht im Hotel.,die,Sie verbringt die Nacht im Hotel.,,accusative,feminine,
430,103,Wir betreten _____ Raum leise.,den,Wir betreten den Raum leise.,,accusative,masculine,
431,103,Ich genieße _____ Blick auf das Meer.,den,Ich genieße den Blick auf das Meer.,,accusative,masculine,
432,103,Er reserviert _____ Platz für uns.,den,Er reserviert den Platz für uns.,,accusative,masculine,
433,103,Ich schreibe _____ Zahl auf.,die,Ich schreibe die Zahl auf.,,accusative,feminine,
434,103,Ich kaufe _____ Uhr im Geschäft.,die,Ich kaufe die Uhr im Geschäft.,,accusative,feminine,
435,103,Wir besuchen _____ Eltern am Sonntag.,die,Wir besuchen die Eltern am Sonntag.,,accusative,plural,
436,103,Ich überquere _____ Straße.,die,Ich überquere die Straße.,,accusative,feminine,
437,103,Ich warte _____ Minute.,die,Ich warte die Minute.,,accusative,feminine,
438,103,Er sieht _____ Gruppe im Park.,die,Er sieht die Gruppe im Park.,,accusative,feminine,
439,103,Ich verstehe _____ Wert dieser Idee.,den,Ich verstehe den Wert dieser Idee.,,accusative,masculine,
440,103,Sie wäscht _____ Gesicht mit Wasser.,das,Sie wäscht das Gesicht mit Wasser.,,accusative,neuter,
441,103,Wir lernen _____ Sprache in der Schule.,die,Wir lernen die Sprache in der Schule.,,accusative,feminine,
442,103,Ich besuche _____ Ort jedes Jahr.,den,Ich besuche den Ort jedes Jahr.,,accusative,masculine,
443,103,Er genießt _____ Moment.,den,Er genießt den Moment.,,accusative,masculine,
444,103,Ich habe _____ Interesse an diesem Thema.,das,Ich habe das Interesse an diesem Thema.,,accusative,neuter,
445,103,Er spielt _____ Rollen gut.,die,Er spielt die Rollen gut.,,accusative,plural,
446,103,Sie öffnet _____ Tür.,die,Sie öffnet die Tür.,,accusative,feminine,
447,103,Der Lehrer hilft _____ Schüler.,den,Der Lehrer hilft den Schüler.,,accusative,masculine,
448,103,Ich lese _____ Text im Buch.,den,Ich lese den Text im Buch.,,accusative,masculine,
449,103,Er isst _____ Stück Kuchen.,das,Er isst das Stück Kuchen.,,accusative,neuter,
450,103,Wir mieten _____ Wohnung.,die,Wir mieten die Wohnung.,,accusative,feminine,
451,103,Er misst _____ Meter mit dem Lineal.,den,Er misst den Meter mit dem Lineal.,,accusative,masculine,
452,103,Ich setze _____ Punkt am Ende des Satzes.,den,Ich setze den Punkt am Ende des Satzes.,,accusative,masculine,
453,103,Sie erklärt _____ Situation.,die,Sie erklärt die Situation.,,accusative,feminine,
454,103,Ich sehe _____ Lehrer in der Schule.,den,Ich sehe den Lehrer in der Schule.,,accusative,masculine,
455,103,Er bezahlt _____ Preise.,die,Er bezahlt die Preise.,,accusative,plural,
456,103,Ich studiere _____ Jahrhundert der Geschichte.,das,Ich studiere das Jahrhundert der Geschichte.,,accusative,neuter,
457,103,Sie sieht _____ Sohn im Garten.,den,Sie sieht den Sohn im Garten.,,accusative,masculine,
458,103,Er kennt _____ Werk des Künstlers.,das,Er kennt das Werk des Künstlers.,,accusative,neuter,
459,103,Wir nehmen _____ Richtung nach Süden.,die,Wir nehmen die Richtung nach Süden.,,accusative,feminine,
460,103,Ich installiere _____ Programm auf dem Computer.,das,Ich installiere das Programm auf dem Computer.,,accusative,neuter,
461,103,Er fühlt _____ Angst in seinem Herzen.,die,Er fühlt die Angst in seinem Herzen.,,accusative,feminine,
462,103,Sie sucht _____ Information online.,die,Sie sucht die Information online.,,accusative,feminine,
463,103,Wir bewundern _____ Kunst im Museum.,die,Wir bewundern die Kunst im Museum.,,accusative,feminine,
464,103,Er hört _____ Musik im Radio.,die,Er hört die Musik im Radio.,,accusative,feminine,
465,103,Sie diskutiert _____ Politiken in der Zeitung.,die,Sie diskutiert die Politiken in der Zeitung.,,accusative,plural,
466,103,Ich lerne _____ Beruf in der Ausbildung.,den,Ich lerne den Beruf in der Ausbildung.,,accusative,masculine,
467,103,Wir befolgen _____ Regel in der Schule.,die,Wir befolgen die Regel in der Schule.,,accusative,feminine,
468,103,Er verehrt _____ Gott seiner Religion.,den,Er verehrt den Gott seiner Religion.,,accusative,masculine,
469,103,Er fährt _____ Auto zur Arbeit.,das,Er fährt das Auto zur Arbeit.,,accusative,neuter,
470,103,Sie deckt _____ Tisch für das Abendessen.,den,Sie deckt den Tisch für das Abendessen.,,accusative,masculine,
471,103,Ich spiele _____ Spiel mit meinen Freunden.,das,Ich spiele das Spiel mit meinen Freunden.,,accusative,neuter,
472,103,Er schaltet _____ Licht aus.,das,Er schaltet das Licht aus.,,accusative,neuter,
473,103,Sie besucht _____ Markt jeden Samstag.,den,Sie besucht den Markt jeden Samstag.,,accusative,masculine,
474,103,Er liebt _____ Tochter sehr.,die,Er liebt die Tochter sehr.,,accusative,feminine,
475,103,Wir besuchen _____ Kirchen am Sonntag.,die,Wir besuchen die Kirchen am Sonntag.,,accusative,plural,
476,103,Ich sehe _____ Jahr auf dem Kalender.,das,Ich sehe das Jahr auf dem Kalender.,,accusative,neuter,
477,103,Ich erinnere mich an _____ Mal.,das,Ich erinnere mich an das Mal.,,accusative,neuter,
478,103,Er gibt _____ Beispiel im Unterricht.,das,Er gibt das Beispiel im Unterricht.,,accusative,neuter,
479,103,Wir brauchen _____ Zeit für das Projekt.,die,Wir brauchen die Zeit für das Projekt.,,accusative,feminine,
480,103,Er kennt _____ Frau gut.,die,Er kennt die Frau gut.,,accusative,feminine,
481,103,Ich treffe _____ Menschen im Park.,den,Ich treffe den Menschen im Park.,,accusative,masculine,
482,103,Sie liebt _____ Kind sehr.,das,Sie liebt das Kind sehr.,,accusative,neuter,
483,103,Wir genießen _____ Tag am Strand.,den,Wir genießen den Tag am Strand.,,accusative,masculine,
484,103,Sie sieht _____ Mann im Restaurant.,den,Sie sieht den Mann im Restaurant.,,accusative,masculine,
485,103,Wir besuchen _____ Länder im Sommer.,die,Wir besuchen die Länder im Sommer.,,accusative,plural,
486,103,Er beantwortet _____ Frage richtig.,die,Er beantwortet die Frage richtig.,,accusative,feminine,
487,103,Sie kauft _____ Haus in der Stadt.,das,Sie kauft das Haus in der Stadt.,,accusative,neuter,
488,103,Ich treffe _____ Leute am Bahnhof.,die,Ich treffe die Leute am Bahnhof.,,accusative,feminine,
489,103,Sie erledigt _____ Arbeit schnell.,die,Sie erledigt die Arbeit schnell.,,accusative,feminine,
490,103,Ich berechne _____ Prozent.,das,Ich berechne das Prozent.,,accusative,neuter,
491,103,Er hält _____ Hand seines Freundes.,die,Er hält die Hand seines Freundes.,,accusative,feminine,
492,103,Wir besuchen _____ Stadt am Wochenende.,die,Wir besuchen die Stadt am Wochenende.,,accusative,feminine,
493,103,Ich rufe _____ Herrn am Telefon an.,den,Ich rufe den Herrn am Telefon an.,,accusative,masculine,
494,103,Sie löst _____ Problem leicht.,das,Sie löst das Problem leicht.,,accusative,neuter,
495,103,Er entdeckt _____ Welten mit Neugier.,die,Er entdeckt die Welten mit Neugier.,,accusative,plural,
496,103,Er widmet sich _____ Jahrhundert der Geschichte.,dem,Er widmet sich dem Jahrhundert der Geschichte.,,dative,masculine,
497,103,Sie gibt _____ Sohn ein Geschenk.,dem,Sie gibt dem Sohn ein Geschenk.,,dative,masculine,
498,103,Er vertraut _____ Werk des Künstlers.,dem,Er vertraut dem Werk des Künstlers.,,dative,masculine,
499,103,Ich folge _____ Richtung des Weges.,der,Ich folge der Richtung des Weges.,,dative,feminine,
500,103,Ich helfe _____ Programm bei der Installation.,dem,Ich helfe dem Programm bei der Installation.,,dative,masculine,
501,103,Er stellt sich _____ Angst.,der,Er stellt sich der Angst.,,dative,feminine,
502,103,Sie folgt _____ Information auf der Website.,der,Sie folgt der Information auf der Website.,,dative,feminine,
503,103,Wir danken _____ Kunst für ihre Schönheit.,der,Wir danken der Kunst für ihre Schönheit.,,dative,feminine,
504,103,Er lauscht _____ Musik.,der,Er lauscht der Musik.,,dative,feminine,
505,103,Sie wi_____spricht den Politiken des Landes.,der,Sie widerspricht den Politiken des Landes.,,dative,plural,
506,103,Ich widme mich _____ Beruf.,dem,Ich widme mich dem Beruf.,,dative,masculine,
507,103,Wir folgen _____ Regel in _____ Schule.,der,Wir folgen der Regel in der Schule.,,dative,feminine,
508,103,Er glaubt _____ Gott seiner Religion.,dem,Er glaubt dem Gott seiner Religion.,,dative,masculine,
509,103,Ich nähere mich _____ Auto.,dem,Ich nähere mich dem Auto.,,dative,masculine,
510,103,Er gibt _____ Tisch eine neue Farbe.,dem,Er gibt dem Tisch eine neue Farbe.,,dative,masculine,
511,103,Ich folge _____ Spiel mit Spannung.,dem,Ich folge dem Spiel mit Spannung.,,dative,masculine,
512,103,Er nähert sich _____ Licht am Ende des Tunnels.,dem,Er nähert sich dem Licht am Ende des Tunnels.,,dative,masculine,
513,103,Sie hilft _____ Markt mit Werbung.,dem,Sie hilft dem Markt mit Werbung.,,dative,masculine,
514,103,Er schenkt _____ Tochter eine Puppe.,der,Er schenkt der Tochter eine Puppe.,,dative,feminine,
515,103,Wir danken _____ Kirchen für ihre Unterstützung.,den,Wir danken den Kirchen für ihre Unterstützung.,,dative,plural,
516,103,Ich folge _____ Straße bis zum Park.,der,Ich folge der Straße bis zum Park.,,dative,feminine,
517,103,Ich widme _____ Minute meine volle Aufmerksamkeit.,der,Ich widme der Minute meine volle Aufmerksamkeit.,,dative,feminine,
518,103,Er hilft _____ Gruppe mit den Aufgaben.,der,Er hilft der Gruppe mit den Aufgaben.,,dative,feminine,
519,103,Ich vertraue _____ Wert dieser Information.,dem,Ich vertraue dem Wert dieser Information.,,dative,masculine,
520,103,Sie wendet sich _____ Gesicht zu.,dem,Sie wendet sich dem Gesicht zu.,,dative,masculine,
521,103,Wir danken _____ Sprache für ihre Schönheit.,der,Wir danken der Sprache für ihre Schönheit.,,dative,feminine,
522,103,Ich nähere mich _____ Ort langsam.,dem,Ich nähere mich dem Ort langsam.,,dative,masculine,
523,103,Er erinnert sich an _____ Moment.,dem,Er erinnert sich an dem Moment.,,dative,masculine,
524,103,Sie folgt _____ Interesse des Publikums.,dem,Sie folgt dem Interesse des Publikums.,,dative,masculine,
525,103,Er bleibt _____ Rollen treu.,den,Er bleibt den Rollen treu.,,dative,plural,
526,103,Ich stehe _____ Tür gegenüber.,der,Ich stehe der Tür gegenüber.,,dative,feminine,
527,103,Der Lehrer hilft _____ Schüler.,dem,Der Lehrer hilft dem Schüler.,,dative,masculine,
528,103,Ich folge _____ Text im Buch.,dem,Ich folge dem Text im Buch.,,dative,masculine,
529,103,Er gibt _____ Stück eine neue Interpretation.,dem,Er gibt dem Stück eine neue Interpretation.,,dative,masculine,
530,103,Wir helfen _____ Wohnungssuche.,der,Wir helfen der Wohnungssuche.,,dative,feminine,
531,103,Er misst _____ Meter mit _____ Lineal.,dem,Er misst dem Meter mit dem Lineal.,,dative,masculine,
532,103,Ich nähere mich _____ Punkt im Text.,dem,Ich nähere mich dem Punkt im Text.,,dative,masculine,
533,103,Ich passe mich _____ Situation an.,der,Ich passe mich der Situation an.,,dative,feminine,
534,103,Ich danke _____ Lehrer für die Hilfe.,dem,Ich danke dem Lehrer für die Hilfe.,,dative,masculine,
535,103,Er widerspricht _____ Preisen des Produkts.,den,Er widerspricht den Preisen des Produkts.,,dative,plural,
536,103,Er hilft _____ Stelle mit neuen Ideen.,der,Er hilft der Stelle mit neuen Ideen.,,dative,feminine,
537,103,Ich passe _____ Form an.,der,Ich passe der Form an.,,dative,feminine,
538,103,Wir widmen _____ Monat besondere Bedeutung.,dem,Wir widmen dem Monat besondere Bedeutung.,,dative,masculine,
539,103,Sie hilft _____ Familie oft.,der,Sie hilft der Familie oft.,,dative,feminine,
540,103,Ich genieße _____ Morgen mit einem Kaffee.,dem,Ich genieße dem Morgen mit einem Kaffee.,,dative,masculine,
541,103,Wir danken _____ Abend für die Ruhe.,dem,Wir danken dem Abend für die Ruhe.,,dative,masculine,
542,103,Ich vertraue _____ Sinn seiner Worte.,dem,Ich vertraue dem Sinn seiner Worte.,,dative,masculine,
543,103,Er dient _____ Staat als Beamter.,dem,Er dient dem Staat als Beamter.,,dative,masculine,
544,103,Sie nähert sich _____ Ziel langsam.,dem,Sie nähert sich dem Ziel langsam.,,dative,masculine,
545,103,Ich helfe _____ Freunden mit der Arbeit.,den,Ich helfe den Freunden mit der Arbeit.,,dative,plural,
546,103,Wir bleiben _____ Thema treu.,dem,Wir bleiben dem Thema treu.,,dative,masculine,
547,103,Ich danke _____ Person für ihre Hilfe.,der,Ich danke der Person für ihre Hilfe.,,dative,feminine,
548,103,Er widmet sich _____ Nacht und den Sternen.,der,Er widmet sich der Nacht und den Sternen.,,dative,feminine,
549,103,Ich gebe _____ Raum eine neue Farbe.,dem,Ich gebe dem Raum eine neue Farbe.,,dative,masculine,
550,103,Sie folgt _____ Blick des Fotografen.,dem,Sie folgt dem Blick des Fotografen.,,dative,masculine,
551,103,Er nähert sich _____ Platz vorsichtig.,dem,Er nähert sich dem Platz vorsichtig.,,dative,masculine,
552,103,Ich vertraue _____ Zahl auf dem Formular.,der,Ich vertraue der Zahl auf dem Formular.,,dative,feminine,
553,103,Ich glaube _____ Uhr nicht.,der,Ich glaube der Uhr nicht.,,dative,feminine,
554,103,Wir helfen _____ Eltern im Haushalt.,den,Wir helfen den Eltern im Haushalt.,,dative,plural,
555,103,Ich sehe _____ Ende des Films entgegen.,dem,Ich sehe dem Ende des Films entgegen.,,dative,masculine,
