Nr,level,question,answer,english,german
498,12,_____ finanziellen Problemen gibt es noch andere Herausforderungen.,Ausser,"Besides financial problems, there are other challenges.",Ausser finanziellen Problemen gibt es noch andere Herausforderungen.
499,12,_____ in Deutschland wird dieses Produkt auch in Österreich verkauft.,Ausser,"Apart from Germany, this product is also sold in Austria.",Ausser in Deutschland wird dieses Produkt auch in Österreich verkauft.
500,12,_____ bei starkem Regen gehen wir jeden Tag joggen.,Ausser,"Except in heavy rain, we go jogging every day.",Ausser bei starkem Regen gehen wir jeden Tag joggen.
501,12,_____ seiner Familie hat er niemandem davon erzählt.,Ausser,"Apart from his family, he hasn’t told anyone about it.",Ausser seiner Familie hat er niemandem davon erzählt.
502,12,_____ des starken Regens gab es Überschwemmungen in der Region.,Infolge,"As a result of the heavy rain, there were floods in the region.",Infolge des starken Regens gab es Überschwemmungen in der Region.
503,12,_____ der Wirtschaftskrise mussten viele Unternehmen schließen.,Infolge,"Due to the economic crisis, many businesses had to close.",Infolge der Wirtschaftskrise mussten viele Unternehmen schließen.
504,12,_____ eines technischen Fehlers wurde der Flug gestrichen.,Infolge,"Due to a technical error, the flight was canceled.",Infolge eines technischen Fehlers wurde der Flug gestrichen.
505,12,_____ der neuen Gesetzesänderung gelten strengere Regeln für Unternehmen.,Infolge,"As a result of the new law change, stricter regulations apply to companies.",Infolge der neuen Gesetzesänderung gelten strengere Regeln für Unternehmen.
506,12,_____ der schlechten Wetterbedingungen wurde das Event verschoben.,Infolge,"Due to bad weather conditions, the event was postponed.",Infolge der schlechten Wetterbedingungen wurde das Event verschoben.
507,12,_____ der steigenden Kosten muss das Budget überarbeitet werden.,Angesichts,"In view of the rising costs, the budget must be revised.",Angesichts der steigenden Kosten muss das Budget überarbeitet werden.
508,12,_____ der aktuellen Situation sollten wir vorsichtig sein.,Angesichts,"Given the current situation, we should be cautious.",Angesichts der aktuellen Situation sollten wir vorsichtig sein.
509,12,_____ der wirtschaftlichen Lage werden viele Unternehmen vorsichtiger investieren.,Angesichts,"Considering the economic situation, many companies are investing more cautiously.",Angesichts der wirtschaftlichen Lage werden viele Unternehmen vorsichtiger investieren.
510,12,_____ der Beweise konnte der Richter eine klare Entscheidung treffen.,Angesichts,"In light of the evidence, the judge was able to make a clear decision.",Angesichts der Beweise konnte der Richter eine klare Entscheidung treffen.
511,12,_____ des Klimawandels müssen wir nachhaltiger leben.,Angesichts,"In view of climate change, we need to live more sustainably.",Angesichts des Klimawandels müssen wir nachhaltiger leben.
512,12,Der Preis beträgt 100 Euro _____ Steuern.,inklusive,"The price is 100 euros, including taxes.",Der Preis beträgt 100 Euro inklusive Steuern.
513,12,Das Hotel bietet ein Frühstücksbuffet _____ Getränke.,inklusive,"The hotel offers a breakfast buffet, including drinks.",Das Hotel bietet ein Frühstücksbuffet inklusive Getränke.
514,12,Alle Teilnehmer erhalten ein Paket _____ Arbeitsmaterialien.,inklusive,"All participants receive a package, including work materials.",Alle Teilnehmer erhalten ein Paket inklusive Arbeitsmaterialien.
515,12,Die Miete beträgt 900 Euro _____ Nebenkosten.,inklusive,"The rent is 900 euros, including utilities.",Die Miete beträgt 900 Euro inklusive Nebenkosten.
516,12,Der Flugpreis ist _____ Gepäck und Sitzplatzreservierung.,inklusive,The flight price includes luggage and seat reservation.,Der Flugpreis ist inklusive Gepäck und Sitzplatzreservierung.
517,12,_____ seinem Gehalt erhält er monatliche Boni.,Zusätzlich zu,"In addition to his salary, he receives monthly bonuses.",Zusätzlich zu seinem Gehalt erhält er monatliche Boni.
518,12,_____ den Hausaufgaben müssen die Schüler ein Projekt vorbereiten.,Zusätzlich zu,"In addition to the homework, the students have to prepare a project.",Zusätzlich zu den Hausaufgaben müssen die Schüler ein Projekt vorbereiten.
519,12,Sie hat _____ ihrem Studium einen Nebenjob.,zusätzlich zu,She has a part-time job in addition to her studies.,Sie hat zusätzlich zu ihrem Studium einen Nebenjob.
520,12,_____ den üblichen Gebühren fallen noch Servicekosten an.,Zusätzlich zu,"In addition to the usual fees, there are also service costs.",Zusätzlich zu den üblichen Gebühren fallen noch Servicekosten an.
521,12,Er trainiert _____ seinem normalen Sportprogramm dreimal pro Woche im Fitnessstudio.,zusätzlich zu,"In addition to his regular sports routine, he trains at the gym three times a week.",Er trainiert zusätzlich zu seinem normalen Sportprogramm dreimal pro Woche im Fitnessstudio.
522,13,Das Problem wurde _____ eine neue Methode gelöst.,durch,The problem was solved through a new method.,Das Problem wurde durch eine neue Methode gelöst.
523,13,Die Stadt wurde _____ ein Erdbeben zerstört.,durch,The city was destroyed by an earthquake.,Die Stadt wurde durch ein Erdbeben zerstört.
524,13,Die Tür wurde _____ einen starken Windstoß geöffnet.,durch,The door was opened by a strong gust of wind.,Die Tür wurde durch einen starken Windstoß geöffnet.
525,13,Das Unternehmen wurde _____ eine Fusion gerettet.,durch,The company was saved through a merger.,Das Unternehmen wurde durch eine Fusion gerettet.
526,13,Die Daten wurden _____ eine Software analysiert.,durch,The data was analyzed by a software program.,Die Daten wurden durch eine Software analysiert.
527,13,Das Buch wurde _____ einem berühmten Autor geschrieben.,von,The book was written by a famous author.,Das Buch wurde von einem berühmten Autor geschrieben.
528,13,Der Dieb wurde _____ der Polizei festgenommen.,von,The thief was arrested by the police.,Der Dieb wurde von der Polizei festgenommen.
529,13,Die Brücke wurde _____ Ingenieuren geplant.,von,The bridge was designed by engineers.,Die Brücke wurde von Ingenieuren geplant.
530,13,Der Fehler wurde _____ einem Mitarbeiter entdeckt.,von,The mistake was discovered by an employee.,Der Fehler wurde von einem Mitarbeiter entdeckt.
531,13,Die Entscheidung wurde _____ der Geschäftsleitung getroffen.,von,The decision was made by the management.,Die Entscheidung wurde von der Geschäftsleitung getroffen.
532,13,Das Feuer wurde _____ schnelles Eingreifen gelöscht.,durch,The fire was extinguished through quick intervention.,Das Feuer wurde durch schnelles Eingreifen gelöscht.
533,13,Das Glas wurde _____ einen Stein zerbrochen.,durch,The glass was broken by a stone.,Das Glas wurde durch einen Stein zerbrochen.
534,13,Der Tunnel wurde _____ eine Explosion geschaffen.,durch,The tunnel was created through an explosion.,Der Tunnel wurde durch eine Explosion geschaffen.
535,13,Die Infektion wurde _____ verunreinigtes Wasser verbreitet.,durch,The infection was spread through contaminated water.,Die Infektion wurde durch verunreinigtes Wasser verbreitet.
536,13,Das Dokument wurde _____ ein automatisches System übersetzt.,durch,The document was translated through an automatic system.,Das Dokument wurde durch ein automatisches System übersetzt.
537,13,Die Rede wurde _____ dem Präsidenten gehalten.,von,The speech was given by the president.,Die Rede wurde von dem Präsidenten gehalten.
538,13,Das Lied wurde _____ einem talentierten Musiker komponiert.,von,The song was composed by a talented musician.,Das Lied wurde von einem talentierten Musiker komponiert.
539,13,Das Haus wurde _____ einem bekannten Architekten gebaut.,von,The house was built by a well-known architect.,Das Haus wurde von einem bekannten Architekten gebaut.
540,13,Der Verdächtige wurde _____ einem Zeugen identifiziert.,von,The suspect was identified by a witness.,Der Verdächtige wurde von einem Zeugen identifiziert.
541,13,Die Einladung wurde _____ dem Gastgeber verschickt.,von,The invitation was sent by the host.,Die Einladung wurde von dem Gastgeber verschickt.
542,14,Er half ihr _____ Freundlichkeit.,aus,He helped her out of kindness.,Er half ihr aus Freundlichkeit.
543,14,Sie entschied sich _____ Vernunft für diesen Job.,aus,She chose this job out of reason.,Sie entschied sich aus Vernunft für diesen Job.
544,14,_____ Respekt unterbrach er die Diskussion nicht.,Aus,"Out of respect, he didn’t interrupt the discussion.",Aus Respekt unterbrach er die Diskussion nicht.
545,14,Er spendete Geld _____ Mitgefühl für die Opfer.,aus,He donated money out of compassion for the victims.,Er spendete Geld aus Mitgefühl für die Opfer.
546,14,_____ Interesse besuchte sie das Seminar.,Aus,She attended the seminar out of interest.,Aus Interesse besuchte sie das Seminar.
547,14,Er zitterte _____ Kälte.,vor,He was shivering from the cold.,Er zitterte vor Kälte.
548,14,Sie weinte _____ Freude.,vor,She cried out of joy.,Sie weinte vor Freude.
549,14,_____ Angst konnte er nicht sprechen.,Vor,"Out of fear, he couldn’t speak.",Vor Angst konnte er nicht sprechen.
550,14,Er wurde _____ Schreck blass.,vor,He turned pale from shock.,Er wurde vor Schreck blass.
551,14,Sie lachte _____ Erleichterung.,vor,She laughed out of relief.,Sie lachte vor Erleichterung.
552,14,Er entschuldigte sich _____ Höflichkeit.,aus,He apologized out of politeness.,Er entschuldigte sich aus Höflichkeit.
553,14,Sie stimmte _____ Liebe zu.,aus,She agreed out of love.,Sie stimmte aus Liebe zu.
554,14,Er schwieg _____ Loyalität.,aus,He kept silent out of loyalty.,Er schwieg aus Loyalität.
555,14,Sie lehnte _____ Überzeugung ab.,aus,She refused out of conviction.,Sie lehnte aus Überzeugung ab.
556,14,Er handelte _____ Verzweiflung.,aus,He acted out of desperation.,Er handelte aus Verzweiflung.
557,14,Sie zitterte _____ Aufregung.,vor,She trembled from excitement.,Sie zitterte vor Aufregung.
558,14,_____ Erschöpfung konnte er sich nicht bewegen.,Vor,He couldn't move out of exhaustion.,Vor Erschöpfung konnte er sich nicht bewegen.
559,14,Sie schrie _____ Schmerz.,vor,She screamed out of pain.,Sie schrie vor Schmerz.
560,14,Er zitterte _____ Nervosität.,vor,He was shaking from nervousness.,Er zitterte vor Nervosität.
561,14,Sie wurde _____ Verlegenheit rot.,vor,She blushed out of embarrassment.,Sie wurde vor Verlegenheit rot.
562,15,_____ Vorbereitung auf die Prüfung hat sie alle Unterlagen noch einmal durchgelesen.,Zur,"To prepare for the exam, she reviewed all the documents again.",Zur Vorbereitung auf die Prüfung hat sie alle Unterlagen noch einmal durchgelesen.
563,15,_____ einer erfolgreichen Verhandlung gehört eine gute Argumentation.,Zu,A good argumentation is essential for a successful negotiation.,Zu einer erfolgreichen Verhandlung gehört eine gute Argumentation.
564,15,_____ Verbesserung der Kundenbetreuung wurden neue Mitarbeiter eingestellt.,Zur,New employees were hired to improve customer service.,Zur Verbesserung der Kundenbetreuung wurden neue Mitarbeiter eingestellt.
565,15,_____ gesunden Lebensstil gehört regelmäßige Bewegung.,Zu einem,Regular exercise is essential for a healthy lifestyle.,Zu einem gesunden Lebensstil gehört regelmäßige Bewegung.
566,15,_____ Lösung des Problems haben wir eine Expertenrunde einberufen.,Zur,A panel of experts was convened to solve the problem.,Zur Lösung des Problems haben wir eine Expertenrunde einberufen.
567,15,_____ erfolgreichen Abschluss des Projekts müssen alle Teammitglieder zusammenarbeiten.,Für den,"For the successful completion of the project, all team members must work together.",Für den erfolgreichen Abschluss des Projekts müssen alle Teammitglieder zusammenarbeiten.
568,15,_____ bessere Zukunft investieren wir in erneuerbare Energien.,Für eine,"For a better future, we are investing in renewable energy.",Für eine bessere Zukunft investieren wir in erneuerbare Energien.
569,15,_____ Eröffnung der Ausstellung wurden zahlreiche Gäste eingeladen.,Für die,Numerous guests were invited for the opening of the exhibition.,Für die Eröffnung der Ausstellung wurden zahlreiche Gäste eingeladen.
570,15,_____ Schutz der Umwelt sollten wir weniger Plastik verwenden.,Für den,"For environmental protection, we should use less plastic.",Für den Schutz der Umwelt sollten wir weniger Plastik verwenden.
571,15,_____ gelungene Präsentation bereitet er sich intensiv vor.,Für eine,He is preparing intensively for a successful presentation.,Für eine gelungene Präsentation bereitet er sich intensiv vor.
572,15,_____ Förderung der Kreativität wurden spezielle Workshops organisiert.,Zur,"To promote creativity, special workshops were organized.",Zur Förderung der Kreativität wurden spezielle Workshops organisiert.
573,15,_____ erfolgreichen Studium gehört eine gute Zeitplanung.,Zu einem,A good time management is essential for a successful study.,Zu einem erfolgreichen Studium gehört eine gute Zeitplanung.
574,15,_____ Erhöhung der Sicherheit wurden neue Kameras installiert.,Zur,New cameras were installed to increase security.,Zur Erhöhung der Sicherheit wurden neue Kameras installiert.
575,15,_____ gelungenen Veranstaltung gehört eine gute Vorbereitung.,Zu einer,Good preparation is essential for a successful event.,Zu einer gelungenen Veranstaltung gehört eine gute Vorbereitung.
576,15,_____ Verbesserung der Zusammenarbeit wurden regelmäßige Meetings eingeführt.,Zur,Regular meetings were introduced to improve collaboration.,Zur Verbesserung der Zusammenarbeit wurden regelmäßige Meetings eingeführt.
577,15,_____ Entwicklung neuer Produkte investiert das Unternehmen in Forschung.,Für die,The company is investing in research for the development of new products.,Für die Entwicklung neuer Produkte investiert das Unternehmen in Forschung.
578,15,_____ Optimierung des Kundenservice wurden neue Maßnahmen ergriffen.,Für die,New measures were taken for the optimization of customer service.,Für die Optimierung des Kundenservice wurden neue Maßnahmen ergriffen.
579,15,_____ Ausbau der Infrastruktur stellt die Regierung mehr Mittel bereit.,Für den,The government is providing more funds for the expansion of infrastructure.,Für den Ausbau der Infrastruktur stellt die Regierung mehr Mittel bereit.
580,15,_____ Bewerbung um das Stipendium werden mehrere Dokumente benötigt.,Für die,Several documents are required for the application for the scholarship.,Für die Bewerbung um das Stipendium werden mehrere Dokumente benötigt.
581,15,_____ Schutz der Daten wurden neue Sicherheitsvorkehrungen eingeführt.,Für den,New security measures were introduced for the protection of data.,Für den Schutz der Daten wurden neue Sicherheitsvorkehrungen eingeführt.
582,16,"excluding, apart from",ausschließlich,,
583,16,"in the middle of, surrounded by",inmitten,,
584,16,"along with, together with",nebst,,
585,16,on this side of,diesseits,,
586,16,"on the other side of, beyond",jenseits,,
587,16,"on the part of, from the side of",seitens,,
588,16,on both sides of,beiderseits,,
589,16,above,oberhalb,,
590,16,"below, beneath, underneath",unterhalb,,
591,16,"in favor of, for the benefit of",zugunsten,,
592,16,"on the occasion of, in honor of",anlässlich,,
593,16,"by virtue of, by use of",kraft,,
594,17,Das kleine Dorf liegt _____ eines großen Waldes.,inmitten,The small village is located in the middle of a large forest.,Das kleine Dorf liegt inmitten eines großen Waldes.
595,17,Sie fanden sich plötzlich _____ einer hitzigen Diskussion wieder.,inmitten,They suddenly found themselves in the middle of a heated discussion.,Sie fanden sich plötzlich inmitten einer hitzigen Diskussion wieder.
596,17,_____ der Stadt gibt es einen wunderschönen Park.,Inmitten,"In the middle of the city, there is a beautiful park.",Inmitten der Stadt gibt es einen wunderschönen Park.
597,17,Das Schloss steht _____ einer malerischen Landschaft.,inmitten,The castle stands amidst a picturesque landscape.,Das Schloss steht inmitten einer malerischen Landschaft.
598,17,"Er blieb ruhig, obwohl er sich _____ eines Chaos befand.",inmitten,He remained calm even though he was in the middle of chaos.,"Er blieb ruhig, obwohl er sich inmitten eines Chaos befand."
599,17,_____ den offiziellen Dokumenten müssen Sie auch einen Lebenslauf einreichen.,Nebst,"Along with the official documents, you must also submit a resume.",Nebst den offiziellen Dokumenten müssen Sie auch einen Lebenslauf einreichen.
600,17,Er brachte _____ einem Geschenk auch Blumen mit.,nebst,He brought flowers along with a gift.,Er brachte nebst einem Geschenk auch Blumen mit.
601,17,_____ der Miete sind auch die Nebenkosten zu zahlen.,Nebst,"Along with the rent, the utility costs must also be paid.",Nebst der Miete sind auch die Nebenkosten zu zahlen.
602,17,Sie erhielt eine Beförderung _____ einer Gehaltserhöhung.,nebst,She received a promotion along with a salary increase.,Sie erhielt eine Beförderung nebst einer Gehaltserhöhung.
603,17,_____ den Gästen aus Deutschland kamen auch Freunde aus Frankreich zur Hochzeit.,Nebst,"Along with the guests from Germany, friends from France also came to the wedding.",Nebst den Gästen aus Deutschland kamen auch Freunde aus Frankreich zur Hochzeit.
604,17,_____ des Vorstands traf niemand eine Entscheidung über das Projekt.,Ausschließlich,"Except for the board, no one made a decision about the project.",Ausschließlich des Vorstands traf niemand eine Entscheidung über das Projekt.
605,17,Die Nutzung des Parkplatzes ist _____ der Belegschaft vorbehalten.,ausschließlich,The use of the parking lot is reserved exclusively for the staff.,Die Nutzung des Parkplatzes ist ausschließlich der Belegschaft vorbehalten.
606,17,_____ der Kosten für Unterkunft und Verpflegung wurden alle Ausgaben erstattet.,Ausschließlich,"Apart from the costs for accommodation and meals, all expenses were reimbursed.",Ausschließlich der Kosten für Unterkunft und Verpflegung wurden alle Ausgaben erstattet.
607,17,Der Zugang zu den Daten bleibt _____ der Geschäftsleitung vorbehalten.,ausschließlich,Access to the data remains exclusively reserved for management.,Der Zugang zu den Daten bleibt ausschließlich der Geschäftsleitung vorbehalten.
608,17,_____ der wissenschaftlichen Erkenntnisse wurde eine neue Strategie entwickelt.,Ausschließlich,A new strategy was developed solely based on scientific findings.,Ausschließlich der wissenschaftlichen Erkenntnisse wurde eine neue Strategie entwickelt.
609,17,_____ der Burg erstreckt sich ein malerisches Tal.,Unterhalb,"Below the castle, a picturesque valley stretches out.",Unterhalb der Burg erstreckt sich ein malerisches Tal.
610,17,Die Temperaturen sind _____ von 0 Grad gefährlich für Autofahrer.,unterhalb,Temperatures below 0 degrees are dangerous for drivers.,Die Temperaturen sind unterhalb von 0 Grad gefährlich für Autofahrer.
611,17,_____ der Stadt gibt es eine große unterirdische Höhle.,Unterhalb,"Below the city, there is a large underground cave.",Unterhalb der Stadt gibt es eine große unterirdische Höhle.
612,17,Die Wohngegend _____ des Hügels ist besonders beliebt wegen ihrer Nähe zum Fluss.,unterhalb,The residential area below the hill is particularly popular due to its proximity to the river.,Die Wohngegend unterhalb des Hügels ist besonders beliebt wegen ihrer Nähe zum Fluss.
613,17,_____ der Schmerzgrenze bleibt das Training effektiv und sicher.,Unterhalb,Staying below the pain threshold keeps training effective and safe.,Unterhalb der Schmerzgrenze bleibt das Training effektiv und sicher.
614,17,_____ der Grenze gibt es wirtschaftliche Kooperationen zwischen den Ländern.,Beiderseits,"On both sides of the border, there are economic cooperations between the countries.",Beiderseits der Grenze gibt es wirtschaftliche Kooperationen zwischen den Ländern.
615,17,Die Bäume _____ der Straße spenden angenehmen Schatten im Sommer.,beiderseits,The trees on both sides of the road provide pleasant shade in summer.,Die Bäume beiderseits der Straße spenden angenehmen Schatten im Sommer.
616,17,_____ des Flusses erstrecken sich wunderschöne Weinberge.,Beiderseits,"On both sides of the river, beautiful vineyards stretch out.",Beiderseits des Flusses erstrecken sich wunderschöne Weinberge.
617,17,Die Diskussion führte zu einer besseren Verständigung _____ der Verhandlungstische.,beiderseits,The discussion led to better understanding on both sides of the negotiation tables.,Die Diskussion führte zu einer besseren Verständigung beiderseits der Verhandlungstische.
618,17,_____ des Vertrages bestehen klare Verpflichtungen für beide Parteien.,Beiderseits,"On both sides of the contract, there are clear obligations for both parties.",Beiderseits des Vertrages bestehen klare Verpflichtungen für beide Parteien.
619,17,Das Gericht entschied _____ des Angeklagten aufgrund fehlender Beweise.,zugunsten,The court ruled in favor of the defendant due to a lack of evidence.,Das Gericht entschied zugunsten des Angeklagten aufgrund fehlender Beweise.
620,17,_____ der Umwelt wurden strengere Recycling-Vorschriften eingeführt.,Zugunsten,Stricter recycling regulations were introduced in favor of the environment.,Zugunsten der Umwelt wurden strengere Recycling-Vorschriften eingeführt.
621,17,Die Spendenaktion wurde _____ von hilfsbedürftigen Kindern organisiert.,zugunsten,The fundraising campaign was organized for the benefit of children in need.,Die Spendenaktion wurde zugunsten von hilfsbedürftigen Kindern organisiert.
622,17,Die Politiker trafen eine Entscheidung _____ der wirtschaftlichen Stabilität.,zugunsten,The politicians made a decision in favor of economic stability.,Die Politiker trafen eine Entscheidung zugunsten der wirtschaftlichen Stabilität.
623,17,Das neue Gesetz wurde _____ der Arbeitnehmerrechte angepasst.,zugunsten,The new law was adjusted in favor of workers' rights.,Das neue Gesetz wurde zugunsten der Arbeitnehmerrechte angepasst.
624,17,"_____ der Regierung wurde betont, dass weitere Maßnahmen folgen werden.",Seitens,"On the part of the government, it was emphasized that further measures will follow.","Seitens der Regierung wurde betont, dass weitere Maßnahmen folgen werden."
625,17,Es gab Kritik _____ der Opposition an der neuen Gesetzesvorlage.,seitens,There was criticism from the opposition regarding the new bill.,Es gab Kritik seitens der Opposition an der neuen Gesetzesvorlage.
626,17,_____ des Unternehmens gab es keine Stellungnahme zu den Vorwürfen.,Seitens,There was no statement from the company regarding the allegations.,Seitens des Unternehmens gab es keine Stellungnahme zu den Vorwürfen.
627,17,Die Entscheidung wurde _____ des Gerichts mit großer Sorgfalt getroffen.,seitens,The decision was made by the court with great care.,Die Entscheidung wurde seitens des Gerichts mit großer Sorgfalt getroffen.
628,17,_____ der Eltern gab es viele Beschwerden über das neue Schulsystem.,Seitens,There were many complaints from the parents about the new school system.,Seitens der Eltern gab es viele Beschwerden über das neue Schulsystem.
629,17,_____ der Berge beginnt eine völlig andere Klimazone.,Jenseits,"Beyond the mountains, a completely different climate zone begins.",Jenseits der Berge beginnt eine völlig andere Klimazone.
630,17,Die politische Situation _____ des Atlantiks unterscheidet sich stark von der in Europa.,jenseits,The political situation beyond the Atlantic is very different from that in Europe.,Die politische Situation jenseits des Atlantiks unterscheidet sich stark von der in Europa.
631,17,_____ der Stadtgrenze gelten andere Bauvorschriften und Steuersätze.,Jenseits,"Beyond the city limits, different building regulations and tax rates apply.",Jenseits der Stadtgrenze gelten andere Bauvorschriften und Steuersätze.
632,17,Die Kultur _____ der Landesgrenzen ist oft überraschend vielfältig.,jenseits,The culture beyond the national borders is often surprisingly diverse.,Die Kultur jenseits der Landesgrenzen ist oft überraschend vielfältig.
633,17,_____ des Flusses erstreckt sich eine unberührte Naturlandschaft.,Jenseits,"Beyond the river, an untouched natural landscape stretches out.",Jenseits des Flusses erstreckt sich eine unberührte Naturlandschaft.
634,17,_____ seines Amtes traf der Richter eine endgültige Entscheidung.,Kraft,"By virtue of his office, the judge made a final decision.",Kraft seines Amtes traf der Richter eine endgültige Entscheidung.
635,17,Der Vertrag wurde _____ gesetzlicher Bestimmungen für ungültig erklärt.,kraft,The contract was declared invalid by virtue of legal regulations.,Der Vertrag wurde kraft gesetzlicher Bestimmungen für ungültig erklärt.
636,17,_____ ihrer Erfahrung konnte die Managerin das Unternehmen erfolgreich umstrukturieren.,Kraft,"By virtue of her experience, the manager was able to successfully restructure the company.",Kraft ihrer Erfahrung konnte die Managerin das Unternehmen erfolgreich umstrukturieren.
637,17,_____ seiner Vollmacht unterzeichnete er das Dokument im Namen der Firma.,Kraft,"By virtue of his authority, he signed the document on behalf of the company.",Kraft seiner Vollmacht unterzeichnete er das Dokument im Namen der Firma.
638,17,_____ internationaler Abkommen sind alle Mitgliedstaaten zur Einhaltung der Regeln verpflichtet.,Kraft,"By virtue of international agreements, all member states are obligated to comply with the rules.",Kraft internationaler Abkommen sind alle Mitgliedstaaten zur Einhaltung der Regeln verpflichtet.
639,17,_____ der Stadt liegt eine alte Burg mit beeindruckender Aussicht.,Oberhalb,Above the city lies an old castle with an impressive view.,Oberhalb der Stadt liegt eine alte Burg mit beeindruckender Aussicht.
640,17,Die Temperaturen sind _____ von 2.000 Metern deutlich kühler.,oberhalb,"Temperatures are significantly cooler above 2,000 meters.",Die Temperaturen sind oberhalb von 2.000 Metern deutlich kühler.
641,17,_____ der Wolken konnte man von dem Flugzeug aus die Sonne sehen.,Oberhalb,"Above the clouds, one could see the sun from the airplane.",Oberhalb der Wolken konnte man von dem Flugzeug aus die Sonne sehen.
642,17,Die Wohngegend _____ des Flusses gilt als besonders exklusiv.,oberhalb,The residential area above the river is considered particularly exclusive.,Die Wohngegend oberhalb des Flusses gilt als besonders exklusiv.
643,17,_____ der Schmerzgrenze sollte man keine weiteren Gewichte heben.,Oberhalb,"Above the pain threshold, one should not lift any more weights.",Oberhalb der Schmerzgrenze sollte man keine weiteren Gewichte heben.
644,17,_____ der Grenze gelten andere Gesetze als im Nachbarland.,Diesseits,"On this side of the border, different laws apply than in the neighboring country.",Diesseits der Grenze gelten andere Gesetze als im Nachbarland.
645,17,Die Flora _____ des Flusses unterscheidet sich stark von der auf der anderen Seite.,diesseits,The flora on this side of the river differs significantly from that on the other side.,Die Flora diesseits des Flusses unterscheidet sich stark von der auf der anderen Seite.
646,17,Die wirtschaftliche Entwicklung _____ der Alpen verläuft dynamischer als jenseits davon.,diesseits,The economic development on this side of the Alps is progressing more dynamically than beyond them.,Die wirtschaftliche Entwicklung diesseits der Alpen verläuft dynamischer als jenseits davon.
647,17,_____ des politischen Spektrums gibt es viele unterschiedliche Meinungen zu diesem Thema.,Diesseits,"On this side of the political spectrum, there are many different opinions on this topic.",Diesseits des politischen Spektrums gibt es viele unterschiedliche Meinungen zu diesem Thema.
648,17,Die Temperaturen _____ des Äquators sind im Winter deutlich milder als jenseits davon.,diesseits,The temperatures on this side of the equator are significantly milder in winter than beyond it.,Die Temperaturen diesseits des Äquators sind im Winter deutlich milder als jenseits davon.
649,17,_____ seines Geburtstags veranstaltete er eine große Feier.,Anlässlich,"On the occasion of his birthday, he hosted a big party.",Anlässlich seines Geburtstags veranstaltete er eine große Feier.
650,17,Die Stadt organisierte ein Festival _____ des Jubiläums ihrer Gründung.,anlässlich,The city organized a festival in honor of the anniversary of its founding.,Die Stadt organisierte ein Festival anlässlich des Jubiläums ihrer Gründung.
651,17,_____ der Hochzeit seiner Tochter lud er die gesamte Familie ein.,Anlässlich,"On the occasion of his daughter's wedding, he invited the entire family.",Anlässlich der Hochzeit seiner Tochter lud er die gesamte Familie ein.
652,17,Der Präsident hielt eine Rede _____ des Nationalfeiertags.,anlässlich,The president gave a speech on the occasion of the national holiday.,Der Präsident hielt eine Rede anlässlich des Nationalfeiertags.
653,17,_____ der Eröffnung des neuen Museums wurden kostenlose Führungen angeboten.,Anlässlich,"On the occasion of the new museum's opening, free tours were offered.",Anlässlich der Eröffnung des neuen Museums wurden kostenlose Führungen angeboten.
