Nr,level,level_verb,answer,question,type,prefix,german,english
895,101,C1,verschärfen,,1. verb,,,
896,101,C1,verschönern,,1. verb,,,
897,101,C1,versenden,,1. verb,,,
898,101,C1,versenken,,1. verb,,,
899,101,C1,versinken,,1. verb,,,
900,101,C1,versperren,,1. verb,,,
901,101,C1,verspielen,,1. verb,,,
902,101,C1,verspüren,,1. verb,,,
903,101,C1,verstauen,,1. verb,,,
904,101,C1,versteigern,,1. verb,,,
905,101,C1,versterben,,1. verb,,,
906,101,C1,verstossen,,1. verb,,,
907,101,C1,verstreichen,,1. verb,,,
908,101,C1,verständigen,,1. verb,,,
909,101,C1,versäumen,,1. verb,,,
910,101,C1,vertagen,,1. verb,,,
911,101,C1,vertragen,,1. verb,,,
912,101,C1,verunsichern,,1. verb,,,
913,101,C1,vervollständigen,,1. verb,,,
914,101,C1,verwehren,,1. verb,,,
915,101,C1,verwerfen,,1. verb,,,
916,101,C1,verwerten,,1. verb,,,
917,101,C1,verwickeln,,1. verb,,,
918,101,C1,verwundern,,1. verb,,,
919,101,C1,verwöhnen,,1. verb,,,
920,101,C1,verzaubern,,1. verb,,,
921,101,C1,verzeichnen,,1. verb,,,
922,101,C1,verzieren,,1. verb,,,
923,101,C1,verzögern,,1. verb,,,
924,101,C1,verüben,,1. verb,,,
925,101,C1,verzweifeln,to despair,1. verb,,,
926,101,C1,vergiften,to poison,1. verb,,,
927,101,C1,zerschlagen,,1. verb,,,
928,101,C1,zerbrechen,,1. verb,,,
929,101,C1,zerlegen,,1. verb,,,
930,101,C1,zertifizieren,,1. verb,,,
931,101,C1,durchsetzen,"to enforce, to assert",1. verb,,,
932,101,C1,durchbrechen,,1. verb,,,
933,101,C1,durchdringen,,1. verb,,,
934,101,C1,durchgehen,,1. verb,,,
935,101,C1,durchhalten,,1. verb,,,
936,101,C1,durchlaufen,,1. verb,,,
937,101,C1,durchlesen,,1. verb,,,
938,101,C1,durchsuchen,,1. verb,,,
939,101,C1,durchziehen,,1. verb,,,
940,101,C1,überfallen,"to attack, to raid (a bank), to invade (a country)",1. verb,,,
941,101,C1,überarbeiten,,1. verb,,,
942,101,C1,überbieten,,1. verb,,,
943,101,C1,überbringen,,1. verb,,,
944,101,C1,überbrücken,,1. verb,,,
945,101,C1,überdenken,,1. verb,,,
946,101,C1,übereinstimmen,,1. verb,,,
947,101,C1,überfordern,,1. verb,,,
948,101,C1,überführen,,1. verb,,,
949,101,C1,übergehen,,1. verb,,,
950,101,C1,überholen,,1. verb,,,
951,101,C1,überragen,,1. verb,,,
952,101,C1,überreden,,1. verb,,,
953,101,C1,überreichen,,1. verb,,,
954,101,C1,überschlagen,,1. verb,,,
955,101,C1,überschreiben,,1. verb,,,
956,101,C1,übersehen,,1. verb,,,
957,101,C1,überspringen,,1. verb,,,
958,101,C1,überstehen,,1. verb,,,
959,101,C1,übersteigen,,1. verb,,,
960,101,C1,übertreffen,,1. verb,,,
961,101,C1,überwiegen,,1. verb,,,
962,101,C1,überwältigen,,1. verb,,,
963,101,C1,überziehen,,1. verb,,,
964,101,C1,umbringen,"to kill, to murder, to be very angry at someone",1. verb,,,
965,101,C1,umbauen,,1. verb,,,
966,101,C1,umbenennen,,1. verb,,,
967,101,C1,umgestalten,,1. verb,,,
968,101,C1,umleiten,,1. verb,,,
969,101,C1,umrahmen,,1. verb,,,
970,101,C1,umschreiben,,1. verb,,,
971,101,C1,umsehen,,1. verb,,,
972,101,C1,umsteigen,,1. verb,,,
973,101,C1,umwandeln,,1. verb,,,
974,101,C1,unterbinden,,1. verb,,,
975,101,C1,unterbreiten,,1. verb,,,
976,101,C1,unterbringen,,1. verb,,,
977,101,C1,unterdrücken,,1. verb,,,
978,101,C1,untergehen,,1. verb,,,
979,101,C1,unterlassen,,1. verb,,,
980,101,C1,unterlaufen,,1. verb,,,
981,101,C1,untermauern,,1. verb,,,
982,101,C1,untersagen,,1. verb,,,
983,101,C1,unterschätzen,,1. verb,,,
984,101,C1,unterstellen,,1. verb,,,
985,101,C1,unterteilen,,1. verb,,,
986,101,C1,unterwerfen,,1. verb,,,
987,101,C1,unterziehen,,1. verb,,,
988,101,C1,abhauen,"to cut off (cutting weapon), to do a runner, to piss off",1. verb,,,
989,101,C1,abkommen,,1. verb,,,
990,101,C1,abtrennen,to detach,1. verb,,,
991,101,C1,abbringen,to dissuade,1. verb,,,
992,101,C1,anlügen,"to lie to, to tell someone a lie",1. verb,,,
993,101,C1,anschiessen,"to shoot along, to shoot someone",1. verb,,,
994,101,C1,anscheinen,,1. verb,,,
995,101,C1,anhängen,to attach,1. verb,,,
996,101,C1,einsperren,"to lock up, to imprison",1. verb,,,
997,101,C1,einatmen,,1. verb,,,
998,101,C1,einbilden,,1. verb,,,
999,101,C1,herschieben,,1. verb,,,
1000,101,C1,hervorragen,,1. verb,,,
1001,101,C1,hervorwagen,,1. verb,,,
1002,101,C1,herausbekommen,,1. verb,,,
1003,101,C1,nachsehen,"to chech back, to peek, to look something up/over",1. verb,,,
1004,101,C1,vorbeireiten,,1. verb,,,
1005,101,C1,vorschlafen,,1. verb,,,
1006,101,C1,zurückbringen,"to return something, to restore",1. verb,,,
1007,101,C1,beglücken,to make happy,1. verb,,,
1008,101,C1,befreunden,to befriend (refl.),1. verb,,,
1009,101,C1,beglückwünschen,"to congratulate, to felicitate",1. verb,,,
1010,101,C1,bescheissen,"to deceive someone, to screw someone",1. verb,,,
1011,101,C1,beben,,1. verb,,,
1012,101,C1,bellen,,1. verb,,,
1013,101,C1,befehligen,to command,1. verb,,,
1014,101,C1,bewachen,to guard,1. verb,,,
1015,101,C1,entbehren,,1. verb,,,
1016,101,C1,entgegenen,,1. verb,,,
1017,101,C1,ersehen,,1. verb,,,
1018,101,C1,ersuchen,,1. verb,,,
1019,101,C1,genieren,,1. verb,,,
1020,101,C1,verbrechen,to commit (a crime),1. verb,,,
1021,101,C1,verarschen,"to trick, to fool",1. verb,,,
1022,101,C1,verfluchen,to curse,1. verb,,,
1023,101,C1,versauen,"to mess something up, to butcher something, to cock something up",1. verb,,,
1024,101,C1,vermasseln,"to screw up, to botch, to goof, to muddle",1. verb,,,
1025,101,C1,verprügeln,"to beat someone up, to wallop",1. verb,,,
1026,101,C1,verscheiden,,1. verb,,,
1027,101,C1,verschilfen,,1. verb,,,
1028,101,C1,verschneien,,1. verb,,,
1029,101,C1,verwehen,,1. verb,,,
1030,101,C1,verachten,,1. verb,,,
1031,101,C1,verkommen,,1. verb,,,
1032,101,C1,vermehren,,1. verb,,,
1033,101,C1,verheimlichen,to conceal,1. verb,,,
1034,101,C1,zerfahren,,1. verb,,,
1035,101,C1,durchmachen,"to go through, to endure, to undergo, to finish, to stay up all night",1. verb,,,
1036,101,C1,durchmessen,,1. verb,,,
1037,101,C1,übereinkommen,,1. verb,,,
1038,101,C1,überfragen,,1. verb,,,
1039,101,C1,überliegen,,1. verb,,,
1040,101,C1,überschreien,,1. verb,,,
1041,101,C1,umrühen,to stir,1. verb,,,
1042,101,C1,veräußern,,1. verb,,,
1043,101,C1,zusammenstoßen,,1. verb,,,
1044,2,A1,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull",2. prefix,an,ziehen,"to pull, to drag, to move"
1045,2,A1,anrufen,"to call by telephone, to call on (someone)",2. prefix,an,rufen,"to call out, to call for help, to telephone"
1046,2,A1,anfangen,to begin something new,2. prefix,an,fangen,to catch
1047,2,A1,ansehen,"to look at something, to watch something",2. prefix,an,sehen,"to see, to see (to something), to realise"
1048,2,A1,aufstehen,"to get up, to be open (e.g. a window, door)",2. prefix,auf,stehen,"to stand, to be, to appear"
1049,2,A1,aufhören,"to stop, to cease an activity/process",2. prefix,auf,hören,"to hear, to listen to"
1050,2,A1,einladen,"to invite, to load (something into a container)",2. prefix,ein,laden,"to load, to charge"
1051,2,A1,bestimmen,to determine,2. prefix,be,stimmen,"to be true, to vote, to tune"
1052,2,A1,bezahlen,"to pay, to pay someone",2. prefix,be,zahlen,"to pay (for something), to atone for"
1053,2,A1,benutzen,to use (something),2. prefix,be,nutzen,"to use, to utilize"
1054,2,A1,besuchen,to visit,2. prefix,be,suchen,"to seek, to search"
1055,2,A1,erzählen,"to tell, to narrate",2. prefix,er,zählen,to count
1056,2,A1,erklären,"to explain, to declare, to assert",2. prefix,er,klären,to clarify
1057,2,A1,verstehen,"to understand, to get along with someone/something",2. prefix,ver,stehen,"to stand, to be, to appear"
1058,2,A1,versuchen,to try,2. prefix,ver,suchen,"to seek, to search"
1059,2,A1,verkaufen,to sell,2. prefix,ver,kaufen,to buy
1060,2,A1,übersetzen,to translate,2. prefix,über,setzen,"to set, to sit down (refl.)"
1061,2,A2,abholen,"to pick up someone or something, to collect",2. prefix,ab,holen,to fetch
1062,2,A2,ankommen,"to arrive, to depend on something",2. prefix,an,kommen,"to come, to make it (e.g. over something), to go to, to occur"
1063,2,A2,anmelden,"to register, to sign up",2. prefix,an,melden,"to report, to register"
1064,2,A2,annehmen,"to accept, to assume (a hypothesis), to receive, to suppose",2. prefix,an,nehmen,"to take, to cause oneself to be (in some state)"
1065,2,A2,anbieten,"to offer, to provide",2. prefix,an,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)"
1066,2,A2,aufmachen,"to open (coll.), to head/move off (refl.), to undo something",2. prefix,auf,machen,"to make, to prepare (e.g. food), to do"
1067,2,A2,aufpassen,"to watch out, to look after something, to be attentive with something",2. prefix,auf,passen,"to fit, to suit"
1068,2,A2,einschlafen,to fall asleep,2. prefix,ein,schlafen,to sleep
1069,2,A2,einkaufen,to shop,2. prefix,ein,kaufen,to buy
1070,2,A2,zurückgehen,"to go back, to decline",2. prefix,zurück,gehen,"to go, to leave, to work, to function (coll.)"
1071,2,A2,mitnehmen,"to carry along, to pick up (something), to take away",2. prefix,mit,nehmen,"to take, to cause oneself to be (in some state)"
1072,2,A2,mitbringen,"to bring along, to bring with",2. prefix,mit,bringen,"to bring, to take, to lead"
1073,2,A2,mitteilen,"to inform, to share",2. prefix,mit,teilen,"to split, to share, to divide"
1074,2,A2,vorstellen,"to introduce, to present oneself (refl.), to move forward, to represent",2. prefix,vor,stellen,"to position, to put, to catch"
1075,2,A2,vorschlagen,"to suggest, to propose",2. prefix,vor,schlagen,"to hit, to defeat, to beat (cooking)"
1076,2,A2,besitzen,"to own, to possess, to have",2. prefix,be,sitzen,"to be seated, to stay, to fit (of clothing)"
1077,2,A2,behalten,to keep,2. prefix,be,halten,"to hold, to stop (a movement), to support, to keep"
1078,2,A2,befinden,"to be located (refl.), to find, to consider (formal)",2. prefix,be,finden,to find
1079,2,A2,beraten,"to advise, to consult",2. prefix,be,raten,"to advise, to recommend, to guess"
1080,2,A2,bewerben,to apply (to a job etc.),2. prefix,be,werben,to advertise
1081,2,A2,beenden,"to finish, to complete, to terminate (relationship)",2. prefix,be,enden,to end (passive)
1082,2,A2,empfehlen,"to recommend, to suggest",2. prefix,emp,fehlen,"to lack, to be absent/missing"
1083,2,A2,entscheiden,to decide,2. prefix,ent,scheiden,"to separate, to divorce"
1084,2,A2,enthalten,"to contain, to include",2. prefix,ent,halten,"to hold, to stop (a movement), to support, to keep"
1085,2,A2,erkennen,"to recognise, to realise",2. prefix,er,kennen,"to know, to be acquainted with, to be familiar with"
1086,2,A2,erwarten,"to expect, to await",2. prefix,er,warten,"to wait, to maintain (e.g. a car)"
1087,2,A2,ersetzen,"to replace, to substitute",2. prefix,er,setzen,"to set, to sit down (refl.)"
1088,2,A2,erstellen,"to create, to generate, to compile, to set up",2. prefix,er,stellen,"to position, to put, to catch"
1089,2,A2,verlassen,"to leave, to trust with something (refl.), to pass away, to die",2. prefix,ver,lassen,"to let, to leave, to allow"
1090,2,A2,versprechen,"to promise, to hope for, to misspeak",2. prefix,ver,sprechen,to speak
1091,2,A2,verändern,"to alter, to change something",2. prefix,ver,ändern,to change (one's personality/behavior)
1092,2,A2,verpassen,"to miss (to be late for something, e.g. a train)",2. prefix,ver,passen,"to fit, to suit"
1093,2,A2,verbieten,"to forbid, to prohibit (with dative)",2. prefix,ver,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)"
1094,2,A2,vertreten,"to represent, to stand for",2. prefix,ver,treten,"to step, to read, to kick (a ball)"
1095,2,A2,übernehmen,to take over,2. prefix,über,nehmen,"to take, to cause oneself to be (in some state)"
1096,2,A2,überlegen,"to consider, to think over",2. prefix,über,legen,"to lay, to lean, to lie down"
1097,2,A2,überprüfen,to check,2. prefix,über,prüfen,"to investigate, to check something, to consider"
1098,5,B1,abgeben,"to hand something in, to emit something, to deliver something, to cede something",2. prefix,ab,geben,to give
1099,5,B1,absagen,"to call off, to cancel",2. prefix,ab,sagen,"to say, to tell"
1100,5,B1,abschließen,"to complete, to end, to shut off, to lock up, to conclude (a contract, deal)",2. prefix,ab,schließen,"to shut, to close, to lock, to conclude"
1101,5,B1,ablenken,"to distract, to divert, to steer away",2. prefix,ab,lenken,"to guide, to direct, to steer, to control"
1102,5,B1,abnehmen,"to decrease, to lose weight, to accept something, to pick up (of telephones)",2. prefix,ab,nehmen,"to take, to cause oneself to be (in some state)"
1103,5,B1,anschauen,"to look at, to behold, to take a look at, to watch (Bayern/Austria)",2. prefix,an,schauen,to look at (Bayern/Austria)
1104,5,B1,anfassen,to touch,2. prefix,an,fassen,to grasp
1105,5,B1,ankündigen,"to announce, to declare",2. prefix,an,kündigen,"to terminate, to cancel"
1106,5,B1,aufwachsen,"to grow up, to be raised",2. prefix,auf,wachsen,"to grow, to increase"
1107,5,B1,aufnehmen,"to pick up, to receive, to take in, to record, to absorb",2. prefix,auf,nehmen,"to take, to cause oneself to be (in some state)"
1108,5,B1,einsetzen,"to insert, to use, to appoint, to risk",2. prefix,ein,setzen,"to set, to sit down (refl.)"
1109,5,B1,einstellen,"to employ someone, to adjust, to cease",2. prefix,ein,stellen,"to position, to put, to catch"
1110,5,B1,zustimmen,"to agree, to consent",2. prefix,zu,stimmen,"to be true, to vote, to tune"
1111,5,B1,zubereiten,"to prepare, to cook in advance",2. prefix,zu,bereiten,"to prepare something (meals, coffee, etc.), to give, to cause (pleasure, trouble, etc.)"
1112,5,B1,zunehmen,"to gain weight, to increase",2. prefix,zu,nehmen,"to take, to cause oneself to be (in some state)"
1113,5,B1,zugeben,to admit,2. prefix,zu,geben,to give
1114,5,B1,zusagen,"to promise, to accept, to confirm",2. prefix,zu,sagen,"to say, to tell"
1115,5,B1,zurückkommen,to return (to come back),2. prefix,zurück,kommen,"to come, to make it (e.g. over something), to go to, to occur"
1116,5,B1,herausfinden,"to find something out, to discover",2. prefix,heraus,finden,to find
1117,5,B1,hervorheben,"to point out, to emphasize",2. prefix,hervor,heben,"to lift, to raise"
1118,5,B1,herunterladen,to download,2. prefix,herunter,laden,"to load, to charge"
1119,5,B1,herstellen,"to manufacture, to produce",2. prefix,her,stellen,"to position, to put, to catch"
1120,5,B1,hinweisen,"to indicate, to point out",2. prefix,hin,weisen,"to show, to indicate"
1121,5,B1,mitmachen,"to join in, to take part",2. prefix,mit,machen,"to make, to prepare (e.g. food), to do"
1122,5,B1,nachdenken,"to think, to reflect",2. prefix,nach,denken,"to think, to consider"
1123,5,B1,vorhaben,to have something planned,2. prefix,vor,haben,"to have, to contain"
1124,5,B1,vorbereiten,"to prepare (in advance), to prepare oneself (refl.)",2. prefix,vor,bereiten,"to prepare something (meals, coffee, etc.), to give, to cause (pleasure, trouble, etc.)"
1125,5,B1,vorgeben,to pretend,2. prefix,vor,geben,to give
1126,5,B1,beschreiben,to describe,2. prefix,be,schreiben,to write
1127,5,B1,bestellen,"to order (e.g. food), to summon, to reserve",2. prefix,be,stellen,"to position, to put, to catch"
1128,5,B1,beweisen,"to prove, to demonstrate",2. prefix,be,weisen,"to show, to indicate"
1129,5,B1,bestehen,"to succeed, to pass (an exam), to consist, to insist",2. prefix,be,stehen,"to stand, to be, to appear"
1130,5,B1,begründen,"to justify, to explain",2. prefix,be,gründen,"to found, to establish"
1131,5,B1,bearbeiten,to edit,2. prefix,be,arbeiten,to work
1132,5,B1,besprechen,"to discuss (formal, work related)",2. prefix,be,sprechen,to speak
1133,5,B1,beantworten,to answer (a question),2. prefix,be,antworten,"to answer, to reply"
1134,5,B1,empfangen,"to receive, to welcome (formal), to greet, to conceive (biology)",2. prefix,emp,fangen,to catch
1135,5,B1,empfinden,to feel (emotions),2. prefix,emp,finden,to find
1136,5,B1,entdecken,"to discover, to spot",2. prefix,ent,decken,"to cover, to meet"
1137,5,B1,entstehen,"to arise, to emerge, to develop",2. prefix,ent,stehen,"to stand, to be, to appear"
1138,5,B1,entsprechen,"to correspond, to comply",2. prefix,ent,sprechen,to speak
1139,5,B1,entziehen,"to withdraw, deprive",2. prefix,ent,ziehen,"to pull, to drag, to move"
1140,5,B1,entlassen,"to dismiss (from a job), to fire, to release (a prisoner or patient)",2. prefix,ent,lassen,"to let, to leave, to allow"
1141,6,B1,erwachsen,"to grow up, to spring up, to accrue",2. prefix,er,wachsen,"to grow, to increase"
1142,6,B1,erhalten,"to receive (passively), to maintain, to save",2. prefix,er,halten,"to hold, to stop (a movement), to support, to keep"
1143,6,B1,erleben,"to experience, to witness",2. prefix,er,leben,to live
1144,6,B1,erholen,to recover,2. prefix,er,holen,to fetch
1145,6,B1,erfahren,"to experience, to find out, to learn",2. prefix,er,fahren,"to go (by vehicle), to leave, to drive"
1146,6,B1,erfinden,"to invent, to fabricate (something untrue), to find out",2. prefix,er,finden,to find
1147,6,B1,erzielen,"to achieve, to reach a result",2. prefix,er,zielen,"to aim, to target"
1148,6,B1,erfüllen,"to fill (with something), to fulfill, to come true",2. prefix,er,füllen,to fill
1149,6,B1,ergeben,"to produce, to arise, to result in, to turn out, to surrender (refl.)",2. prefix,er,geben,to give
1150,6,B1,erreichen,to reach,2. prefix,er,reichen,"to suffice, to be enough"
1151,6,B1,verstecken,to hide,2. prefix,ver,stecken,"to stick, to pin"
1152,6,B1,verlieben,to fall in love (refl.),2. prefix,ver,lieben,to love
1153,6,B1,verdienen,to earn,2. prefix,ver,dienen,"to serve, to function"
1154,6,B1,verbinden,"to join, to connect, to bandage",2. prefix,ver,binden,"to bind, to tie, to tie up, to absorb"
1155,6,B1,verbringen,to spend (time),2. prefix,ver,bringen,"to bring, to take, to lead"
1156,6,B1,vermeiden,to avoid (+ nouns or verbs),2. prefix,ver,meiden,to avoid (+ nouns only)
1157,6,B1,verwenden,to use (formal),2. prefix,ver,wenden,"to turn something, to make a u-turn"
1158,6,B1,verschieben,"to move (a meeting), to postpone, to defer",2. prefix,ver,schieben,to push
1159,6,B1,verteilen,"to distribute, to share",2. prefix,ver,teilen,"to split, to share, to divide"
1160,6,B1,übertragen,"to transfer, to transmit",2. prefix,über,tragen,"to wear (clothing), to carry, to hold"
1161,6,B1,umziehen,"to change clothes (refl.), to move house",2. prefix,um,ziehen,"to pull, to drag, to move"
1162,6,B1,unterschreiben,to sign (write one's signature),2. prefix,unter,schreiben,to write
1163,6,B1,unterrichten,"to teach, to inform",2. prefix,unter,richten,"to direct, to judge, to be directed (""auf"" towards, ""gegen"" at)"
1164,6,B1,unterbrechen,to interrupt,2. prefix,unter,brechen,to break
1165,6,B1,untersuchen,"to examine, to investigate",2. prefix,unter,suchen,"to seek, to search"
1166,6,B1,zerstören,to destroy,2. prefix,zer,stören,"to disturb, to interfere"
1167,6,B1,abbauen,"to dismantle, to deteriorate",2. prefix,ab,bauen,to build
1168,6,B1,abhängen,"to leave behind, to outdistance, to uncouple, to depend",2. prefix,ab,hängen,"to hang, to be fond of, depend on"
1169,6,B1,abfahren,"to depart, to leave, to drive along",2. prefix,ab,fahren,"to go (by vehicle), to leave, to drive"
1170,6,B1,besorgen,"to obtain, to manage",2. prefix,be,sorgen,"to care, to worry"
1171,6,B1,unternehmen,to undertake,2. prefix,unter,nehmen,"to take, to cause oneself to be (in some state)"
1172,6,B1,anerkennen,"to acknowledge, to recognize",2. prefix,an,erkennen,"to recognise, to realise"
1173,6,B1,anwenden,"to apply (knowledge, know-how)",2. prefix,an,wenden,"to turn something, to make a u-turn"
1174,6,B1,einrichten,"to set up, to install, to furnish",2. prefix,ein,richten,"to direct, to judge, to be directed (""auf"" towards, ""gegen"" at)"
1175,6,B1,einführen,"to introduce, to implement",2. prefix,ein,führen,"to lead, to guide"
1176,6,B1,zulassen,"to allow, to license (for a car)",2. prefix,zu,lassen,"to let, to leave, to allow"
1177,6,B1,mitkommen,"to come with someone, to understand something",2. prefix,mit,kommen,"to come, to make it (e.g. over something), to go to, to occur"
1178,6,B1,behandeln,"to treat (medicinally), to treat (physically), to cover (a subject)",2. prefix,be,handeln,"to act, to trade, to negotiate"
1179,6,B1,berichten,"to report, to cover, to indicate, to refer",2. prefix,be,richten,"to direct, to judge, to be directed (""auf"" towards, ""gegen"" at)"
1180,6,B1,entwerfen,"to design, to draw, to draft",2. prefix,ent,werfen,to throw
1181,6,B1,erfolgen,"to occur, to take place",2. prefix,er,folgen,to follow
1182,6,B1,versorgen,"to provide (for someone), to supply, to feed",2. prefix,ver,sorgen,"to care, to worry"
1183,6,B1,verarbeiten,"to process, to handle",2. prefix,ver,arbeiten,to work
1184,6,B1,abziehen,"to withdraw, to go away, to move off",2. prefix,ab,ziehen,"to pull, to drag, to move"
1185,10,B2,abheben,to withdraw (money),2. prefix,ab,heben,"to lift, to raise"
1186,10,B2,absehen,"to foresee, to overlook, to disregard",2. prefix,ab,sehen,"to see, to see (to something), to realise"
1187,10,B2,angeben,"to indicate, to specify",2. prefix,an,geben,to give
1188,10,B2,anpassen,"to adjust, to adapt",2. prefix,an,passen,"to fit, to suit"
1189,10,B2,ansprechen,"to address, to speak to",2. prefix,an,sprechen,to speak
1190,10,B2,anzeigen,"to show, to display",2. prefix,an,zeigen,"to show, to point at, to demonstrate"
1191,10,B2,anhalten,"to stop (cease moving), to continue, to compel",2. prefix,an,halten,"to hold, to stop (a movement), to support, to keep"
1192,10,B2,auftreten,"to appear, to perform",2. prefix,auf,treten,"to step, to read, to kick (a ball)"
1193,10,B2,aufbauen,"to build up, to construct",2. prefix,auf,bauen,to build
1194,10,B2,auffallen,"to stand out, to catch someone's eye (with dative)",2. prefix,auf,fallen,"to fall, to fall in battle, to collapse"
1195,10,B2,aufgeben,"to give up on, to give up (refl.), to abandon",2. prefix,auf,geben,to give
1196,10,B2,aufführen,"to perform, to present",2. prefix,auf,führen,"to lead, to guide"
1197,10,B2,einnehmen,"to capture, to earn, to ingest",2. prefix,ein,nehmen,"to take, to cause oneself to be (in some state)"
1198,10,B2,einschalten,"to switch on, to intervene, to turn on",2. prefix,ein,schalten,"to switch, to operate"
1199,10,B2,einsteigen,"to enter, to get in, to board",2. prefix,ein,steigen,"to ascend, to climb, to rise"
1200,10,B2,einziehen,"to move in, to penetrate, to infiltrate",2. prefix,ein,ziehen,"to pull, to drag, to move"
1201,10,B2,zusehen,"to watch, to see, to make sure (that something happens)",2. prefix,zu,sehen,"to see, to see (to something), to realise"
1202,10,B2,zuhören,to listen to someone/something (with dative),2. prefix,zu,hören,"to hear, to listen to"
1203,10,B2,zurückziehen,"to withdraw, to pull back, to retreat",2. prefix,zurück,ziehen,"to pull, to drag, to move"
1204,10,B2,zusammenfassen,"to summarize, to condense, to abstract",2. prefix,zusammen,fassen,to grasp
1205,10,B2,vorlesen,"to read aloud, to read out",2. prefix,vor,lesen,to read
1206,10,B2,betrinken,to get drunk (refl.),2. prefix,be,trinken,to drink
1207,10,B2,bewundern,to admire,2. prefix,be,wundern,"to wonder, to be surprised"
1208,10,B2,bemerken,"to notice, to remark something",2. prefix,be,merken,"to notice, to realise, to remember (refl.)"
1209,10,B2,beschließen,"to decide something, to end, to close",2. prefix,be,schließen,"to shut, to close, to lock, to conclude"
1210,10,B2,berechnen,to calculate something,2. prefix,be,rechnen,"to calculate, to reckon"
1211,10,B2,beachten,to consider,2. prefix,be,achten,"to respect, to regard someone, to pay attention to something"
1212,10,B2,bedienen,"to operate, to serve",2. prefix,be,dienen,"to serve, to function"
1213,10,B2,belegen,"to occupy, to reserve, to cover, to prove",2. prefix,be,legen,"to lay, to lean, to lie down"
1214,10,B2,betragen,"to amount to, to come to",2. prefix,be,tragen,"to wear (clothing), to carry, to hold"
1215,10,B2,betreiben,"to run, to operate",2. prefix,be,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to"
1216,10,B2,bezeichnen,"to designate, to label",2. prefix,be,zeichnen,"to draw, to sketch"
1217,10,B2,begehen,"to commit, perpetrate (a crime, an offence)",2. prefix,be,gehen,"to go, to leave, to work, to function (coll.)"
1218,10,B2,erscheinen,"to appear, to seem",2. prefix,er,scheinen,"to seem, to shine"
1219,10,B2,erheben,"to raise, to collect",2. prefix,er,heben,"to lift, to raise"
1220,10,B2,errichten,"to establish, to erect",2. prefix,er,richten,"to direct, to judge, to be directed (""auf"" towards, ""gegen"" at)"
1221,10,B2,erteilen,"to grant, to issue",2. prefix,er,teilen,"to split, to share, to divide"
1222,10,B2,erwerben,"to acquire, to purchase",2. prefix,er,werben,to advertise
1223,10,B2,eröffnen,"to open, to inaugurate",2. prefix,er,öffnen,to open (formal)
1224,10,B2,ertragen,"to bear, to stand",2. prefix,er,tragen,"to wear (clothing), to carry, to hold"
1225,10,B2,verraten,"to betray, to reveal",2. prefix,ver,raten,"to advise, to recommend, to guess"
1226,10,B2,vergeben,"to set (work), to forgive, to assign",2. prefix,ver,geben,to give
1227,10,B2,verlaufen,"to blend, to continue, to get lost (refl.), to go (well, poorly, etc.)",2. prefix,ver,laufen,"to walk, to flow (of a fluid), to run (of an event)"
1228,10,B2,verfassen,"to compose, to write",2. prefix,ver,fassen,to grasp
1229,10,B2,verleihen,"to award, to grant",2. prefix,ver,leihen,"to lend, to borrow"
1230,10,B2,verfolgen,"to pursue, to persecute, to trace",2. prefix,ver,folgen,to follow
1231,10,B2,verbrennen,"to burn, to incinerate, to burn oneself, to scorch (miltary)",2. prefix,ver,brennen,"to burn, to have a strong affection for, to induce pain"
1232,10,B2,verbrauchen,"to consume, to use",2. prefix,ver,brauchen,to need
1233,10,B2,überweisen,to transfer (money),2. prefix,über,weisen,"to show, to indicate"
1234,10,B2,umgehen,"to avoid, to go around",2. prefix,um,gehen,"to go, to leave, to work, to function (coll.)"
1235,11,B2,umsetzen,"to implement, to put into practice",2. prefix,um,setzen,"to set, to sit down (refl.)"
1236,11,B2,umdrehen,to turn around,2. prefix,um,drehen,"to turn, to veer"
1237,11,B2,unterscheiden,"to distinguish, to differentiate",2. prefix,unter,scheiden,"to separate, to divorce"
1238,11,B2,unterhalten,"to maintain, to entertain, to converse (refl.)",2. prefix,unter,halten,"to hold, to stop (a movement), to support, to keep"
1239,11,B2,unterstreichen,"to underline, to emphasize, to highlight",2. prefix,unter,streichen,"to stroke, to cancel, to spread, to rub, to paint"
1240,11,B2,durchführen,"to carry out, to perform",2. prefix,durch,führen,"to lead, to guide"
1241,11,B2,hinterlassen,"to leave, to leave behind, to bequeath",2. prefix,hinter,lassen,"to let, to leave, to allow"
1242,11,B2,abbrechen,"to break off, to abort, to burst off",2. prefix,ab,brechen,to break
1243,11,B2,zusammenarbeiten,to work together,2. prefix,zusammen,arbeiten,to work
1244,11,B2,zusammenstellen,to put together,2. prefix,zusammen,stellen,"to position, to put, to catch"
1245,11,B2,überlassen,"to relinquish, to leave something in someone's care",2. prefix,über,lassen,"to let, to leave, to allow"
1246,11,B2,anstellen,"to queue (refl.), to employ someone, to get into mischief",2. prefix,an,stellen,"to position, to put, to catch"
1247,11,B2,auftauchen,"to arise, to surface, to turn up",2. prefix,auf,tauchen,"to dive, to submerge, to disappear"
