Nr,exercise,level_verben,Nr_verben,level_noun,level_goethe,level_routledge,question,answer,german,root_english,english,root_french,french,german_verb,english_verb,french_verb,german_noun,english_noun,french_noun,gender_english,gender_french
862,47,B2,502,B2,,,die Verabschiedung,verabschieden,,the farewell,"to say goodbye, to bid farewell, to adopt (a law formally)",Loading...,"dire au revoir, faire ses adieux",verabschieden,"to say goodbye, to bid farewell, to adopt (a law formally)","dire au revoir, faire ses adieux",die Verabschiedung,the farewell,Loading...,,
863,47,B2,504,B2,,,der Ausstieg,aussteigen,,the exit,"to exit, to get off",Loading...,"sortir, descendre",aussteigen,"to exit, to get off","sortir, descendre",der Ausstieg,the exit,Loading...,,
864,47,B2,510,C1,,,die Behauptung,behaupten,,the assertion,"to claim, to assert, to maintain",l'affirmation,"revendiquer, affirmer, maintenir",behaupten,"to claim, to assert, to maintain","revendiquer, affirmer, maintenir",die Behauptung,the assertion,l'affirmation,,
865,47,B2,513,B2,,B1,die Ausrichtung,ausrichten,,the alignment,"to align, to arrange, to organize",Loading...,"aligner, arranger, organiser",ausrichten,"to align, to arrange, to organize","aligner, arranger, organiser",die Ausrichtung,the alignment,Loading...,,
866,47,B2,514,A1,A1,A2,das Gewicht,wiegen,,the weight,"to weight, to balance",Loading...,peser,wiegen,"to weight, to balance",peser,das Gewicht,the weight,Loading...,,
867,47,B2,515,A2,,B1,der Austausch,austauschen,,the exchange,"to exchange, to replace, to swap",Loading...,"échanger, remplacer, permuter",austauschen,"to exchange, to replace, to swap","échanger, remplacer, permuter",der Austausch,the exchange,Loading...,,
868,47,B2,520,B1,,A2,die Begegnung,begegnen,,the encounter,"to encounter (with dative), to meet",la rencontre,"rencontrer, se rencontrer",begegnen,"to encounter (with dative), to meet","rencontrer, se rencontrer",die Begegnung,the encounter,la rencontre,,
869,47,B2,521,C2+,,,die Wagnis,wagen,,the risky adventure,"to venture, to dare, to risk, to jeopardise",l'aventure risquée,"s'aventurer, oser, risquer, mettre en péril",wagen,"to venture, to dare, to risk, to jeopardise","s'aventurer, oser, risquer, mettre en péril",die Wagnis,the risky adventure,l'aventure risquée,,
870,47,B2,522,A1,B1,A1,der Schaden,schaden,,the harm,"to damage, to harm (someone)",Loading...,"endommager, nuire (à quelqu'un)",schaden,"to damage, to harm (someone)","endommager, nuire (à quelqu'un)",der Schaden,the harm,Loading...,,
871,47,B2,523,B2,,B1,das Zitat,zitieren,,the quotation,"to cite, to quote",Loading...,citer,zitieren,"to cite, to quote",citer,das Zitat,the quotation,Loading...,,
872,47,B2,524,C1,,,die Aktivierung,aktivieren,,the activation,"to activate, to enable",Loading...,"activer, permettre",aktivieren,"to activate, to enable","activer, permettre",die Aktivierung,the activation,Loading...,,
873,47,B2,525,B1,,A2,die Verhandlung,verhandeln,,the negotiation,to negotiate,Loading...,négocier,verhandeln,to negotiate,négocier,die Verhandlung,the negotiation,Loading...,,
874,47,B2,526,A1,B1,A1,das Verhalten,sich verhalten,,the behavior,"to behave (refl.), to act (refl.), to press (coll.)",Loading...,"se comporter (réfl.), agir (réfl.), faire pression (familier)",sich verhalten,"to behave (refl.), to act (refl.), to press (coll.)","se comporter (réfl.), agir (réfl.), faire pression (familier)",das Verhalten,the behavior,Loading...,,
875,48,B2,,B2,,,verfolgen,die Verfolgung,,"to pursue, to track, to follow, to prosecute","the pursuit, the persecution","poursuivre, pister, suivre",Loading...,verfolgen,"to pursue, to track, to follow, to prosecute","poursuivre, pister, suivre",die Verfolgung,"the pursuit, the persecution",Loading...,Feminine,Féminin
876,48,B2,,A2,,A1,weisen,die Weise,,"to point, to direct, to indicate","the way, the manner","pointer, diriger, indiquer",la manière,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",die Weise,"the way, the manner",la manière,Feminine,Féminin
877,48,B2,,A2,B1,A1,betreiben,der Betrieb,,"to operate, to run, to conduct",the operation,"opérer, diriger, conduire",Loading...,betreiben,"to operate, to run, to conduct","opérer, diriger, conduire",der Betrieb,the operation,Loading...,Masculine,Masculin
878,48,B2,,B2,,,errichten,die Errichtung,,"to build, to erect, to establish",the establishment,"construire, ériger, établir",l'établissement,errichten,"to build, to erect, to establish","construire, ériger, établir",die Errichtung,the establishment,l'établissement,Feminine,Féminin
879,48,B2,,A2,B1,B1,unterhalten,die Unterhaltung,,"to entertain, to maintain, to support, to convert",the entertainment,"divertir, entretenir, soutenir, convertir",Loading...,unterhalten,"to entertain, to maintain, to support, to convert","divertir, entretenir, soutenir, convertir",die Unterhaltung,the entertainment,Loading...,Feminine,Féminin
880,48,B2,,B2,,,telefonieren,das Telefonat,,to talk on the phone,the telephone call,parler au téléphone,Loading...,telefonieren,to talk on the phone,parler au téléphone,das Telefonat,the telephone call,Loading...,Neuter,Neutre
881,48,B2,,B1,,A1,schweigen,das Schweigen,,"to be silent, to say nothing",the silence,"se taire, ne rien dire",Loading...,schweigen,"to be silent, to say nothing","se taire, ne rien dire",das Schweigen,the silence,Loading...,Neuter,Neutre
882,48,B2,,B2,,,verabschieden,die Verabschiedung,,"to say goodbye, to bid farewell, to adopt (a law formally)",the farewell,"dire au revoir, faire ses adieux",Loading...,verabschieden,"to say goodbye, to bid farewell, to adopt (a law formally)","dire au revoir, faire ses adieux",die Verabschiedung,the farewell,Loading...,Feminine,Féminin
883,48,B2,,B2,,,aussteigen,der Ausstieg,,"to exit, to get off",the exit,"sortir, descendre",Loading...,aussteigen,"to exit, to get off","sortir, descendre",der Ausstieg,the exit,Loading...,Masculine,Masculin
884,48,B2,,C1,,,behaupten,die Behauptung,,"to claim, to assert, to maintain",the assertion,"revendiquer, affirmer, maintenir",l'affirmation,behaupten,"to claim, to assert, to maintain","revendiquer, affirmer, maintenir",die Behauptung,the assertion,l'affirmation,Feminine,Féminin
885,48,B2,,B2,,B1,ausrichten,die Ausrichtung,,"to align, to arrange, to organize",the alignment,"aligner, arranger, organiser",Loading...,ausrichten,"to align, to arrange, to organize","aligner, arranger, organiser",die Ausrichtung,the alignment,Loading...,Feminine,Féminin
886,48,B2,,A1,A1,A2,wiegen,das Gewicht,,"to weight, to balance",the weight,peser,Loading...,wiegen,"to weight, to balance",peser,das Gewicht,the weight,Loading...,Neuter,Neutre
887,48,B2,,A2,,B1,austauschen,der Austausch,,"to exchange, to replace, to swap",the exchange,"échanger, remplacer, permuter",Loading...,austauschen,"to exchange, to replace, to swap","échanger, remplacer, permuter",der Austausch,the exchange,Loading...,Masculine,Masculin
888,48,B2,,B1,,A2,begegnen,die Begegnung,,"to encounter (with dative), to meet",the encounter,"rencontrer, se rencontrer",la rencontre,begegnen,"to encounter (with dative), to meet","rencontrer, se rencontrer",die Begegnung,the encounter,la rencontre,Feminine,Féminin
889,48,B2,,C2+,,,wagen,die Wagnis,,"to venture, to dare, to risk, to jeopardise",the risky adventure,"s'aventurer, oser, risquer, mettre en péril",l'aventure risquée,wagen,"to venture, to dare, to risk, to jeopardise","s'aventurer, oser, risquer, mettre en péril",die Wagnis,the risky adventure,l'aventure risquée,Feminine,Féminin
890,48,B2,,A1,B1,A1,schaden,der Schaden,,"to damage, to harm (someone)",the harm,"endommager, nuire (à quelqu'un)",Loading...,schaden,"to damage, to harm (someone)","endommager, nuire (à quelqu'un)",der Schaden,the harm,Loading...,Masculine,Masculin
891,48,B2,,B2,,B1,zitieren,das Zitat,,"to cite, to quote",the quotation,citer,Loading...,zitieren,"to cite, to quote",citer,das Zitat,the quotation,Loading...,Neuter,Neutre
892,48,B2,,C1,,,aktivieren,die Aktivierung,,"to activate, to enable",the activation,"activer, permettre",Loading...,aktivieren,"to activate, to enable","activer, permettre",die Aktivierung,the activation,Loading...,Feminine,Féminin
893,48,B2,,B1,,A2,verhandeln,die Verhandlung,,to negotiate,the negotiation,négocier,Loading...,verhandeln,to negotiate,négocier,die Verhandlung,the negotiation,Loading...,Feminine,Féminin
894,48,B2,,A1,B1,A1,sich verhalten,das Verhalten,,"to behave (refl.), to act (refl.), to press (coll.)",the behavior,"se comporter (réfl.), agir (réfl.), faire pression (familier)",Loading...,sich verhalten,"to behave (refl.), to act (refl.), to press (coll.)","se comporter (réfl.), agir (réfl.), faire pression (familier)",das Verhalten,the behavior,Loading...,Neuter,Neutre
895,49,B2,530,B1,,B1,die Ermittlung,ermitteln,,the investigation,"to determine, to ascertain",Loading...,"déterminer, s'assurer",ermitteln,"to determine, to ascertain","déterminer, s'assurer",die Ermittlung,the investigation,Loading...,,
896,49,B2,534,B2,B1,,der Import,importieren,,the import,to import,Loading...,importer,importieren,to import,importer,der Import,the import,Loading...,,
897,49,B2,538,C1,,,die Heilung,heilen,,the healing,to heal,Loading...,guérir,heilen,to heal,guérir,die Heilung,the healing,Loading...,,
898,49,B2,540,C2+,,,die Betroffenheit,betreffen,,"the consternation, the dismay","to concern, to affect","la consternation, le désarroi","concerner, affecter",betreffen,"to concern, to affect","concerner, affecter",die Betroffenheit,"the consternation, the dismay","la consternation, le désarroi",,
899,49,B2,540,B2,,,der Betreff,betreffen,,"the subject, the reference","to concern, to affect",Loading...,"concerner, affecter",betreffen,"to concern, to affect","concerner, affecter",der Betreff,"the subject, the reference",Loading...,,
900,49,B2,543,C1,,,die Identifikation,identifizieren,,the identification,to identify,Loading...,identifier,identifizieren,to identify,identifier,die Identifikation,the identification,Loading...,,
901,49,B2,551,A2,B1,A1,die Anlage,anlegen,,the investment,"to create, to invest",Loading...,"créer, investir",anlegen,"to create, to invest","créer, investir",die Anlage,the investment,Loading...,,
902,49,B2,554,B1,,A2,die Definition,definieren,,the definition,to define,Loading...,définir,definieren,to define,définir,die Definition,the definition,Loading...,,
903,49,B2,555,B2,B1,,die Verzeihung,verzeihen,,the forgiveness,"to forgive, to pardon, to excuse",Loading...,"pardonner, excuser",verzeihen,"to forgive, to pardon, to excuse","pardonner, excuser",die Verzeihung,the forgiveness,Loading...,,
904,49,B2,556,C1,,,der Streich,streichen,,"the stroke, the feat","to stroke, to cancel, to spread, to rub, to paint",Loading...,"caresser, annuler, étaler, frotter, peindre",streichen,"to stroke, to cancel, to spread, to rub, to paint","caresser, annuler, étaler, frotter, peindre",der Streich,"the stroke, the feat",Loading...,,
905,49,B2,564,B1,B1,B1,der Lohn,sich lohnen,,"the wage, the reward","to be worthwhile, to pay off",Loading...,"être utile, être rentable",sich lohnen,"to be worthwhile, to pay off","être utile, être rentable",der Lohn,"the wage, the reward",Loading...,,
906,49,B2,568,B1,,B1,die Pflege,pflegen,,the care,"to nurse, to care for, to maintain",Loading...,"soigner, prendre soin de, entretenir",pflegen,"to nurse, to care for, to maintain","soigner, prendre soin de, entretenir",die Pflege,the care,Loading...,,
907,49,B2,569,B2,,,die Verurteilung,verurteilen,,the condemnation,"to condemn, to sentence",Loading...,"condamner, prononcer une sentence",verurteilen,"to condemn, to sentence","condamner, prononcer une sentence",die Verurteilung,the condemnation,Loading...,,
908,49,B2,570,B1,,A2,die Finanzierung,finanzieren,,the financing,"to finance, to fund",Loading...,"financer, financer",finanzieren,"to finance, to fund","financer, financer",die Finanzierung,the financing,Loading...,,
909,49,B2,,B1,,A1,der Bund,binden,,"the alliance, the covenant","to tie, to bind, to attach",Loading...,"attacher, lier",binden,"to tie, to bind, to attach","attacher, lier",der Bund,"the alliance, the covenant",Loading...,,
910,49,B2,,B1,,B1,die Bindung,binden,,"the bond, the attachment","to tie, to bind, to attach","le lien, l'attachement","attacher, lier",binden,"to tie, to bind, to attach","attacher, lier",die Bindung,"the bond, the attachment","le lien, l'attachement",,
911,49,B2,,C2+,,,die Gießerei,gießen,,the foundry,"to pour, to water (plants), to cast (metal)",la fonderie,"verser, arroser (des plantes), couler (du métal)",gießen,"to pour, to water (plants), to cast (metal)","verser, arroser (des plantes), couler (du métal)",die Gießerei,the foundry,la fonderie,,
912,49,B2,,B2,B1,,die Übernachtung,übernachten,,"the overnight stay, the sleepover","to stay overnight, to spend the night",Loading...,passer la nuit,übernachten,"to stay overnight, to spend the night",passer la nuit,die Übernachtung,"the overnight stay, the sleepover",Loading...,,
913,49,B2,,B2,,B1,die Beachtung,beachten,,"the regard, the heed, the attention","to notice, to pay attention to, to observe",Loading...,"remarquer, prêter attention à, observer",beachten,"to notice, to pay attention to, to observe","remarquer, prêter attention à, observer",die Beachtung,"the regard, the heed, the attention",Loading...,,
914,49,B2,,B2,,B1,die Abhängigkeit,abhängen,,"the dependence, the dependency","to depend on, to hang out (coll.)",la dépendance,"dépendre de, fréquenter (coll.)",abhängen,"to depend on, to hang out (coll.)","dépendre de, fréquenter (coll.)",die Abhängigkeit,"the dependence, the dependency",la dépendance,,
915,50,B2,,B1,,B1,ermitteln,die Ermittlung,,"to determine, to ascertain",the investigation,"déterminer, s'assurer",Loading...,ermitteln,"to determine, to ascertain","déterminer, s'assurer",die Ermittlung,the investigation,Loading...,Feminine,Féminin
916,50,B2,,B2,B1,,importieren,der Import,,to import,the import,importer,Loading...,importieren,to import,importer,der Import,the import,Loading...,Masculine,Masculin
917,50,B2,,C1,,,heilen,die Heilung,,to heal,the healing,guérir,Loading...,heilen,to heal,guérir,die Heilung,the healing,Loading...,Feminine,Féminin
918,50,B2,,C2+,,,betreffen,die Betroffenheit,,"to concern, to affect","the consternation, the dismay","concerner, affecter","la consternation, le désarroi",betreffen,"to concern, to affect","concerner, affecter",die Betroffenheit,"the consternation, the dismay","la consternation, le désarroi",Feminine,Féminin
919,50,B2,,B2,,,betreffen,der Betreff,,"to concern, to affect","the subject, the reference","concerner, affecter",Loading...,betreffen,"to concern, to affect","concerner, affecter",der Betreff,"the subject, the reference",Loading...,Masculine,Masculin
920,50,B2,,C1,,,identifizieren,die Identifikation,,to identify,the identification,identifier,Loading...,identifizieren,to identify,identifier,die Identifikation,the identification,Loading...,Feminine,Féminin
921,50,B2,,A2,B1,A1,anlegen,die Anlage,,"to create, to invest",the investment,"créer, investir",Loading...,anlegen,"to create, to invest","créer, investir",die Anlage,the investment,Loading...,Feminine,Féminin
922,50,B2,,B1,,A2,definieren,die Definition,,to define,the definition,définir,Loading...,definieren,to define,définir,die Definition,the definition,Loading...,Feminine,Féminin
923,50,B2,,B2,B1,,verzeihen,die Verzeihung,,"to forgive, to pardon, to excuse",the forgiveness,"pardonner, excuser",Loading...,verzeihen,"to forgive, to pardon, to excuse","pardonner, excuser",die Verzeihung,the forgiveness,Loading...,Feminine,Féminin
924,50,B2,,C1,,,streichen,der Streich,,"to stroke, to cancel, to spread, to rub, to paint","the stroke, the feat","caresser, annuler, étaler, frotter, peindre",Loading...,streichen,"to stroke, to cancel, to spread, to rub, to paint","caresser, annuler, étaler, frotter, peindre",der Streich,"the stroke, the feat",Loading...,Masculine,Masculin
925,50,B2,,B1,B1,B1,sich lohnen,der Lohn,,"to be worthwhile, to pay off","the wage, the reward","être utile, être rentable",Loading...,sich lohnen,"to be worthwhile, to pay off","être utile, être rentable",der Lohn,"the wage, the reward",Loading...,Masculine,Masculin
926,50,B2,,B1,,B1,pflegen,die Pflege,,"to nurse, to care for, to maintain",the care,"soigner, prendre soin de, entretenir",Loading...,pflegen,"to nurse, to care for, to maintain","soigner, prendre soin de, entretenir",die Pflege,the care,Loading...,Feminine,Féminin
927,50,B2,,B2,,,verurteilen,die Verurteilung,,"to condemn, to sentence",the condemnation,"condamner, prononcer une sentence",Loading...,verurteilen,"to condemn, to sentence","condamner, prononcer une sentence",die Verurteilung,the condemnation,Loading...,Feminine,Féminin
928,50,B2,,B1,,A2,finanzieren,die Finanzierung,,"to finance, to fund",the financing,"financer, financer",Loading...,finanzieren,"to finance, to fund","financer, financer",die Finanzierung,the financing,Loading...,Feminine,Féminin
929,50,B2,,B1,,A1,binden,der Bund,,"to tie, to bind, to attach","thr alliance, the covenant","attacher, lier","l'alliance, le pacte",binden,"to tie, to bind, to attach","attacher, lier",der Bund,"thr alliance, the covenant","l'alliance, le pacte",Masculine,Masculin
930,50,B2,,B1,,B1,binden,die Bindung,,"to tie, to bind, to attach","the bond, the attachment","attacher, lier","le lien, l'attachement",binden,"to tie, to bind, to attach","attacher, lier",die Bindung,"the bond, the attachment","le lien, l'attachement",Feminine,Féminin
931,50,B2,,C2+,,,gießen,die Gießerei,,"to pour, to water (plants), to cast (metal)",the foundry,"verser, arroser (des plantes), couler (du métal)",la fonderie,gießen,"to pour, to water (plants), to cast (metal)","verser, arroser (des plantes), couler (du métal)",die Gießerei,the foundry,la fonderie,Feminine,Féminin
932,50,B2,,B2,B1,,übernachten,die Übernachtung,,"to stay overnight, to spend the night","the overnight stay, the sleepover",passer la nuit,Loading...,übernachten,"to stay overnight, to spend the night",passer la nuit,die Übernachtung,"the overnight stay, the sleepover",Loading...,Feminine,Féminin
933,50,B2,,B2,,B1,beachten,die Beachtung,,"to notice, to pay attention to, to observe","the regard, the heed, the attention","remarquer, prêter attention à, observer",Loading...,beachten,"to notice, to pay attention to, to observe","remarquer, prêter attention à, observer",die Beachtung,"the regard, the heed, the attention",Loading...,Feminine,Féminin
934,50,B2,,B2,,B1,abhängen,die Abhängigkeit,,"to depend on, to hang out (coll.)","the dependence, the dependency","dépendre de, fréquenter (coll.)",la dépendance,abhängen,"to depend on, to hang out (coll.)","dépendre de, fréquenter (coll.)",die Abhängigkeit,"the dependence, the dependency",la dépendance,Feminine,Féminin
935,51,B2,574,C1,,,die Erhebung,erheben,,the levy,"to raise, to collect, to levy",Loading...,"lever, collecter, prélever",erheben,"to raise, to collect, to levy","lever, collecter, prélever",die Erhebung,the levy,Loading...,,
936,51,B2,575,A2,B1,A2,der Betrag,betragen,,the amount,"to amount to, to come to",la quantité,"s'élever à, arriver à",betragen,"to amount to, to come to","s'élever à, arriver à",der Betrag,the amount,la quantité,,
937,51,B2,576,B1,B1,A2,die Vermittlung,vermitteln,,the mediation,"to convey, to mediate, to arrange",la médiation,"transmettre, servir de médiateur, arranger",vermitteln,"to convey, to mediate, to arrange","transmettre, servir de médiateur, arranger",die Vermittlung,the mediation,la médiation,,
938,51,B2,582,B1,,B1,die Aufregung,aufregen,,the excitement,"to upset, to agitate, to annoy",Loading...,"déranger, agiter, ennuyer",aufregen,"to upset, to agitate, to annoy","déranger, agiter, ennuyer",die Aufregung,the excitement,Loading...,,
939,51,B2,584,B2,,,der Trockner,trocknen,,the dryer,"to dry, to dehumidify",Loading...,"sécher, déshumidifier",trocknen,"to dry, to dehumidify","sécher, déshumidifier",der Trockner,the dryer,Loading...,,
940,51,B2,585,B2,,,das Gebet,beten,,the prayer,to pray,la prière,prier,beten,to pray,prier,das Gebet,the prayer,la prière,,
941,51,B2,586,B1,,B1,die Jagd,jagen,,the hunt,"to hunt, to chase, to pursue",Loading...,"chasser, poursuivre",jagen,"to hunt, to chase, to pursue","chasser, poursuivre",die Jagd,the hunt,Loading...,,
942,51,B2,590,B2,,A2,die Betrachtung,betrachten,,the consideration,"to view, to observe",Loading...,"voir, observer",betrachten,"to view, to observe","voir, observer",die Betrachtung,the consideration,Loading...,,
943,51,B2,591,A2,,A1,der Bezug,beziehen,,the reference,"to refer, to relate, to obtain, to cover, to move into",Loading...,"se référer, obtenir",beziehen,"to refer, to relate, to obtain, to cover, to move into","se référer, obtenir",der Bezug,the reference,Loading...,,
944,51,B2,591,A1,B1,A1,die Beziehung,beziehen,,the relationship,"to refer, to relate, to obtain, to cover, to move into",la relation,"se référer, obtenir",beziehen,"to refer, to relate, to obtain, to cover, to move into","se référer, obtenir",die Beziehung,the relationship,la relation,,
945,51,B2,592,A1,,A2,die Basis,basieren,,the basis,to base,Loading...,à la base,basieren,to base,à la base,die Basis,the basis,Loading...,,
946,51,B2,598,A2,A2,A2,der Schmerz,schmerzen,,the pain,"to hurt, to ache",Loading...,"faire mal, souffrir",schmerzen,"to hurt, to ache","faire mal, souffrir",der Schmerz,the pain,Loading...,,
947,51,B2,599,C1,,,die Spaltung,spalten,,the split,"to split, to divide",la scission,"diviser, diviser",spalten,"to split, to divide","diviser, diviser",die Spaltung,the split,la scission,,
948,51,B2,,C2+,,,der Fraß,fressen,,"the feed, the grub","to devour, to eat (animals), to gobble","la proie, la nourriture","dévorer, manger (des animaux), engloutir",fressen,"to devour, to eat (animals), to gobble","dévorer, manger (des animaux), engloutir",der Fraß,"the feed, the grub","la proie, la nourriture",,
949,51,B2,,C2+,,,die Fresse,fressen,,the mouth,"to devour, to eat (animals), to gobble",la bouche,"dévorer, manger (des animaux), engloutir",fressen,"to devour, to eat (animals), to gobble","dévorer, manger (des animaux), engloutir",die Fresse,the mouth,la bouche,,
950,51,B2,,A2,,A1,die Analyse,analysieren,,the analysis,to analyze,l'analyse,analyser,analysieren,to analyze,analyser,die Analyse,the analysis,l'analyse,,
951,51,B2,,A1,A1,A1,die Ordnung,ordnen,,"the arrangement, the regulation","to arrange, to organize, to classify",Loading...,"arranger, organiser, classer",ordnen,"to arrange, to organize, to classify","arranger, organiser, classer",die Ordnung,"the arrangement, the regulation",Loading...,,
952,51,B2,,B2,,,die Füllung,füllen,,the filling,"to fill, to stuff",la garniture,"remplir, farcir",füllen,"to fill, to stuff","remplir, farcir",die Füllung,the filling,la garniture,,
953,51,B2,,B2,,,die Verlängerung,verlängern,,"the prolongation, the lengthening","to extend, to prolong",Loading...,"étendre, prolonger",verlängern,"to extend, to prolong","étendre, prolonger",die Verlängerung,"the prolongation, the lengthening",Loading...,,
954,51,B2,,A1,,,das Band,binden,,"the tape, the ribbon","to tie, to bind, to attach","le ruban adhésif, le ruban","attacher, lier",binden,"to tie, to bind, to attach","attacher, lier",das Band,"the tape, the ribbon","le ruban adhésif, le ruban",,
955,52,B2,,C1,,,erheben,die Erhebung,,"to raise, to collect, to levy",the levy,"lever, collecter, prélever",Loading...,erheben,"to raise, to collect, to levy","lever, collecter, prélever",die Erhebung,the levy,Loading...,Feminine,Féminin
956,52,B2,,A2,B1,A2,betragen,der Betrag,,"to amount to, to come to",the amount,"s'élever à, arriver à",la quantité,betragen,"to amount to, to come to","s'élever à, arriver à",der Betrag,the amount,la quantité,Masculine,Masculin
957,52,B2,,B1,B1,A2,vermitteln,die Vermittlung,,"to convey, to mediate, to arrange",the mediation,"transmettre, servir de médiateur, arranger",la médiation,vermitteln,"to convey, to mediate, to arrange","transmettre, servir de médiateur, arranger",die Vermittlung,the mediation,la médiation,Feminine,Féminin
958,52,B2,,B1,,B1,aufregen,die Aufregung,,"to upset, to agitate, to annoy",the excitement,"déranger, agiter, ennuyer",Loading...,aufregen,"to upset, to agitate, to annoy","déranger, agiter, ennuyer",die Aufregung,the excitement,Loading...,Feminine,Féminin
959,52,B2,,B2,,,trocknen,der Trockner,,"to dry, to dehumidify",the dryer,"sécher, déshumidifier",Loading...,trocknen,"to dry, to dehumidify","sécher, déshumidifier",der Trockner,the dryer,Loading...,Masculine,Masculin
960,52,B2,,B2,,,beten,das Gebet,,to pray,the prayer,prier,la prière,beten,to pray,prier,das Gebet,the prayer,la prière,Neuter,Neutre
961,52,B2,,B1,,B1,jagen,die Jagd,,"to hunt, to chase, to pursue",the hunt,"chasser, poursuivre",Loading...,jagen,"to hunt, to chase, to pursue","chasser, poursuivre",die Jagd,the hunt,Loading...,Feminine,Féminin
962,52,B2,,B2,,A2,betrachten,die Betrachtung,,"to view, to observe",the consideration,"voir, observer",Loading...,betrachten,"to view, to observe","voir, observer",die Betrachtung,the consideration,Loading...,Feminine,Féminin
963,52,B2,,A2,,A1,beziehen,der Bezug,,"to refer, to relate, to obtain, to cover, to move into",the reference,"se référer, obtenir",Loading...,beziehen,"to refer, to relate, to obtain, to cover, to move into","se référer, obtenir",der Bezug,the reference,Loading...,Masculine,Masculin
964,52,B2,591,A1,B1,A1,beziehen,die Beziehung,,"to refer, to relate, to obtain, to cover, to move into",the relationship,"se référer, obtenir",la relation,beziehen,"to refer, to relate, to obtain, to cover, to move into","se référer, obtenir",die Beziehung,the relationship,la relation,Feminine,Féminin
965,52,B2,,A1,,A2,basieren,die Basis,,to base,the basis,à la base,Loading...,basieren,to base,à la base,die Basis,the basis,Loading...,Feminine,Féminin
966,52,B2,,A2,A2,A2,schmerzen,der Schmerz,,"to hurt, to ache",the pain,"faire mal, souffrir",Loading...,schmerzen,"to hurt, to ache","faire mal, souffrir",der Schmerz,the pain,Loading...,Masculine,Masculin
967,52,B2,,C1,,,spalten,die Spaltung,,"to split, to divide",the split,"diviser, diviser",la scission,spalten,"to split, to divide","diviser, diviser",die Spaltung,the split,la scission,Feminine,Féminin
968,52,B2,,C2+,,,fressen,der Fraß,,"to devour, to eat (animals), to gobble","the feed, the grub","dévorer, manger (des animaux), engloutir","la proie, la nourriture",fressen,"to devour, to eat (animals), to gobble","dévorer, manger (des animaux), engloutir",der Fraß,"the feed, the grub","la proie, la nourriture",Masculine,Masculin
969,52,B2,,C2+,,,fressen,die Fresse,,"to devour, to eat (animals), to gobble",the mouth,"dévorer, manger (des animaux), engloutir",la bouche,fressen,"to devour, to eat (animals), to gobble","dévorer, manger (des animaux), engloutir",die Fresse,the mouth,la bouche,Feminine,Féminin
970,52,B2,,A2,,A1,analysieren,die Analyse,,to analyze,the analysis,analyser,l'analyse,analysieren,to analyze,analyser,die Analyse,the analysis,l'analyse,Feminine,Féminin
971,52,B2,,A1,A1,A1,ordnen,die Ordnung,,"to arrange, to organize, to classify","the arrangement, the regulation","arranger, organiser, classer",Loading...,ordnen,"to arrange, to organize, to classify","arranger, organiser, classer",die Ordnung,"the arrangement, the regulation",Loading...,Feminine,Féminin
972,52,B2,,B2,,,füllen,die Füllung,,"to fill, to stuff",the filling,"remplir, farcir",la garniture,füllen,"to fill, to stuff","remplir, farcir",die Füllung,the filling,la garniture,Feminine,Féminin
973,52,B2,,B2,,,verlängern,die Verlängerung,,"to extend, to prolong","the prolongation, the lengthening","étendre, prolonger",Loading...,verlängern,"to extend, to prolong","étendre, prolonger",die Verlängerung,"the prolongation, the lengthening",Loading...,Feminine,Féminin
974,52,B2,,A1,,,binden,das Band,,"to tie, to bind, to attach","the tape, the ribbon","attacher, lier","le ruban adhésif, le ruban",binden,"to tie, to bind, to attach","attacher, lier",das Band,"the tape, the ribbon","le ruban adhésif, le ruban",Neuter,Neutre
975,53,B2,,A2,B1,B1,die Eröffnung,eröffnen,,the opening,"to open, to inaugurate",Loading...,"ouvrir, inaugurer",eröffnen,"to open, to inaugurate","ouvrir, inaugurer",die Eröffnung,the opening,Loading...,,
976,53,B2,,B2,,,der Ritter,reiten,,the knight,to ride (a horse),Loading...,monter à cheval,reiten,to ride (a horse),monter à cheval,der Ritter,the knight,Loading...,,
977,53,B2,,C2+,,,der Ritt,reiten,,the ride,to ride (a horse),Loading...,monter à cheval,reiten,to ride (a horse),monter à cheval,der Ritt,the ride,Loading...,,
978,53,B2,,A2,A1,A2,der Anschluss,anschließen,,"the connection, the annexation","to join, to attach, to affiliate, to connect",Loading...,"rejoindre, attacher, s'affilier, se connecter",anschließen,"to join, to attach, to affiliate, to connect","rejoindre, attacher, s'affilier, se connecter",der Anschluss,"the connection, the annexation",Loading...,,
979,53,B2,,B2,,,der Einstieg,einsteigen,,"the entrance, the start","to enter, to get in, to board",Loading...,"entrer, monter à bord, embarquer",einsteigen,"to enter, to get in, to board","entrer, monter à bord, embarquer",der Einstieg,"the entrance, the start",Loading...,,
980,53,B2,,A2,B1,A2,die Ausgabe,ausgeben,,"the edition, the output","to spend, to expend, to issue",Loading...,"dépenser, émettre",ausgeben,"to spend, to expend, to issue","dépenser, émettre",die Ausgabe,"the edition, the output",Loading...,,
981,53,B2,,D1+,,,die Zusammenfassung,zusammenfassen,,the summary,"to summarize, to condense, to abstract",Loading...,"résumer, condenser, abstraire",zusammenfassen,"to summarize, to condense, to abstract","résumer, condenser, abstraire",die Zusammenfassung,the summary,Loading...,,
