Nr,level,question,answer,german,adjective,gender,case,article
375,8,_____ Katze schläft den ganzen Tag.,Alte,Alte Katze schläft den ganzen Tag.,alt,Feminin,Nominativ,Ohne Artikel
376,8,_____ Blume steht im Garten.,Schöne,Schöne Blume steht im Garten.,schön,Feminin,Nominativ,Ohne Artikel
377,8,_____ Schülerin lernt jeden Abend Deutsch.,Fleißige,Fleißige Schülerin lernt jeden Abend Deutsch.,fleißig,Feminin,Nominativ,Ohne Artikel
378,8,_____ Nachbarin hilft uns oft.,Freundliche,Freundliche Nachbarin hilft uns oft.,freundlich,Feminin,Nominativ,Ohne Artikel
379,8,Eine _____ Lehrerin erklärt die Grammatik sehr gut.,kluge,Eine kluge Lehrerin erklärt die Grammatik sehr gut.,klug,Feminin,Nominativ,Unbestimmt
380,8,Eine _____ Katze schläft den ganzen Tag.,alte,Eine alte Katze schläft den ganzen Tag.,alt,Feminin,Nominativ,Unbestimmt
381,8,Eine _____ Blume steht im Garten.,schöne,Eine schöne Blume steht im Garten.,schön,Feminin,Nominativ,Unbestimmt
382,8,Eine _____ Schülerin lernt jeden Abend Deutsch.,fleißige,Eine fleißige Schülerin lernt jeden Abend Deutsch.,fleißig,Feminin,Nominativ,Unbestimmt
383,8,Eine _____ Nachbarin hilft uns oft.,freundliche,Eine freundliche Nachbarin hilft uns oft.,freundlich,Feminin,Nominativ,Unbestimmt
384,8,Die _____ Kinder stellen viele Fragen.,klugen,Die klugen Kinder stellen viele Fragen.,klug,Plural,Nominativ,Bestimmt
385,8,Die _____ Bücher liegen auf dem Tisch.,alten,Die alten Bücher liegen auf dem Tisch.,alt,Plural,Nominativ,Bestimmt
386,8,Die _____ Bilder hängen an der Wand.,schönen,Die schönen Bilder hängen an der Wand.,schön,Plural,Nominativ,Bestimmt
387,8,Die _____ Schüler lernen jeden Tag.,fleißigen,Die fleißigen Schüler lernen jeden Tag.,fleißig,Plural,Nominativ,Bestimmt
388,8,Die _____ Menschen helfen einander.,freundlichen,Die freundlichen Menschen helfen einander.,freundlich,Plural,Nominativ,Bestimmt
389,8,Der _____ Lehrer erklärt die Grammatik sehr gut.,kluge,Der kluge Lehrer erklärt die Grammatik sehr gut.,klug,Maskulin,Nominativ,Bestimmt
390,8,Der _____ Hund schläft den ganzen Tag.,alte,Der alte Hund schläft den ganzen Tag.,alt,Maskulin,Nominativ,Bestimmt
391,8,Der _____ Baum steht im Garten.,schöne,Der schöne Baum steht im Garten.,schön,Maskulin,Nominativ,Bestimmt
392,8,Der _____ Student lernt jeden Abend Deutsch.,fleißige,Der fleißige Student lernt jeden Abend Deutsch.,fleißig,Maskulin,Nominativ,Bestimmt
393,8,Der _____ Kellner bringt das Essen schnell.,freundliche,Der freundliche Kellner bringt das Essen schnell.,freundlich,Maskulin,Nominativ,Bestimmt
394,8,Ein _____ Kind stellt viele Fragen.,kluges,Ein kluges Kind stellt viele Fragen.,klug,Neutral,Nominativ,Unbestimmt
395,8,Ein _____ Buch liegt auf dem Tisch.,altes,Ein altes Buch liegt auf dem Tisch.,alt,Neutral,Nominativ,Unbestimmt
396,8,Ein _____ Bild hängt an der Wand.,schönes,Ein schönes Bild hängt an der Wand.,schön,Neutral,Nominativ,Unbestimmt
397,8,Ein _____ Mädchen macht ihre Hausaufgaben.,fleißiges,Ein fleißiges Mädchen macht ihre Hausaufgaben.,fleißig,Neutral,Nominativ,Unbestimmt
398,8,Ein _____ Lächeln macht ihn sympathisch.,freundliches,Ein freundliches Lächeln macht ihn sympathisch.,freundlich,Neutral,Nominativ,Unbestimmt
399,8,_____ Lehrer erklärt die Grammatik sehr gut.,Klüger,Klüger Lehrer erklärt die Grammatik sehr gut.,klug,Maskulin,Nominativ,Ohne Artikel
400,8,_____ Hund schläft den ganzen Tag.,Alter,Alter Hund schläft den ganzen Tag.,alt,Maskulin,Nominativ,Ohne Artikel
401,8,_____ Baum steht im Garten.,Schöner,Schöner Baum steht im Garten.,schön,Maskulin,Nominativ,Ohne Artikel
402,8,_____ Student lernt jeden Abend Deutsch.,Fleißiger,Fleißiger Student lernt jeden Abend Deutsch.,fleißig,Maskulin,Nominativ,Ohne Artikel
403,8,_____ Kellner bringt das Essen schnell.,Freundlicher,Freundlicher Kellner bringt das Essen schnell.,freundlich,Maskulin,Nominativ,Ohne Artikel
404,8,Die _____ Lehrerin erklärt die Grammatik sehr gut.,kluge,Die kluge Lehrerin erklärt die Grammatik sehr gut.,klug,Feminin,Nominativ,Bestimmt
405,8,Die _____ Katze schläft den ganzen Tag.,alte,Die alte Katze schläft den ganzen Tag.,alt,Feminin,Nominativ,Bestimmt
406,8,Die _____ Blume steht im Garten.,schöne,Die schöne Blume steht im Garten.,schön,Feminin,Nominativ,Bestimmt
407,8,Die _____ Schülerin lernt jeden Abend Deutsch.,fleißige,Die fleißige Schülerin lernt jeden Abend Deutsch.,fleißig,Feminin,Nominativ,Bestimmt
408,8,Die _____ Nachbarin hilft uns oft.,freundliche,Die freundliche Nachbarin hilft uns oft.,freundlich,Feminin,Nominativ,Bestimmt
409,8,_____ Kind stellt viele Fragen.,Kluges,Kluges Kind stellt viele Fragen.,klug,Neutral,Nominativ,Ohne Artikel
410,8,_____ Buch liegt auf dem Tisch.,Altes,Altes Buch liegt auf dem Tisch.,alt,Neutral,Nominativ,Ohne Artikel
411,8,_____ Bild hängt an der Wand.,Schönes,Schönes Bild hängt an der Wand.,schön,Neutral,Nominativ,Ohne Artikel
412,8,_____ Mädchen macht ihre Hausaufgaben.,Fleißiges,Fleißiges Mädchen macht ihre Hausaufgaben.,fleißig,Neutral,Nominativ,Ohne Artikel
413,8,_____ Lächeln macht ihn sympathisch.,Freundliches,Freundliches Lächeln macht ihn sympathisch.,freundlich,Neutral,Nominativ,Ohne Artikel
414,8,_____ Kinder stellen viele Fragen.,Kluge,Kluge Kinder stellen viele Fragen.,klug,Plural,Nominativ,Ohne Artikel
415,8,_____ Bücher liegen auf dem Tisch.,Alte,Alte Bücher liegen auf dem Tisch.,alt,Plural,Nominativ,Ohne Artikel
416,8,_____ Bilder hängen an der Wand.,Schöne,Schöne Bilder hängen an der Wand.,schön,Plural,Nominativ,Ohne Artikel
417,8,_____ Schüler lernen jeden Tag.,Fleißige,Fleißige Schüler lernen jeden Tag.,fleißig,Plural,Nominativ,Ohne Artikel
418,8,_____ Menschen helfen einander.,Freundliche,Freundliche Menschen helfen einander.,freundlich,Plural,Nominativ,Ohne Artikel
419,8,Ich sehe _____ Lehrer im Klassenzimmer.,klugen,Ich sehe klugen Lehrer im Klassenzimmer.,klug,Maskulin,Akkusativ,Ohne Artikel
420,8,Sie füttert _____ Hund jeden Morgen.,alten,Sie füttert alten Hund jeden Morgen.,alt,Maskulin,Akkusativ,Ohne Artikel
421,8,Wir bewundern _____ Baum im Park.,schönen,Wir bewundern schönen Baum im Park.,schön,Maskulin,Akkusativ,Ohne Artikel
422,8,Der Professor lobt _____ Studenten.,fleißigen,Der Professor lobt fleißigen Studenten.,fleißig,Maskulin,Akkusativ,Ohne Artikel
423,8,Die Gäste begrüßen _____ Kellner herzlich.,freundlichen,Die Gäste begrüßen freundlichen Kellner herzlich.,freundlich,Maskulin,Akkusativ,Ohne Artikel
424,8,Ich sehe den _____ Lehrer im Klassenzimmer.,klugen,Ich sehe den klugen Lehrer im Klassenzimmer.,klug,Maskulin,Akkusativ,Bestimmt
425,8,Sie füttert den _____ Hund jeden Morgen.,alten,Sie füttert den alten Hund jeden Morgen.,alt,Maskulin,Akkusativ,Bestimmt
426,8,Wir bewundern den _____ Baum im Park.,schönen,Wir bewundern den schönen Baum im Park.,schön,Maskulin,Akkusativ,Bestimmt
427,8,Der Professor lobt den _____ Studenten.,fleißigen,Der Professor lobt den fleißigen Studenten.,fleißig,Maskulin,Akkusativ,Bestimmt
428,8,Die Gäste begrüßen den _____ Kellner herzlich.,freundlichen,Die Gäste begrüßen den freundlichen Kellner herzlich.,freundlich,Maskulin,Akkusativ,Bestimmt
429,8,Ich bewundere eine _____ Lehrerin.,kluge,Ich bewundere eine kluge Lehrerin.,klug,Feminin,Akkusativ,Unbestimmt
430,8,Er streichelt eine _____ Katze.,alte,Er streichelt eine alte Katze.,alt,Feminin,Akkusativ,Unbestimmt
431,8,Wir gießen eine _____ Blume im Garten.,schöne,Wir gießen eine schöne Blume im Garten.,schön,Feminin,Akkusativ,Unbestimmt
432,8,Die Lehrerin lobt eine _____ Schülerin.,fleißige,Die Lehrerin lobt eine fleißige Schülerin.,fleißig,Feminin,Akkusativ,Unbestimmt
433,8,Sie begrüßen eine _____ Nachbarin.,freundliche,Sie begrüßen eine freundliche Nachbarin.,freundlich,Feminin,Akkusativ,Unbestimmt
434,8,Ich sehe einen _____ Lehrer im Klassenzimmer.,klugen,Ich sehe einen klugen Lehrer im Klassenzimmer.,klug,Maskulin,Akkusativ,Unbestimmt
435,8,Sie füttert einen _____ Hund jeden Morgen.,alten,Sie füttert einen alten Hund jeden Morgen.,alt,Maskulin,Akkusativ,Unbestimmt
436,8,Wir bewundern einen _____ Baum im Park.,schönen,Wir bewundern einen schönen Baum im Park.,schön,Maskulin,Akkusativ,Unbestimmt
437,8,Der Professor lobt einen _____ Studenten.,fleißigen,Der Professor lobt einen fleißigen Studenten.,fleißig,Maskulin,Akkusativ,Unbestimmt
438,8,Die Gäste begrüßen einen _____ Kellner herzlich.,freundlichen,Die Gäste begrüßen einen freundlichen Kellner herzlich.,freundlich,Maskulin,Akkusativ,Unbestimmt
439,8,Ich sehe _____ Kinder auf dem Spielplatz.,kluge,Ich sehe kluge Kinder auf dem Spielplatz.,klug,Plural,Akkusativ,Ohne Artikel
440,8,Sie liest _____ Bücher in der Bibliothek.,alte,Sie liest alte Bücher in der Bibliothek.,alt,Plural,Akkusativ,Ohne Artikel
441,8,Wir bewundern _____ Bilder im Museum.,schöne,Wir bewundern schöne Bilder im Museum.,schön,Plural,Akkusativ,Ohne Artikel
442,8,Der Lehrer lobt _____ Schüler.,fleißige,Der Lehrer lobt fleißige Schüler.,fleißig,Plural,Akkusativ,Ohne Artikel
443,8,Die Eltern begrüßen _____ Nachbarn.,freundliche,Die Eltern begrüßen freundliche Nachbarn.,freundlich,Plural,Akkusativ,Ohne Artikel
444,8,Ich sehe ein _____ Kind auf dem Spielplatz.,kluges,Ich sehe ein kluges Kind auf dem Spielplatz.,klug,Neutral,Akkusativ,Unbestimmt
445,8,Sie liest ein _____ Buch jeden Abend.,altes,Sie liest ein altes Buch jeden Abend.,alt,Neutral,Akkusativ,Unbestimmt
446,8,Wir bewundern ein _____ Bild im Museum.,schönes,Wir bewundern ein schönes Bild im Museum.,schön,Neutral,Akkusativ,Unbestimmt
447,8,Der Lehrer lobt ein _____ Mädchen.,fleißiges,Der Lehrer lobt ein fleißiges Mädchen.,fleißig,Neutral,Akkusativ,Unbestimmt
448,8,Die Eltern lieben ein _____ Lächeln.,freundliches,Die Eltern lieben ein freundliches Lächeln.,freundlich,Neutral,Akkusativ,Unbestimmt
449,8,Ich sehe _____ Kind auf dem Spielplatz.,kluges,Ich sehe kluges Kind auf dem Spielplatz.,klug,Neutral,Akkusativ,Ohne Artikel
450,8,Sie liest _____ Buch jeden Abend.,altes,Sie liest altes Buch jeden Abend.,alt,Neutral,Akkusativ,Ohne Artikel
451,8,Wir bewundern _____ Bild im Museum.,schönes,Wir bewundern schönes Bild im Museum.,schön,Neutral,Akkusativ,Ohne Artikel
452,8,Der Lehrer lobt _____ Mädchen.,fleißiges,Der Lehrer lobt fleißiges Mädchen.,fleißig,Neutral,Akkusativ,Ohne Artikel
453,8,Die Eltern lieben _____ Lächeln.,freundliches,Die Eltern lieben freundliches Lächeln.,freundlich,Neutral,Akkusativ,Ohne Artikel
454,8,Ich bewundere die _____ Lehrerin.,kluge,Ich bewundere die kluge Lehrerin.,klug,Feminin,Akkusativ,Bestimmt
455,8,Er streichelt die _____ Katze.,alte,Er streichelt die alte Katze.,alt,Feminin,Akkusativ,Bestimmt
456,8,Wir gießen die _____ Blume im Garten.,schöne,Wir gießen die schöne Blume im Garten.,schön,Feminin,Akkusativ,Bestimmt
457,8,Die Lehrerin lobt die _____ Schülerin.,fleißige,Die Lehrerin lobt die fleißige Schülerin.,fleißig,Feminin,Akkusativ,Bestimmt
458,8,Sie begrüßen die _____ Nachbarin.,freundliche,Sie begrüßen die freundliche Nachbarin.,freundlich,Feminin,Akkusativ,Bestimmt
459,8,Ich sehe die _____ Kinder auf dem Spielplatz.,klugen,Ich sehe die klugen Kinder auf dem Spielplatz.,klug,Plural,Akkusativ,Bestimmt
460,8,Sie liest die _____ Bücher in der Bibliothek.,alten,Sie liest die alten Bücher in der Bibliothek.,alt,Plural,Akkusativ,Bestimmt
461,8,Wir bewundern die _____ Bilder im Museum.,schönen,Wir bewundern die schönen Bilder im Museum.,schön,Plural,Akkusativ,Bestimmt
462,8,Der Lehrer lobt die _____ Schüler.,fleißigen,Der Lehrer lobt die fleißigen Schüler.,fleißig,Plural,Akkusativ,Bestimmt
463,8,Die Eltern begrüßen die _____ Nachbarn.,freundlichen,Die Eltern begrüßen die freundlichen Nachbarn.,freundlich,Plural,Akkusativ,Bestimmt
464,8,Ich sehe das _____ Kind auf dem Spielplatz.,kluge,Ich sehe das kluge Kind auf dem Spielplatz.,klug,Neutral,Akkusativ,Bestimmt
465,8,Sie liest das _____ Buch jeden Abend.,alte,Sie liest das alte Buch jeden Abend.,alt,Neutral,Akkusativ,Bestimmt
466,8,Wir bewundern das _____ Bild im Museum.,schöne,Wir bewundern das schöne Bild im Museum.,schön,Neutral,Akkusativ,Bestimmt
467,8,Der Lehrer lobt das _____ Mädchen.,fleißige,Der Lehrer lobt das fleißige Mädchen.,fleißig,Neutral,Akkusativ,Bestimmt
468,8,Die Eltern lieben das _____ Lächeln ihres Kindes.,freundliche,Die Eltern lieben das freundliche Lächeln ihres Kindes.,freundlich,Neutral,Akkusativ,Bestimmt
469,8,Ich bewundere _____ Lehrerin.,kluge,Ich bewundere kluge Lehrerin.,klug,Feminin,Akkusativ,Ohne Artikel
470,8,Er streichelt _____ Katze.,alte,Er streichelt alte Katze.,alt,Feminin,Akkusativ,Ohne Artikel
471,8,Wir gießen _____ Blume im Garten.,schöne,Wir gießen schöne Blume im Garten.,schön,Feminin,Akkusativ,Ohne Artikel
472,8,Die Lehrerin lobt _____ Schülerin.,fleißige,Die Lehrerin lobt fleißige Schülerin.,fleißig,Feminin,Akkusativ,Ohne Artikel
473,8,Sie begrüßen _____ Nachbarin.,freundliche,Sie begrüßen freundliche Nachbarin.,freundlich,Feminin,Akkusativ,Ohne Artikel
474,8,Ich helfe _____ Lehrer bei den Hausaufgaben.,klugem,Ich helfe klugem Lehrer bei den Hausaufgaben.,klug,Maskulin,Dativ,Ohne Artikel
475,8,Er gibt _____ Hund Futter.,altem,Er gibt altem Hund Futter.,alt,Maskulin,Dativ,Ohne Artikel
476,8,Wir danken _____ Künstler für sein Werk.,schönem,Wir danken schönem Künstler für sein Werk.,schön,Maskulin,Dativ,Ohne Artikel
477,8,Der Professor erklärt _____ Studenten die Aufgabe.,fleißigem,Der Professor erklärt fleißigem Studenten die Aufgabe.,fleißig,Maskulin,Dativ,Ohne Artikel
478,8,Die Gäste schenken _____ Kellner ein Trinkgeld.,freundlichem,Die Gäste schenken freundlichem Kellner ein Trinkgeld.,freundlich,Maskulin,Dativ,Ohne Artikel
479,8,Ich helfe einem _____ Lehrer bei den Hausaufgaben.,klugen,Ich helfe einem klugen Lehrer bei den Hausaufgaben.,klug,Maskulin,Dativ,Unbestimmt
480,8,Sie gibt einem _____ Hund Futter.,alten,Sie gibt einem alten Hund Futter.,alt,Maskulin,Dativ,Unbestimmt
481,8,Wir danken einem _____ Künstler für sein Werk.,schönen,Wir danken einem schönen Künstler für sein Werk.,schön,Maskulin,Dativ,Unbestimmt
482,8,Der Professor erklärt einem _____ Studenten die Aufgabe.,fleißigen,Der Professor erklärt einem fleißigen Studenten die Aufgabe.,fleißig,Maskulin,Dativ,Unbestimmt
483,8,Die Gäste schenken einem _____ Kellner ein Trinkgeld.,freundlichen,Die Gäste schenken einem freundlichen Kellner ein Trinkgeld.,freundlich,Maskulin,Dativ,Unbestimmt
484,8,Ich helfe den _____ Kindern bei den Hausaufgaben.,klugen,Ich helfe den klugen Kindern bei den Hausaufgaben.,klug,Plural,Dativ,Bestimmt
485,8,Er gibt den _____ Büchern neue Einbände.,alten,Er gibt den alten Büchern neue Einbände.,alt,Plural,Dativ,Bestimmt
486,8,Wir danken den _____ Künstlern für ihre Werke.,schönen,Wir danken den schönen Künstlern für ihre Werke.,schön,Plural,Dativ,Bestimmt
487,8,Der Lehrer erklärt den _____ Schülern die Aufgabe.,fleißigen,Der Lehrer erklärt den fleißigen Schülern die Aufgabe.,fleißig,Plural,Dativ,Bestimmt
488,8,Die Eltern schenken den _____ Nachbarn ein Geschenk.,freundlichen,Die Eltern schenken den freundlichen Nachbarn ein Geschenk.,freundlich,Plural,Dativ,Bestimmt
489,8,Ich helfe _____ Lehrerin bei den Hausaufgaben.,kluger,Ich helfe kluger Lehrerin bei den Hausaufgaben.,klug,Feminin,Dativ,Ohne Artikel
490,8,Er gibt _____ Katze frisches Wasser.,alter,Er gibt alter Katze frisches Wasser.,alt,Feminin,Dativ,Ohne Artikel
491,8,Wir danken _____ Künstlerin für ihr Werk.,schöner,Wir danken schöner Künstlerin für ihr Werk.,schön,Feminin,Dativ,Ohne Artikel
492,8,Die Lehrerin erklärt _____ Schülerin die Aufgabe.,fleißiger,Die Lehrerin erklärt fleißiger Schülerin die Aufgabe.,fleißig,Feminin,Dativ,Ohne Artikel
493,8,Die Nachbarn gratulieren _____ Frau zum Geburtstag.,freundlicher,Die Nachbarn gratulieren freundlicher Frau zum Geburtstag.,freundlich,Feminin,Dativ,Ohne Artikel
494,8,Ich helfe der _____ Lehrerin bei den Hausaufgaben.,klugen,Ich helfe der klugen Lehrerin bei den Hausaufgaben.,klug,Feminin,Dativ,Bestimmt
495,8,Er gibt der _____ Katze frisches Wasser.,alten,Er gibt der alten Katze frisches Wasser.,alt,Feminin,Dativ,Bestimmt
496,8,Wir danken der _____ Künstlerin für ihr Werk.,schönen,Wir danken der schönen Künstlerin für ihr Werk.,schön,Feminin,Dativ,Bestimmt
497,8,Die Lehrerin erklärt der _____ Schülerin die Aufgabe.,fleißigen,Die Lehrerin erklärt der fleißigen Schülerin die Aufgabe.,fleißig,Feminin,Dativ,Bestimmt
498,8,Die Nachbarn gratulieren der _____ Frau zum Geburtstag.,freundlichen,Die Nachbarn gratulieren der freundlichen Frau zum Geburtstag.,freundlich,Feminin,Dativ,Bestimmt
499,8,Ich helfe einer _____ Lehrerin bei den Hausaufgaben.,klugen,Ich helfe einer klugen Lehrerin bei den Hausaufgaben.,klug,Feminin,Dativ,Unbestimmt
500,8,Er gibt einer _____ Katze frisches Wasser.,alten,Er gibt einer alten Katze frisches Wasser.,alt,Feminin,Dativ,Unbestimmt
501,8,Wir danken einer _____ Künstlerin für ihr Werk.,schönen,Wir danken einer schönen Künstlerin für ihr Werk.,schön,Feminin,Dativ,Unbestimmt
502,8,Die Lehrerin erklärt einer _____ Schülerin die Aufgabe.,fleißigen,Die Lehrerin erklärt einer fleißigen Schülerin die Aufgabe.,fleißig,Feminin,Dativ,Unbestimmt
503,8,Die Nachbarn gratulieren einer _____ Frau zum Geburtstag.,freundlichen,Die Nachbarn gratulieren einer freundlichen Frau zum Geburtstag.,freundlich,Feminin,Dativ,Unbestimmt
504,8,Ich helfe dem _____ Lehrer bei den Hausaufgaben.,klugen,Ich helfe dem klugen Lehrer bei den Hausaufgaben.,klug,Maskulin,Dativ,Bestimmt
505,8,Sie gibt dem _____ Hund Futter.,alten,Sie gibt dem alten Hund Futter.,alt,Maskulin,Dativ,Bestimmt
506,8,Wir danken dem _____ Künstler für sein Werk.,schönen,Wir danken dem schönen Künstler für sein Werk.,schön,Maskulin,Dativ,Bestimmt
507,8,Der Professor erklärt dem _____ Studenten die Aufgabe.,fleißigen,Der Professor erklärt dem fleißigen Studenten die Aufgabe.,fleißig,Maskulin,Dativ,Bestimmt
508,8,Die Gäste schenken dem _____ Kellner ein Trinkgeld.,freundlichen,Die Gäste schenken dem freundlichen Kellner ein Trinkgeld.,freundlich,Maskulin,Dativ,Bestimmt
509,8,Ich helfe _____ Kind bei den Hausaufgaben.,klugem,Ich helfe klugem Kind bei den Hausaufgaben.,klug,Neutral,Dativ,Ohne Artikel
510,8,Er gibt _____ Buch einen neuen Einband.,altem,Er gibt altem Buch einen neuen Einband.,alt,Neutral,Dativ,Ohne Artikel
511,8,Wir danken _____ Gemälde für die Inspiration.,schönem,Wir danken schönem Gemälde für die Inspiration.,schön,Neutral,Dativ,Ohne Artikel
512,8,Der Lehrer erklärt _____ Mädchen die Aufgabe.,fleißigem,Der Lehrer erklärt fleißigem Mädchen die Aufgabe.,fleißig,Neutral,Dativ,Ohne Artikel
513,8,Die Eltern schenken _____ Lächeln viel Bedeutung.,freundlichem,Die Eltern schenken freundlichem Lächeln viel Bedeutung.,freundlich,Neutral,Dativ,Ohne Artikel
514,8,Ich helfe einem _____ Kind bei den Hausaufgaben.,klugen,Ich helfe einem klugen Kind bei den Hausaufgaben.,klug,Neutral,Dativ,Unbestimmt
515,8,Er gibt einem _____ Buch einen neuen Einband.,alten,Er gibt einem alten Buch einen neuen Einband.,alt,Neutral,Dativ,Unbestimmt
516,8,Wir danken einem _____ Gemälde für die Inspiration.,schönen,Wir danken einem schönen Gemälde für die Inspiration.,schön,Neutral,Dativ,Unbestimmt
517,8,Der Lehrer erklärt einem _____ Mädchen die Aufgabe.,fleißigen,Der Lehrer erklärt einem fleißigen Mädchen die Aufgabe.,fleißig,Neutral,Dativ,Unbestimmt
518,8,Die Eltern schenken einem _____ Lächeln viel Bedeutung.,freundlichen,Die Eltern schenken einem freundlichen Lächeln viel Bedeutung.,freundlich,Neutral,Dativ,Unbestimmt
519,8,Ich helfe _____ Kindern bei den Hausaufgaben.,klugen,Ich helfe klugen Kindern bei den Hausaufgaben.,klug,Plural,Dativ,Ohne Artikel
520,8,Er gibt _____ Büchern neue Einbände.,alten,Er gibt alten Büchern neue Einbände.,alt,Plural,Dativ,Ohne Artikel
521,8,Wir danken _____ Künstlern für ihre Werke.,schönen,Wir danken schönen Künstlern für ihre Werke.,schön,Plural,Dativ,Ohne Artikel
522,8,Der Lehrer erklärt _____ Schülern die Aufgabe.,fleißigen,Der Lehrer erklärt fleißigen Schülern die Aufgabe.,fleißig,Plural,Dativ,Ohne Artikel
523,8,Die Eltern schenken _____ Nachbarn ein Geschenk.,freundlichen,Die Eltern schenken freundlichen Nachbarn ein Geschenk.,freundlich,Plural,Dativ,Ohne Artikel
524,8,Ich helfe dem _____ Kind bei den Hausaufgaben.,klugen,Ich helfe dem klugen Kind bei den Hausaufgaben.,klug,Neutral,Dativ,Bestimmt
525,8,Er gibt dem _____ Buch einen neuen Einband.,alten,Er gibt dem alten Buch einen neuen Einband.,alt,Neutral,Dativ,Bestimmt
526,8,Wir danken dem _____ Gemälde für die Inspiration.,schönen,Wir danken dem schönen Gemälde für die Inspiration.,schön,Neutral,Dativ,Bestimmt
527,8,Der Lehrer erklärt dem _____ Mädchen die Aufgabe.,fleißigen,Der Lehrer erklärt dem fleißigen Mädchen die Aufgabe.,fleißig,Neutral,Dativ,Bestimmt
528,8,Die Eltern schenken dem _____ Lächeln viel Bedeutung.,freundlichen,Die Eltern schenken dem freundlichen Lächeln viel Bedeutung.,freundlich,Neutral,Dativ,Bestimmt
529,9,des _____ Vaters,netten,des netten Vaters,nett,Maskulin,Genitiv,Bestimmt artikel
530,9,der _____ Mutter,netten,der netten Mutter,nett,Feminin,Genitiv,Bestimmt artikel
531,9,des _____ Kindes,netten,des netten Kindes,nett,Neutral,Genitiv,Bestimmt artikel
532,9,der _____ Eltern,netten,der netten Eltern,nett,Plural,Genitiv,Bestimmt artikel
533,9,eines _____ Vaters,netten,eines netten Vaters,nett,Maskulin,Genitiv,Unbestimmt artikel
534,9,einer _____ Mutter,netten,einer netten Mutter,nett,Feminin,Genitiv,Unbestimmt artikel
535,9,eines _____ Kindes,netten,eines netten Kindes,nett,Neutral,Genitiv,Unbestimmt artikel
536,9,Ø _____ Vaters,netten,netten Vaters,nett,Maskulin,Genitiv,Ohne Artikel
537,9,Ø _____ Mutter,netter,netter Mutter,nett,Feminin,Genitiv,Ohne Artikel
538,9,Ø _____ Kindes,netten,netten Kindes,nett,Neutral,Genitiv,Ohne Artikel
539,9,Ø _____ Eltern,netter,netter Eltern,nett,Plural,Genitiv,Ohne Artikel
540,9,mein _____ Vater,netter,mein netter Vater,nett,Maskulin,Nominativ,Possessiv artikel
541,9,meinen _____ Vater,netten,meinen netten Vater,nett,Maskulin,Akkusativ,Possessiv artikel
542,9,meinem _____ Vater,netten,meinem netten Vater,nett,Maskulin,Dativ,Possessiv artikel
543,9,meines _____ Vaters,netten,meines netten Vater,nett,Maskulin,Genitiv,Possessiv artikel
544,9,mein _____ Kind,nettes,mein nettes Kind,nett,Neutral,Nominativ,Possessiv artikel
545,9,mein _____ Kind,nettes,mein nettes Kind,nett,Neutral,Akkusativ,Possessiv artikel
546,9,meinem _____ Kind,netten,meinem netten Kind,nett,Neutral,Dativ,Possessiv artikel
547,9,meines _____ Kind,netten,meines netten Kind,nett,Neutral,Genitiv,Possessiv artikel
548,9,meine _____ Mutter,nette,meine nette Mutter,nett,Feminin,Nominativ,Possessiv artikel
549,9,meine _____ Mutter,nette,meine nette Mutter,nett,Feminin,Akkusativ,Possessiv artikel
550,9,meiner _____ Mutter,netten,meiner netten Mutter,nett,Feminin,Dativ,Possessiv artikel
551,9,meiner _____ Mutter,netten,meiner netten Mutter,nett,Feminin,Genitiv,Possessiv artikel
552,9,meine _____ Eltern,netten,meine netten Eltern,nett,Plural,Nominativ,Possessiv artikel
553,9,meine _____ Eltern,netten,meine netten Eltern,nett,Plural,Akkusativ,Possessiv artikel
554,9,meinen _____ Eltern,netten,meinen netten Eltern,nett,Plural,Dativ,Possessiv artikel
555,9,meiner _____ Eltern,netten,meiner netten Eltern,nett,Plural,Genitiv,Possessiv artikel
556,9,kein _____ Vater,netter,kein netter Vater,nett,Maskulin,Nominativ,Negationsartikel
557,9,keinen _____ Vater,netten,keinen netten Vater,nett,Maskulin,Akkusativ,Negationsartikel
558,9,keinem _____ Vater,netten,keinem netten Vater,nett,Maskulin,Dativ,Negationsartikel
559,9,keines _____ Vaters,netten,keines netten Vater,nett,Maskulin,Genitiv,Negationsartikel
560,9,kein _____ Kind,nettes,kein nettes Kind,nett,Neutral,Nominativ,Negationsartikel
561,9,kein _____ Kind,nettes,kein nettes Kind,nett,Neutral,Akkusativ,Negationsartikel
562,9,keinem _____ Kind,netten,keinem netten Kind,nett,Neutral,Dativ,Negationsartikel
563,9,keines _____ Kind,netten,keines netten Kind,nett,Neutral,Genitiv,Negationsartikel
564,9,keine _____ Mutter,nette,keine nette Mutter,nett,Feminin,Nominativ,Negationsartikel
565,9,keine _____ Mutter,nette,keine nette Mutter,nett,Feminin,Akkusativ,Negationsartikel
566,9,keiner _____ Mutter,netten,keiner netten Mutter,nett,Feminin,Dativ,Negationsartikel
567,9,keiner _____ Mutter,netten,keiner netten Mutter,nett,Feminin,Genitiv,Negationsartikel
568,9,keine _____ Eltern,netten,keine netten Eltern,nett,Plural,Nominativ,Negationsartikel
569,9,keine _____ Eltern,netten,keine netten Eltern,nett,Plural,Akkusativ,Negationsartikel
570,9,keinen _____ Eltern,netten,keinen netten Eltern,nett,Plural,Dativ,Negationsartikel
571,9,keiner _____ Eltern,netten,keiner netten Eltern,nett,Plural,Genitiv,Negationsartikel
