Nr,level,reflx,verb,preposition,case,english_verb,german,english_sentence,answer,question
398,8,,denken,an,,to think of,Woran denkst du?,What are you thinking about?,Woran,_____ denkst du?
399,8,,diskutieren,über,,to discuss about,Worüber diskutierst du?,What are you discussing?,Worüber,_____ diskutierst du?
400,8,,diskutieren,mit,,to discuss with,Mit wem diskutierst du?,Who are you discussing with?,Mit wem,_____ diskutierst du?
401,8,,einladen,zu,,to invite to,Wozu lädst du mich ein?,What are you inviting me to?,Wozu,_____ lädst du mich ein?
402,8,,erinnern,an,,to recall / remember,Woran erinnerst du dich?,What are you remembering?,Woran,_____ erinnerst du dich?
403,8,,fragen,nach,,"to ask for, about",Wonach fragst du?,What are you asking about?,Wonach,_____ fragst du?
404,8,,freuen,auf,,to look forward to,Worauf freust du dich?,What are you looking forward to?,Worauf,_____ freust du dich?
405,8,,freuen,über,,to rejoice about,Worüber freust du dich?,What are you happy about?,Worüber,_____ freust du dich?
406,8,,führen,zu,,to lead to,Wozu führt das?,What does this lead to?,Wozu,_____ führt das?
407,8,,gehören,zu,,to belong to,Wozu gehört das?,What does this belong to?,Wozu,_____ gehört das?
408,8,,glauben,an,,to believe in,Woran glaubst du?,What do you believe in?,Woran,_____ glaubst du?
409,8,,helfen,bei,,to help with,Wobei hilfst du?,What are you helping with?,Wobei,_____ hilfst du?
410,8,,hoffen,auf,,to hope for,Worauf hoffst du?,What are you hoping for?,Worauf,_____ hoffst du?
411,8,,hören,auf,,to listen to,Worauf hörst du?,What are you listening to?,Worauf,_____ hörst du?
412,8,,interessieren,für,,to be interested in,Wofür interessierst du dich?,What are you interested in?,Wofür,_____ interessierst du dich?
413,8,,kommen,aus,,to come from,Woher kommst du?,Where do you come from?,Woher,_____ kommst du?
414,8,,lachen,über,,to laugh about,Worüber lachst du?,What are you laughing about?,Worüber,_____ lachst du?
415,8,,passen,zu,,"to match with, to pair with",Wozu passt das?,What does this match?,Wozu,_____ passt das?
416,8,,sagen,über,,to speak / say about,Worüber sagst du etwas?,What are you saying something about?,Worüber,_____ sagst du etwas?
417,8,,schreiben,über,,to write about,Worüber schreibst du?,What are you writing about?,Worüber,_____ schreibst du?
418,8,,schreiben,an,,to write to,An wen schreibst du?,Who are you writing to?,An wen,_____ schreibst du?
419,8,,sein,gegen,,to be against,Wogegen bist du?,What are you against?,Wogegen,_____ bist du?
420,8,,sein,für,,to be for,Wofür bist du?,What are you in favor of?,Wofür,_____ bist du?
421,8,,spielen,mit,,to play with,Mit wem spielst du?,Who are you playing with?,Mit wem,_____ spielst du?
422,8,,sprechen,mit,,to speak with,Mit wem sprichst du?,Who are you speaking with?,Mit wem,_____ sprichst du?
423,8,,sprechen,über,,to talk about,Worüber sprichst du?,What are you speaking about?,Worüber,_____ sprichst du?
424,8,,sprechen,von,,to speak of,Wovon sprichst du?,What are you talking about?,Wovon,_____ sprichst du?
425,8,,suchen,nach,,to search for,Wonach suchst du?,What are you looking for?,Wonach,_____ suchst du?
426,8,,träumen,von,,to dream of,Wovon träumst du?,What are you dreaming of?,Wovon,_____ träumst du?
427,8,,treffen,zu,,to meet for,Wozu treffen wir uns?,What are we meeting for?,Wozu,_____ treffen wir uns?
428,8,,treffen,mit,,to meet with,Mit wem triffst du dich?,Who are you meeting with?,Mit wem,_____ triffst du dich?
429,8,,übersetzen,aus,,to translate from,Woraus übersetzt du das?,What are you translating from?,Woraus,_____ übersetzt du das?
430,8,,übersetzen,in,,to translate into,Worin übersetzt du das?,What are you translating into?,Worin,_____ übersetzt du das?
431,8,,verstehen,mit,,to get along with,Mit wem verstehst du dich?,Who do you get along with?,Mit wem,_____ verstehst du dich?
432,8,,wählen,zu,,to elect to,Wozu wählt man ihn?,What is he elected for?,Wozu,_____ wählt man ihn?
433,8,,warten,auf,,to wait for,Worauf wartest du?,What are you waiting for?,Worauf,_____ wartest du?
434,8,,zählen,zu,,to count among,Wozu zählt das?,What does this count as?,Wozu,_____ zählt das?
435,9,sich,bedanken,für,A,to thank for,,,für,
436,9,sich,bedanken,bei,D,to thank someone,,,bei,
437,9,,befördern,zu,D,to promote to,,,zu,
438,9,,beglückwünschen,zu,D,to congratulate on,,,zu,
439,9,,beitragen,zu,D,to contribute to,,,zu,
440,9,,berichten,über,A,to report on,,,über,
441,9,,berichten,von,D,to report on,,,von,
442,9,,bestehen,aus,D,to consist of,Das Buch besteht aus zehn Kapiteln.,The book consists of ten chapters.,aus,
443,9,,bestehen,auf,A,to insist on,Er besteht auf seiner Meinung.,He insists on his opinion.,auf,
444,9,,bestehen,in,D,to consist in,,,in,
445,9,sich,beteiligen,an,D,to take part in,,,an,
446,9,sich,bewerben,bei,D,to apply at,,,bei,
447,9,sich,bewerben,um,A,to apply for,,,um,
448,9,,bewerben,auf,A,to apply for,,,auf,
449,9,,duften,nach,D,to smell of,,,nach,
450,9,,einstellen,auf,A,to adjust to,,,auf,
451,9,,engagieren,für,A,to engage for,,,für,
452,9,,entstehen,aus,D,to arise from,,,aus,
453,9,sich,erholen,von,D,to recover from,,,von,
454,9,,fliehen,vor,D,to flee from,,,vor,
455,9,,fürchten,vor,D,to be afraid of,,,vor,
456,9,,garantieren,für,A,to guarantee for,,,für,
457,9,,gelten,für,A,to apply to,,,für,
458,9,,gelten,als,N,to be considered as,,,als,
459,9,,geraten,in,A,to get into,,,in,
460,9,sich,gewöhnen,an,A,to get used to,,,an,
461,9,,halten,für,A,"to take for, to consider as",Ich halte ihn für einen guten Freund.,I consider him a good friend.,,
462,9,,halten,von,D,to think of / regard,Was hältst du von diesem Vorschlag?,What do you think of this proposal?,,
463,9,,handeln,mit,D,to trade with / in,,,mit,
464,9,,hindern,an,D,to prevent from,,,an,
465,9,,hinweisen,auf,A,to point out,,,auf,
466,9,sich,informieren,über,A,to inform oneself about,,,über,
467,9,,informieren,bei,D,to inform at,,,bei,
468,9,sich,konzentrieren,auf,A,to concentrate on,Sie konzentriert sich auf ihre Arbeit.,She focuses on her work.,auf,
469,9,,leiden,an,D,to suffer from,,,an,
470,9,,leiden,unter,A,to suffer under,,,unter,
471,9,,nachdenken,über,A,to think about,,,über,
472,9,,reagieren,auf,A,to react to,,,auf,
473,9,,rechnen,mit,D,to count on,,,mit,
474,9,,riechen,nach,D,to smell like,,,nach,
475,9,,schiessen,auf,A,to shoot at,,,auf,
476,9,,senden,an,A,to send to,,,an,
477,9,,stammen,aus,D,to come from,,,aus,
478,9,,teilnehmen,an,D,to participate in,,,an,
479,9,,überzeugen,von,D,to convince of,,,von,
480,9,sich,verabschieden,von,D,to say goodbye to,,,von,
481,9,,verwandeln,in,A,to transform into,,,in,
482,9,,verzichten,auf,A,to renounce,,,auf,
483,9,,warnen,vor,D,to warn of,Sie warnt ihn vor der Gefahr.,She warns him about the danger.,vor,
484,9,sich,wenden,an,A,to turn to,,,an,
485,9,,werben,für,A,to advertise for,,,für,
486,9,,wetten,um,A,to bet on,,,um,
487,9,,zielen,auf,A,to aim at,,,auf,
488,9,,zögern,mit,D,to hesitate with,,,mit,
489,9,,zweifeln,an,D,to doubt,,,an,
490,9,,zwingen,zu,D,to force to,,,zu,
491,10,,bedanken,für,,,Ich möchte mich herzlich für Ihre Unterstützung bedanken.,I would like to sincerely thank you for your support.,für,Ich möchte mich herzlich _____ Ihre Unterstützung bedanken.
492,10,,bedanken,für,,,Er bedankte sich bei den Kollegen für die angenehme Zusammenarbeit.,He thanked his colleagues for the pleasant cooperation.,für,Er bedankte sich bei den Kollegen _____ die angenehme Zusammenarbeit.
493,10,,bedanken,bei,,,Ich bedanke mich bei meinen Eltern für ihre Geduld.,I thank my parents for their patience.,bei,Ich bedanke mich _____ meinen Eltern für ihre Geduld.
494,10,,bedanken,bei,,,Er bedankte sich bei seinem Lehrer für die wertvollen Tipps.,He thanked his teacher for the valuable tips.,bei,Er bedankte sich _____ seinem Lehrer für die wertvollen Tipps.
495,10,,befördern,zu,,,Sie wurde zur Abteilungsleiterin befördert.,She was promoted to department head.,zur,Sie wurde _____ Abteilungsleiterin befördert.
496,10,,befördern,zu,,,Er wurde nach vielen Jahren harter Arbeit zum Manager befördert.,He was promoted to manager after many years of hard work.,zum,Er wurde nach vielen Jahren harter Arbeit _____ Manager befördert.
497,10,,beglückwünschen,zu,,,Ich beglückwünsche Sie zu Ihrer erfolgreichen Präsentation.,I congratulate you on your successful presentation.,zu,Ich beglückwünsche Sie _____ Ihrer erfolgreichen Präsentation.
498,10,,beglückwünschen,zu,,,Wir beglückwünschten ihn zu seinem neuen Job.,We congratulated him on his new job.,zu,Wir beglückwünschten ihn _____ seinem neuen Job.
499,10,,beitragen,zu,,,Jeder kann etwas zum Umweltschutz beitragen.,Everyone can contribute to environmental protection.,zu,Jeder kann etwas _____m Umweltschutz beitragen.
500,10,,beitragen,zu,,,"Die Studie trägt dazu bei, unser Verständnis der Materie zu verbessern.",The study contributes to improving our understanding of the subject.,dazu,"Die Studie trägt _____ bei, unser Verständnis der Materie zu verbessern."
501,10,,bemühen,um,,,Er bemüht sich um eine bessere Work-Life-Balance.,He strives for a better work-life balance.,um,Er bemüht sich _____ eine bessere Work-Life-Balance.
502,10,,berichten,über,,,Er hat über seine Reise nach Südamerika berichtet.,He reported on his trip to South America.,über,Er hat _____ seine Reise nach Südamerika berichtet.
503,10,,berichten,von,,,Sie berichtete von ihren Erfahrungen als Freiwillige.,She reported on her experiences as a volunteer.,von,Sie berichtete _____ ihren Erfahrungen als Freiwillige.
504,10,,berichten,von,,,Der Zeuge berichtete von dem Unfall.,The witness reported on the accident.,von,Der Zeuge berichtete _____ dem Unfall.
505,10,,bestehen,aus,,,Das Team besteht aus Experten verschiedener Fachrichtungen.,The team consists of experts from various disciplines.,aus,Das Team besteht _____ Experten verschiedener Fachrichtungen.
506,10,,bestehen,aus,,,Die Prüfung besteht aus drei Teilen.,The exam consists of three parts.,aus,Die Prüfung besteht _____ drei Teilen.
507,10,,bestehen,auf,,,"Er besteht darauf, die Wahrheit zu erfahren.",He insists on learning the truth.,darauf,"Er besteht _____, die Wahrheit zu erfahren."
508,10,,bestehen,auf,,,"Sie besteht darauf, dass ihre Meinung gehört wird.",She insists on having her opinion heard.,darauf,"Sie besteht _____, dass ihre Meinung gehört wird."
509,10,,bestehen,in,,,"Die Herausforderung besteht darin, das Problem schnell zu lösen.",The challenge consists in solving the problem quickly.,darin,"Die Herausforderung besteht _____, das Problem schnell zu lösen."
510,10,,bestehen,in,,,"Die Aufgabe besteht darin, alle Daten korrekt zu analysieren.",The task is to analyze all data correctly.,darin,"Die Aufgabe besteht _____, alle Daten korrekt zu analysieren."
511,10,,beteiligen,an,,,Viele Studierende beteiligen sich an sozialen Projekten.,Many students participate in social projects.,an,Viele Studierende beteiligen sich _____ sozialen Projekten.
512,10,,beteiligen,an,,,Er hat sich an der Organisation der Konferenz beteiligt.,He participated in organizing the conference.,an,Er hat sich _____ der Organisation der Konferenz beteiligt.
513,10,,bewerben,bei,,,Er hat sich bei einer großen Firma beworben.,He applied to a big company.,bei,Er hat sich _____ einer großen Firma beworben.
514,10,,bewerben,bei,,,Ich habe mich bei einem internationalen Unternehmen beworben.,I applied to an international company.,bei,Ich habe mich _____ einem internationalen Unternehmen beworben.
515,10,,bewerben,um,,,Sie bewirbt sich um eine Stelle als Ingenieurin.,She is applying for a position as an engineer.,um,Sie bewirbt sich _____ eine Stelle als Ingenieurin.
516,10,,bewerben,um,,,Er bewirbt sich um ein Stipendium.,He is applying for a scholarship.,um,Er bewirbt sich _____ ein Stipendium.
517,10,,bewerben,auf,,,Ich habe mich auf die ausgeschriebene Position beworben.,I applied for the advertised position.,auf,Ich habe mich _____ die ausgeschriebene Position beworben.
518,10,,bewerben,auf,,,Er bewirbt sich auf eine freie Stelle in der IT-Abteilung.,He is applying for an open position in the IT department.,auf,Er bewirbt sich _____ eine freie Stelle in der IT-Abteilung.
519,10,,duften,nach,,,Die Blumen duften nach Frühling.,The flowers smell like spring.,nach,Die Blumen duften _____ Frühling.
520,10,,duften,nach,,,Der Kuchen duftet nach frischem Obst.,The cake smells like fresh fruit.,nach,Der Kuchen duftet _____ frischem Obst.
521,10,,einstellen,auf,,,Wir müssen uns auf längere Wartezeiten einstellen.,We have to prepare for longer waiting times.,auf,Wir müssen uns _____ längere Wartezeiten einstellen.
522,10,,einstellen,auf,,,Er hat sich schnell auf die neue Umgebung eingestellt.,He quickly adapted to the new environment.,auf,Er hat sich schnell _____ die neue Umgebung eingestellt.
523,10,,engagieren,für,,,Die Organisation engagiert sich für den Klimaschutz.,The organization is committed to climate protection.,für,Die Organisation engagiert sich _____ den Klimaschutz.
524,10,,engagieren,für,,,Viele Jugendliche engagieren sich für soziale Projekte.,Many young people are committed to social projects.,für,Viele Jugendliche engagieren sich _____ soziale Projekte.
525,10,,entstehen,aus,,,Aus der Idee ist ein erfolgreiches Unternehmen entstanden.,A successful company emerged from the idea.,Aus,_____ der Idee ist ein erfolgreiches Unternehmen entstanden.
526,10,,entstehen,aus,,,Aus dem Streit ist eine neue Lösung entstanden.,A new solution emerged from the dispute.,Aus,_____ dem Streit ist eine neue Lösung entstanden.
527,10,,erholen,von,,,Sie hat sich gut von ihrer Krankheit erholt.,She has recovered well from her illness.,von,Sie hat sich gut _____ ihrer Krankheit erholt.
528,10,,erholen,von,,,Nach dem Stress muss ich mich von der Arbeit erholen.,"After the stress, I need to recover from work.",von,Nach dem Stress muss ich mich _____ der Arbeit erholen.
529,10,,fliehen,vor,,,Die Menschen fliehen vor der Gewalt in ihrer Heimat.,The people are fleeing from the violence in their homeland.,vor,Die Menschen fliehen _____ der Gewalt in ihrer Heimat.
530,10,,fliehen,vor,,,Er ist vor der Gefahr in Sicherheit geflohen.,He fled to safety from the danger.,vor,Er ist _____ der Gefahr in Sicherheit geflohen.
531,10,,fürchten,vor,,,Ich fürchte mich vor großen Spinnen.,I am afraid of large spiders.,vor,Ich fürchte mich _____ großen Spinnen.
532,10,,fürchten,vor,,,Sie fürchtet sich vor den Folgen ihrer Entscheidung.,She is afraid of the consequences of her decision.,vor,Sie fürchtet sich _____ den Folgen ihrer Entscheidung.
533,10,,garantieren,für,,,Der Hersteller garantiert für die Qualität des Produkts.,The manufacturer guarantees the quality of the product.,für,Der Hersteller garantiert _____ die Qualität des Produkts.
534,10,,garantieren,für,,,Ich kann für die Pünktlichkeit meines Freundes garantieren.,I can vouch for my friend's punctuality.,für,Ich kann _____ die Pünktlichkeit meines Freundes garantieren.
535,10,,gelten,für,,,Die neuen Regeln gelten für alle Mitarbeiter.,The new rules apply to all employees.,für,Die neuen Regeln gelten _____ alle Mitarbeiter.
536,10,,gelten,für,,,Das Angebot gilt nur für kurze Zeit.,The offer is valid for a short time only.,für,Das Angebot gilt nur _____ kurze Zeit.
537,10,,gelten,als,,,Er gilt als Experte auf diesem Gebiet.,He is considered an expert in this field.,als,Er gilt _____ Experte auf diesem Gebiet.
538,10,,gelten,als,,,Das Buch gilt als Klassiker der deutschen Literatur.,The book is considered a classic of German literature.,als,Das Buch gilt _____ Klassiker der deutschen Literatur.
539,10,,geraten,in,,,Sie ist in eine schwierige Situation geraten.,She got into a difficult situation.,in,Sie ist _____ eine schwierige Situation geraten.
540,10,,geraten,in,,,Er ist in finanzielle Schwierigkeiten geraten.,He got into financial trouble.,in,Er ist _____ finanzielle Schwierigkeiten geraten.
541,10,,gewöhnen,an,,,Ich habe mich schnell an das neue Klima gewöhnt.,I quickly got used to the new climate.,an,Ich habe mich schnell _____ das neue Klima gewöhnt.
542,10,,gewöhnen,an,,,"Es ist nicht leicht, sich an die Zeitumstellung zu gewöhnen.",It's not easy to get used to the time change.,an,"Es ist nicht leicht, sich _____ die Zeitumstellung zu gewöhnen."
543,10,,halten,für,,,Ich halte ihn für einen ehrlichen Menschen.,I consider him an honest person.,für,Ich halte ihn _____ einen ehrlichen Menschen.
544,10,,halten,für,,,Viele halten dieses Gesetz für unnötig.,Many consider this law unnecessary.,für,Viele halten dieses Gesetz _____ unnötig.
545,10,,halten,von,,,Was hältst du von dieser Idee?,What do you think of this idea?,von,Was hältst du _____ dieser Idee?
546,10,,halten,von,,,Er hält nicht viel von modernen Kunstwerken.,He doesn’t think much of modern artworks.,von,Er hält nicht viel _____ modernen Kunstwerken.
547,10,,handeln,mit,,,Der Händler handelt mit exotischen Gewürzen.,The merchant deals in exotic spices.,mit,Der Händler handelt _____ exotischen Gewürzen.
548,10,,handeln,mit,,,Sie handelt mit Kunstwerken aus der ganzen Welt.,She deals in artworks from around the world.,mit,Sie handelt _____ Kunstwerken aus der ganzen Welt.
549,10,,hindern,an,,,Der Regen hinderte uns an der Durchführung des Picknicks.,The rain prevented us from having the picnic.,an,Der Regen hinderte uns _____ der Durchführung des Picknicks.
550,10,,hindern,an,,,"Er hinderte sie daran, die Wahrheit zu sagen.",He prevented her from telling the truth.,an,"Er hinderte sie dar_____, die Wahrheit zu sagen."
551,10,,hinweisen,auf,,,Der Lehrer wies die Schüler auf die Bedeutung der Hausaufgaben hin.,The teacher pointed out the importance of homework to the students.,auf,Der Lehrer wies die Schüler _____ die Bedeutung der Hausaufgaben hin.
552,10,,hinweisen,auf,,,Sie wies auf die Fehler im Bericht hin.,She pointed out the mistakes in the report.,auf,Sie wies _____ die Fehler im Bericht hin.
553,10,,informieren,über,,,Der Arzt informierte den Patienten über die Risiken der Operation.,The doctor informed the patient about the risks of the operation.,über,Der Arzt informierte den Patienten _____ die Risiken der Operation.
554,10,,informieren,über,,,Wir wurden über die neuen Regelungen informiert.,We were informed about the new regulations.,über,Wir wurden _____ die neuen Regelungen informiert.
555,10,,informieren,bei,,,Er informierte sich bei der Bank über die aktuellen Zinssätze.,He inquired at the bank about the current interest rates.,bei,Er informierte sich _____ der Bank über die aktuellen Zinssätze.
556,10,,informieren,bei,,,Ich habe mich bei meinem Chef über das neue Projekt informiert.,I informed myself about the new project from my boss.,bei,Ich habe mich _____ meinem Chef über das neue Projekt informiert.
557,10,,konzentrieren,auf,,,"Ich konzentriere mich auf meine Aufgaben, um effizienter zu arbeiten.",I focus on my tasks to work more efficiently.,auf,"Ich konzentriere mich _____ meine Aufgaben, um effizienter zu arbeiten."
558,10,,konzentrieren,auf,,,Die Mannschaft konzentriert sich auf das nächste Spiel.,The team is focusing on the next game.,auf,Die Mannschaft konzentriert sich _____ das nächste Spiel.
559,10,,leiden,an,,,Er leidet an einer chronischen Krankheit.,He suffers from a chronic illness.,an,Er leidet _____ einer chronischen Krankheit.
560,10,,leiden,an,,,Viele Menschen leiden an den Folgen des Klimawandels.,Many people suffer from the effects of climate change.,an,Viele Menschen leiden _____ den Folgen des Klimawandels.
561,10,,leiden,unter,,,Sie leidet unter der Einsamkeit nach dem Umzug.,She suffers from loneliness after the move.,unter,Sie leidet _____ der Einsamkeit nach dem Umzug.
562,10,,leiden,unter,,,Er leidet unter dem Druck bei der Arbeit.,He suffers from pressure at work.,unter,Er leidet _____ dem Druck bei der Arbeit.
563,10,,nachdenken,über,,,Ich muss noch einmal über dein Angebot nachdenken.,I need to think about your offer again.,über,Ich muss noch einmal _____ dein Angebot nachdenken.
564,10,,nachdenken,über,,,Wir denken über die besten Lösungen für dieses Problem nach.,We are thinking about the best solutions to this problem.,über,Wir denken _____ die besten Lösungen für dieses Problem nach.
565,10,,reagieren,auf,,,Wie hast du auf die Kritik reagiert?,How did you react to the criticism?,auf,Wie hast du _____ die Kritik reagiert?
566,10,,reagieren,auf,,,Sie reagierte auf die Frage mit einem Lächeln.,She responded to the question with a smile.,auf,Sie reagierte _____ die Frage mit einem Lächeln.
567,10,,rechnen,mit,,,Ich rechne mit einem Anruf von ihm.,I am expecting a call from him.,mit,Ich rechne _____ einem Anruf von ihm.
568,10,,rechnen,mit,,,Wir rechnen mit einer baldigen Entscheidung.,We are expecting a decision soon.,mit,Wir rechnen _____ einer baldigen Entscheidung.
569,10,,riechen,nach,,,Das Parfüm riecht nach Rosen.,The perfume smells like roses.,nach,Das Parfüm riecht _____ Rosen.
570,10,,riechen,nach,,,Der Raum riecht nach frischer Farbe.,The room smells like fresh paint.,nach,Der Raum riecht _____ frischer Farbe.
571,10,,schiessen,auf,,,Der Jäger schoss auf den Hirsch.,The hunter shot at the deer.,auf,Der Jäger schoss _____ den Hirsch.
572,10,,schiessen,auf,,,"Er schoss auf das Tor, aber der Ball ging vorbei.","He shot at the goal, but the ball missed.",auf,"Er schoss _____ das Tor, aber der Ball ging vorbei."
573,10,,senden,an,,,Ich habe die Bewerbung an die Personalabteilung gesendet.,I sent the application to the HR department.,an,Ich habe die Bewerbung _____ die Personalabteilung gesendet.
574,10,,senden,an,,,Sie hat eine Einladung an alle Kollegen gesendet.,She sent an invitation to all colleagues.,an,Sie hat eine Einladung _____ alle Kollegen gesendet.
575,10,,stammen,aus,,,Er stammt aus einer kleinen Stadt in Bayern.,He comes from a small town in Bavaria.,aus,Er stammt _____ einer kleinen Stadt in Bayern.
576,10,,stammen,aus,,,Das Buch stammt aus dem 18. Jahrhundert.,The book is from the 18th century.,aus,Das Buch stammt _____ dem 18. Jahrhundert.
577,10,,teilnehmen,an,,,Viele Menschen nahmen an der Demonstration teil.,Many people participated in the demonstration.,an,Viele Menschen nahmen _____ der Demonstration teil.
578,10,,teilnehmen,an,,,Er hat an einem Marathon in Berlin teilgenommen.,He participated in a marathon in Berlin.,an,Er hat _____ einem Marathon in Berlin teilgenommen.
579,10,,überzeugen,von,,,Ich habe ihn von den Vorteilen des Projekts überzeugt.,I convinced him of the benefits of the project.,von,Ich habe ihn _____ den Vorteilen des Projekts überzeugt.
580,10,,überzeugen,von,,,Sie war von der Qualität des Produkts überzeugt.,She was convinced of the quality of the product.,von,Sie war _____ der Qualität des Produkts überzeugt.
581,10,,verabschieden,von,,,Er verabschiedete sich von seinen Freunden am Bahnhof.,He said goodbye to his friends at the train station.,von,Er verabschiedete sich _____ seinen Freunden am Bahnhof.
582,10,,verabschieden,von,,,Wir haben uns herzlich von den Gastgebern verabschiedet.,We said a warm goodbye to the hosts.,von,Wir haben uns herzlich _____ den Gastgebern verabschiedet.
583,10,,verwandeln,in,,,Das Unternehmen hat sich in einen globalen Konzern verwandelt.,The company has transformed into a global corporation.,in,Das Unternehmen hat sich _____ einen globalen Konzern verwandelt.
584,10,,verwandeln,in,,,Er hat das alte Haus in ein modernes Kunstwerk verwandelt.,He transformed the old house into a modern piece of art.,in,Er hat das alte Haus _____ ein modernes Kunstwerk verwandelt.
585,10,,verzichten,auf,,,"Ich verzichte auf den Nachtisch, weil ich keinen Hunger habe.",I am skipping dessert because I am not hungry.,auf,"Ich verzichte _____ den Nachtisch, weil ich keinen Hunger habe."
586,10,,verzichten,auf,,,"Viele Menschen verzichten auf Plastik, um die Umwelt zu schützen.",Many people avoid plastic to protect the environment.,auf,"Viele Menschen verzichten _____ Plastik, um die Umwelt zu schützen."
587,10,,warnen,vor,,,Der Arzt hat ihn vor den Gefahren des Rauchens gewarnt.,The doctor warned him about the dangers of smoking.,vor,Der Arzt hat ihn _____ den Gefahren des Rauchens gewarnt.
588,10,,warnen,vor,,,Die Polizei warnt vor Betrügern im Internet.,The police warn about online scammers.,vor,Die Polizei warnt _____ Betrügern im Internet.
589,10,,wenden,an,,,Ich habe mich an die Kundenbetreuung gewendet.,I contacted customer service.,an,Ich habe mich _____ die Kundenbetreuung gewendet.
590,10,,wenden,an,,,Er wendete sich mit seiner Frage an den Professor.,He turned to the professor with his question.,an,Er wendete sich mit seiner Frage _____ den Professor.
591,10,,werben,für,,,Die Organisation wirbt für mehr Gleichberechtigung.,The organization campaigns for more equality.,für,Die Organisation wirbt _____ mehr Gleichberechtigung.
592,10,,werben,für,,,Sie wirbt für eine neue Marke im Fernsehen.,She advertises a new brand on television.,für,Sie wirbt _____ eine neue Marke im Fernsehen.
593,10,,wetten,um,,,"Er wettete um 50 Euro, dass sein Team gewinnen würde.",He bet 50 euros that his team would win.,um,"Er wettete _____ 50 Euro, dass sein Team gewinnen würde."
594,10,,wetten,um,,,Wir haben um eine Runde Getränke gewettet.,We bet on a round of drinks.,um,Wir haben _____ eine Runde Getränke gewettet.
595,10,,zielen,auf,,,Die Maßnahmen zielen auf eine Verbesserung der Lebensqualität ab.,The measures aim to improve quality of life.,auf,Die Maßnahmen zielen _____ eine Verbesserung der Lebensqualität ab.
596,10,,zielen,auf,,,Er zielte mit dem Ball direkt auf das Tor.,He aimed the ball directly at the goal.,auf,Er zielte mit dem Ball direkt _____ das Tor.
597,10,,zögern,mit,,,"Sie zögerte mit ihrer Antwort, weil sie unsicher war.",She hesitated with her answer because she was uncertain.,mit,"Sie zögerte _____ ihrer Antwort, weil sie unsicher war."
598,10,,zögern,mit,,,"Er zögert mit der Entscheidung, weil er noch mehr Informationen braucht.",He hesitates with the decision because he needs more information.,mit,"Er zögert _____ der Entscheidung, weil er noch mehr Informationen braucht."
599,10,,zweifeln,an,,,Er zweifelt an der Wahrheit der Aussagen.,He doubts the truth of the statements.,an,Er zweifelt _____ der Wahrheit der Aussagen.
600,10,,zweifeln,an,,,"Ich zweifle daran, ob wir das Ziel rechtzeitig erreichen.",I doubt whether we will reach the goal on time.,daran,"Ich zweifle _____, ob wir das Ziel rechtzeitig erreichen."
601,10,,zwingen,zu,,,Die Situation zwang uns zu einer schnellen Entscheidung.,The situation forced us to make a quick decision.,zu,Die Situation zwang uns _____ einer schnellen Entscheidung.
602,10,,zwingen,zu,,,"Er wurde dazu gezwungen, seine Meinung zu ändern.",He was forced to change his opinion.,dazu,"Er wurde _____ gezwungen, seine Meinung zu ändern."
603,11,,der Ärger,über,,the anger about,,,,
604,11,,die Freude,über,,the joy about,,,,
605,11,,das Glück,über,,the happiness about,,,,
606,11,,der Streit,über,,the argument about,,,,
607,11,,die Trauer,über,,the grief about,,,,
608,11,,die Wut,über,,the rage about,,,,
609,11,,der Bericht,über,,the report about,,,,
610,11,,die Beschwerde,über,,the complaint about,,,,
611,11,,die Debatte,über,,the debate about,,,,
612,11,,die Diskussion,über,,the discussion about,,,,
613,11,,die Information,über,,the information about,,,,
614,11,,die Rede,über,,the speech about,,,,
615,11,,das Gespräch,über,,the conversation about,,,,
616,11,,das Wissen,über,,the knowledge about,,,,
617,11,,die Angst,um,,the fear for,,,,
618,11,,das Bemühen,um,,the effort for,,,,
619,11,,die Bewerbung,um,,the application for,,,,
620,11,,die Bitte,um,,the request for,,,,
621,11,,der Kampf,um,,the fight for,,,,
622,11,,die Sorge,um,,the concern for,,,,
623,11,,das Spiel,um,,the game for,,,,
624,11,,der Streit,um,,the argument for,,,,
625,11,,die Wette,um,,the bet for,,,,
626,11,,die Antwort,auf,,the answer to,,,,
627,11,,die Bewerbung,auf,,the application to,,,,
628,11,,die Konzentration,auf,,the concentration on,,,,
629,11,,die Reaktion,auf,,the reaction to,,,,
630,11,,der Stolz,auf,,the pride in,,,,
631,11,,die Wirkung,auf,,the effect on,,,,
632,11,,die Freude,auf,,the joy for,,,,
633,11,,die Hoffnung,auf,,the hope for,,,,
634,11,,die Neugier,auf,,the curiosity about,,,,
635,11,,die Spannung,auf,,the tension about,,,,
636,11,,die Vorbereitung,auf,,the preparation for,,,,
637,11,,der Dank,für,,the thanks for,,,,
638,11,,die Entscheidung,für,,the decision for,,,,
639,11,,die Entschuldigung,für,,the apology for,,,,
640,11,,der Kampf,für,,the fight for,,,,
641,11,,die Sorge,für,,the concern for,,,,
642,11,,die Stimme,für,,the vote for,,,,
643,11,,die Verantwortung,für,,the responsibility for,,,,
644,11,,die Werbung,für,,the advertisement for,,,,
645,11,,die Entscheidung,gegen,,the decision against,,,,
646,11,,der Kampf,gegen,,the fight against,,,,
647,11,,der Protest,gegen,,the protest against,,,,
648,11,,die Demonstration,gegen,,the demonstration against,,,,
