Nr,level,german,english,type,answer,question,case,gender
568,4,Ich erinnere mich an dem Namen.,,,dem,Ich erinnere mich an _____ Namen.,dative,masculine
569,4,Er nickt dem Kopf zu.,,,dem,Er nickt _____ Kopf zu.,dative,masculine
570,4,Ich gratuliere dem Paar zur Hochzeit.,,,dem,Ich gratuliere _____ Paar zur Hochzeit.,dative,masculine
571,4,Wir helfen dem Unternehmen zu wachsen.,,,dem,Wir helfen _____ Unternehmen zu wachsen.,dative,masculine
572,4,Ich zeige dem Bild meine Freunde.,,,dem,Ich zeige _____ Bild meine Freunde.,dative,masculine
573,4,Sie gibt dem Buch eine neue Bedeutung.,,,dem,Sie gibt _____ Buch eine neue Bedeutung.,dative,masculine
574,4,Ich nähere mich den Wassern vorsichtig.,,,den,Ich nähere mich _____ Wassern vorsichtig.,dative,plural
575,4,Ich helfe dem Jahr mit einer neuen Planung.,,,dem,Ich helfe _____ Jahr mit einer neuen Planung.,dative,masculine
576,4,Er gibt dem Mal eine neue Bedeutung.,,,dem,Er gibt _____ Mal eine neue Bedeutung.,dative,masculine
577,4,Sie folgt dem Beispiel ihrer Mutter.,,,dem,Sie folgt _____ Beispiel ihrer Mutter.,dative,masculine
578,4,Ich widme der Zeit meine Aufmerksamkeit.,,,der,Ich widme _____ Zeit meine Aufmerksamkeit.,dative,feminine
579,4,Er schenkt der Frau Blumen.,,,der,Er schenkt _____ Frau Blumen.,dative,feminine
580,4,Ich vertraue dem Menschen.,,,dem,Ich vertraue _____ Menschen.,dative,masculine
581,4,Sie gibt dem Kind ein Geschenk.,,,dem,Sie gibt _____ Kind ein Geschenk.,dative,masculine
582,4,Wir widmen dem Tag eine Feier.,,,dem,Wir widmen _____ Tag eine Feier.,dative,masculine
583,4,Sie hilft dem Mann im Garten.,,,dem,Sie hilft _____ Mann im Garten.,dative,masculine
584,4,Er dient den Ländern als Soldat.,,,dem,Er dient den Ländern als Soldat.,dative,plural
585,4,Ich widme der Frage viel Zeit.,,,der,Ich widme _____ Frage viel Zeit.,dative,feminine
586,4,Wir nähern uns dem Haus langsam.,,,dem,Wir nähern uns _____ Haus langsam.,dative,masculine
587,4,Ich erzähle den Leuten eine Geschichte.,,,den,Ich erzähle _____ Leuten eine Geschichte.,dative,neuter
588,4,Er widmet der Arbeit seine ganze Kraft.,,,der,Er widmet _____ Arbeit seine ganze Kraft.,dative,feminine
589,4,Wir passen dem Prozent die Werte an.,,,dem,Wir passen _____ Prozent die Werte an.,dative,masculine
590,4,Ich gebe der Hand einen festen Druck.,,,der,Ich gebe _____ Hand einen festen Druck.,dative,feminine
591,4,Er zeigt der Stadt seine Kunst.,,,der,Er zeigt _____ Stadt seine Kunst.,dative,feminine
592,4,Ich danke dem Herrn für seine Hilfe.,,,dem,Ich danke _____ Herrn für seine Hilfe.,dative,masculine
593,4,Sie nähert sich dem Problem vorsichtig.,,,dem,Sie nähert sich _____ Problem vorsichtig.,dative,masculine
594,4,Ich schenke den Welten ein Lächeln.,,,den,Ich schenke _____ Welten ein Lächeln.,dative,plural
595,5,Ein Ende ist nah.,,,Ein,_____ Ende ist nah.,nominative,neuter
596,5,Eine Million ist viel Geld.,,,Eine,_____ Million ist viel Geld.,nominative,feminine
597,5,Eine Schule ist groß.,,,Eine,_____ Schule ist groß.,nominative,feminine
598,5,Eine Woche hat sieben Tage.,,,Eine,_____ Woche hat sieben Tage.,nominative,feminine
599,5,Ein Vater ist müde.,,,Ein,_____ Vater ist müde.,nominative,masculine
600,5,Eine Seite ist weiß.,,,Eine,_____ Seite ist weiß.,nominative,feminine
601,5,Ein Leben ist schön.,,,Ein,_____ Leben ist schön.,nominative,neuter
602,5,Eine Mutter ist nett.,,,Eine,_____ Mutter ist nett.,nominative,feminine
603,5,Ein Auge ist blau.,,,Ein,_____ Auge ist blau.,nominative,neuter
604,5,Ein Geld ist wichtig.,,,Ein,_____ Geld ist wichtig.,nominative,neuter
605,5,Ein Weg ist lang.,,,Ein,_____ Weg ist lang.,nominative,masculine
606,5,Eine Stunde dauert sechzig Minuten.,,,Eine,_____ Stunde dauert sechzig Minuten.,nominative,feminine
607,5,Ein Name ist bekannt.,,,Ein,_____ Name ist bekannt.,nominative,masculine
608,5,Ein Kopf tut weh.,,,Ein,_____ Kopf tut weh.,nominative,masculine
609,5,Ein Paar ist glücklich.,,,Ein,_____ Paar ist glücklich.,nominative,neuter
610,5,Ein Unternehmen ist groß.,,,Ein,_____ Unternehmen ist groß.,nominative,neuter
611,5,Ein Bild ist schön.,,,Ein,_____ Bild ist schön.,nominative,neuter
612,5,Ein Buch ist spannend.,,,Ein,_____ Buch ist spannend.,nominative,neuter
613,5,Eine Straße ist lang.,,,Eine,_____ Straße ist lang.,nominative,feminine
614,5,Eine Minute ist kurz.,,,Eine,_____ Minute ist kurz.,nominative,feminine
615,5,Eine Gruppe ist klein.,,,Eine,_____ Gruppe ist klein.,nominative,feminine
616,5,Ein Wert ist hoch.,,,Ein,_____ Wert ist hoch.,nominative,masculine
617,5,Ein Gesicht ist rund.,,,Ein,_____ Gesicht ist rund.,nominative,neuter
618,5,Eine Sprache ist schwer.,,,Eine,_____ Sprache ist schwer.,nominative,feminine
619,5,Ein Ort ist schön.,,,Ein,_____ Ort ist schön.,nominative,masculine
620,5,Ein Moment ist wichtig.,,,Ein,_____ Moment ist wichtig.,nominative,masculine
621,5,Ein Interesse ist groß.,,,Ein,_____ Interesse ist groß.,nominative,neuter
622,5,Eine Tür ist offen.,,,Eine,_____ Tür ist offen.,nominative,feminine
623,5,Ein Schüler ist fleißig.,,,Ein,_____ Schüler ist fleißig.,nominative,masculine
624,5,Ein Text ist lang.,,,Ein,_____ Text ist lang.,nominative,masculine
625,5,Ein Stück ist klein.,,,Ein,_____ Stück ist klein.,nominative,neuter
626,5,Eine Wohnung ist teuer.,,,Eine,_____ Wohnung ist teuer.,nominative,feminine
627,5,Ein Meter ist kurz.,,,Ein,_____ Meter ist kurz.,nominative,masculine
628,5,Ein Punkt ist klar.,,,Ein,_____ Punkt ist klar.,nominative,masculine
629,5,Eine Situation ist schwierig.,,,Eine,_____ Situation ist schwierig.,nominative,feminine
630,5,Ein Lehrer ist nett.,,,Ein,_____ Lehrer ist nett.,nominative,masculine
631,5,Eine Stelle ist wichtig.,,,Eine,_____ Stelle ist wichtig.,nominative,feminine
632,5,Eine Form ist rund.,,,Eine,_____ Form ist rund.,nominative,feminine
633,5,Ein Monat hat vier Wochen.,,,Ein,_____ Monat hat vier Wochen.,nominative,masculine
634,5,Eine Familie ist groß.,,,Eine,_____ Familie ist groß.,nominative,feminine
635,5,Ein Morgen ist schön.,,,Ein,_____ Morgen ist schön.,nominative,masculine
636,5,Ein Abend ist ruhig.,,,Ein,_____ Abend ist ruhig.,nominative,masculine
637,5,Ein Sinn ist klar.,,,Ein,_____ Sinn ist klar.,nominative,masculine
638,5,Ein Staat ist reich.,,,Ein,_____ Staat ist reich.,nominative,masculine
639,5,Ein Ziel ist weit.,,,Ein,_____ Ziel ist weit.,nominative,neuter
640,5,Ein Thema ist interessant.,,,Ein,_____ Thema ist interessant.,nominative,neuter
641,5,Eine Person ist freundlich.,,,Eine,_____ Person ist freundlich.,nominative,feminine
642,5,Eine Nacht ist dunkel.,,,Eine,_____ Nacht ist dunkel.,nominative,feminine
643,5,Ein Raum ist groß.,,,Ein,_____ Raum ist groß.,nominative,masculine
644,5,Ein Blick ist schön.,,,Ein,_____ Blick ist schön.,nominative,masculine
645,5,Ein Platz ist leer.,,,Ein,_____ Platz ist leer.,nominative,masculine
646,5,Eine Zahl ist hoch.,,,Eine,_____ Zahl ist hoch.,nominative,feminine
647,5,Eine Uhr ist kaputt.,,,Eine,_____ Uhr ist kaputt.,nominative,feminine
648,5,Ein Jahrhundert ist lang.,,,Ein,_____ Jahrhundert ist lang.,nominative,neuter
649,5,Ein Sohn ist klug.,,,Ein,_____ Sohn ist klug.,nominative,masculine
650,5,Ein Werk ist bekannt.,,,Ein,_____ Werk ist bekannt.,nominative,neuter
651,5,Eine Richtung ist richtig.,,,Eine,_____ Richtung ist richtig.,nominative,feminine
652,5,Ein Programm ist neu.,,,Ein,_____ Programm ist neu.,nominative,neuter
653,5,Eine Angst ist groß.,,,Eine,_____ Angst ist groß.,nominative,feminine
654,5,Eine Information ist wichtig.,,,Eine,_____ Information ist wichtig.,nominative,feminine
655,5,Eine Kunst ist schön.,,,Eine,_____ Kunst ist schön.,nominative,feminine
656,5,Eine Musik ist laut.,,,Eine,_____ Musik ist laut.,nominative,feminine
657,5,Ein Beruf ist spannend.,,,Ein,_____ Beruf ist spannend.,nominative,masculine
658,5,Eine Regel ist klar.,,,Eine,_____ Regel ist klar.,nominative,feminine
659,5,Ein Gott ist mächtig.,,,Ein,_____ Gott ist mächtig.,nominative,masculine
660,5,Ein Auto ist schnell.,,,Ein,_____ Auto ist schnell.,nominative,neuter
661,5,Ein Tisch ist aus Holz.,,,Ein,_____ Tisch ist aus Holz.,nominative,masculine
662,5,Ein Spiel ist spannend.,,,Ein,_____ Spiel ist spannend.,nominative,neuter
663,5,Ein Licht ist hell.,,,Ein,_____ Licht ist hell.,nominative,neuter
664,5,Ein Markt ist groß.,,,Ein,_____ Markt ist groß.,nominative,masculine
665,5,Eine Tochter ist freundlich.,,,Eine,_____ Tochter ist freundlich.,nominative,feminine
666,5,Eine Frage ist einfach.,,,Eine,_____ Frage ist einfach.,nominative,feminine
667,5,Ein Haus ist groß.,,,Ein,_____ Haus ist groß.,nominative,neuter
668,5,Eine Leute sind freundlich.,,,Eine,_____ Leute sind freundlich.,nominative,feminine
669,5,Eine Arbeit ist schwer.,,,Eine,_____ Arbeit ist schwer.,nominative,feminine
670,5,Ein Prozent ist hoch.,,,Ein,_____ Prozent ist hoch.,nominative,neuter
671,5,Eine Hand ist klein.,,,Eine,_____ Hand ist klein.,nominative,feminine
672,5,Eine Stadt ist alt.,,,Eine,_____ Stadt ist alt.,nominative,feminine
673,5,Ein Herr ist müde.,,,Ein,_____ Herr ist müde.,nominative,masculine
674,5,Ein Problem ist groß.,,,Ein,_____ Problem ist groß.,nominative,neuter
675,5,Ein Jahr haben zwölf Monate.,,,Ein,_____ Jahr haben zwölf Monate.,nominative,neuter
676,5,Ein Mal ist anders als vorher.,,,Ein,_____ Mal ist anders als vorher.,nominative,neuter
677,5,Ein Beispiel ist sehr einfach.,,,Ein,_____ Beispiel ist sehr einfach.,nominative,neuter
678,5,Eine Zeit ist knapp.,,,Eine,_____ Zeit ist knapp.,nominative,feminine
679,5,Eine Frau sind nett.,,,Eine,_____ Frau sind nett.,nominative,feminine
680,5,Ein Mensch ist intelligent.,,,Ein,_____ Mensch ist intelligent.,nominative,masculine
681,5,Ein Kind ist klein.,,,Ein,_____ Kind ist klein.,nominative,neuter
682,5,Ein Tag ist schön.,,,Ein,_____ Tag ist schön.,nominative,masculine
683,5,Ein Mann sind stark.,,,Ein,_____ Mann sind stark.,nominative,masculine
684,5,Ein Land ist groß.,,,Ein,_____ Land ist groß.,nominative,neuter
685,6,Ich sehe ein Ende des Films.,,,ein,Ich sehe _____ Ende des Films.,accusative,neuter
686,6,Er hat eine Million gewonnen.,,,eine,Er hat _____ Million gewonnen.,accusative,feminine
687,6,Wir besuchen eine Schule jeden Tag.,,,eine,Wir besuchen _____ Schule jeden Tag.,accusative,feminine
688,6,Ich plane eine Woche im Voraus.,,,eine,Ich plane _____ Woche im Voraus.,accusative,feminine
689,6,Sie ruft einen Vater an.,,,einen,Sie ruft _____ Vater an.,accusative,masculine
690,6,Ich lese eine Seite im Buch.,,,eine,Ich lese _____ Seite im Buch.,accusative,feminine
691,6,Er genießt ein Leben.,,,ein,Er genießt _____ Leben.,accusative,neuter
692,6,Wir besuchen eine Mutter am Wochenende.,,,eine,Wir besuchen _____ Mutter am Wochenende.,accusative,feminine
693,6,Sie schützt ein Auge mit einer Brille.,,,ein,Sie schützt _____ Auge mit _____er Brille.,accusative,neuter
694,6,Er spart ein Geld.,,,ein,Er spart _____ Geld.,accusative,neuter
695,6,Wir nehmen einen Weg durch den Park.,,,einen,Wir nehmen _____ Weg durch den Park.,accusative,masculine
696,6,Ich lerne eine Stunde lang.,,,eine,Ich lerne _____ Stunde lang.,accusative,feminine
697,6,Ich kenne einen Namen nicht.,,,einen,Ich kenne _____ Namen nicht.,accusative,masculine
698,6,Er hält einen Kopf hoch.,,,einen,Er hält _____ Kopf hoch.,accusative,masculine
699,6,Ich sehe ein Paar auf der Straße.,,,ein,Ich sehe _____ Paar auf der Straße.,accusative,neuter
700,6,Wir unterstützen ein Unternehmen.,,,ein,Wir unterstützen _____ Unternehmen.,accusative,neuter
701,6,Sie malt ein Bild.,,,ein,Sie malt _____ Bild.,accusative,neuter
702,6,Er liest ein Buch.,,,ein,Er liest _____ Buch.,accusative,neuter
703,6,Er findet eine Stelle interessant.,,,eine,Er findet _____ Stelle interessant.,accusative,feminine
704,6,Ich ändere eine Form des Designs.,,,eine,Ich ändere _____ Form des Designs.,accusative,feminine
705,6,Wir feiern einen Monat des Herbstes.,,,einen,Wir feiern _____ Monat des Herbstes.,accusative,masculine
706,6,Sie liebt eine Familie sehr.,,,eine,Sie liebt _____ Familie sehr.,accusative,feminine
707,6,Ich genieße einen Morgen mit Kaffee.,,,einen,Ich genieße _____ Morgen mit Kaffee.,accusative,masculine
708,6,Wir verbringen einen Abend zusammen.,,,einen,Wir verbringen _____ Abend zusammen.,accusative,masculine
709,6,Ich verstehe einen Sinn des Wortes.,,,einen,Ich verstehe _____ Sinn des Wortes.,accusative,masculine
710,6,Er kennt einen Staat gut.,,,einen,Er kennt _____ Staat gut.,accusative,masculine
711,6,Wir erreichen ein Ziel bald.,,,ein,Wir erreichen _____ Ziel bald.,accusative,neuter
712,6,Er diskutiert ein Thema im Kurs.,,,ein,Er diskutiert _____ Thema im Kurs.,accusative,neuter
713,6,Ich kenne eine Person nicht.,,,eine,Ich kenne _____ Person nicht.,accusative,feminine
714,6,Sie verbringt eine Nacht im Hotel.,,,eine,Sie verbringt _____ Nacht im Hotel.,accusative,feminine
715,6,Wir betreten einen Raum leise.,,,einen,Wir betreten _____ Raum leise.,accusative,masculine
716,6,Ich genieße einen Blick auf das Meer.,,,einen,Ich genieße _____ Blick auf das Meer.,accusative,masculine
717,6,Er reserviert einen Platz für uns.,,,einen,Er reserviert _____ Platz für uns.,accusative,masculine
718,6,Ich schreibe eine Zahl auf.,,,eine,Ich schreibe _____ Zahl auf.,accusative,feminine
719,6,Ich kaufe eine Uhr im Geschäft.,,,eine,Ich kaufe _____ Uhr im Geschäft.,accusative,feminine
720,6,Ich überquere eine Straße.,,,eine,Ich überquere _____ Straße.,accusative,feminine
721,6,Ich warte eine Minute.,,,eine,Ich warte _____ Minute.,accusative,feminine
722,6,Er sieht eine Gruppe im Park.,,,eine,Er sieht _____ Gruppe im Park.,accusative,feminine
723,6,Ich verstehe einen Wert dieser Idee.,,,einen,Ich verstehe _____ Wert dieser Idee.,accusative,masculine
724,6,Sie wäscht ein Gesicht mit Wasser.,,,ein,Sie wäscht _____ Gesicht mit Wasser.,accusative,neuter
725,6,Wir lernen eine Sprache in der Schule.,,,eine,Wir lernen _____ Sprache in der Schule.,accusative,feminine
726,6,Ich besuche einen Ort jedes Jahr.,,,einen,Ich besuche _____ Ort jedes Jahr.,accusative,masculine
727,6,Er genießt einen Moment.,,,einen,Er genießt _____ Moment.,accusative,masculine
728,6,Ich habe ein Interesse an diesem Thema.,,,ein,Ich habe _____ Interesse an diesem Thema.,accusative,neuter
729,6,Sie öffnet eine Tür.,,,eine,Sie öffnet _____ Tür.,accusative,feminine
730,6,Der Lehrer hilft einen Schüler.,,,einen,Der Lehrer hilft _____ Schüler.,accusative,masculine
731,6,Ich lese einen Text im Buch.,,,einen,Ich lese _____ Text im Buch.,accusative,masculine
732,6,Er isst ein Stück Kuchen.,,,ein,Er isst _____ Stück Kuchen.,accusative,neuter
733,6,Wir mieten eine Wohnung.,,,eine,Wir mieten _____ Wohnung.,accusative,feminine
734,6,Er misst einen Meter mit dem Lineal.,,,einen,Er misst _____ Meter mit dem Lineal.,accusative,masculine
735,6,Ich setze einen Punkt am Ende des Satzes.,,,einen,Ich setze _____ Punkt am Ende des Satzes.,accusative,masculine
736,6,Sie erklärt eine Situation.,,,eine,Sie erklärt _____ Situation.,accusative,feminine
737,6,Ich sehe einen Lehrer in der Schule.,,,einen,Ich sehe _____ Lehrer in der Schule.,accusative,masculine
738,6,Ich studiere ein Jahrhundert der Geschichte.,,,ein,Ich studiere _____ Jahrhundert der Geschichte.,accusative,neuter
739,6,Sie sieht einen Sohn im Garten.,,,einen,Sie sieht _____ Sohn im Garten.,accusative,masculine
740,6,Er kennt ein Werk des Künstlers.,,,ein,Er kennt _____ Werk des Künstlers.,accusative,neuter
741,6,Wir nehmen eine Richtung nach Süden.,,,eine,Wir nehmen _____ Richtung nach Süden.,accusative,feminine
742,6,Ich installiere ein Programm auf dem Computer.,,,ein,Ich installiere _____ Programm auf dem Computer.,accusative,neuter
743,6,Er fühlt eine Angst in seinem Herzen.,,,eine,Er fühlt _____ Angst in s_____m Herzen.,accusative,feminine
744,6,Sie sucht eine Information online.,,,eine,Sie sucht _____ Information online.,accusative,feminine
745,6,Wir bewundern eine Kunst im Museum.,,,eine,Wir bewundern _____ Kunst im Museum.,accusative,feminine
746,6,Er hört eine Musik im Radio.,,,eine,Er hört _____ Musik im Radio.,accusative,feminine
747,6,Ich lerne einen Beruf in der Ausbildung.,,,einen,Ich lerne _____ Beruf in der Ausbildung.,accusative,masculine
748,6,Wir befolgen eine Regel in der Schule.,,,eine,Wir befolgen _____ Regel in der Schule.,accusative,feminine
749,6,Er verehrt einen Gott seiner Religion.,,,einen,Er verehrt _____ Gott seiner Religion.,accusative,masculine
750,6,Er fährt ein Auto zur Arbeit.,,,ein,Er fährt _____ Auto zur Arbeit.,accusative,neuter
751,6,Sie deckt einen Tisch für das Abendessen.,,,einen,Sie deckt _____ Tisch für das Abendessen.,accusative,masculine
752,6,Ich spiele ein Spiel mit meinen Freunden.,,,ein,Ich spiele _____ Spiel mit m_____en Freunden.,accusative,neuter
753,6,Er schaltet ein Licht aus.,,,ein,Er schaltet _____ Licht aus.,accusative,neuter
754,6,Sie besucht einen Markt jeden Samstag.,,,einen,Sie besucht _____ Markt jeden Samstag.,accusative,masculine
755,6,Er liebt eine Tochter sehr.,,,eine,Er liebt _____ Tochter sehr.,accusative,feminine
756,6,Ich sehe ein Jahr auf dem Kalender.,,,ein,Ich sehe _____ Jahr auf dem Kalender.,accusative,neuter
757,6,Ich erinnere mich an ein Mal.,,,ein,Ich erinnere mich an _____ Mal.,accusative,neuter
758,6,Er gibt ein Beispiel im Unterricht.,,,ein,Er gibt _____ Beispiel im Unterricht.,accusative,neuter
759,6,Wir brauchen eine Zeit für das Projekt.,,,eine,Wir brauchen _____ Zeit für das Projekt.,accusative,feminine
760,6,Er kennt eine Frau gut.,,,eine,Er kennt _____ Frau gut.,accusative,feminine
761,6,Ich treffe einen Menschen im Park.,,,einen,Ich treffe _____ Menschen im Park.,accusative,masculine
762,6,Sie liebt ein Kind sehr.,,,ein,Sie liebt _____ Kind sehr.,accusative,neuter
763,6,Wir genießen einen Tag am Strand.,,,einen,Wir genießen _____ Tag am Strand.,accusative,masculine
764,6,Sie sieht einen Mann im Restaurant.,,,einen,Sie sieht _____ Mann im Restaurant.,accusative,masculine
765,6,Er beantwortet eine Frage richtig.,,,eine,Er beantwortet _____ Frage richtig.,accusative,feminine
766,6,Sie kauft ein Haus in der Stadt.,,,ein,Sie kauft _____ Haus in der Stadt.,accusative,neuter
767,6,Ich treffe eine Leute am Bahnhof.,,,eine,Ich treffe _____ Leute am Bahnhof.,accusative,feminine
768,6,Sie erledigt eine Arbeit schnell.,,,eine,Sie erledigt _____ Arbeit schnell.,accusative,feminine
769,6,Ich berechne ein Prozent.,,,ein,Ich berechne _____ Prozent.,accusative,neuter
770,6,Er hält eine Hand seines Freundes.,,,eine,Er hält _____ Hand s_____s Freundes.,accusative,feminine
771,6,Wir besuchen eine Stadt am Wochenende.,,,eine,Wir besuchen _____ Stadt am Wochenende.,accusative,feminine
772,6,Ich rufe einen Herrn am Telefon an.,,,einen,Ich rufe _____ Herrn am Telefon an.,accusative,masculine
773,6,Sie löst ein Problem leicht.,,,ein,Sie löst _____ Problem leicht.,accusative,neuter
774,7,Er widmet sich einem Jahrhundert der Geschichte.,,,einem,Er widmet sich _____ Jahrhundert der Geschichte.,dative,masculine
775,7,Sie gibt einem Sohn ein Geschenk.,,,einem,Sie gibt _____ Sohn ein Geschenk.,dative,masculine
776,7,Er vertraut einem Werk des Künstlers.,,,einem,Er vertraut _____ Werk des Künstlers.,dative,masculine
777,7,Ich folge einer Richtung des Weges.,,,einer,Ich folge _____ Richtung des Weges.,dative,feminine
778,7,Ich helfe einem Programm bei der Installation.,,,einem,Ich helfe _____ Programm bei der Installation.,dative,masculine
779,7,Er stellt sich einer Angst.,,,einer,Er stellt sich _____ Angst.,dative,feminine
780,7,Sie folgt einer Information auf der Website.,,,einer,Sie folgt _____ Information auf der Website.,dative,feminine
781,7,Wir danken einer Kunst für ihre Schönheit.,,,einer,Wir danken _____ Kunst für ihre Schönheit.,dative,feminine
782,7,Er lauscht einer Musik.,,,einer,Er lauscht _____ Musik.,dative,feminine
783,7,Ich widme mich einem Beruf.,,,einem,Ich widme mich _____ Beruf.,dative,masculine
784,7,Wir folgen einer Regel in der Schule.,,,einer,Wir folgen _____ Regel in der Schule.,dative,feminine
785,7,Er glaubt einem Gott seiner Religion.,,,einem,Er glaubt _____ Gott seiner Religion.,dative,masculine
786,7,Ich nähere mich einem Auto.,,,einem,Ich nähere mich _____ Auto.,dative,masculine
787,7,Er gibt einem Tisch eine neue Farbe.,,,einem,Er gibt _____ Tisch eine neue Farbe.,dative,masculine
788,7,Ich folge einem Spiel mit Spannung.,,,einem,Ich folge _____ Spiel mit Spannung.,dative,masculine
789,7,Er nähert sich einem Licht am Ende des Tunnels.,,,einem,Er nähert sich _____ Licht am Ende des Tunnels.,dative,masculine
790,7,Sie hilft einem Markt mit Werbung.,,,einem,Sie hilft _____ Markt mit Werbung.,dative,masculine
791,7,Er schenkt einer Tochter eine Puppe.,,,einer,Er schenkt _____ Tochter eine Puppe.,dative,feminine
792,7,Ich folge einer Straße bis zum Park.,,,einer,Ich folge _____ Straße bis zum Park.,dative,feminine
793,7,Ich widme einer Minute meine volle Aufmerksamkeit.,,,einer,Ich widme _____ Minute meine volle Aufmerksamkeit.,dative,feminine
794,7,Er hilft einer Gruppe mit den Aufgaben.,,,einer,Er hilft _____ Gruppe mit den Aufgaben.,dative,feminine
795,7,Ich vertraue einem Wert dieser Information.,,,einem,Ich vertraue _____ Wert dieser Information.,dative,masculine
796,7,Sie wendet sich einem Gesicht zu.,,,einem,Sie wendet sich _____ Gesicht zu.,dative,masculine
797,7,Wir danken einer Sprache für ihre Schönheit.,,,einer,Wir danken _____ Sprache für ihre Schönheit.,dative,feminine
798,7,Ich nähere mich einem Ort langsam.,,,einem,Ich nähere mich _____ Ort langsam.,dative,masculine
799,7,Er erinnert sich an einem Moment.,,,einem,Er erinnert sich an _____ Moment.,dative,masculine
800,7,Sie folgt einem Interesse des Publikums.,,,einem,Sie folgt _____ Interesse des Publikums.,dative,masculine
801,7,Ich stehe einer Tür gegenüber.,,,einer,Ich stehe _____ Tür gegenüber.,dative,feminine
802,7,Der Lehrer hilft einem Schüler.,,,einem,Der Lehrer hilft _____ Schüler.,dative,masculine
803,7,Ich folge einem Text im Buch.,,,einem,Ich folge _____ Text im Buch.,dative,masculine
804,7,Er gibt einem Stück eine neue Interpretation.,,,einem,Er gibt _____ Stück eine neue Interpretation.,dative,masculine
805,7,Wir helfen einer Wohnungssuche.,,,einer,Wir helfen _____ Wohnungssuche.,dative,feminine
806,7,Er misst einem Meter mit dem Lineal.,,,einem,Er misst _____ Meter mit dem Lineal.,dative,masculine
807,7,Ich nähere mich einem Punkt im Text.,,,einem,Ich nähere mich _____ Punkt im Text.,dative,masculine
808,7,Ich passe mich einer Situation an.,,,einer,Ich passe mich _____ Situation an.,dative,feminine
809,7,Ich danke einem Lehrer für die Hilfe.,,,einem,Ich danke _____ Lehrer für die Hilfe.,dative,masculine
810,7,Er hilft einer Stelle mit neuen Ideen.,,,einer,Er hilft _____ Stelle mit neuen Ideen.,dative,feminine
811,7,Ich passe einer Form an.,,,einer,Ich passe _____ Form an.,dative,feminine
812,7,Wir widmen einem Monat besondere Bedeutung.,,,einem,Wir widmen _____ Monat besondere Bedeutung.,dative,masculine
813,7,Sie hilft einer Familie oft.,,,einer,Sie hilft _____ Familie oft.,dative,feminine
814,7,Ich genieße einem Morgen mit einem Kaffee.,,,einem,Ich genieße _____ Morgen mit _____ Kaffee.,dative,masculine
815,7,Wir danken einem Abend für die Ruhe.,,,einem,Wir danken _____ Abend für die Ruhe.,dative,masculine
816,7,Ich vertraue einem Sinn seiner Worte.,,,einem,Ich vertraue _____ Sinn seiner Worte.,dative,masculine
817,7,Er dient einem Staat als Beamter.,,,einem,Er dient _____ Staat als Beamter.,dative,masculine
818,7,Sie nähert sich einem Ziel langsam.,,,einem,Sie nähert sich _____ Ziel langsam.,dative,masculine
819,7,Wir bleiben einem Thema treu.,,,einem,Wir bleiben _____ Thema treu.,dative,masculine
820,7,Ich danke einer Person für ihre Hilfe.,,,einer,Ich danke _____ Person für ihre Hilfe.,dative,feminine
821,7,Er widmet sich einer Nacht und den Sternen.,,,einer,Er widmet sich _____ Nacht und den Sternen.,dative,feminine
822,7,Ich gebe einem Raum eine neue Farbe.,,,einem,Ich gebe _____ Raum eine neue Farbe.,dative,masculine
823,7,Sie folgt einem Blick des Fotografen.,,,einem,Sie folgt _____ Blick des Fotografen.,dative,masculine
824,7,Er nähert sich einem Platz vorsichtig.,,,einem,Er nähert sich _____ Platz vorsichtig.,dative,masculine
825,7,Ich vertraue einer Zahl auf dem Formular.,,,einer,Ich vertraue _____ Zahl auf dem Formular.,dative,feminine
826,7,Ich glaube einer Uhr nicht.,,,einer,Ich glaube _____ Uhr nicht.,dative,feminine
827,7,Ich sehe einem Ende des Films entgegen.,,,einem,Ich sehe _____ Ende des Films entgegen.,dative,masculine
828,7,Er vertraut einer Million an der Börse.,,,einer,Er vertraut _____ Million an der Börse.,dative,feminine
829,7,Wir helfen einer Schule mit Spenden.,,,einer,Wir helfen _____ Schule mit Spenden.,dative,feminine
830,7,Ich widme einer Woche meine Zeit.,,,einer,Ich widme _____ Woche meine Zeit.,dative,feminine
831,7,Sie gibt einem Vater ein Geschenk.,,,einem,Sie gibt _____ Vater ein Geschenk.,dative,masculine
832,7,Ich folge einer Seite im Buch.,,,einer,Ich folge _____ Seite im Buch.,dative,feminine
833,7,Er dankt einem Leben für seine Erfahrungen.,,,einem,Er dankt _____ Leben für seine Erfahrungen.,dative,masculine
834,7,Wir helfen einer Mutter im Haushalt.,,,einer,Wir helfen _____ Mutter im Haushalt.,dative,feminine
835,7,Sie schützt einem Auge mit einer Brille.,,,einem,Sie schützt _____ Auge mit einer Brille.,dative,masculine
836,7,Er vertraut einem Geld nicht.,,,einem,Er vertraut _____ Geld nicht.,dative,masculine
837,7,Ich folge einem Weg zum See.,,,einem,Ich folge _____ Weg zum See.,dative,masculine
838,7,Ich widme einer Stunde meine volle Konzentration.,,,einer,Ich widme _____ Stunde meine volle Konzentration.,dative,feminine
839,7,Ich erinnere mich an einem Namen.,,,einem,Ich erinnere mich an _____ Namen.,dative,masculine
840,7,Er nickt einem Kopf zu.,,,einem,Er nickt _____ Kopf zu.,dative,masculine
