Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,explanation_english,explanation_french,case,bedeutung
180,8,"Statt ständig Kritik zu _____, könnte er auch einmal anerkennen, was gut läuft.",üben,Kritik üben,"Statt ständig Kritik zu üben, könnte er auch einmal anerkennen, was gut läuft.","Instead of constantly criticizing, he could also acknowledge what is going well.","Au lieu de critiquer tout le temps, il pourrait aussi reconnaître ce qui fonctionne bien.",,,Kritik üben = to criticize,Kritik üben = critiquer,,
181,9,_____ abschließen,ein Studium,ein Studium abschließen,ein Studium abschließen,to graduate from university,terminer un cursus d'études,Neuter,Neutre,ein Studium abschließen = to graduate from university,ein Studium abschließen = terminer un cursus d'études,,
182,9,_____ besuchen,einen Kurs,einen Kurs besuchen,einen Kurs besuchen,to attend a course,"assister à un cours, suivre un course",Masculine,Masculin,einen Kurs besuchen = to attend a course,"einen Kurs besuchen = assister à un cours, suivre un course",,
183,9,_____ sammeln,Erfahrung,Erfahrung sammeln,Erfahrung sammeln,to gain experience,acquérir de l'expérience,Feminine,Féminin,Erfahrung sammeln = to gain experience,Erfahrung sammeln = acquérir de l'expérience,,
184,9,_____ verfügen,über Kenntnisse,über Kenntnisse verfügen,über Kenntnisse verfügen,to know,"savoir, avoir des connaissances",Feminine,Féminin,über Kenntnisse verfügen = to know,"über Kenntnisse verfügen = savoir, avoir des connaissances",,
185,9,_____ treffen,Maßnahmen,"Maßnahmen treffen, Maßnahmen ergreifen","Maßnahmen treffen, Maßnahmen ergreifen","to do something, to take action, to take measures","agir, prendre des mesures",Plural,Pluriel,"Maßnahmen treffen, Maßnahmen ergreifen = to do something, to take action, to take measures","Maßnahmen treffen, Maßnahmen ergreifen = agir, prendre des mesures",,
186,9,_____ kommen,in Frage,in Frage kommen,in Frage kommen,"to be a possibility, to come into question","être éligible, être pris en considération",Feminine,Féminin,"in Frage kommen = to be a possibility, to come into question","in Frage kommen = être éligible, être pris en considération",,
187,9,_____ stellen,in Frage,in Frage stellen,in Frage stellen,"to question, to challenge, to come into question","remettre en question, mettre en cause, contester",Feminine,Féminin,"in Frage stellen = to question, to challenge, to come into question","in Frage stellen = remettre en question, mettre en cause, contester",,
188,9,_____ haben,Zweifel,"Zweifel haben, Zweifel hegen","Zweifel haben, Zweifel hegen","to doubt, to have doubts","douter, avoir des doutes",Masculine,Masculin,"Zweifel haben, Zweifel hegen = to doubt, to have doubts","Zweifel haben, Zweifel hegen = douter, avoir des doutes",,
189,9,_____ setzen,in Gang,in Gang setzen,in Gang setzen,"to initiate, to get something going, to set in motion (actively)",mettre en marche (activement),Masculine,Masculin,"in Gang setzen = to initiate, to get something going, to set in motion (actively)",in Gang setzen = mettre en marche (activement),,
190,9,_____ kommen,in Gang,in Gang kommen,in Gang kommen,"to get going, to get started (passively)",être mis en route (passivement),Masculine,Masculin,"in Gang kommen = to get going, to get started (passively)",in Gang kommen = être mis en route (passivement),,
191,9,_____ wissen,Bescheid,Bescheid wissen,Bescheid wissen,to be in the know,être au courant,Masculine,Masculin,Bescheid wissen = to be in the know,Bescheid wissen = être au courant,über + Akk.,etw. wissen / informiert sein
192,9,_____ nehmen,Abschied,Abschied nehmen,Abschied nehmen,to say goodbye,dire au revoir,Masculine,Masculin,Abschied nehmen = to say goodbye,Abschied nehmen = dire au revoir,von + Dat.,sich verabschieden
193,9,_____ aufgeben ,Hoffnung,Hoffnung aufgeben ,Hoffnung aufgeben ,to give up hope,predre espoir,Feminine,Féminin,Hoffnung aufgeben  = to give up hope,Hoffnung aufgeben  = predre espoir,,
194,9,_____ sein,in Gefahr,in Gefahr sein,in Gefahr sein,to be in danger,être en danger,Feminine,Féminin,in Gefahr sein = to be in danger,in Gefahr sein = être en danger,,
195,9,_____ bringen,unter Kontrolle,unter Kontrolle bringen,unter Kontrolle bringen,to bring under control,"maîtriser, mettre sous contrôle, prendre le contrôle",Feminine,Féminin,unter Kontrolle bringen = to bring under control,"unter Kontrolle bringen = maîtriser, mettre sous contrôle, prendre le contrôle",,kontrollieren
196,10,ein Studium _____,abschließen,ein Studium abschließen,ein Studium abschließen,to graduate from university,terminer un cursus d'études,,,ein Studium abschließen = to graduate from university,ein Studium abschließen = terminer un cursus d'études,,
197,10,einen Kurs _____,besuchen,einen Kurs besuchen,einen Kurs besuchen,to attend a course,"assister à un cours, suivre un course",,,einen Kurs besuchen = to attend a course,"einen Kurs besuchen = assister à un cours, suivre un course",,
198,10,Erfahrung _____,sammeln,Erfahrung sammeln,Erfahrung sammeln,to gain experience,acquérir de l'expérience,,,Erfahrung sammeln = to gain experience,Erfahrung sammeln = acquérir de l'expérience,,
199,10,über Kenntnisse _____,verfügen,über Kenntnisse verfügen,über Kenntnisse verfügen,to know,"savoir, avoir des connaissances",,,über Kenntnisse verfügen = to know,"über Kenntnisse verfügen = savoir, avoir des connaissances",,
200,10,Maßnahmen _____,treffen/ergreifen,"Maßnahmen treffen, Maßnahmen ergreifen","Maßnahmen treffen, Maßnahmen ergreifen","to do something, to take action, to take measures","agir, prendre des mesures",,,"Maßnahmen treffen, Maßnahmen ergreifen = to do something, to take action, to take measures","Maßnahmen treffen, Maßnahmen ergreifen = agir, prendre des mesures",,
201,10,in Frage _____,kommen,in Frage kommen,in Frage kommen,"to be a possibility, to come into question","être éligible, être pris en considération",,,"in Frage kommen = to be a possibility, to come into question","in Frage kommen = être éligible, être pris en considération",,
202,10,in Frage _____,stellen,in Frage stellen,in Frage stellen,"to question, to challenge, to come into question","remettre en question, mettre en cause, contester",,,"in Frage stellen = to question, to challenge, to come into question","in Frage stellen = remettre en question, mettre en cause, contester",,
203,10,Zweifel _____,haben/hegen,"Zweifel haben, Zweifel hegen","Zweifel haben, Zweifel hegen","to doubt, to have doubts","douter, avoir des doutes",,,"Zweifel haben, Zweifel hegen = to doubt, to have doubts","Zweifel haben, Zweifel hegen = douter, avoir des doutes",,
204,10,in Gang _____,setzen,in Gang setzen,in Gang setzen,"to initiate, to get something going, to set in motion (actively)",mettre en marche (activement),,,"in Gang setzen = to initiate, to get something going, to set in motion (actively)",in Gang setzen = mettre en marche (activement),,
205,10,in Gang _____,kommen,in Gang kommen,in Gang kommen,"to get going, to get started (passively)",être mis en route (passivement),,,"in Gang kommen = to get going, to get started (passively)",in Gang kommen = être mis en route (passivement),,
206,10,Bescheid _____,wissen,Bescheid wissen,Bescheid wissen,to be in the know,être au courant,,,Bescheid wissen = to be in the know,Bescheid wissen = être au courant,über + Akk.,etw. wissen / informiert sein
207,10,Abschied _____,nehmen,Abschied nehmen,Abschied nehmen,to say goodbye,dire au revoir,,,Abschied nehmen = to say goodbye,Abschied nehmen = dire au revoir,von + Dat.,sich verabschieden
208,10,Hoffnung _____ ,aufgeben,Hoffnung aufgeben ,Hoffnung aufgeben ,to give up hope,predre espoir,,,Hoffnung aufgeben  = to give up hope,Hoffnung aufgeben  = predre espoir,,
209,10,in Gefahr _____,sein,in Gefahr sein,in Gefahr sein,to be in danger,être en danger,,,in Gefahr sein = to be in danger,in Gefahr sein = être en danger,,
210,10,unter Kontrolle _____,bringen,unter Kontrolle bringen,unter Kontrolle bringen,to bring under control,"maîtriser, mettre sous contrôle, prendre le contrôle",,,unter Kontrolle bringen = to bring under control,"unter Kontrolle bringen = maîtriser, mettre sous contrôle, prendre le contrôle",,
211,11,Sie möchte ihr _____ nächstes Jahr abschließen und danach im Ausland arbeiten.,Studium,ein Studium abschließen,Sie möchte ihr Studium nächstes Jahr abschließen und danach im Ausland arbeiten.,She wants to finish her studies next year and then work abroad.,Elle veut terminer ses études l’année prochaine et ensuite travailler à l’étranger.,,,ein Studium abschließen = to graduate from university,ein Studium abschließen = terminer un cursus d'études,,
212,11,"Nachdem er sein _____ abgeschlossen hatte, fand er schnell eine Stelle in einer internationalen Firma.",Studium,ein Studium abschließen,"Nachdem er sein Studium abgeschlossen hatte, fand er schnell eine Stelle in einer internationalen Firma.","After he finished his studies, he quickly found a job at an international company.","Après avoir terminé ses études, il a rapidement trouvé un poste dans une entreprise internationale.",,,ein Studium abschließen = to graduate from university,ein Studium abschließen = terminer un cursus d'études,,
213,11,"Ich habe beschlossen, einen _____ zu besuchen, um meine Präsentationsfähigkeiten zu verbessern.",Kurs,einen Kurs besuchen,"Ich habe beschlossen, einen Kurs zu besuchen, um meine Präsentationsfähigkeiten zu verbessern.",I decided to attend a course to improve my presentation skills.,J’ai décidé de suivre un cours pour améliorer mes compétences en présentation.,,,einen Kurs besuchen = to attend a course,"einen Kurs besuchen = assister à un cours, suivre un course",,
214,11,"Viele Mitarbeiter besuchen regelmäßig _____, damit sie beruflich auf dem neuesten Stand bleiben.",Kurse,einen Kurs besuchen,"Viele Mitarbeiter besuchen regelmäßig Kurse, damit sie beruflich auf dem neuesten Stand bleiben.",Many employees regularly attend courses so they can stay up to date professionally.,Beaucoup d’employés suivent régulièrement des cours pour rester à jour professionnellement.,,,einen Kurs besuchen = to attend a course,"einen Kurs besuchen = assister à un cours, suivre un course",,
215,11,Während meines Praktikums im Ausland konnte ich wertvolle _____ sammeln.,Erfahrung,Erfahrung sammeln,Während meines Praktikums im Ausland konnte ich wertvolle Erfahrung sammeln.,"During my internship abroad, I was able to gain valuable experience.","Pendant mon stage à l’étranger, j’ai pu acquérir une expérience précieuse.",,,Erfahrung sammeln = to gain experience,Erfahrung sammeln = acquérir de l'expérience,,
216,11,"Viele junge Menschen arbeiten freiwillig in sozialen Projekten, um erste _____ zu sammeln.",Erfahrung,Erfahrung sammeln,"Viele junge Menschen arbeiten freiwillig in sozialen Projekten, um erste Erfahrung zu sammeln.",Many young people work voluntarily in social projects to gain initial experience.,Beaucoup de jeunes travaillent bénévolement dans des projets sociaux pour acquérir leurs premières expériences.,,,Erfahrung sammeln = to gain experience,Erfahrung sammeln = acquérir de l'expérience,,
217,11,"Um das Projekt erfolgreich zu leiten, sollte man _____ im Projektmanagement verfügen.",über Kenntnisse,über Kenntnisse verfügen,"Um das Projekt erfolgreich zu leiten, sollte man über Kenntnisse im Projektmanagement verfügen.","To successfully lead the project, one should have knowledge in project management.","Pour diriger le projet avec succès, il faut posséder des connaissances en gestion de projet.",,,über Kenntnisse verfügen = to know,"über Kenntnisse verfügen = savoir, avoir des connaissances",,
218,11,Sie verfügt über umfangreiche _____ im Bereich Marketing und Kommunikation.,Kenntnisse,über Kenntnisse verfügen,Sie verfügt über umfangreiche Kenntnisse im Bereich Marketing und Kommunikation.,She has extensive knowledge in the field of marketing and communication.,Elle possède des connaissances approfondies en marketing et communication.,,,über Kenntnisse verfügen = to know,"über Kenntnisse verfügen = savoir, avoir des connaissances",,
219,11,"Die Regierung muss dringend _____ treffen, um die steigenden Mieten zu kontrollieren.",Maßnahmen,"Maßnahmen treffen, Maßnahmen ergreifen","Die Regierung muss dringend Maßnahmen treffen, um die steigenden Mieten zu kontrollieren.",The government urgently needs to take measures to control rising rents.,Le gouvernement doit prendre d’urgence des mesures pour contrôler la hausse des loyers.,,,"Maßnahmen treffen, Maßnahmen ergreifen = to do something, to take action, to take measures","Maßnahmen treffen, Maßnahmen ergreifen = agir, prendre des mesures",,
220,11,"Das Unternehmen hat sofort _____ getroffen, nachdem ein Sicherheitsproblem entdeckt wurde.",Maßnahmen,"Maßnahmen treffen, Maßnahmen ergreifen","Das Unternehmen hat sofort Maßnahmen getroffen, nachdem ein Sicherheitsproblem entdeckt wurde.",The company immediately took action after a security issue was discovered.,L’entreprise a pris des mesures immédiatement après qu’un problème de sécurité a été découvert.,,,"Maßnahmen treffen, Maßnahmen ergreifen = to do something, to take action, to take measures","Maßnahmen treffen, Maßnahmen ergreifen = agir, prendre des mesures",,
221,11,"Für die Stelle kommt nur jemand _____, der bereits Berufserfahrung hat.",in Frage,in Frage kommen,"Für die Stelle kommt nur jemand in Frage, der bereits Berufserfahrung hat.",Only someone who already has professional experience is eligible for the position.,"Pour le poste, seule une personne ayant déjà de l’expérience professionnelle peut être envisagée.",,,"in Frage kommen = to be a possibility, to come into question","in Frage kommen = être éligible, être pris en considération",,
222,11,Ein Umzug ins Ausland kommt für ihn im Moment überhaupt nicht _____.,in Frage,in Frage kommen,Ein Umzug ins Ausland kommt für ihn im Moment überhaupt nicht in Frage.,Moving abroad is completely out of the question for him at the moment.,Un déménagement à l’étranger n’est absolument pas envisageable pour lui en ce moment.,,,"in Frage kommen = to be a possibility, to come into question","in Frage kommen = être éligible, être pris en considération",,
223,11,Nach dem Skandal wurde die Glaubwürdigkeit des Unternehmens stark _____ gestellt.,in Frage,in Frage stellen,Nach dem Skandal wurde die Glaubwürdigkeit des Unternehmens stark in Frage gestellt.,"After the scandal, the company’s credibility was seriously called into question.","Après le scandale, la crédibilité de l’entreprise a été fortement remise en question.",,,"in Frage stellen = to question, to challenge, to come into question","in Frage stellen = remettre en question, mettre en cause, contester",,
224,11,"Manche Experten stellen _____, ob die Reform tatsächlich notwendig ist.",in Frage,in Frage stellen,"Manche Experten stellen in Frage, ob die Reform tatsächlich notwendig ist.",Some experts question whether the reform is actually necessary.,Certains experts remettent en question si la réforme est réellement nécessaire.,,,"in Frage stellen = to question, to challenge, to come into question","in Frage stellen = remettre en question, mettre en cause, contester",,
225,11,"Viele Menschen haben _____, ob die neuen Maßnahmen wirklich funktionieren werden.",Zweifel,"Zweifel haben, Zweifel hegen","Viele Menschen haben Zweifel, ob die neuen Maßnahmen wirklich funktionieren werden.",Many people have doubts about whether the new measures will really work.,Beaucoup de gens ont des doutes sur l’efficacité des nouvelles mesures.,,,"Zweifel haben, Zweifel hegen = to doubt, to have doubts","Zweifel haben, Zweifel hegen = douter, avoir des doutes",,
226,11,"Ich habe große _____, dass er die Wahrheit sagt.",Zweifel,"Zweifel haben, Zweifel hegen","Ich habe große Zweifel, dass er die Wahrheit sagt.",I have serious doubts that he is telling the truth.,J’ai de gros doutes sur le fait qu’il dise la vérité.,,,"Zweifel haben, Zweifel hegen = to doubt, to have doubts","Zweifel haben, Zweifel hegen = douter, avoir des doutes",,
227,11,"Die Regierung hat eine Kampagne _____ gesetzt, um mehr junge Leute für technische Berufe zu gewinnen.",in Gang,in Gang setzen,"Die Regierung hat eine Kampagne in Gang gesetzt, um mehr junge Leute für technische Berufe zu gewinnen.",The government launched a campaign to attract more young people to technical professions.,Le gouvernement a lancé une campagne pour attirer davantage de jeunes vers les métiers techniques.,,,"in Gang setzen = to initiate, to get something going, to set in motion (actively)",in Gang setzen = mettre en marche (activement),,
228,11,"Der Chef hat den Prozess _____ gesetzt, indem er die ersten Aufgaben verteilt hat.",in Gang,in Gang setzen,"Der Chef hat den Prozess in Gang gesetzt, indem er die ersten Aufgaben verteilt hat.",The boss set the process in motion by assigning the first tasks.,Le patron a mis le processus en marche en répartissant les premières tâches.,,,"in Gang setzen = to initiate, to get something going, to set in motion (actively)",in Gang setzen = mettre en marche (activement),,
229,11,"Das Gespräch kam erst richtig _____, nachdem alle sich etwas besser kennengelernt hatten.",in Gang,in Gang kommen,"Das Gespräch kam erst richtig in Gang, nachdem alle sich etwas besser kennengelernt hatten.",The conversation only really got going after everyone had gotten to know each other a bit better.,La conversation n’a vraiment démarré qu’après que tout le monde a appris à mieux se connaître.,,,"in Gang kommen = to get going, to get started (passively)",in Gang kommen = être mis en route (passivement),,
230,11,Nach dem Winter kommen die Bauarbeiten endlich wieder _____.,in Gang,in Gang kommen,Nach dem Winter kommen die Bauarbeiten endlich wieder in Gang.,"After the winter, the construction work is finally starting up again.","Après l’hiver, les travaux reprennent enfin.",,,"in Gang kommen = to get going, to get started (passively)",in Gang kommen = être mis en route (passivement),,
231,11,"Ich wollte nur kurz nachfragen, damit ich _____ weiß, wie es weitergeht.",Bescheid,Bescheid wissen,"Ich wollte nur kurz nachfragen, damit ich Bescheid weiß, wie es weitergeht.",I just wanted to check quickly so I know how things will continue.,Je voulais juste demander rapidement pour savoir comment la suite va se passer.,,,Bescheid wissen = to be in the know,Bescheid wissen = être au courant,,
232,11,"Wenn du über die Regeln _____ weißt, kannst du sicher teilnehmen.",Bescheid,Bescheid wissen,"Wenn du über die Regeln Bescheid weißt, kannst du sicher teilnehmen.","If you know the rules, you can take part safely.","Si tu connais les règles, tu peux participer en toute sécurité.",,,Bescheid wissen = to be in the know,Bescheid wissen = être au courant,,
233,11,Am Bahnhof nahm sie schweren Herzens _____ von ihrer Familie.,Abschied,Abschied nehmen,Am Bahnhof nahm sie schweren Herzens Abschied von ihrer Familie.,"At the train station, she sadly said goodbye to her family.","À la gare, elle a pris congé de sa famille le cœur lourd.",,,Abschied nehmen = to say goodbye,Abschied nehmen = dire au revoir,,
234,11,Nach zehn Jahren im Unternehmen nahm er offiziell _____ von seinen Kollegen.,Abschied,Abschied nehmen,Nach zehn Jahren im Unternehmen nahm er offiziell Abschied von seinen Kollegen.,"After ten years at the company, he officially said farewell to his colleagues.","Après dix ans dans l’entreprise, il a officiellement fait ses adieux à ses collègues.",,,Abschied nehmen = to say goodbye,Abschied nehmen = dire au revoir,,
235,11,Trotz vieler Rückschläge hat sie die _____ nie aufgegeben.,Hoffnung,Hoffnung aufgeben ,Trotz vieler Rückschläge hat sie die Hoffnung nie aufgegeben.,"Despite many setbacks, she never gave up hope.","Malgré de nombreux obstacles, elle n’a jamais perdu espoir.",,,Hoffnung aufgeben  = to give up hope,Hoffnung aufgeben  = predre espoir,,
236,11,"Nach zwei Jahren vergeblicher Suche gab er langsam die _____ auf, seine Katze wiederzufinden.",Hoffnung,Hoffnung aufgeben ,"Nach zwei Jahren vergeblicher Suche gab er langsam die Hoffnung auf, seine Katze wiederzufinden.","After two years of searching in vain, he slowly gave up hope of finding his cat again.","Après deux ans de recherche inutile, il a lentement perdu l’espoir de retrouver son chat.",,,Hoffnung aufgeben  = to give up hope,Hoffnung aufgeben  = predre espoir,,
237,11,"Wenn die Temperaturen weiter steigen, sind viele Tierarten ernsthaft _____.",in Gefahr,in Gefahr sein,"Wenn die Temperaturen weiter steigen, sind viele Tierarten ernsthaft in Gefahr.","If temperatures continue to rise, many animal species are seriously in danger.","Si les températures continuent d’augmenter, de nombreuses espèces animales sont sérieusement en danger.",,,in Gefahr sein = to be in danger,in Gefahr sein = être en danger,,
238,11,Aufgrund des starken Sturms waren mehrere Häuser _____.,in Gefahr,in Gefahr sein,Aufgrund des starken Sturms waren mehrere Häuser in Gefahr.,"Because of the strong storm, several houses were in danger.","À cause de la forte tempête, plusieurs maisons étaient en danger.",,,in Gefahr sein = to be in danger,in Gefahr sein = être en danger,,
239,11,Die Feuerwehr konnte den Brand nach mehreren Stunden endlich _____ bringen.,unter Kontrolle,unter Kontrolle bringen,Die Feuerwehr konnte den Brand nach mehreren Stunden endlich unter Kontrolle bringen.,The fire department was finally able to bring the fire under control after several hours.,Les pompiers ont finalement réussi à maîtriser l’incendie après plusieurs heures.,,,unter Kontrolle bringen = to bring under control,"unter Kontrolle bringen = maîtriser, mettre sous contrôle, prendre le contrôle",,
240,11,"Es dauerte lange, bis sie ihre Angst _____ gebracht hatte.",unter Kontrolle,unter Kontrolle bringen,"Es dauerte lange, bis sie ihre Angst unter Kontrolle gebracht hatte.",It took a long time for her to bring her fear under control.,Il lui a fallu longtemps pour maîtriser sa peur.,,,unter Kontrolle bringen = to bring under control,"unter Kontrolle bringen = maîtriser, mettre sous contrôle, prendre le contrôle",,
241,12,"Viele Studierende haben Angst, ihr Studium nicht rechtzeitig _____.",abzuschließen,ein Studium abschließen,"Viele Studierende haben Angst, ihr Studium nicht rechtzeitig abzuschließen.",Many students are afraid of not finishing their studies on time.,Beaucoup d’étudiants ont peur de ne pas terminer leurs études à temps.,,,ein Studium abschließen = to graduate from university,ein Studium abschließen = terminer un cursus d'études,,
242,12,"Um mein Studium erfolgreich _____, musste ich mehrere schwierige Prüfungen bestehen.",abzuschließen,ein Studium abschließen,"Um mein Studium erfolgreich abzuschließen, musste ich mehrere schwierige Prüfungen bestehen.","To successfully complete my studies, I had to pass several difficult exams.","Pour terminer mes études avec succès, j’ai dû réussir plusieurs examens difficiles.",,,ein Studium abschließen = to graduate from university,ein Studium abschließen = terminer un cursus d'études,,
243,12,"Sie _____ gerade einen Kurs an der Universität, der sich auf nachhaltige Technologien konzentriert.",besucht,einen Kurs besuchen,"Sie besucht gerade einen Kurs an der Universität, der sich auf nachhaltige Technologien konzentriert.",She is currently attending a course at the university that focuses on sustainable technologies.,Elle suit actuellement un cours à l’université qui porte sur les technologies durables.,,,einen Kurs besuchen = to attend a course,"einen Kurs besuchen = assister à un cours, suivre un course",,
244,12,"Wenn du schneller Fortschritte machen willst, solltest du zusätzlich einen intensiven Kurs _____.",besuchen,einen Kurs besuchen,"Wenn du schneller Fortschritte machen willst, solltest du zusätzlich einen intensiven Kurs besuchen.","If you want to make faster progress, you should also attend an intensive course.","Si tu veux progresser plus vite, tu devrais aussi suivre un cours intensif.",,,einen Kurs besuchen = to attend a course,"einen Kurs besuchen = assister à un cours, suivre un course",,
245,12,In meinem neuen Job will ich vor allem Erfahrung im Projektmanagement _____.,sammeln,Erfahrung sammeln,In meinem neuen Job will ich vor allem Erfahrung im Projektmanagement sammeln.,"In my new job, I want to gain experience in project management above all.","Dans mon nouveau travail, je veux surtout acquérir de l’expérience en gestion de projet.",,,Erfahrung sammeln = to gain experience,Erfahrung sammeln = acquérir de l'expérience,,
246,12,"Man _____ nicht nur berufliche Erfahrung, sondern auch persönliche, wenn man im Ausland lebt.",sammelt,Erfahrung sammeln,"Man sammelt nicht nur berufliche Erfahrung, sondern auch persönliche, wenn man im Ausland lebt.",You not only gain professional experience but also personal experience when living abroad.,"On acquiert non seulement de l’expérience professionnelle, mais aussi personnelle quand on vit à l’étranger.",,,Erfahrung sammeln = to gain experience,Erfahrung sammeln = acquérir de l'expérience,,
247,12,"Bewerber, die über Sprachkenntnisse in Deutsch und Englisch _____, haben bessere Chancen.",verfügen,über Kenntnisse verfügen,"Bewerber, die über Sprachkenntnisse in Deutsch und Englisch verfügen, haben bessere Chancen.",Applicants who possess knowledge of German and English have better chances.,Les candidats qui disposent de connaissances en allemand et en anglais ont de meilleures chances.,,,über Kenntnisse verfügen = to know,"über Kenntnisse verfügen = savoir, avoir des connaissances",,
248,12,Für diese Stelle muss man über solide Computerkenntnisse _____.,verfügen,über Kenntnisse verfügen,Für diese Stelle muss man über solide Computerkenntnisse verfügen.,"For this position, you must have solid computer skills.","Pour ce poste, il faut disposer de solides compétences en informatique.",,,über Kenntnisse verfügen = to know,"über Kenntnisse verfügen = savoir, avoir des connaissances",,
249,12,"Wenn wir langfristig erfolgreich sein wollen, müssen wir jetzt kluge Maßnahmen _____.",treffen/ergreifen,"Maßnahmen treffen, Maßnahmen ergreifen","Wenn wir langfristig erfolgreich sein wollen, müssen wir jetzt kluge Maßnahmen treffen.","If we want to be successful in the long run, we need to take smart measures now.","Si nous voulons réussir à long terme, nous devons maintenant prendre des mesures intelligentes.",,,"Maßnahmen treffen, Maßnahmen ergreifen = to do something, to take action, to take measures","Maßnahmen treffen, Maßnahmen ergreifen = agir, prendre des mesures",,
250,12,"Um die Umwelt zu schützen, hat die Stadt strenge Maßnahmen _____.",getroffen/ergriffen,"Maßnahmen treffen, Maßnahmen ergreifen","Um die Umwelt zu schützen, hat die Stadt strenge Maßnahmen getroffen.","To protect the environment, the city has taken strict measures.","Pour protéger l’environnement, la ville a pris des mesures strictes.",,,"Maßnahmen treffen, Maßnahmen ergreifen = to do something, to take action, to take measures","Maßnahmen treffen, Maßnahmen ergreifen = agir, prendre des mesures",,
251,12,"Wenn das Budget nicht erhöht wird, _____ eine Erweiterung des Teams nicht in Frage.",kommt,in Frage kommen,"Wenn das Budget nicht erhöht wird, kommt eine Erweiterung des Teams nicht in Frage.","If the budget is not increased, expanding the team is not an option.","Si le budget n’est pas augmenté, l’élargissement de l’équipe n’est pas envisageable.",,,"in Frage kommen = to be a possibility, to come into question","in Frage kommen = être éligible, être pris en considération",,
252,12,"Für diese Aufgabe _____ mehrere Lösungen in Frage, aber wir müssen sie sorgfältig prüfen.",kommen,in Frage kommen,"Für diese Aufgabe kommen mehrere Lösungen in Frage, aber wir müssen sie sorgfältig prüfen.","Several solutions are possible for this task, but we need to examine them carefully.","Plusieurs solutions sont possibles pour cette tâche, mais nous devons les examiner attentivement.",,,"in Frage kommen = to be a possibility, to come into question","in Frage kommen = être éligible, être pris en considération",,
253,12,Sein Verhalten hat viele seiner früheren Entscheidungen in Frage _____.,gestellt,in Frage stellen,Sein Verhalten hat viele seiner früheren Entscheidungen in Frage gestellt.,His behavior has called many of his previous decisions into question.,Son comportement a remis en question beaucoup de ses décisions précédentes.,,,"in Frage stellen = to question, to challenge, to come into question","in Frage stellen = remettre en question, mettre en cause, contester",,
254,12,"Wir sollten nicht sofort alles in Frage _____, was neu ist.",stellen,in Frage stellen,"Wir sollten nicht sofort alles in Frage stellen, was neu ist.",We shouldn't immediately question everything that is new.,Nous ne devrions pas remettre en question immédiatement tout ce qui est nouveau.,,,"in Frage stellen = to question, to challenge, to come into question","in Frage stellen = remettre en question, mettre en cause, contester",,
255,12,"Am Anfang _____ sie Zweifel, ob sie den Job schaffen würde.",hatte,"Zweifel haben, Zweifel hegen","Am Anfang hatte sie Zweifel, ob sie den Job schaffen würde.","At first, she had doubts about whether she could handle the job.","Au début, elle avait des doutes quant à sa capacité à réussir dans ce travail.",,,"Zweifel haben, Zweifel hegen = to doubt, to have doubts","Zweifel haben, Zweifel hegen = douter, avoir des doutes",,
256,12,"Wenn du Zweifel _____, solltest du noch einmal darüber nachdenken.",hast,"Zweifel haben, Zweifel hegen","Wenn du Zweifel hast, solltest du noch einmal darüber nachdenken.","If you have doubts, you should think about it again.","Si tu as des doutes, tu devrais y réfléchir à nouveau.",,,"Zweifel haben, Zweifel hegen = to doubt, to have doubts","Zweifel haben, Zweifel hegen = douter, avoir des doutes",,
257,12,"Um die Entwicklung neuer Produkte in Gang zu _____, braucht das Unternehmen zusätzliche Investitionen.",setzen,in Gang setzen,"Um die Entwicklung neuer Produkte in Gang zu setzen, braucht das Unternehmen zusätzliche Investitionen.","To set the development of new products in motion, the company needs additional investments.","Pour mettre en marche le développement de nouveaux produits, l’entreprise a besoin d’investissements supplémentaires.",,,"in Gang setzen = to initiate, to get something going, to set in motion (actively)",in Gang setzen = mettre en marche (activement),,
258,12,Durch die Einführung neuer Regeln hat die Schule einen wichtigen Veränderungsprozess in Gang _____.,gesetzt,in Gang setzen,Durch die Einführung neuer Regeln hat die Schule einen wichtigen Veränderungsprozess in Gang gesetzt.,"By introducing new rules, the school set an important process of change in motion.","En introduisant de nouvelles règles, l’école a mis en marche un important processus de changement.",,,"in Gang setzen = to initiate, to get something going, to set in motion (actively)",in Gang setzen = mettre en marche (activement),,
259,12,"Die Verhandlungen _____ nur langsam in Gang, weil viele Fragen ungeklärt waren.",kamen,in Gang kommen,"Die Verhandlungen kamen nur langsam in Gang, weil viele Fragen ungeklärt waren.",The negotiations only got going slowly because many questions were unresolved.,"Les négociations ont mis du temps à démarrer, car beaucoup de questions restaient ouvertes.",,,"in Gang kommen = to get going, to get started (passively)",in Gang kommen = être mis en route (passivement),,
260,12,"Die Maschine _____ erst in Gang, nachdem der Techniker sie überprüft hatte.",kam,in Gang kommen,"Die Maschine kam erst in Gang, nachdem der Techniker sie überprüft hatte.",The machine only started running after the technician checked it.,La machine n’a commencé à fonctionner qu’après que le technicien l’a vérifiée.,,,"in Gang kommen = to get going, to get started (passively)",in Gang kommen = être mis en route (passivement),,
261,12,"Sie hat erst spät Bescheid _____, dass das Meeting verschoben wurde.",gewusst,Bescheid wissen,"Sie hat erst spät Bescheid gewusst, dass das Meeting verschoben wurde.",She only found out late that the meeting had been postponed.,Elle a appris tard que la réunion avait été reportée.,,,Bescheid wissen = to be in the know,Bescheid wissen = être au courant,,
