Nr,exercise,level_verb,answer,question,english,french,type,prefix,root_german,root_english,root_french
1454,104,C2,anschreiben,,,,2. prefix,,,,
1455,104,C2,ansetzen,,,,2. prefix,,,,
1456,104,C2,anspannen,,,,2. prefix,,,,
1457,104,C2,anstecken,,,,2. prefix,,,,
1458,104,C2,anstehen,,,,2. prefix,,,,
1459,104,C2,ansteigen,,to increase,augmenter,2. prefix,,,,
1460,104,C2,ansteuern,,,,2. prefix,,,,
1461,104,C2,anstossen,,,,2. prefix,,,,
1462,104,C2,anstreben,,,,2. prefix,,,,
1463,104,C2,anstrengen,,,,2. prefix,,,,
1464,104,C2,antreffen,,,,2. prefix,,,,
1465,104,C2,antreiben,,,,2. prefix,,,,
1466,104,C2,anvertrauen,,,,2. prefix,,,,
1467,104,C2,anwachsen,,,,2. prefix,,,,
1468,104,C2,anweisen,,,,2. prefix,,,,
1469,104,C2,anzünden,,,,2. prefix,,,,
1470,104,C2,antun,,"to do something to someone, to appeal to someone","faire quelque chose à quelqu'un, faire appel à quelqu'un",2. prefix,,,,
1471,104,C2,angeln,,,,2. prefix,,,,
1472,104,C2,anhaben,,,,2. prefix,,,,
1473,104,C2,aufmerken,,to pay attention,faire attention,2. prefix,,,,
1474,104,C2,aufarbeiten,,,,2. prefix,,,,
1475,104,C2,aufbereiten,,,,2. prefix,,,,
1476,104,C2,aufbewahren,,,,2. prefix,,,,
1477,104,C2,aufbrauchen,,,,2. prefix,,,,
1478,104,C2,aufbringen,,,,2. prefix,,,,
1479,104,C2,aufdecken,,,,2. prefix,,,,
1480,104,C2,auferlegen,,,,2. prefix,,,,
1481,104,C2,auffangen,,,,2. prefix,,,,
1482,104,C2,auffinden,,,,2. prefix,,,,
1483,104,C2,auffüllen,,,,2. prefix,,,,
1484,104,C2,aufgehen,,,,2. prefix,,,,
1485,104,C2,aufgreifen,,,,2. prefix,,,,
1486,104,C2,aufholen,,,,2. prefix,,,,
1487,104,C2,aufhängen,,,,2. prefix,,,,
1488,104,C2,aufkommen,,,,2. prefix,,,,
1489,104,C2,auflaufen,,,,2. prefix,,,,
1490,104,C2,auflegen,,,,2. prefix,,,,
1491,104,C2,auflisten,,,,2. prefix,,,,
1492,104,C2,aufrechterhalten,,,,2. prefix,,,,
1493,104,C2,aufrufen,,,,2. prefix,,,,
1494,104,C2,aufschlagen,,,,2. prefix,,,,
1495,104,C2,aufschließen,,,,2. prefix,,,,
1496,104,C2,aufsetzen,,,,2. prefix,,,,
1497,104,C2,aufspielen,,,,2. prefix,,,,
1498,104,C2,aufspüren,,,,2. prefix,,,,
1499,104,C2,aufstocken,,,,2. prefix,,,,
1500,104,C2,aufsuchen,,,,2. prefix,,,,
1501,104,C2,aufteilen,,,,2. prefix,,,,
1502,104,C2,auftragen,,,,2. prefix,,,,
1503,104,C2,aufwarten,,,,2. prefix,,,,
1504,104,C2,aufwenden,,,,2. prefix,,,,
1505,104,C2,aufwerten,,,,2. prefix,,,,
1506,104,C2,aufzeichnen,,,,2. prefix,,,,
1507,104,C2,aufzeigen,,,,2. prefix,,,,
1508,104,C2,aufziehen,,,,2. prefix,,,,
1509,104,C2,einbauen,,,,2. prefix,,,,
1510,104,C2,einarbeiten,,,,2. prefix,,,,
1511,104,C2,einberufen,,,,2. prefix,,,,
1512,104,C2,einbetten,,,,2. prefix,,,,
1513,104,C2,einbinden,,,,2. prefix,,,,
1514,104,C2,einbrechen,,,,2. prefix,,,,
1515,104,C2,einbringen,,,,2. prefix,,,,
1516,104,C2,einbüssen,,,,2. prefix,,,,
1517,104,C2,eindringen,,,,2. prefix,,,,
1518,104,C2,eindämmen,,,,2. prefix,,,,
1519,104,C2,einfahren,,,,2. prefix,,,,
1520,104,C2,einfangen,,,,2. prefix,,,,
1521,104,C2,einfinden,,,,2. prefix,,,,
1522,104,C2,einfliessen,,,,2. prefix,,,,
1523,104,C2,einfordern,,,,2. prefix,,,,
1524,104,C2,eingestehen,,,,2. prefix,,,,
1525,104,C2,eingreifen,,,,2. prefix,,,,
1526,104,C2,einhalten,,,,2. prefix,,,,
1527,104,C2,einhergehen,,,,2. prefix,,,,
1528,104,C2,einholen,,,,2. prefix,,,,
1529,104,C2,einkehren,,,,2. prefix,,,,
1530,104,C2,einlassen,,,,2. prefix,,,,
1531,104,C2,einlegen,,,,2. prefix,,,,
1532,104,C2,einliefern,,,,2. prefix,,,,
1533,104,C2,einloggen,,,,2. prefix,,,,
1534,104,C2,einläuten,,,,2. prefix,,,,
1535,104,C2,einlösen,,,,2. prefix,,,,
1536,104,C2,einmischen,,,,2. prefix,,,,
1537,104,C2,einordnen,,,,2. prefix,,,,
1538,104,C2,einplanen,,,,2. prefix,,,,
1539,104,C2,einräumen,,,,2. prefix,,,,
1540,104,C2,einsammeln,,,,2. prefix,,,,
1541,104,C2,einschätzen,,,,2. prefix,,,,
1542,104,C2,einsehen,,,,2. prefix,,,,
1543,104,C2,einsenden,,,,2. prefix,,,,
1544,104,C2,einsparen,,,,2. prefix,,,,
1545,104,C2,einspielen,,,,2. prefix,,,,
1546,104,C2,einstecken,,,,2. prefix,,,,
1547,104,C2,einstimmen,,,,2. prefix,,,,
1548,104,C2,einstudieren,,,,2. prefix,,,,
1549,104,C2,einstufen,,,,2. prefix,,,,
1550,104,C2,eintauchen,,,,2. prefix,,,,
1551,104,C2,einteilen,,,,2. prefix,,,,
1552,104,C2,eintreffen,,,,2. prefix,,,,
1553,104,C2,einweihen,,,,2. prefix,,,,
1554,104,C2,einwirken,,,,2. prefix,,,,
1555,104,C2,einzahlen,,,,2. prefix,,,,
1556,104,C2,herkommen,,"to come over, come here (towards the speaker), to come from","venir, venir ici (vers l'orateur), venir de",2. prefix,,,,
1557,104,C2,herausfordern,,,,2. prefix,,,,
1558,104,C2,heranführen,,,,2. prefix,,,,
1559,104,C2,heranziehen,,,,2. prefix,,,,
1560,104,C2,herausbringen,,,,2. prefix,,,,
1561,104,C2,herausgeben,,,,2. prefix,,,,
1562,104,C2,herausholen,,,,2. prefix,,,,
1563,104,C2,herauskommen,,,,2. prefix,,,,
1564,104,C2,herausnehmen,,,,2. prefix,,,,
1565,104,C2,herausstellen,,,,2. prefix,,,,
1566,104,C2,herbeiführen,,,,2. prefix,,,,
1567,104,C2,hergeben,,,,2. prefix,,,,
1568,104,C2,herrichten,,,,2. prefix,,,,
1569,104,C2,hervorbringen,,,,2. prefix,,,,
1570,104,C2,hervorgehen,,,,2. prefix,,,,
1571,104,C2,hervorrufen,,,,2. prefix,,,,
1572,104,C2,hindern,,to prevent somebody from doing something,empêcher quelqu'un de faire quelque chose,2. prefix,,,,
1573,104,C2,hingehen,,"to go (there), (of time) to pass","aller (là-bas), (du temps) passer",2. prefix,,,,
1574,104,C2,hinzufügen,,to add,ajouter,2. prefix,,,,
1575,104,C2,hinausgehen,,,,2. prefix,,,,
1576,104,C2,hinbekommen,,,,2. prefix,,,,
1577,104,C2,hingeben,,,,2. prefix,,,,
1578,104,C2,hinlegen,,,,2. prefix,,,,
1579,104,C2,hinnehmen,,,,2. prefix,,,,
1580,104,C2,hinschauen,,,,2. prefix,,,,
1581,104,C2,hinterfragen,,,,2. prefix,,,,
1582,104,C2,hinterlegen,,,,2. prefix,,,,
1583,104,C2,hinziehen,,,,2. prefix,,,,
1584,104,C2,hinzukommen,,,,2. prefix,,,,
1585,104,C2,mitarbeiten,,,,2. prefix,,,,
1586,104,C2,mitbekommen,,,,2. prefix,,,,
1587,104,C2,miterleben,,,,2. prefix,,,,
1588,104,C2,mitfahren,,,,2. prefix,,,,
1589,104,C2,mitgestalten,,,,2. prefix,,,,
1590,104,C2,mithalten,,,,2. prefix,,,,
1591,104,C2,mithelfen,,,,2. prefix,,,,
1592,104,C2,mitreden,,,,2. prefix,,,,
1593,104,C2,mitspielen,,,,2. prefix,,,,
1594,104,C2,mittragen,,,,2. prefix,,,,
1595,104,C2,mitwirken,,,,2. prefix,,,,
1596,104,C2,nachfolgen,,,,2. prefix,,,,
1597,104,C2,nachgeben,,,,2. prefix,,,,
1598,104,C2,nachgehen,,,,2. prefix,,,,
1599,104,C2,nachholen,,,,2. prefix,,,,
1600,104,C2,nachkommen,,,,2. prefix,,,,
1601,104,C2,nachlassen,,,,2. prefix,,,,
1602,104,C2,nachlesen,,,,2. prefix,,,,
1603,104,C2,nachvollziehen,,,,2. prefix,,,,
1604,104,C2,voranbringen,,,,2. prefix,,,,
1605,104,C2,vorangehen,,,,2. prefix,,,,
1606,104,C2,vorankommen,,,,2. prefix,,,,
1607,104,C2,vorantreiben,,,,2. prefix,,,,
1608,104,C2,vorausgehen,,,,2. prefix,,,,
1609,104,C2,vorbehalten,,,,2. prefix,,,,
1610,104,C2,vorbeischauen,,,,2. prefix,,,,
1611,104,C2,vorenthalten,,,,2. prefix,,,,
1612,104,C2,vorfinden,,,,2. prefix,,,,
1613,104,C2,vorführen,,,,2. prefix,,,,
1614,104,C2,vorhalten,,,,2. prefix,,,,
1615,104,C2,vorhersagen,,,,2. prefix,,,,
1616,104,C2,vorschreiben,,,,2. prefix,,,,
1617,104,C2,vortragen,,,,2. prefix,,,,
1618,104,C2,vorziehen,,,,2. prefix,,,,
1619,104,C2,vorweisen,,to demonstrate,démontrer,2. prefix,,,,
1620,104,C2,weitergehen,,"to continue, to proceed, to keep moving","continuer, avancer, continuer à avancer",2. prefix,,,,
1621,104,C2,weiterentwickeln,,,,2. prefix,,,,
1622,104,C2,weiterhelfen,,,,2. prefix,,,,
1623,104,C2,weiterlesen,,,,2. prefix,,,,
1624,104,C2,zugreifen,,,,2. prefix,,,,
1625,104,C2,zuweisen,,,,2. prefix,,,,
1626,104,C2,zufügen,,,,2. prefix,,,,
1627,104,C2,zuführen,,,,2. prefix,,,,
1628,104,C2,zugestehen,,,,2. prefix,,,,
1629,104,C2,zukommen,,,,2. prefix,,,,
1630,104,C2,zumuten,,,,2. prefix,,,,
1631,104,C2,zurechnen,,,,2. prefix,,,,
1632,104,C2,zuschauen,,,,2. prefix,,,,
1633,104,C2,zuschicken,,,,2. prefix,,,,
1634,104,C2,zuschlagen,,,,2. prefix,,,,
1635,104,C2,zuschneiden,,,,2. prefix,,,,
1636,104,C2,zuschreiben,,,,2. prefix,,,,
1637,104,C2,zusenden,,,,2. prefix,,,,
1638,104,C2,zusichern,,,,2. prefix,,,,
1639,104,C2,zusprechen,,,,2. prefix,,,,
1640,104,C2,zustehen,,,,2. prefix,,,,
1641,104,C2,zustellen,,,,2. prefix,,,,
1642,104,C2,zutrauen,,,,2. prefix,,,,
1643,104,C2,zutreffen,,,,2. prefix,,,,
1644,104,C2,zuwenden,,,,2. prefix,,,,
1645,104,C2,zuziehen,,,,2. prefix,,,,
1646,104,C2,zurückkehren,,to return,revenir,2. prefix,,,,
1647,104,C2,zurückführen,,,,2. prefix,,,,
1648,104,C2,zurückgreifen,,,,2. prefix,,,,
1649,104,C2,zurückholen,,,,2. prefix,,,,
1650,104,C2,zurücklassen,,,,2. prefix,,,,
1651,104,C2,zurücklegen,,,,2. prefix,,,,
1652,104,C2,zurücktreten,,,,2. prefix,,,,
1653,104,C2,zurückweisen,,,,2. prefix,,,,
1654,104,C2,zurückzahlen,,,,2. prefix,,,,
1655,104,C2,zusammenbrechen,,,,2. prefix,,,,
1656,104,C2,zusammenbringen,,,,2. prefix,,,,
1657,104,C2,zusammenfinden,,,,2. prefix,,,,
1658,104,C2,zusammenführen,,,,2. prefix,,,,
1659,104,C2,zusammenhalten,,,,2. prefix,,,,
1660,104,C2,zusammenhängen,,,,2. prefix,,,,
1661,104,C2,zusammenkommen,,,,2. prefix,,,,
1662,104,C2,zusammenschließen,,,,2. prefix,,,,
1663,104,C2,zusammensetzen,,,,2. prefix,,,,
1664,104,C2,zusammentragen,,,,2. prefix,,,,
1665,104,C2,bestreuen,,to sprinkle,saupoudrer,2. prefix,,,,
1666,104,C2,benehmen,,to behave (refl.),se comporter (réfl.),2. prefix,,,,
1667,104,C2,beeilen,,"to hurry, to hasten, to rush (refl.)","se dépêcher, se hâter, se précipiter (réfl.)",2. prefix,,,,
1668,104,C2,behindern,,"to obstruct, to hamper","gêner, entraver",2. prefix,,,,
1669,104,C2,befördern,,to transport,transporter,2. prefix,,,,
1670,104,C2,begraben,,to bury,enterrer,2. prefix,,,,
1671,104,C2,besiegen,,to defeat (in battle or contest),vaincre (au combat ou dans un concours),2. prefix,,,,
1672,104,C2,betrügen,,"to cheat, to swindle, to defraud","tricher, escroquer, frauder",2. prefix,,,,
1673,104,C2,beibringen,,"to teach, to break (news, information) carefully to, to inflict","enseigner, annoncer (des nouvelles, des informations) avec précaution, infliger",2. prefix,,,,
1674,104,C2,beleidigen,,"to offend someone, to insult someone","offenser quelqu'un, insulter quelqu'un",2. prefix,,,,
1675,104,C2,beibehalten,,,,2. prefix,,,,
1676,104,C2,befehlen,,,,2. prefix,,,,
1677,104,C2,beleben,,,,2. prefix,,,,
1678,104,C2,belohnen,,,,2. prefix,,,,
1679,104,C2,beabsichtigen,,,,2. prefix,,,,
1680,104,C2,beanspruchen,,,,2. prefix,,,,
1681,104,C2,beanstanden,,,,2. prefix,,,,
1682,104,C2,beanständen,,,,2. prefix,,,,
1683,104,C2,bedachen,,,,2. prefix,,,,
1684,104,C2,bedauern,,,,2. prefix,,,,
1685,104,C2,bedecken,,,,2. prefix,,,,
1686,104,C2,bedrucken,,,,2. prefix,,,,
1687,104,C2,bedürfen,,,,2. prefix,,,,
1688,104,C2,befahren,,,,2. prefix,,,,
1689,104,C2,befallen,,,,2. prefix,,,,
1690,104,C2,befestigen,,,,2. prefix,,,,
1691,104,C2,beflügeln,,,,2. prefix,,,,
1692,104,C2,befolgen,,,,2. prefix,,,,
1693,104,C2,befragen,,,,2. prefix,,,,
1694,104,C2,befriedigen,,,,2. prefix,,,,
1695,104,C2,befristen,,,,2. prefix,,,,
1696,104,C2,befüllen,,,,2. prefix,,,,
1697,104,C2,befürworten,,,,2. prefix,,,,
1698,104,C2,begehren,,,,2. prefix,,,,
1699,104,C2,begleichen,,,,2. prefix,,,,
1700,104,C2,begnügen,,,,2. prefix,,,,
1701,104,C2,begreifen,,,,2. prefix,,,,
1702,104,C2,begrenzen,,,,2. prefix,,,,
1703,104,C2,begutachten,,,,2. prefix,,,,
1704,104,C2,begünstigen,,,,2. prefix,,,,
1705,104,C2,beharren,,,,2. prefix,,,,
1706,104,C2,beheben,,,,2. prefix,,,,
1707,104,C2,beheimaten,,,,2. prefix,,,,
1708,104,C2,beherbergen,,,,2. prefix,,,,
1709,104,C2,beilegen,,,,2. prefix,,,,
1710,104,C2,beisteuern,,,,2. prefix,,,,
1711,104,C2,beitreten,,,,2. prefix,,,,
1712,104,C2,bejahen,,,,2. prefix,,,,
1713,104,C2,bejubeln,,,,2. prefix,,,,
1714,104,C2,bekanntgeben,,,,2. prefix,,,,
1715,104,C2,bekennen,,,,2. prefix,,,,
1716,104,C2,bekleiden,,,,2. prefix,,,,
1717,104,C2,bekräftigen,,,,2. prefix,,,,
1718,104,C2,bekunden,,,,2. prefix,,,,
1719,104,C2,beladen,,,,2. prefix,,,,
1720,104,C2,belassen,,,,2. prefix,,,,
1721,104,C2,belaufen,,,,2. prefix,,,,
1722,104,C2,belehren,,,,2. prefix,,,,
1723,104,C2,beleuchten,,,,2. prefix,,,,
1724,104,C2,belieben,,,,2. prefix,,,,
1725,104,C2,beliefern,,,,2. prefix,,,,
1726,104,C2,belästigen,,,,2. prefix,,,,
1727,104,C2,bemessen,,,,2. prefix,,,,
1728,104,C2,bemängeln,,,,2. prefix,,,,
1729,104,C2,benachrichtigen,,,,2. prefix,,,,
1730,104,C2,benachteiligen,,,,2. prefix,,,,
1731,104,C2,bereichern,,,,2. prefix,,,,
1732,104,C2,bereisen,,,,2. prefix,,,,
1733,104,C2,bereithalten,,,,2. prefix,,,,
1734,104,C2,berufen,,,,2. prefix,,,,
1735,104,C2,besagen,,,,2. prefix,,,,
1736,104,C2,beschaffen,,,,2. prefix,,,,
1737,104,C2,bescheiden,,,,2. prefix,,,,
1738,104,C2,bescheinigen,,,,2. prefix,,,,
1739,104,C2,bescheren,,,,2. prefix,,,,
1740,104,C2,beschimpfen,,,,2. prefix,,,,
1741,104,C2,beschlagnahmen,,,,2. prefix,,,,
1742,104,C2,beschreiten,,,,2. prefix,,,,
1743,104,C2,beschuldigen,,,,2. prefix,,,,
1744,104,C2,beschwören,,,,2. prefix,,,,
1745,104,C2,beseitigen,,,,2. prefix,,,,
1746,104,C2,besiegeln,,,,2. prefix,,,,
1747,104,C2,besinnen,,,,2. prefix,,,,
1748,104,C2,bessern,,,,2. prefix,,,,
1749,104,C2,bestaunen,,,,2. prefix,,,,
1750,104,C2,bestechen,,,,2. prefix,,,,
1751,104,C2,besteigen,,,,2. prefix,,,,
1752,104,C2,bestreiten,,,,2. prefix,,,,
1753,104,C2,bestärken,,,,2. prefix,,,,
1754,104,C2,bestücken,,,,2. prefix,,,,
1755,104,C2,beteuern,,,,2. prefix,,,,
1756,104,C2,betreten,,,,2. prefix,,,,
1757,104,C2,betätigen,,,,2. prefix,,,,
1758,104,C2,bewilligen,,,,2. prefix,,,,
1759,104,C2,bewirtschaften,,,,2. prefix,,,,
1760,104,C2,bewohnen,,,,2. prefix,,,,
1761,104,C2,beziffern,,,,2. prefix,,,,
1762,104,C2,bezweifeln,,,,2. prefix,,,,
1763,104,C2,bezwingen,,,,2. prefix,,,,
1764,104,C2,beissen,,,,2. prefix,,,,
1765,104,C2,bersten,,,,2. prefix,,,,
1766,104,C2,entkommen,,to escape,s'échapper,2. prefix,,,,
1767,104,C2,entführen,,"to abduct, to kidnap","enlever, kidnapper",2. prefix,,,,
1768,104,C2,entfachen,,,,2. prefix,,,,
1769,104,C2,entfallen,,,,2. prefix,,,,
1770,104,C2,entfalten,,,,2. prefix,,,,
1771,104,C2,entgegennehmen,,,,2. prefix,,,,
1772,104,C2,entgegensetzen,,,,2. prefix,,,,
1773,104,C2,entgegenwirken,,,,2. prefix,,,,
1774,104,C2,entgegnen,,,,2. prefix,,,,
1775,104,C2,entgehen,,,,2. prefix,,,,
1776,104,C2,enthüllen,,,,2. prefix,,,,
1777,104,C2,entlarven,,,,2. prefix,,,,
1778,104,C2,entnehmen,,,,2. prefix,,,,
1779,104,C2,entpuppen,,,,2. prefix,,,,
1780,104,C2,entrichten,,,,2. prefix,,,,
1781,104,C2,entschädigen,,,,2. prefix,,,,
1782,104,C2,entschärfen,,,,2. prefix,,,,
1783,104,C2,entsenden,,,,2. prefix,,,,
1784,104,C2,entsorgen,,,,2. prefix,,,,
1785,104,C2,entspringen,,,,2. prefix,,,,
1786,104,C2,entstammen,,,,2. prefix,,,,
1787,104,C2,entwenden,,,,2. prefix,,,,
1788,104,C2,entzünden,,,,2. prefix,,,,
1789,104,C2,erschweren,,to burden,accabler,2. prefix,,,,
1790,104,C2,erwärmen,,to warm,réchauffer,2. prefix,,,,
1791,104,C2,ermorden,,to murder,assassiner,2. prefix,,,,
1792,104,C2,erfreuen,,"to please, to enjoy (refl.)","plaire, jouir (réfl.)",2. prefix,,,,
1793,104,C2,erschaffen,,"to create, to produce, to make","créer, produire, fabriquer",2. prefix,,,,
1794,104,C2,erlöschen,,,,2. prefix,,,,
1795,104,C2,erschöpfen,,,,2. prefix,,,,
1796,104,C2,ersticken,,,,2. prefix,,,,
1797,104,C2,erwägen,,,,2. prefix,,,,
1798,104,C2,erachten,,,,2. prefix,,,,
1799,104,C2,erahnen,,,,2. prefix,,,,
1800,104,C2,erbauen,,,,2. prefix,,,,
1801,104,C2,erben,,,,2. prefix,,,,
1802,104,C2,erbeuten,,,,2. prefix,,,,
1803,104,C2,erbitten,,,,2. prefix,,,,
1804,104,C2,erblicken,,,,2. prefix,,,,
1805,104,C2,erbringen,,,,2. prefix,,,,
1806,104,C2,ereignen,,,,2. prefix,,,,
1807,104,C2,erfragen,,,,2. prefix,,,,
1808,104,C2,ergattern,,,,2. prefix,,,,
1809,104,C2,ergehen,,,,2. prefix,,,,
1810,104,C2,erhitzen,,,,2. prefix,,,,
1811,104,C2,erhoffen,,,,2. prefix,,,,
1812,104,C2,erklimmen,,,,2. prefix,,,,
1813,104,C2,erklingen,,,,2. prefix,,,,
1814,104,C2,erkranken,,,,2. prefix,,,,
1815,104,C2,erkämpfen,,,,2. prefix,,,,
1816,104,C2,erlangen,,,,2. prefix,,,,
1817,104,C2,erlernen,,,,2. prefix,,,,
1818,104,C2,erliegen,,,,2. prefix,,,,
1819,104,C2,erlösen,,,,2. prefix,,,,
1820,104,C2,ermuntern,,,,2. prefix,,,,
1821,104,C2,ermutigen,,,,2. prefix,,,,
1822,104,C2,ermässigen,,,,2. prefix,,,,
1823,104,C2,ernennen,,,,2. prefix,,,,
1824,104,C2,erneuern,,,,2. prefix,,,,
1825,104,C2,ernten,,,,2. prefix,,,,
1826,104,C2,erobern,,,,2. prefix,,,,
1827,104,C2,erproben,,,,2. prefix,,,,
1828,104,C2,errechnen,,,,2. prefix,,,,
1829,104,C2,erringen,,,,2. prefix,,,,
1830,104,C2,erschlagen,,,,2. prefix,,,,
1831,104,C2,erschließen,,,,2. prefix,,,,
1832,104,C2,erschüttern,,,,2. prefix,,,,
1833,104,C2,ersparen,,,,2. prefix,,,,
1834,104,C2,erspielen,,,,2. prefix,,,,
1835,104,C2,erstatten,,,,2. prefix,,,,
1836,104,C2,erstehen,,,,2. prefix,,,,
1837,104,C2,erstrahlen,,,,2. prefix,,,,
1838,104,C2,ertönen,,,,2. prefix,,,,
1839,104,C2,erwachen,,,,2. prefix,,,,
1840,104,C2,erwecken,,,,2. prefix,,,,
1841,104,C2,erwidern,,,,2. prefix,,,,
1842,104,C2,erwirtschaften,,,,2. prefix,,,,
1843,104,C2,erwischen,,,,2. prefix,,,,
1844,104,C2,erzwingen,,,,2. prefix,,,,
1845,104,C2,erörtern,,,,2. prefix,,,,
1846,104,C2,erkälten,,,,2. prefix,,,,
1847,104,C2,gedenken,,"to commemorate, to remember","commémorer, se souvenir",2. prefix,,,,
1848,104,C2,gebrauchen,,"to use, to make use of","utiliser, faire usage de",2. prefix,,,,
1849,104,C2,gebieten,,,,2. prefix,,,,
1850,104,C2,geleiten,,,,2. prefix,,,,
1851,104,C2,gedeihen,,,,2. prefix,,,,
1852,104,C2,gebrechen,,,,2. prefix,,,,
1853,104,C2,gebühren,,,,2. prefix,,,,
1854,104,C2,gedulden,,,,2. prefix,,,,
1855,104,C2,gefrieren,,,,2. prefix,,,,
1856,104,C2,gegenüberstehen,,,,2. prefix,,,,
1857,104,C2,geloben,,,,2. prefix,,,,
1858,104,C2,genehmigen,,,,2. prefix,,,,
1859,104,C2,generieren,,,,2. prefix,,,,
1860,104,C2,gereichen,,,,2. prefix,,,,
1861,104,C2,gesellen,,,,2. prefix,,,,
1862,104,C2,gestehen,,,,2. prefix,,,,
1863,104,C2,genesen,,,,2. prefix,,,,
1864,104,C2,verkleiden,,"to dress up, to disguise oneself (refl.)","se déguiser, se déguiser (réfl.)",2. prefix,,,,
1865,104,C2,vergrößern,,to enlarge,pour agrandir,2. prefix,,,,
1866,104,C2,verkleinern,,to reduce,réduire,2. prefix,,,,
1867,104,C2,verschmutzen,,to dirty,trop sale,2. prefix,,,,
1868,104,C2,verkürzen,,to shorten,raccourcir,2. prefix,,,,
1869,104,C2,verlangsamen,,to slow down,ralentir,2. prefix,,,,
1870,104,C2,vererben,,to inherit,hériter,2. prefix,,,,
1871,104,C2,verdammen,,"to condemn, to damn","condamner, damner",2. prefix,,,,
1872,104,C2,vernichten,,"to destroy, to ruin, to annihilate, to eradicate","détruire, ruiner, anéantir, éradiquer",2. prefix,,,,
1873,104,C2,versagen,,"to fail, to refuse, to deny","échouer, refuser, nier",2. prefix,,,,
1874,104,C2,verschwenden,,"to squander, to waste","gaspiller, gaspiller",2. prefix,,,,
1875,104,C2,verbergen,,to conceal sth: to hide something,cacher quelque chose : cacher quelque chose,2. prefix,,,,
1876,104,C2,versetzen,,"to put, to move, to deal, to give (a blow, hit), to transfer (when to do with work)","mettre, déplacer, distribuer, donner (un coup, un coup), transférer (quand il s'agit de travailler)",2. prefix,,,,
1877,104,C2,verzehren,,to consumme (with your mouth),consommer (avec la bouche),2. prefix,,,,
1878,104,C2,verfahren,,,,2. prefix,,,,
1879,104,C2,verrühren,,"to stir, to mix","remuer, mélanger",2. prefix,,,,
1880,104,C2,verderben,,,,2. prefix,,,,
1881,104,C2,vereinigen,,,,2. prefix,,,,
1882,104,C2,verführen,,,,2. prefix,,,,
1883,104,C2,vergewaltigen,,,,2. prefix,,,,
1884,104,C2,verkehren,,,,2. prefix,,,,
1885,104,C2,verklagen,,,,2. prefix,,,,
1886,104,C2,verschlafen,,,,2. prefix,,,,
1887,104,C2,verwechseln,,,,2. prefix,,,,
1888,104,C2,verweigern,,,,2. prefix,,,,
1889,104,C2,verweilen,,,,2. prefix,,,,
1890,104,C2,verabreichen,,,,2. prefix,,,,
1891,104,C2,verankern,,,,2. prefix,,,,
1892,104,C2,veranlassen,,,,2. prefix,,,,
1893,104,C2,veranschaulichen,,,,2. prefix,,,,
1894,104,C2,veranschlagen,,,,2. prefix,,,,
1895,104,C2,verantworten,,,,2. prefix,,,,
1896,104,C2,verbannen,,,,2. prefix,,,,
1897,104,C2,verbauen,,,,2. prefix,,,,
1898,104,C2,verbleiben,,to remain,rester,2. prefix,,,,
1899,104,C2,verbuchen,,,,2. prefix,,,,
1900,104,C2,verdecken,,,,2. prefix,,,,
1901,104,C2,verdeutlichen,,,,2. prefix,,,,
1902,104,C2,verdichten,,,,2. prefix,,,,
1903,104,C2,verdrängen,,,,2. prefix,,,,
1904,104,C2,verehren,,,,2. prefix,,,,
1905,104,C2,vereinen,,,,2. prefix,,,,
1906,104,C2,verfallen,,,,2. prefix,,,,
1907,104,C2,verfehlen,,,,2. prefix,,,,
1908,104,C2,verfeinern,,,,2. prefix,,,,
1909,104,C2,verhelfen,,,,2. prefix,,,,
1910,104,C2,verhängen,,,,2. prefix,,,,
1911,104,C2,verkraften,,,,2. prefix,,,,
1912,104,C2,verkörpern,,,,2. prefix,,,,
1913,104,C2,verlagern,,,,2. prefix,,,,
1914,104,C2,verlauten,,,,2. prefix,,,,
1915,104,C2,verlegen,,,,2. prefix,,,,
1916,104,C2,verleiten,,,,2. prefix,,,,
1917,104,C2,verlesen,,,,2. prefix,,,,
1918,104,C2,verlinken,,,,2. prefix,,,,
1919,104,C2,verlosen,,,,2. prefix,,,,
1920,104,C2,vermarkten,,,,2. prefix,,,,
1921,104,C2,vermelden,,,,2. prefix,,,,
1922,104,C2,vermerken,,,,2. prefix,,,,
1923,104,C2,vermindern,,,,2. prefix,,,,
1924,104,C2,vermischen,,,,2. prefix,,,,
1925,104,C2,vermögen,,,,2. prefix,,,,
1926,104,C2,vernachlässigen,,,,2. prefix,,,,
1927,104,C2,vernehmen,,,,2. prefix,,,,
1928,104,C2,verneinen,,,,2. prefix,,,,
1929,104,C2,vernetzen,,,,2. prefix,,,,
1930,104,C2,verordnen,,,,2. prefix,,,,
1931,104,C2,verrechnen,,,,2. prefix,,,,
1932,104,C2,verrichten,,,,2. prefix,,,,
1933,104,C2,versammeln,,,,2. prefix,,,,
1934,104,C2,verschaffen,,,,2. prefix,,,,
1935,104,C2,verschenken,,,,2. prefix,,,,
1936,104,C2,verschicken,,,,2. prefix,,,,
1937,104,C2,verschlagen,,,,2. prefix,,,,
1938,104,C2,verschleppen,,,,2. prefix,,,,
1939,104,C2,verschließen,,,,2. prefix,,,,
1940,104,C2,verschlingen,,,,2. prefix,,,,
1941,104,C2,verschlüsseln,,,,2. prefix,,,,
1942,104,C2,verschmelzen,,,,2. prefix,,,,
