Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,expression,case_preposition,explanation_english,explanation_french,verb,level verb NVV,level verb root,level chatgpt,NVV,is_NVV,root_verb
263,19,"Wenn du echtes _____ zeigst, öffnen sich die Leute oft schneller und erzählen mehr.",Interesse,Interesse zeigen,"Wenn du echtes Interesse zeigst, öffnen sich die Leute oft schneller und erzählen mehr.","When you show genuine interest, people often open up faster and share more.","Quand tu montres un réel intérêt, les gens s’ouvrent souvent plus vite et partagent davantage.",,,,,"Interesse zeigen = to be interested in, to show interest",Interesse zeigen = montrer de l'intérêt,,,,,,,
264,19,Er hat großes _____ an moderner Kunst gezeigt und will jetzt selbst einen Malkurs machen.,Interesse,Interesse zeigen,Er hat großes Interesse an moderner Kunst gezeigt und will jetzt selbst einen Malkurs machen.,He showed great interest in modern art and now wants to take a painting class himself.,Il a montré un grand intérêt pour l’art moderne et veut maintenant suivre un cours de peinture.,,,,,"Interesse zeigen = to be interested in, to show interest",Interesse zeigen = montrer de l'intérêt,,,,,,,
265,19,"Es fällt mir manchmal schwer, in einer neuen Stadt _____ zu schließen, aber mit etwas Geduld klappt es meistens.",Freundschaft,Freundschaft schließen,"Es fällt mir manchmal schwer, in einer neuen Stadt Freundschaft zu schließen, aber mit etwas Geduld klappt es meistens.","Sometimes it's hard for me to make friends in a new city, but with a bit of patience it usually works out.","J’ai parfois du mal à me faire des amis dans une nouvelle ville, mais avec un peu de patience, ça marche en général.",,,,,"Freundschaft schließen = to make friends, to become friends",Freundschaft schließen = se faire des amis,,,,,,,
266,19,Während ihres Austauschsemesters hat sie schnell _____ mit ihren Mitbewohnern geschlossen.,Freundschaft,Freundschaft schließen,Während ihres Austauschsemesters hat sie schnell Freundschaft mit ihren Mitbewohnern geschlossen.,"During her exchange semester, she quickly made friends with her roommates.","Pendant son semestre d’échange, elle s’est rapidement liée d’amitié avec ses colocataires.",,,,,"Freundschaft schließen = to make friends, to become friends",Freundschaft schließen = se faire des amis,,,,,,,
267,19,"Bitte nehmen Sie _____, der Arzt wird gleich bei Ihnen sein.",Platz,Platz nehmen,"Bitte nehmen Sie Platz, der Arzt wird gleich bei Ihnen sein.","Please take a seat, the doctor will be with you shortly.","Veuillez prendre place, le médecin sera avec vous dans un instant.",,,,,"Platz nehmen = to seat, to take a seat","Platz nehmen = s'assoir, prendre place",,,,,,,
268,19,"Als die Präsentation begann, nahmen alle ruhig _____ und hörten aufmerksam zu.",Platz,Platz nehmen,"Als die Präsentation begann, nahmen alle ruhig Platz und hörten aufmerksam zu.","When the presentation started, everyone took their seats and listened carefully.","Quand la présentation a commencé, tout le monde a pris place et a écouté attentivement.",,,,,"Platz nehmen = to seat, to take a seat","Platz nehmen = s'assoir, prendre place",,,,,,,
269,19,"Ich versuche gerade _____ zu bringen, wer für das neue Projekt verantwortlich ist.",in Erfahrung,in Erfahrung bringen,"Ich versuche gerade in Erfahrung zu bringen, wer für das neue Projekt verantwortlich ist.",I'm currently trying to find out who is responsible for the new project.,J’essaie en ce moment de découvrir qui est responsable du nouveau projet.,,,,,"etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen = to find out, to learn, to come to know","etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen = apprendre, se renseigner",,,,,,,
270,19,"Wir müssen _____ bringen, welche Anforderungen der Kunde wirklich hat.",in Erfahrung,in Erfahrung bringen,"Wir müssen in Erfahrung bringen, welche Anforderungen der Kunde wirklich hat.",We need to find out what the client’s real requirements are.,Nous devons découvrir quelles sont réellement les exigences du client.,,,,,"etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen = to find out, to learn, to come to know","etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen = apprendre, se renseigner",,,,,,,
271,19,"Für sie ging ein großer Wunsch _____, als sie ihr eigenes Café eröffnen konnte.",in Erfüllung,in Erfüllung gehen,"Für sie ging ein großer Wunsch in Erfüllung, als sie ihr eigenes Café eröffnen konnte.",A big wish came true for her when she was able to open her own café.,Un grand souhait s’est réalisé pour elle quand elle a pu ouvrir son propre café.,,,,,"in Erfüllung gehen = to come true, to fulfill",in Erfüllung gehen = se réaliser,,,,,,,
272,19,"Wenn all diese Bedingungen erfüllt sind, kann der Vertrag offiziell _____ gehen.",in Erfüllung,in Erfüllung gehen,"Wenn all diese Bedingungen erfüllt sind, kann der Vertrag offiziell in Erfüllung gehen.","If all these conditions are met, the contract can officially come into effect.","Si toutes ces conditions sont remplies, le contrat peut officiellement entrer en vigueur.",,,,,"in Erfüllung gehen = to come true, to fulfill",in Erfüllung gehen = se réaliser,,,,,,,
273,19,"Nach langen Diskussionen fasste das Team den _____, das Projekt zu verschieben.",Entschluss,einen Entschluss fassen,"Nach langen Diskussionen fasste das Team den Entschluss, das Projekt zu verschieben.","After long discussions, the team made the decision to postpone the project.","Après de longues discussions, l’équipe a pris la décision de reporter le projet.",,,,,einen Entschluss fassen = to decide,einen Entschluss fassen = prendre une décision,,,,,,,
274,19,"Sie hat den _____ gefasst, ein Jahr im Ausland zu arbeiten.",Entschluss,einen Entschluss fassen,"Sie hat den Entschluss gefasst, ein Jahr im Ausland zu arbeiten.",She made the decision to work abroad for a year.,Elle a pris la décision de travailler à l’étranger pendant un an.,,,,,einen Entschluss fassen = to decide,einen Entschluss fassen = prendre une décision,,,,,,,
275,19,Nach mehreren Monaten Arbeit ist das Projekt endlich _____ gekommen.,zum Abschluss,zum Abschluss kommen,Nach mehreren Monaten Arbeit ist das Projekt endlich zum Abschluss gekommen.,"After several months of work, the project has finally come to an end.","Après plusieurs mois de travail, le projet est enfin arrivé à son terme.",,,,,zum Abschluss kommen = to come to a conclusion,zum Abschluss kommen = arriver à une conclusion,,,,,,,
276,19,Die Verhandlungen kamen erst spät in der Nacht _____.,zum Abschluss,zum Abschluss kommen,Die Verhandlungen kamen erst spät in der Nacht zum Abschluss.,The negotiations only came to an end late at night.,Les négociations ne se sont terminées que tard dans la nuit.,,,,,zum Abschluss kommen = to come to a conclusion,zum Abschluss kommen = arriver à une conclusion,,,,,,,
277,19,"Die Reparatur hat mehr Zeit _____ genommen, als wir erwartet hatten.",in Anspruch,in Anspruch nehmen,"Die Reparatur hat mehr Zeit in Anspruch genommen, als wir erwartet hatten.",The repair took more time than we expected.,La réparation a pris plus de temps que prévu.,,,,,"etw.<sup>Acc</sup> in Anspruch nehmen = to use, to make use of",etw.<sup>Acc</sup> in Anspruch nehmen = utiliser,,,,,,,
278,19,"Viele Menschen nehmen professionelle Unterstützung _____, wenn sie überfordert sind.",in Anspruch,in Anspruch nehmen,"Viele Menschen nehmen professionelle Unterstützung in Anspruch, wenn sie überfordert sind.",Many people make use of professional support when they feel overwhelmed.,Beaucoup de gens ont recours à un soutien professionnel lorsqu’ils se sentent dépassés.,,,,,"etw.<sup>Acc</sup> in Anspruch nehmen = to use, to make use of",etw.<sup>Acc</sup> in Anspruch nehmen = utiliser,,,,,,,
279,19,Ich habe gestern einen _____ auf Urlaub gestellt.,Antrag,einen Antrag stellen,Ich habe gestern einen Antrag auf Urlaub gestellt.,I submitted a request for vacation yesterday.,J’ai déposé une demande de congé hier.,,,,,einen Antrag stellen = to apply for,einen Antrag stellen = soumettre une candidature,,,,,,,
280,19,Sie hat beim Amt einen _____ auf Unterstützung gestellt.,Antrag,einen Antrag stellen,Sie hat beim Amt einen Antrag auf Unterstützung gestellt.,She submitted an application for assistance at the office.,Elle a déposé une demande d’aide auprès de l’administration.,,,,,einen Antrag stellen = to apply for,einen Antrag stellen = soumettre une candidature,,,,,,,
281,20,"Die Feuerwehr hat sofort Hilfe _____, nachdem die Bewohner das Gebäude verlassen hatten.",geleistet,Hilfe leisten,"Die Feuerwehr hat sofort Hilfe geleistet, nachdem die Bewohner das Gebäude verlassen hatten.",The fire department immediately provided assistance after the residents left the building.,Les pompiers ont immédiatement apporté leur aide après que les habitants ont quitté le bâtiment.,,,,,"Hilfe leisten = to help, to provide assistance","Hilfe leisten = aider, fournir de l'aide",,,,,,,
282,20,"Um in Krisensituationen wirksam Hilfe _____ zu können, braucht man Erfahrung und gute Vorbereitung.",leisten,Hilfe leisten,"Um in Krisensituationen wirksam Hilfe leisten zu können, braucht man Erfahrung und gute Vorbereitung.","To be able to provide effective help in crisis situations, you need experience and good preparation.","Pour pouvoir apporter de l’aide efficacement dans des situations de crise, il faut de l’expérience et une bonne préparation.",,,,,"Hilfe leisten = to help, to provide assistance","Hilfe leisten = aider, fournir de l'aide",,,,,,,
283,20,"Die Firma sucht Bewerber, die Interesse an nachhaltigen Technologien _____.",zeigen,Interesse zeigen,"Die Firma sucht Bewerber, die Interesse an nachhaltigen Technologien zeigen.",The company is looking for applicants who show interest in sustainable technologies.,L’entreprise cherche des candidats qui montrent de l’intérêt pour les technologies durables.,,,,,"Interesse zeigen = to be interested in, to show interest",Interesse zeigen = montrer de l'intérêt,,,,,,,
284,20,"Wenn Studierende Interesse im Unterricht _____, entsteht eine viel motivierendere Atmosphäre.",zeigen,Interesse zeigen,"Wenn Studierende Interesse im Unterricht zeigen, entsteht eine viel motivierendere Atmosphäre.","When students show interest in class, a much more motivating atmosphere develops.","Quand les étudiants montrent de l’intérêt en cours, une atmosphère beaucoup plus motivante se crée.",,,,,"Interesse zeigen = to be interested in, to show interest",Interesse zeigen = montrer de l'intérêt,,,,,,,
285,20,"Kinder _____ oft sehr leicht Freundschaft, wenn sie gemeinsam spielen.",schließen,Freundschaft schließen,"Kinder schließen oft sehr leicht Freundschaft, wenn sie gemeinsam spielen.",Children often make friends very easily when they play together.,Les enfants se lient souvent très facilement d’amitié quand ils jouent ensemble.,,,,,"Freundschaft schließen = to make friends, to become friends",Freundschaft schließen = se faire des amis,,,,,,,
286,20,"Wenn man offen bleibt und Interesse zeigt, kann man in jeder Lebensphase Freundschaft _____.",schließen,Freundschaft schließen,"Wenn man offen bleibt und Interesse zeigt, kann man in jeder Lebensphase Freundschaft schließen.","If you stay open and show interest, you can make friends at any stage of life.","Si on reste ouvert et qu’on montre de l’intérêt, on peut se faire des amis à n’importe quel moment de la vie.",,,,,"Freundschaft schließen = to make friends, to become friends",Freundschaft schließen = se faire des amis,,,,,,,
287,20,"Der Moderator bat die Gäste, auf der Bühne Platz zu _____.",nehmen,Platz nehmen,"Der Moderator bat die Gäste, auf der Bühne Platz zu nehmen.",The moderator asked the guests to take a seat on the stage.,Le présentateur a demandé aux invités de prendre place sur la scène.,,,,,"Platz nehmen = to seat, to take a seat","Platz nehmen = s'assoir, prendre place",,,,,,,
288,20,"Nachdem wir im Restaurant Platz _____ hatten, brachte der Kellner sofort die Speisekarten.",genommen,Platz nehmen,"Nachdem wir im Restaurant Platz genommen hatten, brachte der Kellner sofort die Speisekarten.","After we took our seats in the restaurant, the waiter immediately brought the menus.","Après avoir pris place au restaurant, le serveur a apporté les menus immédiatement.",,,,,"Platz nehmen = to seat, to take a seat","Platz nehmen = s'assoir, prendre place",,,,,,,
289,20,"Er hat in Erfahrung _____, dass die Firma bald eine neue Filiale eröffnen wird.",gebracht,in Erfahrung bringen,"Er hat in Erfahrung gebracht, dass die Firma bald eine neue Filiale eröffnen wird.",He found out that the company will soon open a new branch.,Il a appris que l’entreprise va bientôt ouvrir une nouvelle filiale.,,,,,"etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen = to find out, to learn, to come to know","etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen = apprendre, se renseigner",,,,,,,
290,20,"Um eine gute Entscheidung treffen zu können, sollte man zuerst alle wichtigen Details in Erfahrung _____.",bringen,in Erfahrung bringen,"Um eine gute Entscheidung treffen zu können, sollte man zuerst alle wichtigen Details in Erfahrung bringen.","To be able to make a good decision, one should first find out all the important details.","Pour pouvoir prendre une bonne décision, il faut d’abord découvrir tous les détails importants.",,,,,"etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen = to find out, to learn, to come to know","etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen = apprendre, se renseigner",,,,,,,
291,20,"Sein Kindheitstraum _____ endlich in Erfüllung, als er Pilot wurde.",ging,in Erfüllung gehen,"Sein Kindheitstraum ging endlich in Erfüllung, als er Pilot wurde.",His childhood dream finally came true when he became a pilot.,Son rêve d’enfance s’est enfin réalisé quand il est devenu pilote.,,,,,"in Erfüllung gehen = to come true, to fulfill",in Erfüllung gehen = se réaliser,,,,,,,
292,20,Hoffentlich _____ deine Pläne nächstes Jahr in Erfüllung.,gehen,in Erfüllung gehen,Hoffentlich gehen deine Pläne nächstes Jahr in Erfüllung.,Hopefully your plans will come true next year.,J’espère que tes projets se réaliseront l’année prochaine.,,,,,"in Erfüllung gehen = to come true, to fulfill",in Erfüllung gehen = se réaliser,,,,,,,
293,20,"Manche Menschen brauchen viel Zeit, bevor sie einen wichtigen Entschluss _____.",fassen,einen Entschluss fassen,"Manche Menschen brauchen viel Zeit, bevor sie einen wichtigen Entschluss fassen.",Some people need a lot of time before they make an important decision.,Certaines personnes ont besoin de beaucoup de temps avant de prendre une décision importante.,,,,,einen Entschluss fassen = to decide,einen Entschluss fassen = prendre une décision,,,,,,,
294,20,"Nachdem er alle Informationen gesammelt hatte, _____ er schließlich den Entschluss, das Angebot anzunehmen.",fasste,einen Entschluss fassen,"Nachdem er alle Informationen gesammelt hatte, fasste er schließlich den Entschluss, das Angebot anzunehmen.","After gathering all the information, he finally decided to accept the offer.","Après avoir rassemblé toutes les informations, il a finalement pris la décision d’accepter l’offre.",,,,,einen Entschluss fassen = to decide,einen Entschluss fassen = prendre une décision,,,,,,,
295,20,Die Sitzung _____ schneller zum Abschluss als erwartet.,kam,zum Abschluss kommen,Die Sitzung kam schneller zum Abschluss als erwartet.,The meeting came to an end faster than expected.,La réunion s’est terminée plus rapidement que prévu.,,,,,zum Abschluss kommen = to come to a conclusion,zum Abschluss kommen = arriver à une conclusion,,,,,,,
296,20,"Erst als beide Seiten einen Kompromiss fanden, konnte der Streit zum Abschluss _____.",kommen,zum Abschluss kommen,"Erst als beide Seiten einen Kompromiss fanden, konnte der Streit zum Abschluss kommen.",Only when both sides found a compromise could the dispute come to an end.,Ce n’est que lorsque les deux parties ont trouvé un compromis que le conflit a pu se terminer.,,,,,zum Abschluss kommen = to come to a conclusion,zum Abschluss kommen = arriver à une conclusion,,,,,,,
297,20,"Der Service kann nur in Anspruch _____ werden, wenn man vorher einen Termin vereinbart.",genommen,in Anspruch nehmen,"Der Service kann nur in Anspruch genommen werden, wenn man vorher einen Termin vereinbart.",The service can only be used if you schedule an appointment beforehand.,Le service ne peut être utilisé que si l’on prend un rendez-vous au préalable.,,,,,"etw.<sup>Acc</sup> in Anspruch nehmen = to use, to make use of",etw.<sup>Acc</sup> in Anspruch nehmen = utiliser,,,,,,,
298,20,Das neue Projekt _____ zurzeit alle unsere Kapazitäten in Anspruch.,nimmt,in Anspruch nehmen,Das neue Projekt nimmt zurzeit alle unsere Kapazitäten in Anspruch.,The new project is currently using up all our capacities.,Le nouveau projet prend actuellement toutes nos capacités.,,,,,"etw.<sup>Acc</sup> in Anspruch nehmen = to use, to make use of",etw.<sup>Acc</sup> in Anspruch nehmen = utiliser,,,,,,,
299,20,Der Antrag wurde pünktlich _____ und genehmigt.,gestellt,einen Antrag stellen,Der Antrag wurde pünktlich gestellt und genehmigt.,The application was submitted on time and approved.,La demande a été déposée à temps et approuvée.,,,,,einen Antrag stellen = to apply for,einen Antrag stellen = soumettre une candidature,,,,,,,
300,20,Er hat ihr einen Heiratsantrag _____.,gestellt,einen Antrag stellen,Er hat ihr einen Heiratsantrag gestellt.,He proposed to her.,Il lui a fait une demande en mariage.,,,,,einen Antrag stellen = to apply for,einen Antrag stellen = soumettre une candidature,,,,,,,
301,21,_____ stehen,zur Diskussion,zur Diskussion stehen,zur Diskussion stehen,to be up to discuss,être en discussion,Feminine,Féminin,,,zur Diskussion stehen = to be up to discuss,zur Diskussion stehen = être en discussion,,,,B2C1,zur Diskussion stehen,fixed expression,diskutiert werden
302,21,jdn./etw.<sup>Acc</sup> _____ bringen,zur Sprache,zur Sprache bringen,jdn./etw.<sup>Acc</sup> zur Sprache bringen,to bring something up,"aborder un sujet, évoquer un sujet",Feminine,Féminin,zur Sprache bringen (jdn./etw.<sup>Acc</sup> ~),,jdn./etw.<sup>Acc</sup> zur Sprache bringen = to bring something up,"jdn./etw.<sup>Acc</sup> zur Sprache bringen = aborder un sujet, évoquer un sujet",,,,C1,zur Sprache bringen,yes,ansprechen
303,21,_____ kommen,zur Sprache,zur Sprache kommen,zur Sprache kommen,to come up,"être évoqué, être abordé",Feminine,Féminin,,,zur Sprache kommen = to come up,"zur Sprache kommen = être évoqué, être abordé",,,,B2C1,zur Sprache kommen,fixed expression,erwähnt werden
304,21,etw.<sup>Acc</sup> _____ stellen,zur Diskussion,zur Diskussion stellen,etw.<sup>Acc</sup> zur Diskussion stellen,to put up for discussion,soumettre à la discussion,Feminine,Féminin,etw.<sup>Acc</sup> zur Diskussion stellen,,etw.<sup>Acc</sup> zur Diskussion stellen = to put up for discussion,etw.<sup>Acc</sup> zur Diskussion stellen = soumettre à la discussion,,,,C1,zur Diskussion stellen,yes,"zur Debatte stellen, vorschlagen"
305,21,_____ treffen,eine Auswahl,eine Auswahl treffen,eine Auswahl treffen,to make a selection,faire une selection,Feminine,Féminin,,,eine Auswahl treffen = to make a selection,eine Auswahl treffen = faire une selection,,,,B2,eine Auswahl treffen,yes,auswählen
306,21,_____ führen,Verhandlungen,Verhandlungen führen,Verhandlungen führen,"to negociate, to conduct negotiations","méner des négociations, négocier",Plural,Pluriel,,,"Verhandlungen führen = to negociate, to conduct negotiations","Verhandlungen führen = méner des négociations, négocier",,,,B2C1,Verhandlungen führen,yes,verhandeln
307,21,etw.<sup>Acc</sup> _____ nehmen,zur Kenntnis,zur Kenntnis nehmen,etw.<sup>Acc</sup> zur Kenntnis nehmen,"to take note of something, to take notice of something, to recognise","prendre note, prendre connaissance de quelque chose",Feminine,Féminin,etw.<sup>Acc</sup> zur Kenntnis nehmen,,"etw.<sup>Acc</sup> zur Kenntnis nehmen = to take note of something, to take notice of something, to recognise","etw.<sup>Acc</sup> zur Kenntnis nehmen = prendre note, prendre connaissance de quelque chose",,,,C1,zur Kenntnis nehmen,yes,"zur Kenntnis nehmen ≈ registrieren, bemerken"
308,21,_____ stellen,Ansprüche,Ansprüche stellen,Ansprüche stellen,"to claim, to make demands","réclamer, présenter des réclamations",Plural,Pluriel,,,"Ansprüche stellen = to claim, to make demands","Ansprüche stellen = réclamer, présenter des réclamations",,,,C1,Ansprüche stellen,yes,"beanspruchen, fordern"
309,21,_____ machen,einen Eindruck,einen Eindruck machen,einen Eindruck machen,to make an impression,faire bonne impression,Masculine,Masculin,,,einen Eindruck machen = to make an impression,einen Eindruck machen = faire bonne impression,,,,B2,einen Eindruck machen,borderline NVV,wirken
310,21,_____ gewinnen,einen Eindruck,einen Eindruck gewinnen,einen Eindruck gewinnen,to gain an impression,se faire une impression,Masculine,Masculin,,,einen Eindruck gewinnen = to gain an impression,einen Eindruck gewinnen = se faire une impression,,,,B2C1,einen Eindruck gewinnen,borderline NVV,"wahrnehmen, erkennen"
311,22,zur Diskussion _____,stehen,zur Diskussion stehen,zur Diskussion stehen,to be up to discuss,être en discussion,,,,,zur Diskussion stehen = to be up to discuss,zur Diskussion stehen = être en discussion,,,,,,,
312,22,jdn./etw.<sup>Acc</sup> zur Sprache _____,bringen,zur Sprache bringen,jdn./etw.<sup>Acc</sup> zur Sprache bringen,to bring something up,"aborder un sujet, évoquer un sujet",,,,,jdn./etw.<sup>Acc</sup> zur Sprache bringen = to bring something up,"jdn./etw.<sup>Acc</sup> zur Sprache bringen = aborder un sujet, évoquer un sujet",,,,,,,
313,22,zur Sprache _____,kommen,zur Sprache kommen,zur Sprache kommen,to come up,"être évoqué, être abordé",,,,,zur Sprache kommen = to come up,"zur Sprache kommen = être évoqué, être abordé",,,,,,,
314,22,etw.<sup>Acc</sup> zur Diskussion _____,stellen,zur Diskussion stellen,etw.<sup>Acc</sup> zur Diskussion stellen,to put up for discussion,soumettre à la discussion,,,,,etw.<sup>Acc</sup> zur Diskussion stellen = to put up for discussion,etw.<sup>Acc</sup> zur Diskussion stellen = soumettre à la discussion,,,,,,,
315,22,eine Auswahl _____,treffen,eine Auswahl treffen,eine Auswahl treffen,to make a selection,faire une selection,,,,,eine Auswahl treffen = to make a selection,eine Auswahl treffen = faire une selection,,,,,,,
316,22,Verhandlungen _____,führen,Verhandlungen führen,Verhandlungen führen,"to negociate, to conduct negotiations","méner des négociations, négocier",,,,,"Verhandlungen führen = to negociate, to conduct negotiations","Verhandlungen führen = méner des négociations, négocier",,,,,,,
317,22,etw.<sup>Acc</sup> zur Kenntnis _____,nehmen,zur Kenntnis nehmen,etw.<sup>Acc</sup> zur Kenntnis nehmen,"to take note of something, to take notice of something, to recognise","prendre note, prendre connaissance de quelque chose",,,,,"etw.<sup>Acc</sup> zur Kenntnis nehmen = to take note of something, to take notice of something, to recognise","etw.<sup>Acc</sup> zur Kenntnis nehmen = prendre note, prendre connaissance de quelque chose",,,,,,,
318,22,Ansprüche _____,stellen,Ansprüche stellen,Ansprüche stellen,"to claim, to make demands","réclamer, présenter des réclamations",,,,,"Ansprüche stellen = to claim, to make demands","Ansprüche stellen = réclamer, présenter des réclamations",,,,,,,
319,22,einen Eindruck _____,machen,einen Eindruck machen,einen Eindruck machen,to make an impression,faire bonne impression,,,,,einen Eindruck machen = to make an impression,einen Eindruck machen = faire bonne impression,,,,,,,
320,22,einen Eindruck _____,gewinnen,einen Eindruck gewinnen,einen Eindruck gewinnen,to gain an impression,se faire une impression,,,,,einen Eindruck gewinnen = to gain an impression,einen Eindruck gewinnen = se faire une impression,,,,,,,
321,23,"Es stehen mehrere Vorschläge _____, und wir wollen jeden davon sorgfältig prüfen.",zur Diskussion,zur Diskussion stehen,"Es stehen mehrere Vorschläge zur Diskussion, und wir wollen jeden davon sorgfältig prüfen.","Several proposals are up for discussion, and we want to examine each of them carefully.","Plusieurs propositions sont en discussion, et nous voulons examiner chacune d’elles attentivement.",,,,,zur Diskussion stehen = to be up to discuss,zur Diskussion stehen = être en discussion,,,,,,,
322,23,"Ob die Regeln geändert werden sollen, steht heute im Ausschuss _____.",zur Diskussion,zur Diskussion stehen,"Ob die Regeln geändert werden sollen, steht heute im Ausschuss zur Diskussion.",Whether the rules should be changed is up for discussion in the committee today.,Le changement des règles est en discussion aujourd’hui au sein du comité.,,,,,zur Diskussion stehen = to be up to discuss,zur Diskussion stehen = être en discussion,,,,,,,
323,23,"Er wollte das Thema zunächst nicht _____ bringen, weil es sehr sensibel ist.",zur Sprache,zur Sprache bringen,"Er wollte das Thema zunächst nicht zur Sprache bringen, weil es sehr sensibel ist.",He didn’t want to bring up the topic at first because it is very sensitive.,"Il ne voulait pas aborder le sujet au début, car il est très sensible.",,,,,jdn./etw.<sup>Acc</sup> zur Sprache bringen = to bring something up,"jdn./etw.<sup>Acc</sup> zur Sprache bringen = aborder un sujet, évoquer un sujet",,,,,,,
324,23,In der Sitzung wurde der Konflikt endlich _____ gebracht.,zur Sprache,zur Sprache bringen,In der Sitzung wurde der Konflikt endlich zur Sprache gebracht.,The conflict was finally brought up in the meeting.,Le conflit a finalement été abordé lors de la réunion.,,,,,jdn./etw.<sup>Acc</sup> zur Sprache bringen = to bring something up,"jdn./etw.<sup>Acc</sup> zur Sprache bringen = aborder un sujet, évoquer un sujet",,,,,,,
325,23,In der Besprechung kam das Thema Budgetkürzungen schließlich _____.,zur Sprache,zur Sprache kommen,In der Besprechung kam das Thema Budgetkürzungen schließlich zur Sprache.,"In the meeting, the issue of budget cuts was finally brought up.","Lors de la réunion, la question des réductions budgétaires a finalement été abordée.",,,,,zur Sprache kommen = to come up,"zur Sprache kommen = être évoqué, être abordé",,,,,,,
326,23,Während der Konferenz kamen viele wichtige Punkte _____.,zur Sprache,zur Sprache kommen,Während der Konferenz kamen viele wichtige Punkte zur Sprache.,"During the conference, many important points were mentioned.","Pendant la conférence, de nombreux points importants ont été abordés.",,,,,zur Sprache kommen = to come up,"zur Sprache kommen = être évoqué, être abordé",,,,,,,
327,23,"Der Professor stellte eine provokante Frage _____, um die Studierenden zum Nachdenken zu bringen.",zur Diskussion,zur Diskussion stellen,"Der Professor stellte eine provokante Frage zur Diskussion, um die Studierenden zum Nachdenken zu bringen.",The professor put a provocative question up for discussion to make the students think.,Le professeur a soumis une question provocante à la discussion pour faire réfléchir les étudiants.,,,,,etw.<sup>Acc</sup> zur Diskussion stellen = to put up for discussion,etw.<sup>Acc</sup> zur Diskussion stellen = soumettre à la discussion,,,,,,,
328,23,In der Sitzung wurde ein neuer Vorschlag _____ gestellt.,zur Diskussion,zur Diskussion stellen,In der Sitzung wurde ein neuer Vorschlag zur Diskussion gestellt.,A new proposal was put up for discussion in the meeting.,"Lors de la réunion, une nouvelle proposition a été mise en discussion.",,,,,etw.<sup>Acc</sup> zur Diskussion stellen = to put up for discussion,etw.<sup>Acc</sup> zur Diskussion stellen = soumettre à la discussion,,,,,,,
329,23,"Bevor wir mit dem Projekt beginnen, müssen wir eine klare _____ treffen, welche Methoden wir verwenden wollen.",Auswahl,eine Auswahl treffen,"Bevor wir mit dem Projekt beginnen, müssen wir eine klare Auswahl treffen, welche Methoden wir verwenden wollen.","Before we start the project, we need to make a clear choice about which methods we want to use.","Avant de commencer le projet, nous devons faire un choix clair quant aux méthodes que nous voulons utiliser.",,,,,eine Auswahl treffen = to make a selection,eine Auswahl treffen = faire une selection,,,,,,,
330,23,"Unter Zeitdruck eine sinnvolle _____ zu treffen, fällt vielen Menschen überraschend schwer.",Auswahl,eine Auswahl treffen,"Unter Zeitdruck eine sinnvolle Auswahl zu treffen, fällt vielen Menschen überraschend schwer.",Making a sensible choice under time pressure is surprisingly difficult for many people.,Faire un choix raisonnable sous la pression du temps est étonnamment difficile pour beaucoup de gens.,,,,,eine Auswahl treffen = to make a selection,eine Auswahl treffen = faire une selection,,,,,,,
331,23,"Das Unternehmen führt derzeit intensive _____ mit potenziellen Investoren, um die Finanzierung für das neue Projekt zu sichern.",Verhandlungen,Verhandlungen führen,"Das Unternehmen führt derzeit intensive Verhandlungen mit potenziellen Investoren, um die Finanzierung für das neue Projekt zu sichern.",The company is currently conducting intense negotiations with potential investors to secure funding for the new project.,L’entreprise mène actuellement des négociations intensives avec des investisseurs potentiels afin de sécuriser le financement du nouveau projet.,,,,,"Verhandlungen führen = to negociate, to conduct negotiations","Verhandlungen führen = méner des négociations, négocier",,,,,,,
332,23,"Die Gewerkschaft hat angekündigt, nur dann weitere _____ zu führen, wenn der Arbeitgeber ein verbessertes Angebot vorlegt.",Verhandlungen,Verhandlungen führen,"Die Gewerkschaft hat angekündigt, nur dann weitere Verhandlungen zu führen, wenn der Arbeitgeber ein verbessertes Angebot vorlegt.",The union announced that it will only continue negotiations if the employer presents an improved offer.,Le syndicat a annoncé qu’il ne mènera de nouvelles négociations que si l’employeur présente une offre améliorée.,,,,,"Verhandlungen führen = to negociate, to conduct negotiations","Verhandlungen führen = méner des négociations, négocier",,,,,,,
