Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,opposite,type
995,38,"Es fiel ihnen schwer, sich nach so vielen gemeinsamen Jahren _____ zu trennen.",voneinander,"Es fiel ihnen schwer, sich nach so vielen gemeinsamen Jahren voneinander zu trennen.","After so many years together, they found it difficult to separate from one another.","Après tant d’années ensemble, ils ont eu du mal à se séparer l’un de l’autre.","voneinander = from each other, from one another","voneinander = l'un de l'autre, les uns des autres",,
996,38,Die unterschiedlichen Kulturen wuchsen im Laufe der Zeit immer stärker _____.,zueinander,Die unterschiedlichen Kulturen wuchsen im Laufe der Zeit immer stärker zueinander.,"Over time, the different cultures grew closer to one another.","Au fil du temps, les différentes cultures se sont rapprochées les unes des autres.","zueinander = to each other, to one another, toward each other","zueinander = l'un vers l'autre, les uns vers les autres",,
997,38,"In der Diskussion bewegten sich die gegensätzlichen Positionen allmählich _____, bis ein Kompromiss möglich wurde.",zueinander,"In der Diskussion bewegten sich die gegensätzlichen Positionen allmählich zueinander, bis ein Kompromiss möglich wurde.","In the discussion, the opposing positions gradually moved toward each other until a compromise became possible.","Au cours de la discussion, les positions opposées se sont progressivement rapprochées jusqu’à ce qu’un compromis soit possible.","zueinander = to each other, to one another, toward each other","zueinander = l'un vers l'autre, les uns vers les autres",,
998,38,Trotz der Konflikte konnten die beiden Staaten schließlich einen Weg _____ finden.,zueinander,Trotz der Konflikte konnten die beiden Staaten schließlich einen Weg zueinander finden.,"Despite the conflicts, the two states eventually managed to find a way toward each other.","Malgré les conflits, les deux États ont finalement réussi à trouver un chemin vers l’autre.","zueinander = to each other, to one another, toward each other","zueinander = l'un vers l'autre, les uns vers les autres",,
999,39,absolut,auf jeden Fall,"Die Argumente waren absolut überzeugend, sodass kaum Zweifel blieben.","definitely, for sure, absolutely","définitivement, à coup sûr, absolument","auf jeden fall = definitely, for sure, absolutely","auf jeden fall = définitivement, à coup sûr, absolument",,
1000,39,durchaus,auf jeden Fall,"Die Lösung erscheint durchaus realistisch, wenn man die aktuellen Daten berücksichtigt.","definitely, for sure, absolutely","définitivement, à coup sûr, absolument","auf jeden fall = definitely, for sure, absolutely","auf jeden fall = définitivement, à coup sûr, absolument",,
1001,39,unbedingt,auf jeden Fall,"Wir sollten unbedingt prüfen, ob alle Voraussetzungen erfüllt sind.","definitely, for sure, absolutely","définitivement, à coup sûr, absolument","auf jeden fall = definitely, for sure, absolutely","auf jeden fall = définitivement, à coup sûr, absolument",,
1002,39,ungefähr,circa,Die Kosten liegen ungefähr auf dem Niveau des Vorjahres.,"approximately, about","environ, approximativement","circa = approximately, about","circa = environ, approximativement",,
1003,39,anschließend,danach,"Wir klärten die wichtigsten Fragen, anschließend begann die praktische Umsetzung.","after, afterwards, thereafter","après, par la suite","danach = after, afterwards, thereafter","danach = après, par la suite",,
1004,39,hernach,danach,"Die Ergebnisse wurden ausgewertet, hernach folgte eine ausführliche Diskussion im Team.","after, afterwards, thereafter","après, par la suite","danach = after, afterwards, thereafter","danach = après, par la suite",,
1005,39,hinterher,danach,"Er präsentierte sein Konzept, hinterher wurde es intern weiter verfeinert.","after, afterwards, thereafter","après, par la suite","danach = after, afterwards, thereafter","danach = après, par la suite",,
1006,39,einst,einmal,"Einst galt das Gebäude als modern, doch heute wirkt es veraltet.",once,une fois,einmal = once,einmal = une fois,,
1007,39,beinahe,fast,"Sie war beinahe zu spät, konnte sich aber gerade noch vorstellen.",almost,presque,fast = almost,fast = presque,,
1008,39,nahezu,fast,"Die Werte haben sich nahezu verdoppelt, was viele überrascht hat.",almost,presque,fast = almost,fast = presque,,
1009,39,quasi,fast,"Der Plan war quasi fertig, nur wenige Details fehlten noch.",almost,presque,fast = almost,fast = presque,,
1010,39,zugleich,gleichzeitig,"Das neue System ist effizienter, zugleich bietet es mehr Flexibilität.","at the same time, simultaneously","en même temps, simultanément","gleichzeitig = at the same time, simultaneously","gleichzeitig = en même temps, simultanément",,
1011,39,angenehmerweise,glücklicherweise,Angenehmerweise konnten wir alle Probleme schneller lösen als erwartet.,fortunately,heureusement,glücklicherweise = fortunately,glücklicherweise = heureusement,,
1012,39,erfreulicherweise,glücklicherweise,Erfreulicherweise zeigte die Umfrage ein deutlich positiveres Bild als befürchtet.,fortunately,heureusement,glücklicherweise = fortunately,glücklicherweise = heureusement,,
1013,39,vornehmlich,hauptsächlich,Vornehmlich konzentriert sich die Studie auf strukturelle Veränderungen im Markt.,"primarily, mainly",principalement,"hauptsächlich = primarily, mainly",hauptsächlich = principalement,,
1014,39,heut,heute,Heut wird das Konzept erstmals der Öffentlichkeit präsentiert.,today,aujourd'hui,heute = today,heute = aujourd'hui,,
1015,39,stets,immer,"Stets bemüht er sich, die Erwartungen seiner Kunden zu übertreffen.",always,toujours,immer = always,immer = toujours,,
1016,39,in der Zwischenzeit,inzwischen,In der Zwischenzeit haben wir mehrere alternative Ansätze entwickelt.,"in the meantime, meanwhile, by now, since then","en attendant, depuis lors, désormais","inzwischen = in the meantime, meanwhile, by now, since then","inzwischen = en attendant, depuis lors, désormais",,
1017,39,mittlerweile,inzwischen,"Mittlerweile ist deutlich erkennbar, wie stark sich die Branche wandelt.","in the meantime, meanwhile, by now, since then","en attendant, depuis lors, désormais","inzwischen = in the meantime, meanwhile, by now, since then","inzwischen = en attendant, depuis lors, désormais",,
1018,39,unterdessen,inzwischen,Unterdessen prüft ein Expertenteam die technischen Risiken.,"in the meantime, meanwhile, by now, since then","en attendant, depuis lors, désormais","inzwischen = in the meantime, meanwhile, by now, since then","inzwischen = en attendant, depuis lors, désormais",,
1019,39,knapp,kaum,Knapp ein Drittel der Befragten sprach sich für die Änderung aus.,"hardly, barely",à peine,"kaum = hardly, barely",kaum = à peine,,
1020,39,größtenteils,meistens,Größtenteils wurden die gesteckten Ziele erfolgreich umgesetzt.,"mostly, usually","principalement, habituellement","meistens = mostly, usually","meistens = principalement, habituellement",,
1021,39,zumeist,meistens,Zumeist lassen sich die Schwierigkeiten auf organisatorische Gründe zurückführen.,"mostly, usually","principalement, habituellement","meistens = mostly, usually","meistens = principalement, habituellement",,
1022,39,freilich,natürlich,"Freilich bleibt abzuwarten, ob die Prognosen tatsächlich eintreffen.","naturally, of course","naturellement, bien sûr","natürlich = naturally, of course","natürlich = naturellement, bien sûr",,
1023,39,niemals,nie,"Niemals hätte ich gedacht, dass das Projekt so große Aufmerksamkeit bekommt.",never,jamais,nie = never,nie = jamais,,
1024,40,,schriftlich,mündlich,mündlich = orally,mündlich = oralement,"schriftlich = in written form, in writing","schriftlich = sous forme écrite, par écrit",,
1025,40,,mündlich,schriftlich,"schriftlich = in written form, in writing","schriftlich = sous forme écrite, par écrit",mündlich = orally,mündlich = oralement,,
1026,40,,formal,umgangssprachlich,umgangssprachlich = colloquially,umgangssprachlich = familièrement,formal = formally,formal = formellement,,
1027,40,,umgangssprachlich,formal,formal = formally,formal = formellement,umgangssprachlich = colloquially,umgangssprachlich = familièrement,,
1028,40,,langfristig,kurzfristig,kurzfristig = over the short term,kurzfristig = sur le court terme,langfristig = sur le long terme,langfristig = sur le long terme,,
1029,40,,kurzfristig,langfristig,langfristig = over the long term,langfristig = sur le long terme,kurzfristig = sur le court terme,kurzfristig = sur le court terme,,
1030,40,,frühestens,spätestens,spätestens = at the latest,spätestens = au plus tard,frühestens = au plus tôt,frühestens = au plus tôt,,
1031,40,,spätestens,frühestens,frühestens = at the earliest,frühestens = au plus tôt,spätestens = au plus tard,spätestens = au plus tard,,
1032,41,,äußerst,,extremely,extrêmement,äußerst = extremely,äußerst = extrêmement,,
1033,41,,ausschließlich,,exclusively,exclusivement,ausschließlich = exclusively,ausschließlich = exclusivement,,
1034,41,,versehentlich,,"accidentally, inadvertently","accidentellement, par inadvertance","versehentlich = accidentally, inadvertently","versehentlich = accidentellement, par inadvertance",,
1035,41,,ungern,,"reluctantly, unwillingly",à contrecœur,"ungern = reluctantly, unwillingly",ungern = à contrecœur,,
1036,41,,freiwillig,,voluntarily,volontairement,freiwillig = voluntarily,freiwillig = volontairement,,
1037,41,,vollständig,,completely,complètement,vollständig = completely,vollständig = complètement,,
1038,41,,rechtlich,,legally,légalement,rechtlich = legally,rechtlich = légalement,,
1039,41,,gründlich,,thoroughly,soigneusement,gründlich = thoroughly,gründlich = soigneusement,,
1040,41,,entsprechend,,"accordingly, correspondingly",en conséquence,"entsprechend = accordingly, correspondingly",entsprechend = en conséquence,,
1041,42,Das Hotel war _____ komfortabel und gut ausgestattet.,äußerst,Das Hotel war äußerst komfortabel und gut ausgestattet.,The hotel was extremely comfortable and well-equipped.,L'hôtel était extrêmement confortable et bien équipé.,äußerst = extremely,äußerst = extrêmement,,
1042,42,Er ist ein _____ talentierter Musiker.,äußerst,Er ist ein äußerst talentierter Musiker.,He is an extremely talented musician.,C'est un musicien extrêmement talentueux.,äußerst = extremely,äußerst = extrêmement,,
1043,42,Die Situation ist _____ kompliziert und erfordert eine schnelle Lösung.,äußerst,Die Situation ist äußerst kompliziert und erfordert eine schnelle Lösung.,The situation is extremely complicated and requires a quick solution.,La situation est extrêmement compliquée et nécessite une solution rapide.,äußerst = extremely,äußerst = extrêmement,,
1044,42,Sie war _____ überrascht über die plötzliche Einladung.,äußerst,Sie war äußerst überrascht über die plötzliche Einladung.,She was extremely surprised about the sudden invitation.,Elle fut extrêmement surprise par cette invitation soudaine.,äußerst = extremely,äußerst = extrêmement,,
1045,42,Dieses Buch ist _____ interessant und empfehlenswert.,äußerst,Dieses Buch ist äußerst interessant und empfehlenswert.,This book is extremely interesting and highly recommended.,Ce livre est extrêmement intéressant et fortement recommandé.,äußerst = extremely,äußerst = extrêmement,,
1046,42,Dieses Angebot gilt _____ für neue Kunden.,ausschließlich,Dieses Angebot gilt ausschließlich für neue Kunden.,This offer is exclusively for new customers.,Cette offre est exclusivement réservée aux nouveaux clients.,ausschließlich = exclusively,ausschließlich = exclusivement,,
1047,42,Er ernährt sich _____ von biologischen Lebensmitteln.,ausschließlich,Er ernährt sich ausschließlich von biologischen Lebensmitteln.,He eats exclusively organic food.,Il mange exclusivement des aliments biologiques.,ausschließlich = exclusively,ausschließlich = exclusivement,,
1048,42,Die Parkplätze sind _____ für Mitarbeiter reserviert.,ausschließlich,Die Parkplätze sind ausschließlich für Mitarbeiter reserviert.,The parking spaces are reserved exclusively for employees.,Les places de parking sont réservées exclusivement aux salariés.,ausschließlich = exclusively,ausschließlich = exclusivement,,
1049,42,Der Zugang zum VIP-Bereich ist _____ mit einer speziellen Karte möglich.,ausschließlich,Der Zugang zum VIP-Bereich ist ausschließlich mit einer speziellen Karte möglich.,Access to the VIP area is only possible with a special card.,L'accès à la zone VIP n'est possible qu'avec une carte spéciale.,ausschließlich = exclusively,ausschließlich = exclusivement,,
1050,42,Dieses Produkt wird _____ in Deutschland hergestellt.,ausschließlich,Dieses Produkt wird ausschließlich in Deutschland hergestellt.,This product is manufactured exclusively in Germany.,Ce produit est fabriqué exclusivement en Allemagne.,ausschließlich = exclusively,ausschließlich = exclusivement,,
1051,42,"Er hat sich _____ gemeldet, um beim Projekt mitzuhelfen.",freiwillig,"Er hat sich freiwillig gemeldet, um beim Projekt mitzuhelfen.",He volunteered to help with the project.,Il s'est porté volontaire pour aider au projet.,freiwillig = voluntarily,freiwillig = volontairement,,
1052,42,Niemand wurde gezwungen – alle haben _____ teilgenommen.,freiwillig,Niemand wurde gezwungen – alle haben freiwillig teilgenommen.,No one was forced – everyone participated voluntarily.,Personne n'a été forcé – la participation de chacun était volontaire.,freiwillig = voluntarily,freiwillig = volontairement,,
1053,42,Sie arbeitet _____ in einem sozialen Projekt im Ausland.,freiwillig,Sie arbeitet freiwillig in einem sozialen Projekt im Ausland.,She works voluntarily on a social project abroad.,Elle travaille bénévolement sur un projet social à l'étranger.,freiwillig = voluntarily,freiwillig = volontairement,,
1054,42,Die Schüler haben _____ eine zusätzliche Aufgabe erledigt.,freiwillig,Die Schüler haben freiwillig eine zusätzliche Aufgabe erledigt.,The students completed an additional task voluntarily.,Les élèves ont réalisé une tâche supplémentaire de leur propre initiative.,freiwillig = voluntarily,freiwillig = volontairement,,
1055,42,"Ich habe _____ auf den Bonus verzichtet, um das Team zu unterstützen.",freiwillig,"Ich habe freiwillig auf den Bonus verzichtet, um das Team zu unterstützen.",I voluntarily gave up the bonus to support the team.,J'ai volontairement renoncé à ma prime pour soutenir l'équipe.,freiwillig = voluntarily,freiwillig = volontairement,,
1056,42,Ich habe _____ die falsche Datei gelöscht.,versehentlich,Ich habe versehentlich die falsche Datei gelöscht.,I accidentally deleted the wrong file.,J'ai supprimé le mauvais fichier par erreur.,"versehentlich = accidentally, inadvertently","versehentlich = accidentellement, par inadvertance",,
1057,42,Sie hat _____ einen wichtigen Termin verpasst.,versehentlich,Sie hat versehentlich einen wichtigen Termin verpasst.,She accidentally missed an important appointment.,Elle a manqué un rendez-vous important par inadvertance.,"versehentlich = accidentally, inadvertently","versehentlich = accidentellement, par inadvertance",,
1058,42,Der Mitarbeiter hat _____ vertrauliche Informationen weitergegeben.,versehentlich,Der Mitarbeiter hat versehentlich vertrauliche Informationen weitergegeben.,The employee accidentally passed on confidential information.,L'employé a transmis accidentellement des informations confidentielles.,"versehentlich = accidentally, inadvertently","versehentlich = accidentellement, par inadvertance",,
1059,42,Das Paket wurde _____ an die falsche Adresse geschickt.,versehentlich,Das Paket wurde versehentlich an die falsche Adresse geschickt.,The package was mistakenly sent to the wrong address.,Le colis a été envoyé par erreur à la mauvaise adresse.,"versehentlich = accidentally, inadvertently","versehentlich = accidentellement, par inadvertance",,
1060,42,"Er hat _____ den Alarm ausgelöst, als er die Tür öffnete.",versehentlich,"Er hat versehentlich den Alarm ausgelöst, als er die Tür öffnete.",He accidentally triggered the alarm when he opened the door.,Il a déclenché l'alarme par inadvertance en ouvrant la porte.,"versehentlich = accidentally, inadvertently","versehentlich = accidentellement, par inadvertance",,
1061,42,Die Aufgabe wurde _____ und fehlerfrei erledigt.,vollständig,Die Aufgabe wurde vollständig und fehlerfrei erledigt.,The task was completed fully and without errors.,La tâche a été entièrement accomplie et sans erreur.,vollständig = completely,vollständig = complètement,,
1062,42,Ich habe den Bericht _____ gelesen und verstehe nun alles besser.,vollständig,Ich habe den Bericht vollständig gelesen und verstehe nun alles besser.,I read the report completely and now understand everything better.,J'ai lu le rapport en entier et je comprends maintenant tout mieux.,vollständig = completely,vollständig = complètement,,
1063,42,Die Daten wurden _____ gelöscht und können nicht wiederhergestellt werden.,vollständig,Die Daten wurden vollständig gelöscht und können nicht wiederhergestellt werden.,The data was completely deleted and cannot be recovered.,Les données ont été définitivement effacées et ne peuvent être récupérées.,vollständig = completely,vollständig = complètement,,
1064,42,Er hat die Situation _____ falsch eingeschätzt.,vollständig,Er hat die Situation vollständig falsch eingeschätzt.,He completely misjudged the situation.,Il a complètement mal évalué la situation.,vollständig = completely,vollständig = complètement,,
1065,42,Das Projekt wurde trotz Schwierigkeiten _____ abgeschlossen.,vollständig,Das Projekt wurde trotz Schwierigkeiten vollständig abgeschlossen.,The project was completed fully despite difficulties.,Le projet a été mené à terme malgré les difficultés.,vollständig = completely,vollständig = complètement,,
1066,42,Die Vereinbarung ist _____ bindend und muss eingehalten werden.,rechtlich,Die Vereinbarung ist rechtlich bindend und muss eingehalten werden.,The agreement is legally binding and must be followed.,Cet accord est juridiquement contraignant et doit être respecté.,rechtlich = legally,rechtlich = légalement,,
1067,42,"Das Vorgehen ist _____ erlaubt, aber moralisch umstritten.",rechtlich,"Das Vorgehen ist rechtlich erlaubt, aber moralisch umstritten.",The procedure is legally allowed but morally controversial.,La procédure est autorisée légalement mais moralement controversée.,rechtlich = legally,rechtlich = légalement,,
1068,42,"Er handelt _____ korrekt, auch wenn es unpopulär ist.",rechtlich,"Er handelt rechtlich korrekt, auch wenn es unpopulär ist.","He acts legally correctly, even if it’s unpopular.","Il agit en toute légalité, même si c'est impopulaire.",rechtlich = legally,rechtlich = légalement,,
1069,42,Die Firma hat sich _____ gegen die Vorwürfe verteidigt.,rechtlich,Die Firma hat sich rechtlich gegen die Vorwürfe verteidigt.,The company defended itself legally against the accusations.,L'entreprise s'est défendue juridiquement contre ces accusations.,rechtlich = legally,rechtlich = légalement,,
1070,42,"Dieses Problem muss _____ geprüft werden, bevor wir entscheiden.",rechtlich,"Dieses Problem muss rechtlich geprüft werden, bevor wir entscheiden.",This issue must be legally examined before we make a decision.,Cette question doit être examinée sur le plan juridique avant que nous prenions une décision.,rechtlich = legally,rechtlich = légalement,,
1071,42,"Bevor wir eine Entscheidung treffen, sollten wir alle Optionen _____ analysieren.",gründlich,"Bevor wir eine Entscheidung treffen, sollten wir alle Optionen gründlich analysieren.","Before making a decision, we should thoroughly analyze all options.","Avant de prendre une décision, nous devons analyser en profondeur toutes les options.",gründlich = thoroughly,gründlich = soigneusement,,
1072,42,"Er hat den Vertrag _____ gelesen, bevor er unterschrieben hat.",gründlich,"Er hat den Vertrag gründlich gelesen, bevor er unterschrieben hat.",He read the contract thoroughly before signing it.,Il a lu attentivement le contrat avant de le signer.,gründlich = thoroughly,gründlich = soigneusement,,
1073,42,Die Wohnung wurde vor dem Einzug _____ renoviert.,gründlich,Die Wohnung wurde vor dem Einzug gründlich renoviert.,The apartment was thoroughly renovated before moving in.,L'appartement a été entièrement rénové avant mon emménagement.,gründlich = thoroughly,gründlich = soigneusement,,
1074,42,Sie bereitet sich immer _____ auf ihre Präsentationen vor.,gründlich,Sie bereitet sich immer gründlich auf ihre Präsentationen vor.,She always prepares thoroughly for her presentations.,Elle prépare toujours ses présentations de manière très minutieuse.,gründlich = thoroughly,gründlich = soigneusement,,
1075,42,Das Thema wurde im Seminar sehr _____ behandelt.,gründlich,Das Thema wurde im Seminar sehr gründlich behandelt.,The topic was covered very thoroughly in the seminar.,Le sujet a été traité de manière très approfondie lors du séminaire.,gründlich = thoroughly,gründlich = soigneusement,,
1076,42,Er hat viel Erfahrung und handelt _____ professionell.,entsprechend,Er hat viel Erfahrung und handelt entsprechend professionell.,He has a lot of experience and acts accordingly professionally.,Il possède une grande expérience et agit en conséquence avec professionnalisme.,"entsprechend = accordingly, correspondingly",entsprechend = en conséquence,,
1077,42,"Die Anforderungen waren hoch, und _____ fiel auch der Druck auf das Team aus.",entsprechend,"Die Anforderungen waren hoch, und entsprechend fiel auch der Druck auf das Team aus.","The requirements were high, and the pressure on the team was correspondingly high.","Les exigences étaient élevées, et la pression sur l'équipe était donc proportionnellement élevée.","entsprechend = accordingly, correspondingly",entsprechend = en conséquence,,
1078,42,"Die Mitarbeiter wurden _____ geschult, um den Anforderungen gerecht zu werden.",entsprechend,"Die Mitarbeiter wurden entsprechend geschult, um den Anforderungen gerecht zu werden.",The employees were trained accordingly to meet the requirements.,Les employés ont été formés en conséquence pour répondre aux exigences.,"entsprechend = accordingly, correspondingly",entsprechend = en conséquence,,
1079,42,"Die Diskussion wurde emotional, und _____ hitzig reagierten einige Teilnehmer.",entsprechend,"Die Diskussion wurde emotional, und entsprechend hitzig reagierten einige Teilnehmer.","The discussion became emotional, and some participants reacted heatedly.",La discussion s'est enflammée et certains participants ont réagi avec véhémence.,"entsprechend = accordingly, correspondingly",entsprechend = en conséquence,,
1080,42,"Die Datenlage ist unsicher, und _____ vorsichtig formulieren die Forschenden ihre Schlussfolgerungen.",entsprechend,"Die Datenlage ist unsicher, und entsprechend vorsichtig formulieren die Forschenden ihre Schlussfolgerungen.","The data situation is uncertain, and the researchers are therefore cautious in formulating their conclusions.","La situation des données est incertaine, et les chercheurs font donc preuve de prudence dans la formulation de leurs conclusions.","entsprechend = accordingly, correspondingly",entsprechend = en conséquence,,
1081,42,"Viele Führungskräfte geben _____ zu, dass sie den Überblick über komplexe Prozesse verloren haben.",ungern,"Viele Führungskräfte geben ungern zu, dass sie den Überblick über komplexe Prozesse verloren haben.",Many executives are reluctant to admit that they have lost oversight of complex processes.,Beaucoup de dirigeants admettent à contrecœur avoir perdu la maîtrise de processus complexes.,"ungern = reluctantly, unwillingly",ungern = à contrecœur,,
1082,42,"Sie räumte _____ ein, dass ihre ursprüngliche Einschätzung zu optimistisch gewesen war.",ungern,"Sie räumte ungern ein, dass ihre ursprüngliche Einschätzung zu optimistisch gewesen war.",She reluctantly admitted that her initial assessment had been too optimistic.,Elle a reconnu à contrecœur que son évaluation initiale avait été trop optimiste.,"ungern = reluctantly, unwillingly",ungern = à contrecœur,,
1083,42,"Fachabteilungen teilen _____ Daten, wenn unklar ist, wie diese später verwendet werden.",ungern,"Fachabteilungen teilen ungern Daten, wenn unklar ist, wie diese später verwendet werden.",Departments are reluctant to share data when it is unclear how it will later be used.,Les services partagent à contrecœur leurs données lorsqu’il n’est pas clair comment elles seront utilisées.,"ungern = reluctantly, unwillingly",ungern = à contrecœur,,
1084,42,"Er sprach _____ darüber, weil die Entscheidung intern noch immer als kontrovers gilt.",ungern,"Er sprach ungern darüber, weil die Entscheidung intern noch immer als kontrovers gilt.",He was reluctant to speak about it because the decision is still considered controversial internally.,"Il en parlait à contrecœur, car la décision reste controversée en interne.","ungern = reluctantly, unwillingly",ungern = à contrecœur,,
1085,42,"Organisationen ändern _____ etablierte Routinen, selbst wenn neue Informationen eindeutig für eine Anpassung sprechen.",ungern,"Organisationen ändern ungern etablierte Routinen, selbst wenn neue Informationen eindeutig für eine Anpassung sprechen.","Organizations are reluctant to change established routines, even when new information clearly argues for an adjustment.","Les organisations modifient à contrecœur leurs routines établies, même lorsque de nouvelles informations indiquent clairement qu’un ajustement s’impose.","ungern = reluctantly, unwillingly",ungern = à contrecœur,,
1086,43,,mehrmals,,"several times, repeatedly","plusieurs fois, à plusieurs reprises","mehrmals = several times, repeatedly","mehrmals = plusieurs fois, à plusieurs reprises",,
1087,43,,erstmals,,for the first time,pour la première fois,erstmals = for the first time,erstmals = pour la première fois,,
1088,43,,gegebenenfalls,,"if applicable, if necessary, if needed","si applicable, si nécessaire, si nécessaire","gegebenenfalls = if applicable, if necessary, if needed","gegebenenfalls = si applicable, si nécessaire, si nécessaire",,
1089,43,,jedenfalls,,"in any case, at least","en tout cas, au moins","jedenfalls = in any case, at least","jedenfalls = en tout cas, au moins",,
1090,43,,ehemals,,"formerly, previously",autrefois,"ehemals = formerly, previously",ehemals = autrefois,,
1091,43,,abermals,,once again,"à nouveau, une fois de plus",abermals = once again,"abermals = à nouveau, une fois de plus",,
1092,43,,allenfalls,,"at most, at best",tout au plus,"allenfalls = at most, at best",allenfalls = tout au plus,,
1093,43,,keinesfalls,,"under no circumstances, by no means",en aucun cas,"keinesfalls = under no circumstances, by no means",keinesfalls = en aucun cas,,
1094,44,"Ich habe ihn _____ angerufen, aber er hat nicht geantwortet.",mehrmals,"Ich habe ihn mehrmals angerufen, aber er hat nicht geantwortet.","I called him several times, but he didn’t answer.","Je l’ai appelé plusieurs fois, mais il n’a pas répondu.","mehrmals = several times, repeatedly","mehrmals = plusieurs fois, à plusieurs reprises",,
1095,44,"_____ am Tag trinke ich Wasser, um genug Flüssigkeit zu haben.",Mehrmals,"Mehrmals am Tag trinke ich Wasser, um genug Flüssigkeit zu haben.","Several times a day, I drink water to stay hydrated.","Plusieurs fois par jour, je bois de l’eau pour rester hydraté.","mehrmals = several times, repeatedly","mehrmals = plusieurs fois, à plusieurs reprises",,
1096,44,Er war schon _____ in Berlin und kennt die Stadt gut.,mehrmals,Er war schon mehrmals in Berlin und kennt die Stadt gut.,He has been to Berlin several times and knows the city well.,Il est allé plusieurs fois à Berlin et connaît bien la ville.,"mehrmals = several times, repeatedly","mehrmals = plusieurs fois, à plusieurs reprises",,
1097,44,"Sie musste die Aufgabe _____ wiederholen, bevor sie sie verstanden hat.",mehrmals,"Sie musste die Aufgabe mehrmals wiederholen, bevor sie sie verstanden hat.",She had to repeat the task several times before she understood it.,Elle a dû répéter la tâche plusieurs fois avant de la comprendre.,"mehrmals = several times, repeatedly","mehrmals = plusieurs fois, à plusieurs reprises",,
1098,44,"Ich habe den Film _____ gesehen, weil er mir so gut gefällt.",mehrmals,"Ich habe den Film mehrmals gesehen, weil er mir so gut gefällt.",I have watched the movie several times because I like it so much.,J'ai regardé le film plusieurs fois parce que je l'aime beaucoup.,"mehrmals = several times, repeatedly","mehrmals = plusieurs fois, à plusieurs reprises",,
1099,44,Er hat sich _____ für einen Marathon angemeldet.,erstmals,Er hat sich erstmals für einen Marathon angemeldet.,He has signed up for a marathon for the first time.,Il s'est inscrit pour la première fois à un marathon.,erstmals = for the first time,erstmals = pour la première fois,,
1100,44,Das Unternehmen präsentiert seine neue Technologie _____ auf der Messe.,erstmals,Das Unternehmen präsentiert seine neue Technologie erstmals auf der Messe.,The company is presenting its new technology for the first time at the trade fair.,L'entreprise présente pour la première fois sa nouvelle technologie au salon.,erstmals = for the first time,erstmals = pour la première fois,,
1101,44,Sie reist _____ alleine ins Ausland.,erstmals,Sie reist erstmals alleine ins Ausland.,She is traveling abroad alone for the first time.,Elle voyage seule à l'étranger pour la première fois.,erstmals = for the first time,erstmals = pour la première fois,,
1102,44,Der Film wurde _____ im Jahr 2020 gezeigt.,erstmals,Der Film wurde erstmals im Jahr 2020 gezeigt.,The movie was shown for the first time in 2020.,Le film a été projeté pour la première fois en 2020.,erstmals = for the first time,erstmals = pour la première fois,,
1103,44,Ich habe ihn _____ auf einer Konferenz getroffen.,erstmals,Ich habe ihn erstmals auf einer Konferenz getroffen.,I met him for the first time at a conference.,Je l'ai rencontré pour la première fois lors d'une conférence.,erstmals = for the first time,erstmals = pour la première fois,,
1104,44,"Es hat geregnet, aber wir hatten _____ eine gute Zeit.",jedenfalls,"Es hat geregnet, aber wir hatten jedenfalls eine gute Zeit.","It rained, but we had a good time in any case.","Il a plu, mais nous avons quand même passé un bon moment.","jedenfalls = in any case, at least","jedenfalls = en tout cas, au moins",,
1105,44,"Er hat sich nicht gemeldet, _____ habe ich nichts von ihm gehört.",jedenfalls,"Er hat sich nicht gemeldet, jedenfalls habe ich nichts von ihm gehört.","He hasn’t contacted me, at any rate, I haven’t heard from him.","Il ne m'a pas contacté, en tout cas je n'ai pas eu de ses nouvelles.","jedenfalls = in any case, at least","jedenfalls = en tout cas, au moins",,
1106,44,"Ich bin mir nicht sicher, ob das die beste Lösung ist, aber es ist _____ eine Möglichkeit.",jedenfalls,"Ich bin mir nicht sicher, ob das die beste Lösung ist, aber es ist jedenfalls eine Möglichkeit.","I’m not sure if this is the best solution, but it’s a possibility at least.","Je ne sais pas si c'est la meilleure solution, mais c'est au moins une possibilité.","jedenfalls = in any case, at least","jedenfalls = en tout cas, au moins",,
1107,44,"Das Experiment war nicht erfolgreich, _____ nicht nach unseren Erwartungen.",jedenfalls,"Das Experiment war nicht erfolgreich, jedenfalls nicht nach unseren Erwartungen.","The experiment was not successful, at least not according to our expectations.","L'expérience n'a pas été concluante, du moins pas selon nos attentes.","jedenfalls = in any case, at least","jedenfalls = en tout cas, au moins",,
1108,44,"Er kommt vielleicht später, _____ hat er das gesagt.",jedenfalls,"Er kommt vielleicht später, jedenfalls hat er das gesagt.","He might come later, at any rate, that’s what he said.","Il pourrait venir plus tard, en tout cas, c'est ce qu'il a dit.","jedenfalls = in any case, at least","jedenfalls = en tout cas, au moins",,
1109,44,Wir sollten _____ einen Experten hinzuziehen.,gegebenenfalls,Wir sollten gegebenenfalls einen Experten hinzuziehen.,"We should, if necessary, consult an expert.","Nous devrions, si nécessaire, consulter un expert.","gegebenenfalls = if applicable, if necessary, if needed","gegebenenfalls = si applicable, si nécessaire, si nécessaire",,
