Nr,exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french
310,15,"Ich möchte _____ erklären, warum dieses Thema so wichtig ist.",zuerst,zuerst,"Ich möchte zuerst erklären, warum dieses Thema so wichtig ist.",I would like to explain first why this topic is so important.,Je voudrais d’abord expliquer pourquoi ce sujet est si important.,,,"zuerst = first, at first ● Adverb","zuerst = d'abord, tout d'abord, au début ● Adverbe"
311,15,"_____ war ich skeptisch, doch nach dem Gespräch war ich viel zuversichtlicher.",Zuerst,Zuerst,"Zuerst war ich skeptisch, doch nach dem Gespräch war ich viel zuversichtlicher.","At first I was skeptical, but after the conversation I was much more confident.","Au début, j’étais sceptique, mais après la discussion, j’étais beaucoup plus confiant.",,,"zuerst = first, at first ● Adverb","zuerst = d'abord, tout d'abord, au début ● Adverbe"
312,15,"Ich habe keine Zeit für einen Urlaub, _____ ist das Wetter schlecht.",außerdem,außerdem,"Ich habe keine Zeit für einen Urlaub, außerdem ist das Wetter schlecht.","I don’t have time for a vacation; besides, the weather is bad.","Je n’ai pas le temps de prendre des vacances ; de plus, le temps est mauvais.",,,"außerdem = besides, moreover, furthermore ● Adverb","außerdem = en outre, de plus ● Adverbe"
313,15,"Er spricht fliessend Englisch, _____ kann er etwas Spanisch.",außerdem,außerdem,"Er spricht fliessend Englisch, außerdem kann er etwas Spanisch.","He speaks fluent English; furthermore, he knows some Spanish.",Il parle couramment l'anglais et connaît également quelques notions d'espagnol.,,,"außerdem = besides, moreover, furthermore ● Adverb","außerdem = en outre, de plus ● Adverbe"
314,15,"Wir sollten mehr Gemüse essen, _____ ist es sehr gesund.",außerdem,außerdem,"Wir sollten mehr Gemüse essen, außerdem ist es sehr gesund.","We should eat more vegetables; besides, they are very healthy.","Nous devrions manger plus de légumes ; de plus, ils sont très sains.",,,"außerdem = besides, moreover, furthermore ● Adverb","außerdem = en outre, de plus ● Adverbe"
315,15,"Das Hotel ist nicht nur günstig, _____ liegt es im Stadtzentrum.",außerdem,außerdem,"Das Hotel ist nicht nur günstig, außerdem liegt es im Stadtzentrum.","The hotel is not only affordable; furthermore, it is located in the city center.","L'hôtel n'est pas seulement abordable ; de plus, il est situé dans le centre-ville.",,,"außerdem = besides, moreover, furthermore ● Adverb","außerdem = en outre, de plus ● Adverbe"
316,15,"Ich habe viel zu tun, _____ bin ich heute nicht in der Stimmung.",außerdem,außerdem,"Ich habe viel zu tun, außerdem bin ich heute nicht in der Stimmung.","I have a lot to do; besides, I’m not in the mood today.","J’ai beaucoup à faire, et puis je ne suis pas d’humeur aujourd’hui.",,,"außerdem = besides, moreover, furthermore ● Adverb","außerdem = en outre, de plus ● Adverbe"
317,15,"_____ haben wir uns entschieden, das Projekt auf nächstes Jahr zu verschieben.",Schließlich,Schließlich,"Schließlich haben wir uns entschieden, das Projekt auf nächstes Jahr zu verschieben.","In the end, we decided to postpone the project until next year.","Finalement, nous avons décidé de reporter le projet à l’année prochaine.",,,"schließlich = finally, in the end, after all ● Adverb","schließlich = enfin, finalement, après tout ● Adverbe"
318,15,"Er hat lange gezögert, aber _____ doch den Vertrag unterschrieben.",schließlich,schließlich,"Er hat lange gezögert, aber schließlich doch den Vertrag unterschrieben.",He hesitated for a long time but eventually signed the contract.,"Il a longtemps hésité, mais il a finalement signé le contrat.",,,"schließlich = finally, in the end, after all ● Adverb","schließlich = enfin, finalement, après tout ● Adverbe"
319,15,"_____ muss man auch bedenken, dass niemand perfekt ist.",Schließlich,Schließlich,"Schließlich muss man auch bedenken, dass niemand perfekt ist.","After all, one must also keep in mind that nobody is perfect.","Après tout, il faut aussi garder à l’esprit que personne n’est parfait.",,,"schließlich = finally, in the end, after all ● Adverb","schließlich = enfin, finalement, après tout ● Adverbe"
320,15,"_____ war es seine Idee, und sie hat gut funktioniert.",Schließlich,Schließlich,"Schließlich war es seine Idee, und sie hat gut funktioniert.","After all, it was his idea, and it worked well.","Après tout, c’était son idée, et elle a bien fonctionné.",,,"schließlich = finally, in the end, after all ● Adverb","schließlich = enfin, finalement, après tout ● Adverbe"
321,15,"_____ möchten wir uns bei allen bedanken, die uns unterstützt haben.",Schließlich,Schließlich,"Schließlich möchten wir uns bei allen bedanken, die uns unterstützt haben.","Finally, we would like to thank everyone who supported us.","Enfin, nous tenons à remercier tous ceux qui nous ont soutenus.",,,"schließlich = finally, in the end, after all ● Adverb","schließlich = enfin, finalement, après tout ● Adverbe"
322,16,,wohingegen,wohingegen,,whereas,"tandis que, alors que",Subordinating conjunction,Conjonctions de subordination,wohingegen = whereas ● Subordinating conjunction,"wohingegen = tandis que, alors que ● Conjonctions de subordination"
323,16,,zwar,zwar,,"admittely, indeed, to be precise","certes, en effet",Adverb,Adverbe,"zwar = admittely, indeed, to be precise ● Adverb","zwar = certes, en effet ● Adverbe"
324,16,,auch wenn,auch wenn,,even if,même si,Subordinating conjunction,Conjonctions de subordination,auch wenn = even if ● Subordinating conjunction,auch wenn = même si ● Conjonctions de subordination
325,16,,immer wenn,immer wenn,,"everytime, whenever",à chaque fois que,Subordinating conjunction,Conjonctions de subordination,"immer wenn = everytime, whenever ● Subordinating conjunction",immer wenn = à chaque fois que ● Conjonctions de subordination
326,16,,solange,solange,,"as long as, so long as",tant que,Subordinating conjunction,Conjonctions de subordination,"solange = as long as, so long as ● Subordinating conjunction",solange = tant que ● Conjonctions de subordination
327,16,,sobald/sowie,sobald/sowie,,"as soon as, whenever","dès que, chaque fois que",Subordinating conjunction,Conjonctions de subordination,"sobald/sowie = as soon as, whenever ● Subordinating conjunction","sobald/sowie = dès que, chaque fois que ● Conjonctions de subordination"
328,16,,dadurch dass,dadurch dass,,"by, due to the fact that, thereby","en, en raison du fait que, ainsi",Correlative conjunction,Conjonction corrélative,"dadurch dass = by, due to the fact that, thereby ● Correlative conjunction","dadurch dass = en, en raison du fait que, ainsi ● Conjonction corrélative"
329,16,,beziehungsweise,beziehungsweise,,"or rather, respectively","ou plutôt, respectivement",Coordinating conjunction,Conjonction de coordination,"beziehungsweise = or rather, respectively ● Coordinating conjunction","beziehungsweise = ou plutôt, respectivement ● Conjonction de coordination"
330,17,"Er liebt Abenteuerreisen, _____ seine Frau lieber am Strand entspannt.",wohingegen,wohingegen,"Er liebt Abenteuerreisen, wohingegen seine Frau lieber am Strand entspannt.","He loves adventure travel, whereas his wife prefers relaxing on the beach.","Il aime les voyages d'aventure, tandis que sa femme préfère se détendre sur la plage.",,,wohingegen = whereas ● Subordinating conjunction,"wohingegen = tandis que, alors que ● Conjonctions de subordination"
331,17,"Das eine Hotel war sehr teuer, _____ das andere viel günstiger war.",wohingegen,wohingegen,"Das eine Hotel war sehr teuer, wohingegen das andere viel günstiger war.","One hotel was very expensive, whereas the other one was much cheaper.","Un hôtel était très cher, tandis que l’autre était beaucoup moins cher.",,,wohingegen = whereas ● Subordinating conjunction,"wohingegen = tandis que, alors que ● Conjonctions de subordination"
332,17,"Ich mag moderne Kunst, _____ mein Bruder klassische Malerei bevorzugt.",wohingegen,wohingegen,"Ich mag moderne Kunst, wohingegen mein Bruder klassische Malerei bevorzugt.","I like modern art, whereas my brother prefers classical painting.","J'aime l'art moderne, alors que mon frère préfère la peinture classique.",,,wohingegen = whereas ● Subordinating conjunction,"wohingegen = tandis que, alors que ● Conjonctions de subordination"
333,17,"Sie arbeitet gerne im Team, _____ er lieber alleine arbeitet.",wohingegen,wohingegen,"Sie arbeitet gerne im Team, wohingegen er lieber alleine arbeitet.","She enjoys working in a team, whereas he prefers to work alone.","Elle aime travailler en équipe, alors qu'il préfère travailler seul.",,,wohingegen = whereas ● Subordinating conjunction,"wohingegen = tandis que, alors que ● Conjonctions de subordination"
334,17,"Ich bin gerne aktiv im Urlaub, _____ meine Freunde nur entspannen wollen.",wohingegen,wohingegen,"Ich bin gerne aktiv im Urlaub, wohingegen meine Freunde nur entspannen wollen.","I like to be active on vacation, whereas my friends just want to relax.","J'aime être actif en vacances, alors que mes amis veulent juste se détendre.",,,wohingegen = whereas ● Subordinating conjunction,"wohingegen = tandis que, alors que ● Conjonctions de subordination"
335,17,"Er hat die Aufgabe _____ erledigt, aber nicht sehr sorgfältig.",zwar,zwar,"Er hat die Aufgabe zwar erledigt, aber nicht sehr sorgfältig.","He did complete the task, but not very carefully.","Il a accompli la tâche, mais pas avec beaucoup de soin.",,,"zwar = admittely, indeed, to be precise ● Adverb","zwar = certes, en effet ● Adverbe"
336,17,"Ich habe das Buch _____ gelesen, aber ich habe es nicht ganz verstanden.",zwar,zwar,"Ich habe das Buch zwar gelesen, aber ich habe es nicht ganz verstanden.","I did read the book, but I didn’t fully understand it.","J’ai lu le livre, mais je ne l’ai pas entièrement compris.",,,"zwar = admittely, indeed, to be precise ● Adverb","zwar = certes, en effet ● Adverbe"
337,17,"Sie ist _____ jung, aber sie hat schon viel Erfahrung.",zwar,zwar,"Sie ist zwar jung, aber sie hat schon viel Erfahrung.","She is indeed young, but she already has a lot of experience.","Elle est certes jeune, mais elle a déjà beaucoup d’expérience.",,,"zwar = admittely, indeed, to be precise ● Adverb","zwar = certes, en effet ● Adverbe"
338,17,"Das Hotel war _____ teuer, aber der Service war ausgezeichnet.",zwar,zwar,"Das Hotel war zwar teuer, aber der Service war ausgezeichnet.","The hotel was admittedly expensive, but the service was excellent.","L'hôtel était certes cher, mais le service était excellent.",,,"zwar = admittely, indeed, to be precise ● Adverb","zwar = certes, en effet ● Adverbe"
339,17,"Er hat _____ wenig Zeit, aber er hilft mir trotzdem.",zwar,zwar,"Er hat zwar wenig Zeit, aber er hilft mir trotzdem.","He has little time, but he helps me anyway.","Il a peu de temps, mais il m'aide quand même.",,,"zwar = admittely, indeed, to be precise ● Adverb","zwar = certes, en effet ● Adverbe"
340,17,"Ich gehe joggen, _____ es regnet.",auch wenn,auch wenn,"Ich gehe joggen, auch wenn es regnet.",I go jogging even if it rains.,Je fais du jogging même s'il pleut.,,,auch wenn = even if ● Subordinating conjunction,auch wenn = même si ● Conjonctions de subordination
341,17,"Er kommt zur Besprechung, _____ er keine Lust hat.",auch wenn,auch wenn,"Er kommt zur Besprechung, auch wenn er keine Lust hat.",He comes to the meeting even if he doesn’t feel like it.,Il vient à la réunion même s’il n’en a pas envie.,,,auch wenn = even if ● Subordinating conjunction,auch wenn = même si ● Conjonctions de subordination
342,17,"Sie fährt mit dem Fahrrad, _____ der Weg lang ist.",auch wenn,auch wenn,"Sie fährt mit dem Fahrrad, auch wenn der Weg lang ist.",She rides her bike even if the way is long.,Elle fait du vélo même si le chemin est long.,,,auch wenn = even if ● Subordinating conjunction,auch wenn = même si ● Conjonctions de subordination
343,17,"Wir machen Urlaub, _____ das Wetter schlecht ist.",auch wenn,auch wenn,"Wir machen Urlaub, auch wenn das Wetter schlecht ist.",We go on vacation even if the weather is bad.,Nous partons en vacances même si le temps est mauvais.,,,auch wenn = even if ● Subordinating conjunction,auch wenn = même si ● Conjonctions de subordination
344,17,"Ich esse das Gericht, _____ ich es nicht mag.",auch wenn,auch wenn,"Ich esse das Gericht, auch wenn ich es nicht mag.",I eat the dish even if I don’t like it.,Je mange le plat même si je ne l’aime pas.,,,auch wenn = even if ● Subordinating conjunction,auch wenn = même si ● Conjonctions de subordination
345,17,"_____ ich dieses Lied höre, denke ich an meine Kindheit.",Immer wenn,Immer wenn,"Immer wenn ich dieses Lied höre, denke ich an meine Kindheit.","Whenever I hear this song, I think of my childhood.","Chaque fois que j'entends cette chanson, je pense à mon enfance.",,,"immer wenn = everytime, whenever ● Subordinating conjunction",immer wenn = à chaque fois que ● Conjonctions de subordination
346,17,"Er ist glücklich, _____ er seine Freunde trifft.",immer wenn,immer wenn,"Er ist glücklich, immer wenn er seine Freunde trifft.",He is happy whenever he meets his friends.,Il est heureux à chaque fois qu'il rencontre ses amis.,,,"immer wenn = everytime, whenever ● Subordinating conjunction",immer wenn = à chaque fois que ● Conjonctions de subordination
347,17,"_____ es regnet, nehme ich meinen Regenschirm mit.",Immer wenn,Immer wenn,"Immer wenn es regnet, nehme ich meinen Regenschirm mit.","Whenever it rains, I take my umbrella with me.","Chaque fois qu’il pleut, je prends mon parapluie avec moi.",,,"immer wenn = everytime, whenever ● Subordinating conjunction",immer wenn = à chaque fois que ● Conjonctions de subordination
348,17,"Wir gehen spazieren, _____ das Wetter schön ist.",immer wenn,immer wenn,"Wir gehen spazieren, immer wenn das Wetter schön ist.",We go for a walk whenever the weather is nice.,Nous allons nous promener dès qu'il fait beau.,,,"immer wenn = everytime, whenever ● Subordinating conjunction",immer wenn = à chaque fois que ● Conjonctions de subordination
349,17,"_____ sie nervös ist, spricht sie besonders schnell.",Immer wenn,Immer wenn,"Immer wenn sie nervös ist, spricht sie besonders schnell.","Whenever she is nervous, she speaks particularly fast.","Chaque fois qu’elle est nerveuse, elle parle particulièrement vite.",,,"immer wenn = everytime, whenever ● Subordinating conjunction",immer wenn = à chaque fois que ● Conjonctions de subordination
350,17,"_____ ich zu Hause bin, rufe ich dich an.",Sobald/Sowie,Sobald/Sowie,"Sobald ich zu Hause bin, rufe ich dich an.","As soon as I get home, I will call you.","Dès que je rentre à la maison, je t'appelle.",,,"sobald/sowie = as soon as, whenever ● Subordinating conjunction","sobald/sowie = dès que, chaque fois que ● Conjonctions de subordination"
351,17,"Er wird mit dem Projekt beginnen, _____ er alle Informationen hat.",sobald/sowie,sobald/sowie,"Er wird mit dem Projekt beginnen, sobald er alle Informationen hat.",He will start the project as soon as he has all the information.,Il démarrera le projet dès qu'il aura toutes les informations.,,,"sobald/sowie = as soon as, whenever ● Subordinating conjunction","sobald/sowie = dès que, chaque fois que ● Conjonctions de subordination"
352,17,"_____ das Wetter besser wird, machen wir einen Ausflug.",Sobald/Sowie,Sobald/Sowie,"Sobald das Wetter besser wird, machen wir einen Ausflug.","As soon as the weather gets better, we will go on a trip.","Dès que le temps s'améliorera, nous partirons en voyage.",,,"sobald/sowie = as soon as, whenever ● Subordinating conjunction","sobald/sowie = dès que, chaque fois que ● Conjonctions de subordination"
353,17,"Ich werde dich besuchen, _____ ich Zeit habe.",sobald/sowie,sobald/sowie,"Ich werde dich besuchen, sobald ich Zeit habe.",I will visit you as soon as I have time.,Je viendrai vous rendre visite dès que j'aurai le temps.,,,"sobald/sowie = as soon as, whenever ● Subordinating conjunction","sobald/sowie = dès que, chaque fois que ● Conjonctions de subordination"
354,17,"_____ sie die E-Mail gelesen hat, wird sie antworten.",Sobald/Sowie,Sobald/Sowie,"Sobald sie die E-Mail gelesen hat, wird sie antworten.","As soon as she has read the email, she will reply.","Dès qu'elle aura lu l'e-mail, elle répondra.",,,"sobald/sowie = as soon as, whenever ● Subordinating conjunction","sobald/sowie = dès que, chaque fois que ● Conjonctions de subordination"
355,17,"Du kannst hier bleiben, _____ du möchtest.",solange,solange,"Du kannst hier bleiben, solange du möchtest.",You can stay here as long as you want.,Vous pouvez rester ici aussi longtemps que vous le souhaitez.,,,"solange = as long as, so long as ● Subordinating conjunction",solange = tant que ● Conjonctions de subordination
356,17,"_____ das Wetter schön ist, gehen wir jeden Tag spazieren.",Solange,Solange,"Solange das Wetter schön ist, gehen wir jeden Tag spazieren.","As long as the weather is nice, we go for a walk every day.","Tant qu'il fait beau, nous allons nous promener tous les jours.",,,"solange = as long as, so long as ● Subordinating conjunction",solange = tant que ● Conjonctions de subordination
357,17,"Er wird helfen, _____ er Zeit hat.",solange,solange,"Er wird helfen, solange er Zeit hat.",He will help as long as he has time.,Il aidera tant qu'il aura le temps.,,,"solange = as long as, so long as ● Subordinating conjunction",solange = tant que ● Conjonctions de subordination
358,17,"_____ du fleißig lernst, wirst du die Prüfung bestehen.",Solange,Solange,"Solange du fleißig lernst, wirst du die Prüfung bestehen.","As long as you study diligently, you will pass the exam.","Tant que vous étudiez avec diligence, vous réussirez l’examen.",,,"solange = as long as, so long as ● Subordinating conjunction",solange = tant que ● Conjonctions de subordination
359,17,"Wir bleiben draußen, _____ es nicht regnet.",solange,solange,"Wir bleiben draußen, solange es nicht regnet.",We will stay outside as long as it doesn’t rain.,Nous resterons dehors tant qu’il ne pleut pas.,,,"solange = as long as, so long as ● Subordinating conjunction",solange = tant que ● Conjonctions de subordination
360,17,"Er hat seine Sprachkenntnisse _____ verbessert, dass er jeden Tag Deutsch gesprochen hat.",dadurch,dadurch dass,"Er hat seine Sprachkenntnisse dadurch verbessert, dass er jeden Tag Deutsch gesprochen hat.",He improved his language skills by speaking German every day.,Il a amélioré ses compétences linguistiques en parlant allemand tous les jours.,,,"dadurch dass = by, due to the fact that, thereby ● Correlative conjunction","dadurch dass = en, en raison du fait que, ainsi ● Conjonction corrélative"
361,17,"Das Unternehmen konnte Kosten _____ senken, dass es auf erneuerbare Energien umgestellt hat.",dadurch,dadurch dass,"Das Unternehmen konnte Kosten dadurch senken, dass es auf erneuerbare Energien umgestellt hat.",The company was able to reduce costs by switching to renewable energy.,L’entreprise a pu réduire ses coûts en passant aux énergies renouvelables.,,,"dadurch dass = by, due to the fact that, thereby ● Correlative conjunction","dadurch dass = en, en raison du fait que, ainsi ● Conjonction corrélative"
362,17,"Die Umwelt wurde _____ geschont, dass weniger Plastik verwendet wurde.",dadurch,dadurch dass,"Die Umwelt wurde dadurch geschont, dass weniger Plastik verwendet wurde.",The environment was preserved by using less plastic.,L'environnement a été préservé en utilisant moins de plastique.,,,"dadurch dass = by, due to the fact that, thereby ● Correlative conjunction","dadurch dass = en, en raison du fait que, ainsi ● Conjonction corrélative"
363,17,"Sie hat die Prüfung _____ bestanden, dass sie intensiv gelernt hat.",dadurch,dadurch dass,"Sie hat die Prüfung dadurch bestanden, dass sie intensiv gelernt hat.",She passed the exam by studying intensively.,Elle a réussi l’examen en étudiant intensivement.,,,"dadurch dass = by, due to the fact that, thereby ● Correlative conjunction","dadurch dass = en, en raison du fait que, ainsi ● Conjonction corrélative"
364,17,"Wir haben Zeit _____ gespart, dass wir online eingekauft haben.",dadurch,dadurch dass,"Wir haben Zeit dadurch gespart, dass wir online eingekauft haben.",We saved time by shopping online.,Nous avons gagné du temps en faisant nos achats en ligne.,,,"dadurch dass = by, due to the fact that, thereby ● Correlative conjunction","dadurch dass = en, en raison du fait que, ainsi ● Conjonction corrélative"
365,17,"Ich habe zwei Geschwister, einen Bruder _____ eine Schwester.",beziehungsweise,beziehungsweise,"Ich habe zwei Geschwister, einen Bruder beziehungsweise eine Schwester.","I have two siblings, a brother and a sister.","J'ai deux frères et sœurs, un frère et une sœur.",,,"beziehungsweise = or rather, respectively ● Coordinating conjunction","beziehungsweise = ou plutôt, respectivement ● Conjonction de coordination"
366,17,Der Kurs beginnt um 9 Uhr _____ um 10 Uhr für die Fortgeschrittenen.,beziehungsweise,beziehungsweise,Der Kurs beginnt um 9 Uhr beziehungsweise um 10 Uhr für die Fortgeschrittenen.,"The course starts at 9 a.m., respectively 10 a.m. for advanced students.","Le cours débute à 9h, respectivement 10h pour les étudiants avancés.",,,"beziehungsweise = or rather, respectively ● Coordinating conjunction","beziehungsweise = ou plutôt, respectivement ● Conjonction de coordination"
367,17,"Du kannst mir eine E-Mail schreiben _____ mich anrufen, wenn du Fragen hast.",beziehungsweise,beziehungsweise,"Du kannst mir eine E-Mail schreiben beziehungsweise mich anrufen, wenn du Fragen hast.",You can email or call me if you have any questions.,Vous pouvez m'envoyer un e-mail ou m'appeler si vous avez des questions.,,,"beziehungsweise = or rather, respectively ● Coordinating conjunction","beziehungsweise = ou plutôt, respectivement ● Conjonction de coordination"
368,17,Er ist Arzt _____ Spezialist für Kardiologie.,beziehungsweise,beziehungsweise,Er ist Arzt beziehungsweise Spezialist für Kardiologie.,"He is a doctor, or rather a specialist in cardiology.","Il est médecin, ou plutôt spécialiste en cardiologie.",,,"beziehungsweise = or rather, respectively ● Coordinating conjunction","beziehungsweise = ou plutôt, respectivement ● Conjonction de coordination"
369,17,Wir treffen uns am Bahnhof _____ direkt am Gleis 3.,beziehungsweise,beziehungsweise,Wir treffen uns am Bahnhof beziehungsweise direkt am Gleis 3.,We'll meet at the train station or directly at platform 3.,Nous nous retrouverons à la gare ou directement au quai 3.,,,"beziehungsweise = or rather, respectively ● Coordinating conjunction","beziehungsweise = ou plutôt, respectivement ● Conjonction de coordination"
370,18,zudem,außerdem,außerdem,"Zudem hat die Studie gezeigt, dass jüngere Teilnehmer deutlich flexibler auf Veränderungen reagieren.","besides, moreover, furthermore","en outre, de plus",Adverb,Adverbe,"außerdem = besides, moreover, furthermore ● Adverb","außerdem = en outre, de plus ● Adverbe"
371,18,ehe,bevor,bevor,"Sie überprüfte alle Dokumente sorgfältig, ehe sie den Vertrag unterschrieb.",before,avant que,Subordinating conjunction,Conjonctions de subordination,bevor = before ● Subordinating conjunction,bevor = avant que ● Conjonctions de subordination
372,18,demgegenüber,dagegen,dagegen,"Demgegenüber steht die Meinung der Experten, die vor erheblichen Risiken warnen.","by contrast, in contrast, on the other hand","par contre, en revanche, au contraire",Adverb,Adverbe,"dagegen = by contrast, in contrast, on the other hand ● Adverb","dagegen = par contre, en revanche, au contraire ● Adverbe"
373,18,daher,deshalb,deshalb,"Er hat das Konzept gut erklärt, daher konnte das Team sofort weiterarbeiten.","therefore, for this reason, because of that","pour cette raison, à cause de cela",Adverb,Adverbe,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe"
374,18,demzufolge,folglich,folglich,"Der Markt hat sich stark verändert, demzufolge müssen wir unsere Strategie anpassen.","consequently, as a result, thereupon","par conséquent, en conséquence",Adverb,Adverbe,"folglich = consequently, as a result, thereupon ● Adverb","folglich = par conséquent, en conséquence ● Adverbe"
375,18,infolgedessen,folglich,folglich,"Die Nachfrage ist zurückgegangen, infolgedessen wurden mehrere Projekte verschoben.","consequently, as a result, thereupon","par conséquent, en conséquence",Adverb,Adverbe,"folglich = consequently, as a result, thereupon ● Adverb","folglich = par conséquent, en conséquence ● Adverbe"
376,18,letztlich,schließlich,schließlich,"Die Entscheidung war umstritten, letztlich akzeptierten jedoch alle das Ergebnis.","finally, in the end, after all","enfin, finalement, après tout",Adverb,Adverbe,"schließlich = finally, in the end, after all ● Adverb","schließlich = enfin, finalement, après tout ● Adverbe"
377,18,zuletzt,schließlich,schließlich,"Wir haben verschiedene Ideen ausprobiert, zuletzt entschieden wir uns für die einfachste Lösung.","finally, in the end, after all","enfin, finalement, après tout",Adverb,Adverbe,"schließlich = finally, in the end, after all ● Adverb","schließlich = enfin, finalement, après tout ● Adverbe"
378,18,weswegen,weshalb,weshalb,"Er hat die Unterlagen falsch eingereicht, weswegen der Prozess sich verzögert hat.","which is why, therefore",c'est pourquoi,Subordinating conjunction,Conjonctions de subordination,"weshalb = which is why, therefore ● Subordinating conjunction",weshalb = c'est pourquoi ● Conjonctions de subordination
379,18,andernfalls,sonst,sonst,"Sie hätte die Sicherheitsvorschriften beachten müssen, andernfalls hätte ein Unfall passieren können.","otherwise, else","sinon, autrement",Adverb,Adverbe,"sonst = otherwise, else ● Adverb","sonst = sinon, autrement ● Adverbe"
380,18,wogegen,wohingegen,wohingegen,"Er bevorzugt ruhige Arbeitsumgebungen, wogegen seine Kollegin besser unter Druck funktioniert.",whereas,"tandis que, alors que",Subordinating conjunction,Conjonctions de subordination,wohingegen = whereas ● Subordinating conjunction,"wohingegen = tandis que, alors que ● Conjonctions de subordination"
381,19,,zumal,zumal,,"especially since, particularly because",d'autant plus que,Subordinating conjunction,Conjonctions de subordination,"zumal = especially since, particularly because ● Subordinating conjunction",zumal = d'autant plus que ● Conjonctions de subordination
382,19,,als ob,als ob,,as if,comme si,Subordinating conjunction,Conjonctions de subordination,als ob = as if ● Subordinating conjunction,als ob = comme si ● Conjonctions de subordination
383,19,,je nachdem,je nachdem,,depending on,"selon, en fonction de",Subordinating conjunction,Conjonctions de subordination,je nachdem = depending on ● Subordinating conjunction,"je nachdem = selon, en fonction de ● Conjonctions de subordination"
384,19,,nämlich,nämlich,,namely,notamment,Adverb,Adverbe,nämlich = namely ● Adverb,nämlich = notamment ● Adverbe
385,19,,außerhalb davon,außerhalb davon,,"outside of it, outside of that",en dehors de cela,Adverb,Adverbe,"außerhalb davon = outside of it, outside of that ● Adverb",außerhalb davon = en dehors de cela ● Adverbe
386,19,,abschließend,abschließend,,"to conclude, in conclusion","pour conclure, en conclusion",Adverb,Adverbe,"abschließend = to conclude, in conclusion ● Adverb","abschließend = pour conclure, en conclusion ● Adverbe"
387,19,,zusammenfassend,zusammenfassend,,"in summary, to summarize","en résumé, pour résumer",Adverb,Adverbe,"zusammenfassend = in summary, to summarize ● Adverb","zusammenfassend = en résumé, pour résumer ● Adverbe"
388,19,,obendrein,obendrein,,"on top of that, on top of this","en plus de cela, en plus",Adverb,Adverbe,"obendrein = on top of that, on top of this ● Adverb","obendrein = en plus de cela, en plus ● Adverbe"
389,20,"Ich werde das Angebot annehmen, _____ es sehr vorteilhaft ist.",zumal,zumal,"Ich werde das Angebot annehmen, zumal es sehr vorteilhaft ist.","I will accept the offer, especially since it is very advantageous.","J'accepterai l'offre, d'autant plus qu'elle est très avantageuse.",,,"zumal = especially since, particularly because ● Subordinating conjunction",zumal = d'autant plus que ● Conjonctions de subordination
390,20,"Wir bleiben heute zu Hause, _____ das Wetter schlecht ist.",zumal,zumal,"Wir bleiben heute zu Hause, zumal das Wetter schlecht ist.","We are staying home today, particularly because the weather is bad.","Nous restons à la maison aujourd'hui, surtout parce que le temps est mauvais.",,,"zumal = especially since, particularly because ● Subordinating conjunction",zumal = d'autant plus que ● Conjonctions de subordination
391,20,"Er hat sich für das Studium entschieden, _____ er großes Interesse an der Thematik hat.",zumal,zumal,"Er hat sich für das Studium entschieden, zumal er großes Interesse an der Thematik hat.","He decided to study this subject, especially since he has a great interest in it.","Il a décidé d’étudier ce sujet, d’autant plus qu’il s’y intéresse beaucoup.",,,"zumal = especially since, particularly because ● Subordinating conjunction",zumal = d'autant plus que ● Conjonctions de subordination
392,20,"Ich esse weniger Süßigkeiten, _____ sie nicht gesund sind.",zumal,zumal,"Ich esse weniger Süßigkeiten, zumal sie nicht gesund sind.","I eat fewer sweets, particularly because they are not healthy.","Je mange moins de sucreries, notamment parce qu’elles ne sont pas saines.",,,"zumal = especially since, particularly because ● Subordinating conjunction",zumal = d'autant plus que ● Conjonctions de subordination
393,20,"Wir sollten mit dem Fahrrad fahren, _____ es umweltfreundlicher ist.",zumal,zumal,"Wir sollten mit dem Fahrrad fahren, zumal es umweltfreundlicher ist.","We should go by bike, especially since it is more environmentally friendly.","On devrait y aller à vélo, surtout que c'est plus écologique.",,,"zumal = especially since, particularly because ● Subordinating conjunction",zumal = d'autant plus que ● Conjonctions de subordination
394,20,"Er tut so, _____ er alles wüsste, dabei hat er kaum Ahnung.",als ob,als ob,"Er tut so, als ob er alles wüsste, dabei hat er kaum Ahnung.","He acts as if he knew everything, but he barely has a clue.","Il agit comme s'il savait tout, mais il n'en a pratiquement aucune idée.",,,als ob = as if ● Subordinating conjunction,als ob = comme si ● Conjonctions de subordination
395,20,"Sie sah mich an, _____ ich etwas Ungeheuerliches gesagt hätte.",als ob,als ob,"Sie sah mich an, als ob ich etwas Ungeheuerliches gesagt hätte.",She looked at me as if I had said something outrageous.,Elle m’a regardé comme si j’avais dit quelque chose d’outrageant.,,,als ob = as if ● Subordinating conjunction,als ob = comme si ● Conjonctions de subordination
396,20,"Es klingt, _____ du schon eine Entscheidung getroffen hättest.",als ob,als ob,"Es klingt, als ob du schon eine Entscheidung getroffen hättest.",It sounds as if you had already made a decision.,Il semble que vous ayez déjà pris une décision.,,,als ob = as if ● Subordinating conjunction,als ob = comme si ● Conjonctions de subordination
