Nr,exercise,question,answer,frage_word,german,english,french,explanation_english,explanation_french
262,14,"_____ Ausmaßes bedarf es, damit von einer echten Krise gesprochen werden kann?",Welches,welches neuter genitive,"Welches Ausmaßes bedarf es, damit von einer echten Krise gesprochen werden kann?",What scale is required for one to speak of a real crisis?,De quelle ampleur faut-il parler pour qu’on puisse évoquer une véritable crise ?,Welches = Which ● Neuter Genitive,"Welches = Quel, Quelle ● Génitif Neutre"
263,14,_____ Unrechts gedenkt man in dieser Rede ausdrücklich?,Welches,welches neuter genitive,Welches Unrechts gedenkt man in dieser Rede ausdrücklich?,What injustice is explicitly commemorated in this speech?,De quelle injustice se souvient-on explicitement dans ce discours ?,Welches = Which ● Neuter Genitive,"Welches = Quel, Quelle ● Génitif Neutre"
264,14,_____ Risikos hat sich das Unternehmen bei dieser Entscheidung bewusst ausgesetzt?,Welches,welches neuter genitive,Welches Risikos hat sich das Unternehmen bei dieser Entscheidung bewusst ausgesetzt?,Of what risk did the company deliberately expose itself in this decision?,À quel risque l’entreprise s’est-elle délibérément exposée dans cette décision ?,Welches = Which ● Neuter Genitive,"Welches = Quel, Quelle ● Génitif Neutre"
265,14,_____ Materials hat sich der Künstler für dieses Werk bedient?,Welches,welches neuter genitive,Welches Materials hat sich der Künstler für dieses Werk bedient?,What material did the artist make use of for this work?,De quel matériau l’artiste s’est-il servi pour cette œuvre ?,Welches = Which ● Neuter Genitive,"Welches = Quel, Quelle ● Génitif Neutre"
266,14,_____ Wissens entbehrt die öffentliche Debatte in diesem Zusammenhang?,Welches,welches neuter genitive,Welches Wissens entbehrt die öffentliche Debatte in diesem Zusammenhang?,What kind of knowledge does the public debate lack in this context?,De quel savoir le débat public manque-t-il dans ce contexte ?,Welches = Which ● Neuter Genitive,"Welches = Quel, Quelle ● Génitif Neutre"
267,14,"_____ Geduld bedarf es, um diesen diplomatischen Prozess erfolgreich zu Ende zu führen?",Welcher,welcher feminine genitive,"Welcher Geduld bedarf es, um diesen diplomatischen Prozess erfolgreich zu Ende zu führen?",What degree of patience is required to bring this diplomatic process to a successful conclusion?,De quelle patience a-t-on besoin pour mener ce processus diplomatique à son terme ?,Welcher = Which ● Feminine Genitive,Welcher = Quelle ● Génitif Féminin
268,14,"_____ Freiheit gedenkt man in dieser Rede, ohne sie ausdrücklich zu benennen?",Welcher,welcher feminine genitive,"Welcher Freiheit gedenkt man in dieser Rede, ohne sie ausdrücklich zu benennen?",Which freedom is being commemorated in this speech without being explicitly named?,De quelle liberté se souvient-on dans ce discours sans la nommer explicitement ?,Welcher = Which ● Feminine Genitive,Welcher = Quelle ● Génitif Féminin
269,14,_____ Tat schämte er sich noch Jahre später zutiefst?,Welcher,welcher feminine genitive,Welcher Tat schämte er sich noch Jahre später zutiefst?,Of which deed did he still feel deeply ashamed years later?,De quel acte avait-il encore profondément honte des années plus tard ?,Welcher = Which ● Feminine Genitive,Welcher = Quelle ● Génitif Féminin
270,14,"_____ Herkunft rühmte sie sich, um ihre Autorität zu unterstreichen?",Welcher,welcher feminine genitive,"Welcher Herkunft rühmte sie sich, um ihre Autorität zu unterstreichen?",Of which origin did she boast in order to underscore her authority?,De quelle origine se glorifiait-elle afin de souligner son autorité ?,Welcher = Which ● Feminine Genitive,Welcher = Quelle ● Génitif Féminin
271,14,_____ Kritik hat sich die Kommission bewusst enthalten?,Welcher,welcher feminine genitive,Welcher Kritik hat sich die Kommission bewusst enthalten?,From which criticism did the commission deliberately refrain?,De quelle critique la commission s’est-elle délibérément abstenue ?,Welcher = Which ● Feminine Genitive,Welcher = Quelle ● Génitif Féminin
272,14,"_____ Opfer bedarf es noch, um ein Umdenken herbeizuführen?",Welcher,welcher plural genitive,"Welcher Opfer bedarf es noch, um ein Umdenken herbeizuführen?",Of how many victims is it still necessary to bring about a change in thinking?,De combien de victimes faut-il encore pour provoquer un changement de mentalité ?,Welcher = Which ● Plural Genitive,"Welcher = Quels, Quelles ● Génitif Pluriel"
273,14,_____ Verbrechen wurde er letztlich für schuldig befunden?,Welcher,welcher plural genitive,Welcher Verbrechen wurde er letztlich für schuldig befunden?,Of which crimes was he ultimately found guilty?,De quels crimes a-t-il finalement été reconnu coupable ?,Welcher = Which ● Plural Genitive,"Welcher = Quels, Quelles ● Génitif Pluriel"
274,14,_____ Menschen gedenkt man an diesem nationalen Gedenktag?,Welcher,welcher plural genitive,Welcher Menschen gedenkt man an diesem nationalen Gedenktag?,Which people are commemorated on this national day of remembrance?,De quelles personnes se souvient-on lors de cette journée nationale de commémoration ?,Welcher = Which ● Plural Genitive,"Welcher = Quels, Quelles ● Génitif Pluriel"
275,14,_____ Mittel hat sich die Regierung zur Krisenbewältigung bedient?,Welcher,welcher plural genitive,Welcher Mittel hat sich die Regierung zur Krisenbewältigung bedient?,Of which means did the government make use to manage the crisis?,De quels moyens le gouvernement s’est-il servi pour gérer la crise ?,Welcher = Which ● Plural Genitive,"Welcher = Quels, Quelles ● Génitif Pluriel"
276,14,_____ Werte rühmt sich das Unternehmen in seiner Außendarstellung?,Welcher,welcher plural genitive,Welcher Werte rühmt sich das Unternehmen in seiner Außendarstellung?,Of which values does the company boast in its public image?,De quelles valeurs l’entreprise se prévaut-elle dans sa communication externe ?,Welcher = Which ● Plural Genitive,"Welcher = Quels, Quelles ● Génitif Pluriel"
277,102,Der _____ Präsident der Vereinigten Staaten war Abraham Lincoln eigentlich?,wievielte,,Der wievielte Präsident der Vereinigten Staaten war Abraham Lincoln eigentlich?,"Which number president of the United States was Abraham Lincoln, actually?",Quel numéro était réellement le président des États-Unis Abraham Lincoln ?,#N/A,#N/A
278,102,"Weißt du noch, die _____ Ausgabe der Konferenz das damals war?",wievielte,,"Weißt du noch, die wievielte Ausgabe der Konferenz das damals war?",Do you remember which edition of the conference it was back then?,Vous souvenez-vous de quelle édition de la conférence il s’agissait à l’époque ?,#N/A,#N/A
279,102,"In der _____ Zeile beginnt die Passage, die du zitiert hast?",wievielten,,"In der wievielten Zeile beginnt die Passage, die du zitiert hast?",In which line does the passage you quoted begin?,À quelle ligne commence le passage que vous avez cité ?,#N/A,#N/A
280,102,Nach dem _____ Versuch hat er schließlich aufgegeben?,wievielten,,Nach dem wievielten Versuch hat er schließlich aufgegeben?,After how many attempts did he finally give up?,Après combien de tentatives a-t-il finalement abandonné ?,#N/A,#N/A
281,102,"Das ist jetzt schon das _____ Mal, dass sie denselben Fehler macht?",wievielte,,"Das ist jetzt schon das wievielte Mal, dass sie denselben Fehler macht?",How many times has she made the same mistake now?,Combien de fois a-t-elle fait la même erreur maintenant ?,#N/A,#N/A
